samplers,samplers_active,sampler_A,sampler_B,total_active,active_A,active_B,avg_cascade_size,active_diff,cascade_bias,gamma,replicate
20.0,10.5152,5.7647,4.7505,114.3917,62.9666,51.4251,12.530471870732908,11.5463,0.10102127319126458,-0.10000000000001588,0.0
20.0,10.3616,5.5988,4.7628,111.911,60.1933,51.7177,12.541689819554826,8.4772,0.07562433574901291,-0.10000000000001588,1.0
20.0,9.9526,4.9002,5.0524,104.2334,49.3642,54.8692,12.334821948345978,5.5794,0.05322168226565246,-0.10000000000001588,2.0
20.0,10.2752,4.653,5.6222,111.8138,50.2957,61.5181,12.581394637269684,11.2226,0.10055690422917099,-0.10000000000001588,3.0
20.0,9.9629,4.3034,5.6595,112.5536,45.7096,66.844,13.534711373999391,21.1344,0.188638580446196,-0.10000000000001588,4.0
20.0,10.0217,5.1264,4.8953,113.3427,56.6358,56.7069,13.596739812212494,2.6273,0.023100069736831225,-0.10000000000001588,5.0
20.0,9.3678,4.2265,5.1413,89.6306,39.7884,49.8422,10.79784760798547,10.0764,0.11929429420805186,-0.10000000000001588,6.0
20.0,9.745,4.969,4.776,100.8254,52.8394,47.986,12.141297254161888,5.018,0.05027190942206425,-0.10000000000001588,7.0
20.0,10.3404,5.215,5.1254,113.6741,57.8782,55.7959,12.946444855246876,2.4597,0.020900461420792802,-0.10000000000001588,8.0
20.0,9.6214,4.265,5.3564,107.9183,50.8384,57.0799,13.45678059251314,6.3129,0.058450570086314685,-0.10000000000001588,9.0
20.0,10.1185,5.0461,5.0724,106.7656,52.729,54.0366,12.37081186650761,2.4896,0.023006434868761683,-0.10000000000001588,10.0
20.0,9.2782,4.4999,4.7783,106.9384,54.2503,52.6881,13.550287409064568,2.2092,0.024436441260465923,-0.10000000000001588,11.0
20.0,9.9883,4.5624,5.4259,103.5296,48.9853,54.5443,10.331310498667722,5.8592,0.09474910706402638,-0.10000000000001588,12.0
20.0,10.1319,5.1173,5.0146,108.3793,54.87,53.5093,12.423026379012926,2.2975,0.02398484450627019,-0.10000000000001588,13.0
20.0,10.2012,5.2903,4.9109,105.4058,51.8519,53.5539,12.104895649943096,2.8284,0.026476736361682983,-0.10000000000001588,14.0
20.0,9.3403,5.5903,3.75,104.0215,62.4875,41.534,13.18288837109562,20.9535,0.20127180769315903,-0.10000000000001588,15.0
20.0,10.2649,5.6222,4.6427,119.8329,62.9445,56.8884,13.996296154803208,6.0693,0.050602090068800405,-0.10000000000001588,16.0
20.0,9.3743,5.1595,4.2148,102.1102,52.7167,49.3935,12.934122166279932,3.4956,0.03281386322270625,-0.10000000000001588,17.0
20.0,9.7608,5.5632,4.1976,107.4493,58.4403,49.009,13.134794118556,9.4333,0.08775152529491008,-0.10000000000001588,18.0
20.0,9.2458,4.8582,4.3876,93.2205,45.959,47.2615,11.50132030189391,2.6243,0.038024044618186884,-0.10000000000001588,19.0
20.0,10.3943,4.9449,5.4494,113.5931,53.3272,60.2659,12.627097469386632,6.9555,0.061303709038752104,-0.10000000000001588,20.0
20.0,9.7819,5.324,4.4579,112.1206,60.906,51.2146,13.723530945766827,9.6992,0.0875857543002501,-0.10000000000001588,21.0
20.0,9.3777,4.1697,5.208,104.2293,45.696,58.5333,12.95212729865167,12.8393,0.12413761898321313,-0.10000000000001588,22.0
20.0,9.8349,5.4573,4.3776,104.5018,58.2049,46.2969,12.320840374016068,11.909,0.11409435195133114,-0.10000000000001588,23.0
20.0,10.0505,4.3755,5.675,103.6053,43.9032,59.7021,12.017675082789333,15.7989,0.15299869142832087,-0.10000000000001588,24.0
20.0,9.5088,5.1843,4.3245,103.0419,53.6964,49.3455,12.998005531442749,4.4111,0.04275467111726713,-0.10000000000001588,25.0
20.0,10.3742,5.5567,4.8175,113.5856,60.0106,53.575,12.553527265002371,6.444,0.05888502268305636,-0.10000000000001588,26.0
20.0,9.5323,4.1388,5.3935,117.5013,48.0364,69.4649,14.989000857360105,21.4285,0.18261889037797366,-0.10000000000001588,27.0
20.0,10.672,5.2928,5.3792,120.4916,58.8351,61.6565,13.128955312374446,3.0082,0.02494294125633784,-0.10000000000001588,28.0
20.0,9.5317,4.1529,5.3788,102.4737,41.3855,61.0882,12.223925144688453,19.7027,0.19316170025958626,-0.10000000000001588,29.0
