gamma,replicate,individual,out_degree,out_degree_initial,in_degree,in_degree_initial,same_type_adds,same_type_breaks,diff_type_adds,diff_type_breaks
-0.6,0,0,0,5,61,7,0,4,0,1
-0.6,0,1,114,1,98,7,64,0,50,1
-0.6,0,2,2,9,63,7,1,5,1,4
-0.6,0,3,148,4,92,4,69,0,75,0
-0.6,0,4,0,3,4,5,0,1,0,2
-0.6,0,5,8,6,85,9,5,0,2,5
-0.6,0,6,0,1,6,4,0,0,0,1
-0.6,0,7,140,8,86,7,68,0,64,0
-0.6,0,8,139,4,88,7,62,0,73,0
-0.6,0,9,149,6,86,6,68,0,75,0
-0.6,0,10,0,6,18,9,0,2,0,4
-0.6,0,11,139,8,87,3,59,0,72,0
-0.6,0,12,141,6,84,5,64,0,72,1
-0.6,0,13,61,7,84,7,30,0,27,3
-0.6,0,14,123,4,92,5,64,1,56,0
-0.6,0,15,139,2,89,6,76,0,61,0
-0.6,0,16,0,3,9,6,0,2,0,1
-0.6,0,17,89,5,90,1,42,1,44,1
-0.6,0,18,8,5,17,9,2,0,2,1
-0.6,0,19,28,5,95,12,14,1,13,3
-0.6,0,20,72,6,88,5,35,1,33,1
-0.6,0,21,0,4,33,6,0,1,0,3
-0.6,0,22,42,8,83,3,23,1,16,4
-0.6,0,23,134,2,84,5,60,0,72,0
-0.6,0,24,10,5,90,7,6,2,4,3
-0.6,0,25,5,6,13,6,3,3,0,1
-0.6,0,26,138,6,91,2,60,1,73,0
-0.6,0,27,104,1,87,3,59,0,44,0
-0.6,0,28,72,2,86,3,30,0,41,1
-0.6,0,29,5,3,11,6,2,1,1,0
-0.6,0,30,136,7,91,7,69,0,60,0
-0.6,0,31,76,4,91,3,43,1,31,1
-0.6,0,32,0,2,7,6,0,2,0,0
-0.6,0,33,0,3,44,3,0,1,0,2
-0.6,0,34,0,3,20,4,0,1,0,2
-0.6,0,35,144,7,91,5,63,0,74,0
-0.6,0,36,102,4,94,4,50,1,50,1
-0.6,0,37,143,8,86,3,76,0,59,0
-0.6,0,38,131,4,86,2,67,0,60,0
-0.6,0,39,120,9,86,5,62,1,51,1
-0.6,0,40,136,1,90,4,69,0,66,0
-0.6,0,41,0,7,12,9,0,1,0,6
-0.6,0,42,3,4,30,3,1,0,1,3
-0.6,0,43,133,5,82,5,67,0,61,0
-0.6,0,44,147,7,84,3,66,0,74,0
-0.6,0,45,141,5,86,9,64,0,72,0
-0.6,0,46,145,7,86,5,66,0,72,0
-0.6,0,47,4,8,38,5,1,5,1,1
-0.6,0,48,100,6,85,4,50,4,48,0
-0.6,0,49,40,5,85,7,17,2,20,0
-0.6,0,50,124,5,87,5,65,1,56,1
-0.6,0,51,34,6,89,6,22,0,9,3
-0.6,0,52,0,3,10,2,0,1,0,2
-0.6,0,53,139,7,78,5,69,0,63,0
-0.6,0,54,25,8,89,3,15,4,9,3
-0.6,0,55,138,3,84,6,60,0,75,0
-0.6,0,56,92,5,89,3,45,1,43,0
-0.6,0,57,55,4,87,5,27,2,27,1
-0.6,0,58,127,5,88,5,63,0,59,0
