gamma,replicate,individual,out_degree,out_degree_initial,in_degree,in_degree_initial,same_type_adds,same_type_breaks,diff_type_adds,diff_type_breaks
0.6,0,0,6,5,14,2,0,1,3,1
0.6,0,1,15,4,48,5,7,1,6,1
0.6,0,2,138,3,66,7,56,0,79,0
0.6,0,3,11,3,73,2,5,0,5,2
0.6,0,4,0,5,18,1,0,1,0,4
0.6,0,5,12,8,10,6,1,0,3,0
0.6,0,6,10,3,69,5,3,1,6,1
0.6,0,7,122,2,67,8,47,0,73,0
0.6,0,8,130,5,70,6,79,0,46,0
0.6,0,9,10,6,11,5,0,0,4,0
0.6,0,10,66,1,75,6,41,0,25,1
0.6,0,11,12,5,28,4,2,1,8,2
0.6,0,12,131,1,66,7,77,0,53,0
0.6,0,13,5,5,70,6,3,3,1,1
0.6,0,14,117,4,81,7,65,0,48,0
0.6,0,15,0,7,49,2,0,3,0,4
0.6,0,16,11,4,72,7,3,0,6,2
0.6,0,17,3,7,35,5,0,3,2,3
0.6,0,18,0,9,72,9,0,5,0,4
0.6,0,19,128,8,73,10,74,0,46,0
0.6,0,20,26,6,76,7,11,2,13,2
0.6,0,21,12,6,53,6,5,2,4,1
0.6,0,22,94,5,70,8,60,1,30,0
0.6,0,23,27,4,77,6,13,2,14,2
0.6,0,24,53,6,67,7,17,0,30,0
0.6,0,25,31,2,63,5,19,0,11,1
0.6,0,26,0,2,6,9,0,1,0,1
0.6,0,27,134,7,71,2,75,0,52,0
0.6,0,28,0,3,5,1,0,0,0,3
0.6,0,29,4,7,74,2,0,1,4,6
0.6,0,30,2,7,47,5,1,3,1,4
0.6,0,31,133,4,68,3,53,0,76,0
0.6,0,32,14,7,63,9,4,3,8,2
0.6,0,33,3,2,23,6,2,0,0,1
0.6,0,34,130,2,69,7,81,0,47,0
0.6,0,35,4,6,29,5,3,4,0,1
0.6,0,36,97,5,74,8,42,1,52,1
0.6,0,37,35,5,71,4,17,1,16,2
0.6,0,38,14,3,24,1,6,0,5,0
0.6,0,39,19,5,79,2,9,3,9,1
0.6,0,40,9,6,5,5,2,0,1,0
0.6,0,41,137,9,67,7,74,0,54,0
0.6,0,42,63,3,68,3,32,1,29,0
0.6,0,43,34,5,77,8,11,2,21,1
0.6,0,44,135,4,69,6,76,0,55,0
0.6,0,45,119,8,74,4,44,1,68,0
0.6,0,46,13,5,14,7,3,0,5,0
0.6,0,47,56,2,70,3,32,2,24,0
0.6,0,48,137,8,66,5,76,0,53,0
0.6,0,49,118,7,72,2,70,0,41,0
0.6,0,50,9,12,42,1,3,3,3,6
0.6,0,51,92,6,74,7,34,1,53,0
0.6,0,52,9,4,55,10,4,1,4,2
0.6,0,53,9,8,6,5,1,0,0,0
0.6,0,54,76,8,70,5,35,2,39,4
0.6,0,55,96,3,74,4,36,1,58,0
0.6,0,56,10,6,9,7,1,0,4,1
