gamma,replicate,individual,out_degree,out_degree_initial,in_degree,in_degree_initial,same_type_adds,same_type_breaks,diff_type_adds,diff_type_breaks
-0.7,0,0,115,8,80,2,55,1,53,0
-0.7,0,1,0,2,5,5,0,1,0,1
-0.7,0,2,5,8,17,7,2,1,0,4
-0.7,0,3,9,8,9,8,1,0,0,0
-0.7,0,4,17,4,21,5,9,0,4,0
-0.7,0,5,127,2,71,3,63,0,62,0
-0.7,0,6,128,3,77,5,63,0,62,0
-0.7,0,7,0,6,55,1,0,2,0,4
-0.7,0,8,0,3,58,5,0,1,0,2
-0.7,0,9,141,1,69,7,73,0,67,0
-0.7,0,10,93,7,77,6,45,0,43,2
-0.7,0,11,98,5,75,9,50,1,46,2
-0.7,0,12,23,4,74,6,9,1,11,0
-0.7,0,13,103,6,78,7,49,1,49,0
-0.7,0,14,114,6,70,6,55,1,55,1
-0.7,0,15,131,3,77,3,65,0,63,0
-0.7,0,16,133,3,71,5,62,0,68,0
-0.7,0,17,62,7,77,4,27,2,31,1
-0.7,0,18,3,5,30,5,1,2,1,2
-0.7,0,19,6,8,15,5,2,1,0,3
-0.7,0,20,1,1,59,3,1,0,0,1
-0.7,0,21,0,9,5,1,0,5,0,4
-0.7,0,22,0,4,31,5,0,2,0,2
-0.7,0,23,5,6,28,5,1,2,1,1
-0.7,0,24,4,7,10,5,2,4,0,1
-0.7,0,25,133,8,77,5,57,0,68,0
-0.7,0,26,7,3,80,6,3,3,4,0
-0.7,0,27,6,5,7,6,1,0,0,0
-0.7,0,28,133,7,79,4,67,0,59,0
-0.7,0,29,7,7,6,6,0,0,0,0
-0.7,0,30,13,7,80,6,8,0,3,5
-0.7,0,31,0,2,62,2,0,1,0,1
-0.7,0,32,105,8,71,4,49,0,48,0
-0.7,0,33,57,6,73,1,31,0,21,1
-0.7,0,34,5,6,5,4,1,1,1,2
-0.7,0,35,0,5,43,9,0,2,0,3
-0.7,0,36,12,7,6,6,4,0,1,0
-0.7,0,37,106,3,76,3,57,0,46,0
-0.7,0,38,38,3,74,5,19,3,19,0
-0.7,0,39,127,9,71,1,58,0,60,0
-0.7,0,40,125,3,77,4,56,0,66,0
-0.7,0,41,5,6,58,5,2,3,1,1
-0.7,0,42,98,6,81,2,48,1,45,0
-0.7,0,43,106,9,78,9,44,0,53,0
-0.7,0,44,16,6,36,4,6,3,7,0
-0.7,0,45,15,7,31,5,5,1,5,1
-0.7,0,46,7,7,1,1,0,0,0,0
-0.7,0,47,92,5,70,5,44,3,46,0
-0.7,0,48,6,5,3,3,0,0,1,0
-0.7,0,49,46,6,71,6,26,0,18,4
-0.7,0,50,0,2,8,5,0,0,0,2
-0.7,0,51,10,6,32,12,5,4,4,1
-0.7,0,52,120,4,83,3,61,0,55,0
-0.7,0,53,0,1,9,7,0,0,0,1
-0.7,0,54,8,6,6,5,2,0,0,0
-0.7,0,55,6,6,1,1,0,0,0,0
-0.7,0,56,104,4,73,6,45,0,56,1
-0.7,0,57,101,3,75,1,52,0,46,0
-0.7,0,58,88,7,71,5,45,1,38,1
-0.7,0,59,115,5,81,7,56,0,55,1
-0.7,0,60,101,8,77,3,47,1,47,0
-0.7,0,61,3,2,39,8,1,1,1,0
-0.7,0,62,10,5,45,6,6,1,3,3
-0.7,0,63,116,4,71,4,54,1,59,0
-0.7,0,64,124,7,68,6,58,0,59,0
-0.7,0,65,0,6,2,3,0,2,0,4
-0.7,0,66,90,5,74,1,41,2,46,0
-0.7,0,67,121,3,72,7,53,0,65,0
-0.7,0,68,119,1,73,2,65,0,53,0
-0.7,0,69,7,3,10,6,0,0,4,0
-0.7,0,70,53,7,83,5,19,1,31,3
-0.7,0,71,3,7,26,4,2,2,0,4
-0.7,0,72,121,4,78,8,62,0,55,0
-0.7,0,73,10,3,10,0,6,2,3,0
-0.7,0,74,13,6,16,5,5,1,4,1
-0.7,0,75,101,3,78,8,53,1,46,0
-0.7,0,76,135,6,80,3,66,0,63,0
-0.7,0,77,138,4,66,6,68,0,66,0
-0.7,0,78,82,4,79,5,46,1,34,1
-0.7,0,79,6,5,6,6,1,0,0,0
-0.7,0,80,137,4,76,5,70,0,63,0
-0.7,0,81,4,7,22,3,1,1,2,5
-0.7,0,82,13,9,31,8,3,2,5,2
-0.7,0,83,4,5,70,6,2,3,0,0
-0.7,0,84,115,7,70,3,54,0,54,0
-0.7,0,85,108,1,78,5,54,0,53,0
-0.7,0,86,6,6,6,6,0,0,0,0
-0.7,0,87,130,5,79,4,62,1,64,0
-0.7,0,88,104,4,77,10,49,0,52,1
-0.7,0,89,131,11,74,2,62,0,59,1
-0.7,0,90,91,6,79,4,45,0,41,1
-0.7,0,91,94,2,78,2,42,0,50,0
-0.7,0,92,112,6,81,9,56,1,51,0
-0.7,0,93,0,4,8,1,0,2,0,2
-0.7,0,94,0,2,23,8,0,0,0,2
-0.7,0,95,0,4,11,5,0,1,0,3
-0.7,0,96,4,4,65,4,2,1,1,2
-0.7,0,97,11,7,58,4,3,0,4,3
-0.7,0,98,130,5,81,10,59,0,66,0
-0.7,0,99,3,2,39,4,1,1,1,0
