gamma,replicate,individual,out_degree,out_degree_initial,in_degree,in_degree_initial,same_type_adds,same_type_breaks,diff_type_adds,diff_type_breaks
0.1,0,0,133,5,71,7,60,0,68,0
0.1,0,1,55,4,70,4,23,0,28,0
0.1,0,2,4,4,5,5,0,0,0,0
0.1,0,3,138,10,69,4,68,0,60,0
0.1,0,4,3,4,34,1,3,2,0,2
0.1,0,5,8,5,16,7,1,0,2,0
0.1,0,6,7,7,35,6,2,2,3,3
0.1,0,7,129,7,69,3,63,0,59,0
0.1,0,8,128,4,72,4,63,0,61,0
0.1,0,9,55,4,68,4,26,2,27,0
0.1,0,10,7,7,7,7,0,0,0,0
0.1,0,11,108,7,62,4,48,0,53,0
0.1,0,12,126,5,68,2,63,0,58,0
0.1,0,13,25,3,71,4,14,2,11,1
0.1,0,14,24,3,70,5,16,1,7,1
0.1,0,15,131,4,68,8,67,0,60,0
0.1,0,16,0,4,19,2,0,2,0,2
0.1,0,17,1,3,34,3,1,3,0,0
0.1,0,18,119,6,64,3,54,3,62,0
0.1,0,19,14,1,76,2,7,1,7,0
0.1,0,20,118,5,65,6,57,0,57,1
0.1,0,21,8,2,57,4,4,0,2,0
0.1,0,22,0,2,45,5,0,0,0,2
0.1,0,23,13,3,23,4,10,0,1,1
0.1,0,24,45,4,66,10,20,4,25,0
0.1,0,25,18,8,12,4,3,0,7,0
0.1,0,26,10,4,17,4,5,0,2,1
0.1,0,27,44,6,68,4,26,0,14,2
0.1,0,28,4,8,59,4,1,5,3,3
0.1,0,29,107,4,70,4,55,1,50,1
0.1,0,30,91,2,69,6,41,0,50,2
0.1,0,31,21,7,55,2,11,3,9,3
0.1,0,32,0,2,38,6,0,1,0,1
0.1,0,33,0,6,46,7,0,4,0,2
0.1,0,34,32,5,67,2,15,2,15,1
0.1,0,35,25,4,67,3,11,1,12,1
0.1,0,36,4,5,55,5,3,3,0,1
0.1,0,37,3,3,29,1,1,2,1,0
0.1,0,38,2,7,52,5,1,3,0,3
0.1,0,39,87,5,70,2,45,0,38,1
0.1,0,40,4,3,76,4,1,1,3,2
0.1,0,41,105,2,73,5,53,0,51,1
0.1,0,42,125,9,71,4,60,1,59,2
0.1,0,43,127,4,64,5,57,0,66,0
0.1,0,44,5,3,50,5,3,2,1,0
0.1,0,45,6,7,32,3,1,2,2,2
0.1,0,46,35,3,71,3,20,2,15,1
0.1,0,47,128,4,68,7,58,0,66,0
0.1,0,48,0,6,7,4,0,6,0,0
0.1,0,49,0,1,13,9,0,0,0,1
0.1,0,50,4,7,44,4,2,2,1,4
0.1,0,51,138,5,69,4,67,0,66,0
0.1,0,52,21,4,66,2,14,1,7,3
0.1,0,53,7,5,6,4,2,0,0,0
0.1,0,54,30,5,71,8,14,2,14,1
0.1,0,55,0,2,16,4,0,1,0,1
0.1,0,56,9,9,6,6,0,0,0,0
0.1,0,57,2,6,49,3,0,3,1,2
0.1,0,58,113,4,73,7,59,1,52,1
0.1,0,59,18,2,56,6,11,0,6,1
0.1,0,60,8,6,15,13,0,0,2,0
0.1,0,61,139,2,74,5,69,0,68,0
0.1,0,62,0,2,27,7,0,1,0,1
0.1,0,63,8,7,41,7,2,2,4,3
0.1,0,64,113,7,72,9,54,0,52,0
0.1,0,65,46,8,69,4,22,1,19,2
0.1,0,66,137,5,68,3,65,0,67,0
0.1,0,67,7,8,6,6,0,0,0,1
0.1,0,68,117,2,66,7,57,1,59,0
0.1,0,69,12,7,12,4,4,0,3,2
0.1,0,70,0,4,52,5,0,3,0,1
0.1,0,71,7,3,70,6,4,1,3,2
0.1,0,72,137,2,64,11,66,0,69,0
0.1,0,73,9,3,67,6,4,2,5,1
0.1,0,74,64,4,64,4,28,0,33,1
0.1,0,75,75,5,77,6,34,1,38,1
0.1,0,76,7,7,7,7,0,0,0,0
0.1,0,77,145,4,71,1,72,0,69,0
0.1,0,78,120,13,78,3,57,3,54,1
0.1,0,79,135,4,71,1,67,0,64,0
0.1,0,80,0,1,10,3,0,0,0,1
0.1,0,81,105,7,70,4,50,0,49,1
0.1,0,82,142,6,80,10,67,0,69,0
0.1,0,83,0,4,17,7,0,0,0,4
0.1,0,84,5,5,17,5,3,0,1,4
0.1,0,85,31,2,74,7,15,0,15,1
0.1,0,86,16,5,70,7,5,1,10,3
0.1,0,87,3,5,41,2,2,1,0,3
0.1,0,88,53,9,71,4,26,1,22,3
0.1,0,89,12,8,69,5,7,1,4,6
0.1,0,90,3,4,4,4,0,1,0,0
0.1,0,91,2,2,43,2,2,2,0,0
0.1,0,92,125,4,66,8,63,0,58,0
0.1,0,93,10,2,26,5,5,0,3,0
0.1,0,94,0,4,26,7,0,2,0,2
0.1,0,95,50,7,71,2,30,1,16,2
0.1,0,96,0,4,12,3,0,1,0,3
0.1,0,97,138,2,68,3,65,0,71,0
0.1,0,98,139,6,74,6,62,0,71,0
0.1,0,99,147,4,70,4,69,0,74,0
0.1,0,100,29,8,68,5,17,2,10,4
0.1,0,101,127,2,73,7,62,0,63,0
0.1,0,102,9,6,17,7,5,1,0,1
0.1,0,103,50,10,74,3,24,3,22,3
0.1,0,104,103,6,66,7,47,0,51,1
0.1,0,105,110,5,68,7,48,0,58,1
0.1,0,106,20,4,70,2,8,0,10,2
0.1,0,107,107,9,66,4,52,0,46,0
0.1,0,108,144,6,66,14,72,0,66,0
