gamma,replicate,assort_final,assort_initial
-0.1,0.0,0.422645583728058,-0.0169912366696632
-0.1,1.0,0.40179575890729036,0.012044351843061778
-0.1,2.0,0.3782720083169346,0.005487698411088889
-0.1,3.0,0.4061313121997436,-0.03464327565510036
-0.1,4.0,0.38056705479195063,0.01674961418769459
-0.1,5.0,0.389203250954823,-0.031067405801600202
-0.1,6.0,0.39494717501148385,0.025653392904783228
-0.1,7.0,0.3756350250678749,-0.03194034411680168
-0.1,8.0,0.4062925984600081,-8.028437609711549e-05
-0.1,9.0,0.3507660310790956,-0.033149475884182364
-0.1,10.0,0.4598424022471352,0.05342048876374633
-0.1,11.0,0.36645686997722254,-0.06065027134672447
-0.1,12.0,0.39732542221963335,-0.02317351162792791
-0.1,13.0,0.36654642893950334,-0.012259138339414862
-0.1,14.0,0.442055776260331,0.04179377991380425
-0.1,15.0,0.35579172175327983,0.004527472671002929
-0.1,16.0,0.4240022055392967,0.016180406058528933
-0.1,17.0,0.360979831065051,-0.025533658663122093
-0.1,18.0,0.36004080867809035,-0.019666025469418594
-0.1,19.0,0.32260267290996014,0.001928327838602559
-0.1,20.0,0.4344309744536264,0.014926212190171624
-0.1,21.0,0.3901720592919879,0.0010131574746247035
-0.1,22.0,0.3699060339884111,-0.0025022657235426746
-0.1,23.0,0.4498288989824533,0.04737278299130759
-0.1,24.0,0.4637828668363021,0.06920581621624117
-0.1,25.0,0.37019365356431233,-0.008032338069007891
-0.1,26.0,0.45171856161762475,0.02881956397820574
-0.1,27.0,0.3754774637127578,-0.03223309270714608
-0.1,28.0,0.4558145671336571,0.03628819707621475
-0.1,29.0,0.3630024090275135,0.07355208518261752
-0.1,30.0,0.3583538103798011,-3.200128006045826e-05
-0.1,31.0,0.4364659444024524,0.07206861239119298
-0.1,32.0,0.35871150319814027,0.014570735402467287
-0.1,33.0,0.39561958516056334,-0.0053622292379782496
-0.1,34.0,0.4139740322573919,0.05107546447246683
-0.1,35.0,0.45216121713377944,0.03220230579339684
-0.1,36.0,0.40811856855057804,-0.01544725122780684
-0.1,37.0,0.43570851538080885,0.006874416215761396
-0.1,38.0,0.40606445916860795,0.053925482847452966
-0.1,39.0,0.3564944098098821,-0.06030629819786396
-0.1,40.0,0.36933198043847093,-0.025051408610545067
-0.1,41.0,0.3044619885879711,-0.02798149128655436
-0.1,42.0,0.37902629321093295,-0.050845473056508585
-0.1,43.0,0.39701211921034574,0.006827991407805363
-0.1,44.0,0.3272372753223254,0.0018311074758979046
-0.1,45.0,0.3490649041969852,-0.016620935698351713
-0.1,46.0,0.3423781252613094,-0.04850782525310905
-0.1,47.0,0.3218417158221648,-0.026688859629122166
-0.1,48.0,0.3758153725601344,-0.01871929452142423
-0.1,49.0,0.38613968014646477,-0.005019625152974751
-0.1,50.0,0.41618264420035656,-0.004000128006144328
-0.1,51.0,0.37827072112094057,-0.07517032128003259
-0.1,52.0,0.35551394039449535,-0.02426920524498771
-0.1,53.0,0.4218106995884774,-0.01698319902541928
-0.1,54.0,0.3966574047194461,-0.022744603593809403
-0.1,55.0,0.4000695787759584,-0.017255470305990082
