gamma,replicate,individual,out_degree,out_degree_initial,in_degree,in_degree_initial,same_type_adds,same_type_breaks,diff_type_adds,diff_type_breaks
-0.8,0,0,6,6,3,3,5,2,0,3
-0.8,0,1,3,3,4,6,2,2,0,0
-0.8,0,2,5,5,6,4,3,3,1,1
-0.8,0,3,3,3,3,3,2,3,1,0
-0.8,0,4,5,5,7,6,3,2,1,2
-0.8,0,5,4,4,3,2,3,2,0,1
-0.8,0,6,7,8,5,4,2,2,2,3
-0.8,0,7,2,2,5,6,1,1,0,0
-0.8,0,8,5,5,4,4,1,1,1,1
-0.8,0,9,4,4,5,4,2,2,1,1
-0.8,0,10,6,6,10,3,2,2,1,1
-0.8,0,11,5,5,3,5,2,2,0,0
-0.8,0,12,4,4,6,5,3,2,1,2
-0.8,0,13,5,5,6,8,3,2,0,1
-0.8,0,14,6,6,1,4,3,1,0,2
-0.8,0,15,5,5,2,3,0,0,0,0
-0.8,0,16,3,3,1,3,1,1,0,0
-0.8,0,17,3,3,2,2,2,0,1,3
-0.8,0,18,7,7,7,8,5,1,0,4
-0.8,0,19,4,4,7,4,1,1,1,1
-0.8,0,20,5,5,4,7,0,1,1,0
-0.8,0,21,8,8,0,6,4,0,0,4
-0.8,0,22,4,4,8,7,3,1,0,2
-0.8,0,23,9,9,6,7,1,0,0,1
-0.8,0,24,4,4,3,10,4,2,0,2
-0.8,0,25,9,9,1,6,4,0,1,5
-0.8,0,26,3,3,9,4,0,0,0,0
-0.8,0,27,5,6,1,3,3,0,0,4
-0.8,0,28,10,10,8,5,0,2,3,1
-0.8,0,29,3,3,1,3,3,2,0,1
-0.8,0,30,6,6,4,7,3,2,1,2
-0.8,0,31,3,3,4,3,2,1,0,1
-0.8,0,32,8,8,7,2,0,0,0,0
-0.8,0,33,3,3,9,8,1,1,1,1
-0.8,0,34,1,1,5,6,1,1,0,0
-0.8,0,35,3,3,2,5,2,1,0,1
-0.8,0,36,5,6,2,3,4,2,0,3
-0.8,0,37,3,3,4,6,3,2,0,1
-0.8,0,38,9,9,1,4,3,0,2,5
-0.8,0,39,7,8,2,6,2,0,0,3
-0.8,0,40,4,5,7,4,2,2,1,2
-0.8,0,41,1,1,6,4,1,1,0,0
-0.8,0,42,6,6,5,5,3,0,2,5
-0.8,0,43,5,6,1,1,4,0,1,6
-0.8,0,44,6,6,1,5,4,2,0,2
-0.8,0,45,5,5,2,3,3,1,0,2
-0.8,0,46,6,6,4,2,0,2,3,1
-0.8,0,47,4,4,5,3,0,1,2,1
