gamma,replicate,individual,out_degree,out_degree_initial,in_degree,in_degree_initial,same_type_adds,same_type_breaks,diff_type_adds,diff_type_breaks
-0.2,0,0,11,7,4,2,2,0,2,0
-0.2,0,1,12,7,8,8,1,0,5,1
-0.2,0,2,7,5,5,2,1,0,1,0
-0.2,0,3,9,6,6,5,2,0,1,0
-0.2,0,4,10,4,8,6,3,0,3,0
-0.2,0,5,12,8,9,10,2,0,2,0
-0.2,0,6,14,9,9,5,2,0,3,0
-0.2,0,7,7,6,7,4,1,0,0,0
-0.2,0,8,5,2,4,3,2,0,1,0
-0.2,0,9,11,9,6,6,1,0,1,0
-0.2,0,10,7,4,6,3,1,0,2,0
-0.2,0,11,8,7,7,6,0,0,1,0
-0.2,0,12,3,3,13,10,2,0,1,3
-0.2,0,13,9,6,5,4,3,0,1,1
-0.2,0,14,7,4,7,7,1,0,2,0
-0.2,0,15,9,6,12,8,2,0,1,0
-0.2,0,16,5,4,4,3,0,0,1,0
-0.2,0,17,2,3,8,7,0,0,0,1
-0.2,0,18,13,11,7,4,1,0,1,0
-0.2,0,19,11,6,8,3,3,0,2,0
-0.2,0,20,7,5,10,7,1,0,1,0
-0.2,0,21,10,8,4,4,1,0,1,0
-0.2,0,22,11,10,9,5,0,0,1,0
-0.2,0,23,10,6,3,5,1,0,3,0
-0.2,0,24,9,6,7,5,0,0,3,0
-0.2,0,25,6,5,7,5,2,0,0,1
-0.2,0,26,6,3,10,7,3,0,0,0
-0.2,0,27,7,6,8,7,1,0,1,1
-0.2,0,28,9,6,5,2,2,0,1,0
-0.2,0,29,0,1,10,8,0,1,0,0
-0.2,0,30,8,3,6,6,2,0,3,0
-0.2,0,31,7,4,12,7,1,0,2,0
-0.2,0,32,3,3,8,5,0,0,1,1
-0.2,0,33,8,6,11,8,0,0,2,0
-0.2,0,34,6,5,8,5,1,0,0,0
-0.2,0,35,4,2,8,7,2,0,2,2
-0.2,0,36,4,2,7,4,2,0,0,0
-0.2,0,37,0,1,8,6,0,0,0,1
-0.2,0,38,2,2,5,4,0,0,0,0
-0.2,0,39,7,6,5,3,1,0,2,2
-0.2,0,40,1,1,6,5,1,0,0,1
-0.2,0,41,8,6,10,8,2,0,0,0
-0.2,0,42,9,5,7,5,2,0,2,0
-0.2,0,43,4,4,7,4,2,0,0,2
-0.2,0,44,7,7,1,1,0,0,0,0
-0.2,0,45,3,3,9,7,1,0,0,1
-0.2,0,46,2,2,5,3,0,0,0,0
-0.2,0,47,5,4,7,4,1,0,0,0
-0.2,0,48,12,11,7,5,1,0,0,0
-0.2,0,49,2,4,3,2,0,0,0,2
-0.2,0,50,10,7,8,3,2,0,1,0
-0.2,0,51,8,4,9,7,2,0,2,0
-0.2,0,52,14,7,4,2,4,0,3,0
-0.2,0,53,4,5,7,7,3,0,1,5
-0.2,0,54,12,7,8,7,3,0,2,0
-0.2,0,55,9,4,5,5,3,0,2,0
-0.2,0,56,5,3,0,1,1,0,1,0
-0.2,0,57,7,6,8,8,0,0,1,0
-0.2,0,58,5,3,6,4,2,0,1,1
-0.2,0,59,9,6,7,4,2,0,1,0
-0.2,0,60,4,4,7,4,0,0,0,0
-0.2,0,61,9,5,5,7,2,0,2,0
-0.2,0,62,0,1,8,7,0,0,0,1
-0.2,0,63,8,7,9,5,1,0,0,0
-0.2,0,64,9,6,6,3,2,0,1,0
-0.2,0,65,11,8,4,3,1,0,2,0
-0.2,0,66,9,7,10,7,1,0,1,0
-0.2,0,67,11,8,6,5,2,0,1,0
-0.2,0,68,10,4,11,10,4,0,2,0
-0.2,0,69,9,6,4,4,1,0,2,0
-0.2,0,70,8,5,6,3,2,0,1,0
-0.2,0,71,11,8,9,4,1,0,2,0
-0.2,0,72,5,3,6,4,2,0,1,1
-0.2,0,73,2,2,6,5,1,0,1,2
-0.2,0,74,2,1,8,7,2,1,0,0
-0.2,0,75,10,5,3,0,1,0,4,0
-0.2,0,76,3,5,5,3,1,0,0,3
-0.2,0,77,6,4,6,6,2,0,1,1
-0.2,0,78,13,8,10,7,1,0,4,0
-0.2,0,79,8,5,5,3,1,0,2,0
-0.2,0,80,7,4,6,6,2,0,1,0
-0.2,0,81,10,4,6,4,2,0,4,0
-0.2,0,82,5,3,7,7,1,0,1,0
-0.2,0,83,4,4,10,8,3,0,1,4
-0.2,0,84,9,3,6,3,4,0,2,0
-0.2,0,85,10,7,3,2,1,0,2,0
-0.2,0,86,12,8,7,5,1,0,3,0
-0.2,0,87,8,4,5,4,1,0,3,0
-0.2,0,88,0,1,6,2,0,0,0,1
-0.2,0,89,8,5,8,3,2,0,1,0
-0.2,0,90,4,2,6,6,1,0,1,0
-0.2,0,91,3,2,3,1,0,0,1,0
-0.2,0,92,11,7,5,3,2,0,2,0
-0.2,0,93,11,7,7,4,1,0,3,0
-0.2,0,94,12,7,9,6,5,0,0,0
-0.2,0,95,4,4,12,9,1,0,1,2
-0.2,0,96,4,2,9,8,0,0,2,0
-0.2,0,97,10,5,3,2,3,0,2,0
-0.2,0,98,4,2,5,4,1,0,2,1
-0.2,0,99,14,10,11,7,3,0,1,0
-0.2,0,100,8,4,8,6,2,0,2,0
-0.2,0,101,8,6,6,4,1,0,1,0
-0.2,0,102,7,5,7,4,0,0,2,0
-0.2,0,103,1,1,3,3,0,0,0,0
-0.2,0,104,5,2,11,8,2,0,1,0
-0.2,0,105,9,7,4,2,2,0,0,0
-0.2,0,106,2,4,3,3,0,0,0,2
-0.2,0,107,2,3,6,5,0,0,0,1
-0.2,0,108,8,5,8,7,0,0,3,0
-0.2,0,109,9,6,9,7,1,0,2,0
-0.2,0,110,7,6,10,9,0,0,1,0
-0.2,0,111,4,5,6,5,0,0,0,1
-0.2,0,112,5,4,12,10,3,0,1,3
-0.2,0,113,13,9,6,5,2,0,2,0
-0.2,0,114,4,4,11,8,1,0,0,1
-0.2,0,115,2,1,11,7,1,0,1,1
-0.2,0,116,9,5,7,5,3,0,1,0
-0.2,0,117,6,4,10,4,1,0,1,0
-0.2,0,118,12,9,9,7,1,0,2,0
-0.2,0,119,10,7,6,3,2,0,1,0
-0.2,0,120,5,6,6,6,0,0,0,1
-0.2,0,121,11,9,5,5,1,0,1,0
-0.2,0,122,6,4,5,2,2,0,0,0
-0.2,0,123,5,3,10,7,2,1,1,0
-0.2,0,124,7,7,5,2,0,0,0,0
-0.2,0,125,4,3,8,7,1,0,1,1
-0.2,0,126,2,1,4,5,1,0,1,1
-0.2,0,127,5,4,7,6,1,0,1,1
-0.2,0,128,9,5,4,3,1,0,3,0
-0.2,0,129,12,9,4,4,1,0,2,0
-0.2,0,130,4,5,4,3,2,0,0,3
-0.2,0,131,9,8,10,8,0,0,1,0
-0.2,0,132,7,4,5,5,1,0,2,0
-0.2,0,133,8,5,6,4,1,0,2,0
-0.2,0,134,9,7,6,6,1,0,1,0
-0.2,0,135,6,5,14,9,0,0,1,0
-0.2,0,136,6,5,4,3,1,0,0,0
-0.2,0,137,6,5,8,2,1,0,0,0
-0.2,0,138,6,6,6,6,0,0,0,0
-0.2,0,139,8,6,11,8,0,0,2,0
-0.2,0,140,7,4,6,3,0,0,3,0
-0.2,0,141,8,7,8,6,1,0,0,0
-0.2,0,142,6,7,3,3,0,0,0,1
-0.2,0,143,4,1,8,5,2,0,1,0
-0.2,0,144,8,5,4,4,1,0,2,0
-0.2,0,145,12,10,6,6,1,0,1,0
-0.2,0,146,8,6,5,4,0,0,2,0
-0.2,0,147,11,7,12,6,2,0,2,0
-0.2,0,148,10,5,8,8,1,0,5,1
-0.2,0,149,3,4,9,6,1,0,0,2
-0.2,0,150,3,4,7,5,1,0,0,2
-0.2,0,151,5,4,9,8,0,0,1,0
-0.2,0,152,8,6,3,1,1,0,1,0
-0.2,0,153,12,9,7,5,1,0,2,0
-0.2,0,154,12,8,8,6,1,0,3,0
-0.2,0,155,10,6,7,6,1,0,3,0
-0.2,0,156,7,6,11,8,1,0,0,0
-0.2,0,157,7,6,9,5,1,0,0,0
-0.2,0,158,4,5,8,2,0,0,1,2
-0.2,0,159,2,4,6,4,2,0,0,4
-0.2,0,160,7,4,7,2,2,0,1,0
-0.2,0,161,1,2,11,9,1,0,0,2
-0.2,0,162,9,5,7,4,3,0,1,0
-0.2,0,163,4,3,6,5,2,0,0,1
-0.2,0,164,12,7,6,2,4,0,1,0
-0.2,0,165,7,5,5,2,0,0,2,0
-0.2,0,166,10,6,6,4,2,0,2,0
-0.2,0,167,1,4,8,3,1,0,0,4
-0.2,0,168,1,4,4,2,1,0,0,4
-0.2,0,169,13,9,4,1,2,0,2,0
-0.2,0,170,3,2,10,5,3,0,0,2
-0.2,0,171,11,7,3,3,4,0,0,0
-0.2,0,172,0,1,8,5,0,0,0,1
-0.2,0,173,0,3,5,6,0,0,0,3
-0.2,0,174,9,6,9,6,3,0,0,0
-0.2,0,175,8,4,10,6,3,0,1,0
-0.2,0,176,7,3,6,4,2,0,2,0
-0.2,0,177,7,5,4,2,0,0,2,0
-0.2,0,178,7,6,10,9,1,0,0,0
-0.2,0,179,5,4,5,3,0,0,1,0
-0.2,0,180,0,3,10,9,0,0,0,3
-0.2,0,181,9,8,2,0,1,0,0,0
-0.2,0,182,3,3,7,5,0,0,0,0
-0.2,0,183,2,3,8,7,0,0,0,1
-0.2,0,184,9,7,4,2,1,0,1,0
-0.2,0,185,8,5,4,3,1,0,2,0
-0.2,0,186,14,8,5,3,3,0,3,0
-0.2,0,187,8,5,8,6,1,0,2,0
-0.2,0,188,10,7,6,5,1,0,2,0
-0.2,0,189,2,3,9,7,0,0,0,1
-0.2,0,190,2,1,6,4,0,0,1,0
-0.2,0,191,4,4,8,6,1,0,0,1
-0.2,0,192,8,4,10,6,1,0,3,0
-0.2,0,193,11,5,5,4,4,0,2,0
-0.2,0,194,4,2,8,6,2,0,1,1
-0.2,0,195,11,9,6,3,1,0,1,0
-0.2,0,196,8,6,9,9,2,0,0,0
-0.2,0,197,5,3,8,6,3,0,1,2
-0.2,0,198,3,2,10,5,1,0,0,0
-0.2,0,199,7,5,11,8,2,0,0,0
-0.2,1,0,10,5,11,11,4,0,1,0
-0.2,1,1,4,3,8,5,0,0,2,1
-0.2,1,2,8,5,7,2,1,0,2,0
-0.2,1,3,2,4,11,9,1,0,0,3
-0.2,1,4,9,5,7,8,2,0,2,0
-0.2,1,5,6,4,8,7,2,0,0,0
-0.2,1,6,10,7,6,5,1,0,2,0
-0.2,1,7,6,5,6,4,1,0,2,2
-0.2,1,8,10,5,12,7,1,0,4,0
-0.2,1,9,8,5,8,7,2,0,1,0
-0.2,1,10,5,2,2,1,3,0,0,0
-0.2,1,11,11,6,8,5,1,0,4,0
-0.2,1,12,0,2,8,6,0,0,0,2
-0.2,1,13,8,6,5,3,2,0,0,0
-0.2,1,14,5,5,7,7,1,0,0,1
-0.2,1,15,7,5,7,7,1,0,1,0
-0.2,1,16,6,2,11,6,3,0,1,0
-0.2,1,17,7,5,9,7,2,0,0,0
-0.2,1,18,10,7,6,2,0,0,3,0
-0.2,1,19,18,11,4,2,5,0,2,0
-0.2,1,20,11,7,5,4,2,0,2,0
-0.2,1,21,14,8,5,4,4,0,2,0
-0.2,1,22,5,5,7,5,0,0,0,0
-0.2,1,23,5,1,6,4,3,0,1,0
-0.2,1,24,7,5,9,5,1,0,1,0
-0.2,1,25,0,5,3,2,0,0,0,5
-0.2,1,26,8,5,8,4,1,0,2,0
-0.2,1,27,10,9,8,7,0,0,1,0
-0.2,1,28,8,5,5,3,1,0,2,0
-0.2,1,29,9,5,6,4,2,0,2,0
-0.2,1,30,11,6,5,4,4,0,1,0
-0.2,1,31,12,7,3,2,4,0,1,0
-0.2,1,32,4,4,6,6,0,0,2,2
-0.2,1,33,7,4,7,5,1,0,2,0
-0.2,1,34,12,8,3,3,3,0,1,0
-0.2,1,35,11,8,9,5,1,0,2,0
-0.2,1,36,9,8,5,5,1,0,0,0
-0.2,1,37,11,7,6,6,2,0,2,0
-0.2,1,38,12,10,3,4,1,0,1,0
-0.2,1,39,2,5,9,4,1,0,1,5
-0.2,1,40,2,4,8,6,0,0,0,2
-0.2,1,41,1,2,5,3,1,0,0,2
-0.2,1,42,4,3,5,6,0,0,1,0
-0.2,1,43,2,4,10,9,0,0,0,2
-0.2,1,44,6,3,13,10,0,0,3,0
-0.2,1,45,9,7,6,5,1,0,1,0
-0.2,1,46,5,4,11,6,1,0,0,0
-0.2,1,47,8,6,10,6,1,0,1,0
-0.2,1,48,4,3,6,9,0,0,1,0
-0.2,1,49,9,5,5,5,5,0,0,1
-0.2,1,50,2,3,11,8,0,0,1,2
-0.2,1,51,4,5,7,4,0,0,0,1
-0.2,1,52,12,7,9,5,2,0,3,0
-0.2,1,53,10,7,7,7,0,0,3,0
-0.2,1,54,8,6,4,1,0,0,2,0
-0.2,1,55,10,7,7,6,1,0,2,0
-0.2,1,56,8,4,9,6,2,0,2,0
-0.2,1,57,4,3,6,3,0,0,1,0
-0.2,1,58,10,5,9,7,2,0,3,0
-0.2,1,59,1,5,6,4,1,0,0,5
-0.2,1,60,8,5,7,6,1,0,2,0
-0.2,1,61,11,9,7,5,2,0,0,0
-0.2,1,62,8,4,3,3,2,0,2,0
-0.2,1,63,7,4,14,12,2,0,1,0
