gamma,replicate,individual,out_degree,out_degree_initial,in_degree,in_degree_initial,same_type_adds,same_type_breaks,diff_type_adds,diff_type_breaks
0.4,0,0,3,3,7,5,1,0,0,1
0.4,0,1,8,8,9,7,0,0,1,1
0.4,0,2,6,5,8,5,1,0,0,0
0.4,0,3,6,3,6,4,3,0,1,1
0.4,0,4,3,3,9,7,0,0,0,0
0.4,0,5,8,7,6,5,0,0,2,1
0.4,0,6,6,5,7,6,0,0,1,0
0.4,0,7,11,7,7,4,3,0,1,0
0.4,0,8,10,5,11,8,1,0,4,0
0.4,0,9,9,6,5,4,2,0,1,0
0.4,0,10,4,3,7,4,1,0,0,0
0.4,0,11,10,8,5,2,0,0,2,0
0.4,0,12,8,6,9,7,2,0,0,0
0.4,0,13,9,8,7,5,0,0,1,0
0.4,0,14,2,3,5,3,0,0,0,1
0.4,0,15,8,6,7,7,0,0,2,0
0.4,0,16,2,4,4,3,1,0,1,4
0.4,0,17,10,6,5,3,3,0,1,0
0.4,0,18,5,4,7,6,0,0,2,1
0.4,0,19,8,4,7,5,2,0,2,0
0.4,0,20,10,7,9,8,3,0,0,0
0.4,0,21,6,3,9,9,2,0,1,0
0.4,0,22,4,3,3,3,1,1,1,0
0.4,0,23,7,3,7,4,3,0,1,0
0.4,0,24,0,1,7,7,0,0,0,1
0.4,0,25,10,8,10,5,0,0,2,0
0.4,0,26,2,3,4,3,0,0,0,1
0.4,0,27,4,3,3,4,0,0,1,0
0.4,0,28,5,3,3,2,2,0,0,0
0.4,0,29,2,3,7,3,0,0,1,2
0.4,0,30,9,6,6,5,2,0,1,0
0.4,0,31,5,3,7,4,1,0,1,0
0.4,0,32,4,5,11,8,0,0,0,1
0.4,0,33,2,2,5,5,0,0,1,1
0.4,0,34,10,6,8,5,3,0,1,0
0.4,0,35,4,5,5,6,1,0,0,2
0.4,0,36,8,7,7,8,1,0,0,0
0.4,0,37,9,8,6,3,1,0,0,0
0.4,0,38,9,7,8,7,1,0,1,0
0.4,0,39,10,4,3,3,3,0,3,0
0.4,0,40,7,2,9,7,3,0,2,0
0.4,0,41,17,10,7,4,5,0,2,0
0.4,0,42,16,11,3,1,3,0,2,0
0.4,0,43,12,7,7,5,5,0,0,0
0.4,0,44,11,6,4,4,4,0,1,0
0.4,0,45,5,3,9,4,1,0,3,2
0.4,0,46,9,8,14,10,0,0,1,0
0.4,0,47,1,3,5,8,1,0,0,3
0.4,0,48,12,5,2,2,4,0,3,0
0.4,0,49,10,8,9,9,1,0,1,0
0.4,0,50,2,3,8,7,0,0,0,1
0.4,0,51,9,7,7,5,0,0,2,0
0.4,0,52,2,2,2,2,1,0,1,2
0.4,0,53,10,5,4,3,2,0,3,0
0.4,0,54,8,5,5,7,2,0,1,0
0.4,0,55,9,7,3,1,1,0,1,0
0.4,0,56,3,3,8,4,1,0,1,2
0.4,0,57,10,7,12,7,2,0,1,0
0.4,0,58,8,7,12,5,1,0,0,0
0.4,0,59,4,1,5,6,1,0,2,0
0.4,0,60,3,3,8,5,2,0,1,3
0.4,0,61,4,2,10,9,1,0,1,0
0.4,0,62,5,4,7,5,1,0,2,2
0.4,0,63,8,6,8,6,1,0,1,0
0.4,0,64,12,9,12,6,1,0,2,0
0.4,0,65,15,11,7,4,2,0,2,0
0.4,0,66,8,6,3,2,2,0,0,0
0.4,0,67,6,4,8,3,1,0,1,0
0.4,0,68,4,4,8,5,0,0,0,0
0.4,0,69,4,2,5,3,2,0,0,0
0.4,0,70,5,4,10,11,1,0,0,0
0.4,0,71,6,6,9,4,1,0,0,1
0.4,0,72,9,4,8,8,1,0,4,0
0.4,0,73,0,4,11,9,0,0,0,4
0.4,0,74,6,5,13,8,1,0,0,0
0.4,0,75,5,3,5,3,1,0,1,0
0.4,0,76,11,5,4,2,4,0,2,0
0.4,0,77,4,4,5,5,0,0,0,0
0.4,0,78,7,5,6,4,1,0,1,0
0.4,0,79,3,3,4,1,1,0,0,1
0.4,0,80,7,5,7,6,1,0,1,0
0.4,0,81,9,9,5,3,0,0,0,0
0.4,0,82,8,5,7,4,1,0,2,0
0.4,0,83,10,5,9,7,4,0,1,0
0.4,0,84,7,4,7,5,2,0,1,0
0.4,0,85,7,4,11,6,1,0,2,0
0.4,0,86,9,8,7,5,0,0,1,0
0.4,0,87,2,3,5,3,0,0,0,1
0.4,0,88,11,6,4,3,3,0,2,0
0.4,0,89,6,6,15,14,1,0,1,2
0.4,0,90,1,1,5,2,1,0,0,1
0.4,0,91,7,6,11,10,0,0,1,0
0.4,0,92,7,7,8,6,0,0,0,0
0.4,0,93,0,4,8,3,0,0,0,4
0.4,0,94,9,7,10,9,2,0,0,0
0.4,0,95,6,4,5,3,1,0,1,0
0.4,0,96,5,3,5,4,2,0,0,0
0.4,0,97,2,4,13,6,0,0,0,2
0.4,0,98,4,4,4,7,2,0,0,2
0.4,0,99,7,3,6,3,1,0,3,0
0.4,0,100,10,7,8,4,3,0,0,0
0.4,0,101,12,8,10,9,0,0,4,0
0.4,0,102,9,3,9,8,3,0,3,0
0.4,0,103,10,6,6,5,2,0,2,0
0.4,0,104,7,6,8,5,1,0,0,0
0.4,0,105,5,2,9,6,1,0,2,0
0.4,0,106,9,4,8,6,2,0,3,0
0.4,0,107,10,8,5,3,1,0,1,0
0.4,0,108,11,7,8,6,1,0,3,0
0.4,0,109,6,4,4,3,1,0,2,1
0.4,0,110,2,3,8,6,0,0,0,1
0.4,0,111,11,4,4,4,5,0,2,0
0.4,0,112,8,4,3,3,1,0,3,0
0.4,0,113,10,8,6,5,1,0,1,0
0.4,0,114,9,7,2,1,0,0,2,0
0.4,0,115,12,8,6,6,2,0,2,0
0.4,0,116,4,7,9,5,0,0,0,3
0.4,0,117,8,5,8,5,1,0,2,0
0.4,0,118,7,5,10,5,0,0,2,0
0.4,0,119,7,5,8,5,2,0,0,0
0.4,0,120,10,6,11,6,3,0,1,0
0.4,0,121,6,3,9,6,1,0,2,0
0.4,0,122,9,5,11,7,3,0,1,0
0.4,0,123,3,3,5,4,1,0,0,1
0.4,0,124,5,4,7,5,0,0,1,0
0.4,0,125,7,5,9,3,0,0,3,1
0.4,0,126,5,3,6,3,2,0,2,2
0.4,0,127,9,6,5,4,1,0,2,0
0.4,0,128,10,4,9,8,5,0,1,0
0.4,0,129,2,4,11,11,0,0,0,2
0.4,0,130,14,9,4,3,4,0,1,0
0.4,0,131,6,4,7,5,1,0,1,0
0.4,0,132,16,12,7,4,1,0,3,0
0.4,0,133,2,2,4,4,1,0,1,2
0.4,0,134,2,3,5,6,0,0,1,2
0.4,0,135,7,4,8,7,2,0,1,0
0.4,0,136,10,8,8,3,0,0,2,0
0.4,0,137,3,3,6,4,1,0,0,1
0.4,0,138,4,2,9,5,1,0,1,0
0.4,0,139,2,3,5,2,0,0,1,2
0.4,0,140,4,4,5,3,0,0,1,1
0.4,0,141,8,4,8,8,3,0,1,0
0.4,0,142,9,5,5,2,2,0,2,0
0.4,0,143,5,5,5,4,0,0,0,0
0.4,0,144,9,8,4,4,1,0,0,0
0.4,0,145,10,9,11,6,0,0,1,0
0.4,0,146,9,6,8,6,2,0,1,0
0.4,0,147,7,3,4,3,3,0,1,0
0.4,0,148,6,4,5,5,1,0,1,0
0.4,0,149,4,3,5,3,0,0,1,0
0.4,0,150,3,3,11,8,1,0,0,1
0.4,0,151,3,3,6,3,0,0,0,0
0.4,0,152,8,7,10,9,0,0,1,0
0.4,0,153,3,6,10,5,0,1,1,3
0.4,0,154,6,4,4,3,1,0,1,0
0.4,0,155,7,6,7,4,1,0,0,0
0.4,0,156,6,4,8,6,0,0,2,0
0.4,0,157,8,5,7,3,1,0,2,0
0.4,0,158,8,6,7,6,1,0,1,0
0.4,0,159,1,1,8,6,1,0,0,1
0.4,0,160,6,3,5,3,1,0,2,0
0.4,0,161,8,6,9,6,2,0,0,0
0.4,0,162,10,7,8,5,2,0,1,0
0.4,0,163,8,4,8,6,0,0,4,0
0.4,0,164,8,5,8,4,1,0,2,0
0.4,0,165,9,7,7,1,2,0,0,0
0.4,0,166,8,7,7,1,0,0,1,0
0.4,0,167,7,5,7,7,0,0,2,0
0.4,0,168,3,5,6,6,2,0,0,4
0.4,0,169,7,1,7,6,3,0,3,0
0.4,0,170,0,5,8,5,0,0,0,5
0.4,0,171,3,2,12,9,1,0,0,0
0.4,0,172,2,1,7,4,1,0,1,1
0.4,0,173,3,3,5,3,1,0,0,1
0.4,0,174,9,8,10,8,1,0,0,0
0.4,0,175,10,7,2,1,1,0,2,0
0.4,0,176,6,5,7,5,1,0,0,0
0.4,0,177,12,6,7,4,5,0,1,0
0.4,0,178,4,3,12,9,1,0,1,1
0.4,0,179,5,2,7,4,1,0,2,0
0.4,0,180,10,4,7,6,1,0,5,0
0.4,0,181,9,5,7,6,1,0,3,0
0.4,0,182,9,5,9,7,2,0,2,0
0.4,0,183,13,8,6,5,3,0,2,0
0.4,0,184,6,4,6,2,0,0,2,0
0.4,0,185,7,5,5,5,1,0,1,0
0.4,0,186,11,5,11,11,4,0,2,0
0.4,0,187,12,7,5,4,2,0,3,0
0.4,0,188,10,7,8,3,0,0,3,0
0.4,0,189,11,7,9,6,3,0,1,0
0.4,0,190,9,6,4,4,1,0,2,0
0.4,0,191,14,7,7,6,3,0,4,0
0.4,0,192,4,3,6,5,0,0,1,0
0.4,0,193,9,6,1,1,2,0,1,0
0.4,0,194,11,8,6,4,1,0,2,0
0.4,0,195,6,2,5,2,3,0,1,0
0.4,0,196,7,6,7,1,1,0,0,0
0.4,0,197,4,4,6,4,0,0,0,0
0.4,0,198,5,3,8,8,2,0,0,0
0.4,0,199,15,10,4,1,3,0,2,0
0.4,1,0,4,2,8,6,1,0,1,0
0.4,1,1,5,3,6,4,2,0,0,0
0.4,1,2,11,8,4,3,2,0,1,0
0.4,1,3,2,4,13,10,0,0,0,2
0.4,1,4,6,3,12,10,1,0,2,0
0.4,1,5,6,3,9,8,3,0,2,2
0.4,1,6,12,10,7,3,0,0,2,0
0.4,1,7,5,4,7,6,1,0,0,0
0.4,1,8,6,5,8,4,1,0,0,0
0.4,1,9,8,6,6,3,1,0,1,0
0.4,1,10,7,4,7,3,1,0,2,0
0.4,1,11,2,4,5,2,0,0,1,3
0.4,1,12,11,8,9,7,3,0,0,0
0.4,1,13,11,8,8,6,2,0,1,0
0.4,1,14,5,3,10,8,2,0,0,0
0.4,1,15,5,5,3,2,0,0,0,0
0.4,1,16,15,12,10,8,2,0,1,0
0.4,1,17,4,3,6,4,3,0,1,3
0.4,1,18,9,7,5,6,2,0,0,0
0.4,1,19,4,4,2,3,0,0,0,0
0.4,1,20,5,3,7,6,3,0,0,1
0.4,1,21,3,1,5,4,1,0,1,0
0.4,1,22,3,3,11,7,1,0,0,1
0.4,1,23,7,5,8,6,1,0,1,0
0.4,1,24,6,4,6,3,2,0,2,2
0.4,1,25,7,7,8,6,0,0,0,0
0.4,1,26,5,5,6,4,0,0,0,0
0.4,1,27,5,4,2,2,0,0,1,0
0.4,1,28,9,7,5,4,2,0,1,1
