gamma,replicate,individual,out_degree,out_degree_initial,in_degree,in_degree_initial,same_type_adds,same_type_breaks,diff_type_adds,diff_type_breaks
-0.4,0,0,7,4,8,7,1,0,2,0
-0.4,0,1,8,4,7,1,1,0,3,0
-0.4,0,2,9,4,8,6,2,0,3,0
-0.4,0,3,2,2,1,1,0,0,0,0
-0.4,0,4,5,4,6,5,1,0,0,0
-0.4,0,5,10,5,1,1,3,0,2,0
-0.4,0,6,0,5,7,4,0,0,0,5
-0.4,0,7,2,4,9,4,0,0,0,2
-0.4,0,8,2,2,10,5,2,0,0,2
-0.4,0,9,14,11,9,10,2,0,1,0
-0.4,0,10,10,6,10,7,2,0,2,0
-0.4,0,11,11,6,3,3,1,0,4,0
-0.4,0,12,7,5,4,2,2,0,1,1
-0.4,0,13,13,11,4,3,1,0,1,0
-0.4,0,14,2,2,6,5,0,0,0,0
-0.4,0,15,9,5,6,5,2,0,3,1
-0.4,0,16,4,3,8,4,1,0,1,1
-0.4,0,17,14,11,3,3,1,0,2,0
-0.4,0,18,0,1,6,6,0,0,0,1
-0.4,0,19,11,7,8,4,1,0,3,0
-0.4,0,20,12,9,8,5,2,0,1,0
-0.4,0,21,4,2,9,7,1,0,2,1
-0.4,0,22,1,2,5,4,1,0,0,2
-0.4,0,23,8,8,2,2,0,0,0,0
-0.4,0,24,12,7,7,5,3,0,2,0
-0.4,0,25,10,7,9,6,3,0,0,0
-0.4,0,26,6,5,5,2,1,0,0,0
-0.4,0,27,3,3,8,9,0,0,0,0
-0.4,0,28,14,10,5,3,1,0,3,0
-0.4,0,29,4,4,5,2,0,0,0,0
-0.4,0,30,11,8,8,8,2,0,1,0
-0.4,0,31,2,2,10,7,2,0,0,2
-0.4,0,32,4,5,3,5,0,0,0,1
-0.4,0,33,2,4,6,4,0,0,1,3
-0.4,0,34,8,7,4,3,1,0,0,0
-0.4,0,35,15,11,7,4,2,0,2,0
-0.4,0,36,13,9,6,4,0,0,4,0
-0.4,0,37,7,5,8,7,2,0,0,0
-0.4,0,38,5,4,13,11,0,0,1,0
-0.4,0,39,2,1,5,5,2,0,0,1
-0.4,0,40,12,5,8,4,4,0,3,0
-0.4,0,41,4,4,3,1,2,0,0,2
-0.4,0,42,2,4,10,6,0,0,1,3
-0.4,0,43,7,5,7,6,1,0,1,0
-0.4,0,44,9,6,5,4,1,0,2,0
-0.4,0,45,11,9,6,4,1,0,1,0
-0.4,0,46,10,8,3,1,1,0,1,0
-0.4,0,47,2,4,1,1,0,0,1,3
-0.4,0,48,3,3,8,4,1,0,0,1
-0.4,0,49,5,3,7,7,2,0,1,1
-0.4,0,50,9,6,6,5,3,0,0,0
-0.4,0,51,6,4,1,1,2,0,0,0
-0.4,0,52,0,1,7,5,0,1,0,0
-0.4,0,53,4,2,6,4,1,0,1,0
-0.4,0,54,10,6,5,7,1,0,3,0
-0.4,0,55,1,3,8,5,1,0,0,3
-0.4,0,56,9,7,6,3,2,0,0,0
-0.4,0,57,7,4,6,5,1,0,2,0
-0.4,0,58,12,8,4,3,2,0,2,0
-0.4,0,59,9,6,7,7,1,0,2,0
-0.4,0,60,12,10,8,5,1,0,1,0
-0.4,0,61,3,3,10,7,1,0,0,1
-0.4,0,62,8,5,4,4,3,0,0,0
-0.4,0,63,3,3,10,10,0,0,0,0
-0.4,0,64,4,3,4,3,0,0,2,1
-0.4,0,65,6,5,11,6,2,0,0,1
-0.4,0,66,8,7,6,4,0,0,1,0
-0.4,0,67,10,6,10,6,3,0,1,0
-0.4,0,68,9,6,5,2,1,0,2,0
-0.4,0,69,8,7,9,7,1,0,0,0
-0.4,0,70,8,6,6,2,2,0,0,0
-0.4,0,71,5,5,6,2,1,0,0,1
-0.4,0,72,4,3,7,4,1,0,1,1
-0.4,0,73,8,5,4,4,2,0,1,0
-0.4,0,74,6,4,3,1,2,0,0,0
-0.4,0,75,5,5,9,7,0,0,0,0
-0.4,0,76,7,5,5,4,2,0,3,3
-0.4,0,77,2,2,4,4,1,0,1,2
-0.4,0,78,6,4,9,8,0,0,2,0
-0.4,0,79,7,6,6,5,1,0,0,0
-0.4,0,80,6,4,7,6,2,0,0,0
-0.4,0,81,5,4,8,5,0,0,1,0
-0.4,0,82,3,2,4,3,3,0,0,2
-0.4,0,83,6,6,10,5,0,0,0,0
-0.4,0,84,9,7,8,4,2,0,0,0
-0.4,0,85,9,6,9,6,0,0,3,0
-0.4,0,86,9,5,4,2,2,0,2,0
-0.4,0,87,9,4,6,6,4,0,1,0
-0.4,0,88,1,4,10,8,1,0,0,4
-0.4,0,89,9,8,8,5,1,0,0,0
-0.4,0,90,6,4,7,5,2,0,0,0
-0.4,0,91,8,5,9,5,2,0,1,0
-0.4,0,92,15,12,5,3,2,0,1,0
-0.4,0,93,11,7,8,8,1,0,3,0
-0.4,0,94,2,2,7,9,2,0,0,2
-0.4,0,95,4,3,7,1,2,0,0,1
-0.4,0,96,8,6,4,4,0,0,2,0
-0.4,0,97,8,5,7,6,3,0,0,0
-0.4,0,98,0,3,8,7,0,1,0,2
-0.4,0,99,5,4,7,5,0,0,1,0
-0.4,0,100,1,1,5,2,1,0,0,1
-0.4,0,101,10,8,9,7,0,0,2,0
-0.4,0,102,9,7,7,5,1,0,1,0
-0.4,0,103,9,3,8,5,4,0,2,0
-0.4,0,104,3,1,6,6,2,0,1,1
-0.4,0,105,11,8,7,7,0,0,3,0
-0.4,0,106,11,9,7,6,1,0,1,0
-0.4,0,107,11,5,6,7,4,0,2,0
-0.4,0,108,2,1,10,8,0,0,1,0
-0.4,0,109,6,4,1,2,1,0,1,0
-0.4,0,110,7,2,5,4,4,0,1,0
-0.4,0,111,11,6,6,3,5,0,0,0
-0.4,0,112,9,5,9,3,3,0,1,0
-0.4,0,113,8,6,3,4,2,0,0,0
-0.4,0,114,9,7,3,3,2,0,0,0
-0.4,0,115,8,6,11,9,1,0,1,0
-0.4,0,116,5,5,7,6,0,0,0,0
-0.4,0,117,5,3,14,10,1,0,1,0
-0.4,0,118,3,5,11,8,1,0,0,3
-0.4,0,119,9,6,7,6,1,0,2,0
-0.4,0,120,6,6,9,7,1,0,1,2
-0.4,0,121,3,2,7,4,1,0,0,0
-0.4,0,122,6,5,6,5,0,0,1,0
-0.4,0,123,12,9,5,3,2,0,1,0
-0.4,0,124,3,3,8,6,1,0,0,1
-0.4,0,125,8,7,9,3,0,0,1,0
-0.4,0,126,5,4,6,5,1,0,0,0
-0.4,0,127,4,4,10,8,0,0,0,0
-0.4,0,128,11,6,11,10,1,0,4,0
-0.4,0,129,0,2,6,6,0,0,0,2
-0.4,0,130,8,5,7,4,1,0,2,0
-0.4,0,131,11,7,4,3,4,0,0,0
-0.4,0,132,8,5,4,4,2,0,1,0
-0.4,0,133,8,8,3,4,0,0,0,0
-0.4,0,134,11,7,8,7,2,0,2,0
-0.4,0,135,6,3,2,1,1,0,2,0
-0.4,0,136,7,5,7,4,1,0,1,0
-0.4,0,137,7,5,10,8,2,0,0,0
-0.4,0,138,12,8,6,1,2,0,2,0
-0.4,0,139,8,5,7,6,3,0,0,0
-0.4,0,140,6,5,6,3,0,0,1,0
-0.4,0,141,8,7,6,4,1,0,0,0
-0.4,0,142,10,5,16,11,3,0,2,0
-0.4,0,143,11,7,4,3,0,0,4,0
-0.4,0,144,9,5,6,5,2,0,2,0
-0.4,0,145,8,5,6,4,2,0,1,0
-0.4,0,146,4,4,6,4,1,0,2,3
-0.4,0,147,5,4,7,5,0,0,1,0
-0.4,0,148,7,5,8,5,2,0,0,0
-0.4,0,149,7,5,5,5,1,0,1,0
-0.4,0,150,5,4,7,5,1,0,0,0
-0.4,0,151,12,8,5,7,3,0,1,0
-0.4,0,152,8,5,6,5,2,0,1,0
-0.4,0,153,7,4,6,4,3,0,0,0
-0.4,0,154,17,13,9,7,3,0,1,0
-0.4,0,155,8,6,7,7,0,0,2,0
-0.4,0,156,1,1,5,4,1,0,0,1
-0.4,0,157,6,5,12,7,1,0,2,2
-0.4,0,158,2,1,9,5,0,0,1,0
-0.4,0,159,9,6,5,3,2,0,2,1
-0.4,0,160,5,4,3,2,0,0,1,0
-0.4,0,161,6,4,14,12,2,0,1,1
-0.4,0,162,5,2,12,9,1,0,2,0
-0.4,0,163,2,2,10,10,0,0,1,1
-0.4,0,164,8,8,9,9,0,0,0,0
-0.4,0,165,2,1,5,4,1,0,0,0
-0.4,0,166,7,6,7,5,1,0,0,0
-0.4,0,167,5,4,9,7,1,0,0,0
-0.4,0,168,2,2,8,5,0,0,1,1
-0.4,0,169,4,4,6,6,1,0,0,1
-0.4,0,170,8,4,7,5,3,0,1,0
-0.4,0,171,3,4,5,4,1,0,1,3
-0.4,0,172,3,1,6,6,2,0,1,1
-0.4,0,173,3,2,7,5,0,0,1,0
-0.4,0,174,2,5,9,7,1,0,1,5
-0.4,0,175,7,5,8,3,0,0,2,0
-0.4,0,176,7,6,6,5,0,0,1,0
-0.4,0,177,5,4,6,5,1,0,0,0
-0.4,0,178,2,2,6,4,0,0,1,1
-0.4,0,179,4,2,3,3,1,0,1,0
-0.4,0,180,11,7,5,4,3,0,1,0
-0.4,0,181,6,3,7,3,3,0,0,0
-0.4,0,182,13,10,9,8,2,0,1,0
-0.4,0,183,9,7,12,5,1,0,1,0
-0.4,0,184,10,6,14,14,2,0,2,0
-0.4,0,185,8,6,7,4,1,0,1,0
-0.4,0,186,7,6,7,7,1,0,0,0
-0.4,0,187,2,3,5,4,0,0,0,1
-0.4,0,188,9,3,6,4,4,0,2,0
-0.4,0,189,5,3,9,6,1,0,1,0
-0.4,0,190,2,2,9,5,0,0,0,0
-0.4,0,191,7,3,4,3,3,0,1,0
-0.4,0,192,6,5,7,4,0,0,1,0
-0.4,0,193,9,5,10,6,3,0,1,0
-0.4,0,194,5,5,4,4,2,0,1,3
-0.4,0,195,9,5,1,1,2,0,2,0
-0.4,0,196,11,8,9,7,2,0,1,0
-0.4,0,197,2,5,10,6,2,0,0,5
-0.4,0,198,8,7,1,3,0,0,1,0
-0.4,0,199,7,6,4,3,0,0,1,0
-0.4,1,0,10,7,5,7,2,0,1,0
-0.4,1,1,2,3,5,4,0,0,0,1
-0.4,1,2,9,8,8,6,0,0,1,0
-0.4,1,3,8,6,7,6,1,0,1,0
-0.4,1,4,9,5,8,8,1,0,3,0
-0.4,1,5,15,6,10,7,2,0,7,0
-0.4,1,6,12,11,9,6,1,0,0,0
-0.4,1,7,8,5,9,10,1,0,3,1
-0.4,1,8,3,6,3,2,2,0,0,5
-0.4,1,9,9,6,10,9,1,0,2,0
-0.4,1,10,10,8,5,3,0,0,2,0
-0.4,1,11,2,2,5,3,2,0,0,2
-0.4,1,12,7,4,6,6,3,0,0,0
-0.4,1,13,8,7,4,3,1,0,0,0
-0.4,1,14,3,2,6,3,1,0,0,0
-0.4,1,15,3,2,6,2,2,0,0,1
-0.4,1,16,10,4,9,8,5,0,1,0
-0.4,1,17,3,2,8,5,1,0,0,0
-0.4,1,18,6,5,9,7,0,0,1,0
-0.4,1,19,10,6,6,5,4,0,0,0
-0.4,1,20,5,3,4,4,0,0,2,0
-0.4,1,21,14,11,8,4,1,0,2,0
-0.4,1,22,5,4,10,8,1,0,0,0
-0.4,1,23,9,6,4,3,0,0,3,0
-0.4,1,24,8,6,8,8,1,0,1,0
-0.4,1,25,8,7,8,7,1,0,0,0
-0.4,1,26,9,8,6,2,1,0,0,0
-0.4,1,27,5,2,5,5,3,0,0,0
-0.4,1,28,6,5,5,6,1,0,2,2
-0.4,1,29,2,2,7,9,0,0,0,0
-0.4,1,30,8,6,7,8,2,0,0,0
-0.4,1,31,8,6,12,8,1,0,1,0
-0.4,1,32,3,2,6,2,1,0,1,1
-0.4,1,33,8,8,5,5,0,0,0,0
-0.4,1,34,6,2,3,3,3,0,1,0
-0.4,1,35,4,3,9,4,1,0,1,1
-0.4,1,36,9,4,11,10,1,0,4,0
-0.4,1,37,11,8,7,7,1,0,2,0
-0.4,1,38,4,2,7,4,0,0,2,0
-0.4,1,39,7,5,11,7,1,0,1,0
-0.4,1,40,6,5,10,5,0,0,2,1
-0.4,1,41,9,5,9,5,2,0,2,0
-0.4,1,42,8,5,4,3,1,0,2,0
-0.4,1,43,15,9,4,5,4,0,2,0
-0.4,1,44,3,2,10,6,0,0,1,0
-0.4,1,45,8,6,9,6,1,0,1,0
-0.4,1,46,7,6,8,6,0,0,1,0
-0.4,1,47,6,5,6,6,2,0,0,1
-0.4,1,48,4,1,4,1,1,0,2,0
-0.4,1,49,6,3,5,4,2,0,1,0
-0.4,1,50,3,4,8,9,1,0,0,2
-0.4,1,51,0,4,6,5,0,0,0,4
-0.4,1,52,6,4,5,4,0,0,2,0
-0.4,1,53,2,4,11,6,1,0,1,4
-0.4,1,54,2,3,6,4,2,0,0,3
-0.4,1,55,2,2,8,7,0,0,0,0
-0.4,1,56,4,4,2,2,1,0,1,2
-0.4,1,57,8,4,1,1,3,0,1,0
-0.4,1,58,6,4,8,5,0,0,2,0
-0.4,1,59,2,2,6,4,0,0,1,1
-0.4,1,60,12,8,6,3,4,0,0,0
-0.4,1,61,10,6,11,7,1,0,3,0
-0.4,1,62,7,6,5,3,1,0,0,0
-0.4,1,63,6,5,7,7,1,0,0,0
-0.4,1,64,6,3,7,6,3,0,0,0
-0.4,1,65,11,7,6,2,2,0,2,0
-0.4,1,66,6,6,6,4,0,0,0,0
-0.4,1,67,9,5,7,3,3,0,2,1
-0.4,1,68,8,6,10,8,1,0,1,0
-0.4,1,69,9,4,7,5,4,0,1,0
-0.4,1,70,12,9,4,2,2,0,1,0
-0.4,1,71,6,4,7,5,1,0,1,0
-0.4,1,72,4,5,8,6,2,0,0,3
-0.4,1,73,2,2,5,3,0,0,0,0
-0.4,1,74,8,2,6,6,5,0,1,0
-0.4,1,75,10,6,5,5,2,0,2,0
-0.4,1,76,0,1,5,6,0,0,0,1
-0.4,1,77,7,5,6,3,1,0,1,0
-0.4,1,78,6,5,1,2,1,0,0,0
-0.4,1,79,6,3,5,4,2,0,1,0
-0.4,1,80,7,7,5,3,0,0,0,0
-0.4,1,81,4,5,11,7,0,0,3,4
-0.4,1,82,6,7,4,2,0,0,0,1
-0.4,1,83,2,5,7,6,0,0,1,4
-0.4,1,84,10,9,8,8,1,0,0,0
-0.4,1,85,7,5,5,3,1,0,1,0
-0.4,1,86,10,7,9,8,1,0,2,0
-0.4,1,87,7,5,6,5,0,0,2,0
-0.4,1,88,15,11,2,1,1,0,3,0
-0.4,1,89,9,3,10,7,4,0,2,0
-0.4,1,90,14,11,6,5,2,0,1,0
-0.4,1,91,6,4,7,3,2,0,0,0
-0.4,1,92,4,2,6,5,2,0,0,0
-0.4,1,93,6,6,3,2,0,0,2,2
-0.4,1,94,5,3,4,3,1,0,2,1
-0.4,1,95,2,1,8,7,1,0,1,1
-0.4,1,96,7,5,10,7,0,0,2,0
-0.4,1,97,4,2,9,6,1,0,1,0
-0.4,1,98,10,7,7,6,0,0,3,0
-0.4,1,99,10,9,5,5,1,0,0,0
-0.4,1,100,7,5,5,3,2,0,1,1
-0.4,1,101,10,9,9,6,0,0,1,0
-0.4,1,102,8,6,8,8,1,0,1,0
-0.4,1,103,4,5,10,7,1,0,1,3
-0.4,1,104,11,5,6,5,6,0,0,0
-0.4,1,105,7,6,4,3,1,0,1,1
-0.4,1,106,1,2,5,4,1,0,0,2
-0.4,1,107,7,5,6,4,1,0,1,0
-0.4,1,108,7,6,2,2,0,0,1,0
-0.4,1,109,9,7,6,4,0,0,2,0
-0.4,1,110,6,6,10,6,0,0,0,0
-0.4,1,111,7,3,3,2,3,0,1,0
-0.4,1,112,6,6,5,4,0,0,0,0
-0.4,1,113,5,7,9,6,0,0,0,2
-0.4,1,114,6,4,5,6,2,0,0,0
-0.4,1,115,9,6,8,6,2,0,1,0
-0.4,1,116,9,6,9,8,2,0,1,0
-0.4,1,117,3,3,9,5,0,0,0,0
-0.4,1,118,10,8,8,3,1,0,1,0
-0.4,1,119,2,1,8,6,2,0,0,1
-0.4,1,120,5,3,9,6,2,0,0,0
-0.4,1,121,16,13,8,5,0,0,3,0
-0.4,1,122,0,3,9,4,0,0,0,3
-0.4,1,123,4,2,7,4,0,0,2,0
-0.4,1,124,1,1,7,4,0,0,0,0
-0.4,1,125,4,4,9,8,1,0,0,1
-0.4,1,126,10,6,8,8,3,0,1,0
-0.4,1,127,9,7,4,1,0,0,2,0
-0.4,1,128,8,4,7,5,0,0,4,0
-0.4,1,129,10,8,5,4,2,0,0,0
-0.4,1,130,5,4,8,6,1,0,0,0
-0.4,1,131,9,5,11,7,2,0,2,0
-0.4,1,132,11,9,4,4,0,0,2,0
-0.4,1,133,9,5,4,3,2,0,2,0
-0.4,1,134,8,3,13,12,1,0,4,0
-0.4,1,135,2,3,7,7,0,0,0,1
-0.4,1,136,4,3,3,2,1,0,0,0
-0.4,1,137,11,8,9,7,0,0,3,0
-0.4,1,138,9,3,3,4,1,0,5,0
-0.4,1,139,6,5,3,2,0,0,1,0
-0.4,1,140,5,5,4,4,0,0,0,0
-0.4,1,141,8,6,6,4,2,0,0,0
-0.4,1,142,4,3,5,4,1,0,1,1
-0.4,1,143,2,2,12,9,0,0,0,0
-0.4,1,144,10,6,10,7,1,0,3,0
-0.4,1,145,12,7,5,4,3,0,2,0
-0.4,1,146,13,9,5,4,1,0,3,0
-0.4,1,147,3,2,10,6,1,0,0,0
-0.4,1,148,10,6,3,3,3,0,1,0
-0.4,1,149,10,9,3,1,0,0,1,0
-0.4,1,150,7,4,10,7,0,0,3,0
-0.4,1,151,2,5,5,3,0,0,0,3
-0.4,1,152,5,2,11,9,4,0,0,1
-0.4,1,153,6,2,8,7,2,0,2,0
-0.4,1,154,5,3,8,6,0,0,2,0
-0.4,1,155,4,3,5,3,0,0,1,0
-0.4,1,156,10,6,4,3,3,0,1,0
-0.4,1,157,11,8,6,3,1,0,2,0
-0.4,1,158,13,10,12,5,2,0,1,0
-0.4,1,159,10,6,10,11,3,0,1,0
-0.4,1,160,3,1,13,8,1,0,1,0
-0.4,1,161,5,2,10,7,3,0,0,0
-0.4,1,162,6,4,7,4,1,0,1,0
-0.4,1,163,0,1,5,3,0,0,0,1
-0.4,1,164,5,5,5,5,2,0,0,2
-0.4,1,165,5,5,6,3,1,0,1,2
-0.4,1,166,5,5,5,5,0,0,0,0
-0.4,1,167,5,3,8,7,1,0,1,0
-0.4,1,168,4,3,6,6,1,0,0,0
-0.4,1,169,6,4,6,5,1,0,1,0
-0.4,1,170,6,6,8,3,1,0,0,1
-0.4,1,171,9,4,6,5,3,0,2,0
-0.4,1,172,11,4,6,5,2,0,5,0
-0.4,1,173,5,5,12,10,1,0,0,1
-0.4,1,174,9,7,12,8,1,0,1,0
-0.4,1,175,10,5,7,5,4,0,1,0
