gamma,replicate,individual,out_degree,out_degree_initial,in_degree,in_degree_initial,same_type_adds,same_type_breaks,diff_type_adds,diff_type_breaks
0.1,0,0,9,8,7,5,1,0,0,0
0.1,0,1,10,8,12,6,1,0,1,0
0.1,0,2,10,6,8,5,1,0,3,0
0.1,0,3,13,11,9,7,0,0,2,0
0.1,0,4,9,5,8,7,3,0,1,0
0.1,0,5,7,5,6,4,0,0,2,0
0.1,0,6,8,6,9,5,1,0,1,0
0.1,0,7,4,1,3,2,3,0,0,0
0.1,0,8,10,10,9,8,0,0,0,0
0.1,0,9,9,6,7,2,1,0,2,0
0.1,0,10,5,4,7,5,4,0,1,4
0.1,0,11,15,9,5,3,3,0,3,0
0.1,0,12,5,4,11,6,1,0,0,0
0.1,0,13,9,7,5,5,1,0,1,0
0.1,0,14,5,4,5,4,1,0,0,0
0.1,0,15,9,5,7,5,3,0,1,0
0.1,0,16,9,3,5,1,3,0,3,0
0.1,0,17,7,4,13,7,2,0,1,0
0.1,0,18,6,4,10,5,1,0,1,0
0.1,0,19,8,7,6,4,1,0,0,0
0.1,0,20,12,6,9,8,2,0,4,0
0.1,0,21,4,2,5,2,1,0,1,0
0.1,0,22,7,2,9,5,3,0,2,0
0.1,0,23,4,3,6,6,1,0,0,0
0.1,0,24,11,6,8,5,4,0,1,0
0.1,0,25,9,8,3,0,1,0,0,0
0.1,0,26,10,7,5,1,1,0,2,0
0.1,0,27,7,6,7,5,1,0,0,0
0.1,0,28,14,7,8,7,4,0,3,0
0.1,0,29,7,6,6,6,1,0,0,0
0.1,0,30,10,8,5,4,1,0,1,0
0.1,0,31,4,3,3,2,1,0,0,0
0.1,0,32,10,6,5,3,2,0,2,0
0.1,0,33,3,1,5,5,2,0,1,1
0.1,0,34,6,6,3,2,0,0,0,0
0.1,0,35,6,4,7,6,1,0,1,0
0.1,0,36,11,8,6,5,1,0,2,0
0.1,0,37,2,2,5,4,0,0,1,1
0.1,0,38,10,5,4,2,2,0,3,0
0.1,0,39,11,8,6,2,1,0,2,0
0.1,0,40,6,3,11,6,2,0,1,0
0.1,0,41,1,5,6,2,1,0,0,5
0.1,0,42,5,3,11,8,1,0,1,0
0.1,0,43,8,4,10,6,2,0,2,0
0.1,0,44,6,6,5,1,0,0,1,1
0.1,0,45,5,3,8,5,2,0,0,0
0.1,0,46,8,4,6,4,1,0,3,0
0.1,0,47,12,5,10,6,3,0,4,0
0.1,0,48,9,4,1,1,1,0,4,0
0.1,0,49,3,1,9,5,2,0,1,1
0.1,0,50,10,8,8,7,2,0,0,0
0.1,0,51,16,12,5,3,3,0,1,0
0.1,0,52,7,4,9,5,2,0,1,0
0.1,0,53,8,5,6,5,1,0,2,0
0.1,0,54,6,6,11,9,0,0,1,1
0.1,0,55,6,4,5,2,0,0,2,0
0.1,0,56,0,1,6,6,0,0,0,1
0.1,0,57,10,6,5,3,1,0,3,0
0.1,0,58,7,3,6,6,2,0,2,0
0.1,0,59,9,8,3,2,1,0,0,0
0.1,0,60,7,5,7,3,2,0,2,2
0.1,0,61,9,7,7,3,2,0,0,0
0.1,0,62,7,6,3,2,1,0,0,0
0.1,0,63,9,6,6,5,3,0,0,0
0.1,0,64,12,5,6,3,6,0,1,0
