gamma,replicate,assort_final,assort_initial
-0.2,0.0,0.08620468487552932,0.02816883676492537
-0.2,1.0,0.05616476656142206,-0.04387081771681393
-0.2,2.0,0.05908257590655717,-0.022286947955687104
-0.2,3.0,0.09271249365657917,0.002623957413503267
-0.2,4.0,0.0640192565110893,-0.033777960156075905
-0.2,5.0,0.10903840378282807,0.04475710231188075
-0.2,6.0,0.09241522433968095,-0.014670808701212984
-0.2,7.0,0.03894302412750591,-0.059764274123831854
-0.2,8.0,0.0896360555073369,-0.008090111902068067
-0.2,9.0,0.1009519063155719,0.02353991569664368
-0.2,10.0,0.08953064274873654,0.020663765372545783
-0.2,11.0,0.05037874134571003,-0.02807519360347894
-0.2,12.0,0.09278238741246889,0.0009890484643702345
-0.2,13.0,0.10846844157252034,0.05752696359123166
-0.2,14.0,0.077295248700011,-0.009007592052951456
-0.2,15.0,0.044385071662339216,-0.0085925936593288
-0.2,16.0,0.09284192361172985,0.009393844570145587
-0.2,17.0,0.09040538694305397,0.040001280061443274
-0.2,18.0,0.1021525024928679,0.008467367473865449
-0.2,19.0,0.05892742342901723,0.004133074703140311
-0.2,20.0,0.0651786474818654,-0.0607717337591694
-0.2,21.0,0.057699229110212476,-0.007975293586100874
-0.2,22.0,0.10117503397989974,0.010622734933529427
-0.2,23.0,0.11402057561724009,0.03192574549578064
-0.2,24.0,0.10439145438795863,-0.005793557361310001
-0.2,25.0,0.11199957167964049,0.021609024715854974
-0.2,26.0,0.05750546327852952,-0.04757935610113524
-0.2,27.0,0.05501672000006656,-0.042017693500293926
-0.2,28.0,0.09257876533859469,0.003883478985401585
-0.2,29.0,0.08207136978872256,-0.030405105788950525
-0.2,30.0,0.07818165847448684,-0.02622790819756993
-0.2,31.0,0.09033341306363335,-0.00799039933596571
-0.2,32.0,0.058369552524943094,0.0023250989266237324
-0.2,33.0,0.07347518604768172,-0.015338270095478971
-0.2,34.0,0.06374325006938761,-0.014004734400476306
-0.2,35.0,0.1015392558229118,0.057953821646544085
-0.2,36.0,0.10932116698013163,0.014243892088570322
-0.2,37.0,0.1336252806099764,0.050176530027067165
-0.2,38.0,0.0764495012842838,0.008928353833768051
-0.2,39.0,0.06032414849730131,0.018041013982722284
-0.2,40.0,0.0668820721273365,-0.049974665426998084
-0.2,41.0,0.06947399170355367,0.00012423926578686566
-0.2,42.0,0.09024882183588481,0.0006427843729628753
-0.2,43.0,0.08146442271203325,0.004674745214431795
-0.2,44.0,0.06657693110554169,0.01189578323458655
-0.2,45.0,0.06618415072700132,0.008109459786855597
-0.2,46.0,0.08884074839519791,-0.046080926332556844
-0.2,47.0,0.06775279082270379,-0.01253810479013013
-0.2,48.0,0.06283146299334136,-0.008598590952697237
-0.2,49.0,0.124620541375023,0.05942578967785147
-0.2,50.0,0.048301747072828936,-0.03742077843921598
-0.2,51.0,0.08250335019036675,-0.008568644284834052
-0.2,52.0,0.10877801717292203,0.015087733037948562
-0.2,53.0,0.055006775089871306,-0.032857365251651956
-0.2,54.0,0.07538693491764131,-0.01317425761388891
-0.2,55.0,0.0658730860002356,-0.03521100787877879
-0.2,56.0,0.0707053619019203,0.016002048393299908
-0.2,57.0,0.11559904093740644,0.05023597862416409
-0.2,58.0,0.1025073294232108,0.0
-0.2,59.0,0.08556640168394858,-0.01379132669839792
-0.2,60.0,0.12610539398169934,0.06524865356950439
-0.2,61.0,0.08989433791914286,0.010119957970546503
-0.2,62.0,0.09124321693166765,-0.03185131477290089
-0.2,63.0,0.0776776193387612,0.001961678882256788
-0.2,64.0,0.1291469797191855,0.06718785161130053
-0.2,65.0,0.07104692790094326,-0.049035711595733986
-0.2,66.0,0.1276662125746193,0.016794186400098617
-0.2,67.0,0.08900093573362407,0.05086004694116979
-0.2,68.0,0.09225298448030168,-0.004728103543927557
-0.2,69.0,0.06646416756464463,-0.029456923142593603
-0.2,70.0,0.009845148014386304,-0.018377338101488585
-0.2,71.0,0.10727307151692964,0.023474367286904763
-0.2,72.0,0.09013830997048584,0.006987182881299898
-0.2,73.0,0.09805550348607821,0.03661645999542757
-0.2,74.0,0.06578343007284818,0.0015606898262802984
-0.2,75.0,0.08670925023661284,0.054577225665399035
-0.2,76.0,0.09119032058277546,-0.025224185360271927
-0.2,77.0,0.06112593397961337,-0.05090171646418885
-0.2,78.0,0.06822770058357985,-0.008326930463902836
-0.2,79.0,0.07887028377354584,0.012163670544395832
-0.2,80.0,0.07594009329939314,-0.033835151170663165
-0.2,81.0,0.08907372032438589,-0.03279423621237045
-0.2,82.0,0.08100602113927652,-0.00534752561841716
-0.2,83.0,0.09051265899262669,0.02194226705499381
-0.2,84.0,0.08281707729841359,-0.028968051990174635
-0.2,85.0,0.10577364526213189,-0.010976587528415033
-0.2,86.0,0.07942766097206977,-0.017692080926735014
-0.2,87.0,0.12150224521199718,0.05294765288759882
-0.2,88.0,0.06734373444653317,-0.041948446705259934
-0.2,89.0,0.1251070464798479,0.044598170550152694
-0.2,90.0,0.06642735843189766,-0.029978519931768494
-0.2,91.0,0.07353764513550967,-0.005573688686386984
-0.2,92.0,0.07324375869700384,0.003823208330673049
-0.2,93.0,0.07217400443429073,-0.027000677944639125
-0.2,94.0,0.06752891190864842,-0.04002049574207381
-0.2,95.0,0.06787180235741964,-0.004311277479269628
-0.2,96.0,0.06407737644617048,-0.011848218572656761
-0.2,97.0,0.05621026761715415,-0.057680271149815075
-0.2,98.0,0.10886701023400532,0.05900194061332437
-0.2,99.0,0.10645529189124814,0.021129891967232826
-0.4,0.0,0.09650710488660985,0.031094258868302846
-0.4,1.0,0.08115593376927223,-0.0011827326416013386
-0.4,2.0,0.07034203140190333,-0.010450643162731886
-0.4,3.0,0.0771207351840714,0.02211897527001057
-0.4,4.0,0.10026087259622998,0.00086829371108387
-0.4,5.0,0.09051026979485387,-0.022021782679508793
-0.4,6.0,0.08778170615343574,0.013101233480911157
-0.4,7.0,0.05423316480775876,-0.02663587978763199
-0.4,8.0,0.06776487840294754,-0.04278874390919021
-0.4,9.0,0.10859174485982433,0.03640537158105169
-0.4,10.0,0.07324092540132446,-0.01815310040425509
-0.4,11.0,0.096701917819379,0.005995980922088339
-0.4,12.0,0.08218784965023387,-0.05498919667544956
-0.4,13.0,0.028121785418918157,-0.07883269449456039
-0.4,14.0,0.11694402300425646,-0.019820563212314447
-0.4,15.0,0.12244560118179262,0.04680864431106724
-0.4,16.0,0.09180893998378241,-0.0180945175690461
-0.4,17.0,0.10359592470864537,0.04135763162388661
-0.4,18.0,0.10379540186907593,0.024791458268987196
-0.4,19.0,0.06599878717731503,-0.04694441223373685
-0.4,20.0,0.09715646742963871,0.004921496113549238
-0.4,21.0,0.11126709944380916,0.04195527969179933
-0.4,22.0,0.06854231263830152,-0.03136060530183809
-0.4,23.0,0.08917488258572327,0.0050294367561353895
