gamma,replicate,individual,out_degree,out_degree_initial,in_degree,in_degree_initial,same_type_adds,same_type_breaks,diff_type_adds,diff_type_breaks
-0.4,0,0,8,4,7,6,1,0,3,0
-0.4,0,1,13,9,2,2,2,0,2,0
-0.4,0,2,7,3,1,1,2,0,2,0
-0.4,0,3,7,6,4,4,1,0,0,0
-0.4,0,4,10,9,7,5,1,0,0,0
-0.4,0,5,9,5,8,5,3,0,2,1
-0.4,0,6,2,4,7,4,0,0,0,2
-0.4,0,7,5,4,13,7,1,0,0,0
-0.4,0,8,4,4,4,3,0,0,0,0
-0.4,0,9,3,4,4,1,1,0,0,2
-0.4,0,10,10,5,5,6,1,0,4,0
-0.4,0,11,7,3,4,6,3,0,1,0
-0.4,0,12,0,5,9,7,0,0,0,5
-0.4,0,13,8,4,8,5,3,0,1,0
-0.4,0,14,4,6,8,5,0,0,0,2
-0.4,0,15,5,2,5,4,2,0,2,1
-0.4,0,16,2,5,9,7,0,0,0,3
-0.4,0,17,2,2,6,2,1,0,1,2
-0.4,0,18,7,5,8,6,2,0,0,0
-0.4,0,19,7,5,6,5,1,0,1,0
-0.4,0,20,10,6,3,3,1,0,3,0
-0.4,0,21,9,6,9,8,1,0,2,0
-0.4,0,22,5,3,10,8,1,0,1,0
-0.4,0,23,6,6,10,11,0,0,2,2
-0.4,0,24,13,8,5,1,4,0,1,0
-0.4,0,25,8,7,6,3,1,0,0,0
-0.4,0,26,9,8,6,7,1,0,0,0
-0.4,0,27,4,3,10,6,0,0,1,0
-0.4,0,28,9,5,5,5,3,0,1,0
-0.4,0,29,2,4,8,6,0,0,0,2
-0.4,0,30,10,6,8,6,1,0,3,0
-0.4,0,31,4,2,9,7,2,0,1,1
-0.4,0,32,7,6,5,4,1,0,0,0
-0.4,0,33,8,6,11,9,1,0,1,0
-0.4,0,34,1,1,1,0,0,0,0,0
-0.4,0,35,9,5,6,4,4,0,2,2
-0.4,0,36,7,4,6,4,2,0,1,0
-0.4,0,37,10,8,3,2,2,0,0,0
-0.4,0,38,8,7,9,5,1,0,0,0
-0.4,0,39,10,5,6,4,3,0,2,0
-0.4,0,40,0,3,9,7,0,0,0,3
-0.4,0,41,9,7,7,2,2,0,0,0
-0.4,0,42,2,2,8,6,0,0,1,1
-0.4,0,43,4,4,3,3,0,0,1,1
-0.4,0,44,9,6,3,3,1,0,2,0
-0.4,0,45,7,6,2,2,0,0,1,0
-0.4,0,46,7,5,3,4,1,0,1,0
-0.4,0,47,8,7,8,7,1,0,0,0
-0.4,0,48,10,7,5,5,1,0,2,0
-0.4,0,49,9,7,4,2,0,0,2,0
-0.4,0,50,10,6,6,4,1,0,3,0
-0.4,0,51,8,6,11,8,1,0,1,0
-0.4,0,52,4,3,1,1,1,0,0,0
-0.4,0,53,9,5,9,8,3,0,2,1
-0.4,0,54,11,8,3,3,0,0,3,0
-0.4,0,55,5,4,4,5,1,0,0,0
-0.4,0,56,6,6,12,7,0,0,0,0
