gamma,replicate,individual,out_degree,out_degree_initial,in_degree,in_degree_initial,same_type_adds,same_type_breaks,diff_type_adds,diff_type_breaks
1.0,0,0,8,6,5,3,0,0,2,0
1.0,0,1,13,11,8,4,1,0,1,0
1.0,0,2,7,3,9,7,3,0,1,0
1.0,0,3,8,6,8,6,1,0,1,0
1.0,0,4,9,2,12,10,6,0,1,0
1.0,0,5,7,5,8,4,1,0,1,0
1.0,0,6,7,5,10,5,0,0,2,0
1.0,0,7,7,6,13,8,1,0,0,0
1.0,0,8,7,4,8,5,2,0,1,0
1.0,0,9,9,9,8,6,0,0,0,0
1.0,0,10,7,5,4,3,0,0,2,0
1.0,0,11,11,9,8,4,1,0,1,0
1.0,0,12,12,7,3,1,2,0,3,0
1.0,0,13,8,6,12,9,1,0,1,0
1.0,0,14,7,3,5,2,3,0,1,0
1.0,0,15,12,9,12,8,2,0,1,0
1.0,0,16,4,3,4,3,1,0,0,0
1.0,0,17,9,4,5,3,3,0,2,0
1.0,0,18,2,2,10,7,0,0,0,0
1.0,0,19,3,2,7,3,1,0,0,0
1.0,0,20,10,7,5,3,2,0,1,0
1.0,0,21,9,6,14,8,0,0,3,0
1.0,0,22,9,7,4,4,0,0,2,0
1.0,0,23,6,4,7,3,2,0,0,0
1.0,0,24,5,3,10,7,2,0,0,0
1.0,0,25,7,5,8,6,1,0,1,0
1.0,0,26,7,4,5,3,1,0,2,0
1.0,0,27,4,4,7,6,0,0,0,0
1.0,0,28,6,6,12,6,0,0,0,0
1.0,0,29,8,4,9,7,2,0,2,0
1.0,0,30,7,3,8,3,4,0,0,0
1.0,0,31,13,11,10,6,2,0,0,0
1.0,0,32,11,7,7,4,2,0,2,0
1.0,0,33,10,9,8,5,0,0,1,0
1.0,0,34,5,5,7,5,0,0,0,0
1.0,0,35,10,7,7,5,2,0,1,0
1.0,0,36,10,8,2,2,1,0,1,0
1.0,0,37,8,8,8,7,0,0,0,0
1.0,0,38,6,5,10,5,1,0,0,0
1.0,0,39,12,11,3,2,0,0,1,0
1.0,0,40,5,4,5,3,1,0,0,0
1.0,0,41,8,8,8,3,0,0,0,0
1.0,0,42,8,4,5,5,1,0,3,0
