gamma,replicate,assort_final,assort_initial
-0.2,0.0,0.12182515857892426,0.004559931770010955
-0.2,1.0,0.10645044973845523,-0.0022005501623030017
-0.2,2.0,0.08270281630937373,-0.018907599188707776
-0.2,3.0,0.040117128680413325,-0.10858488132094933
-0.2,4.0,0.06377695622294349,-0.0480034563732928
-0.2,5.0,0.11516060262961941,-0.00534208526221374
-0.2,6.0,0.0791694614914854,-0.03144282363990802
-0.2,7.0,0.10336181753057357,-0.019541899642290618
-0.2,8.0,0.14887205962114083,0.03274416088566274
-0.2,9.0,0.07881269191402261,-0.046545041675862056
-0.2,10.0,0.165950450282127,0.013767540484585866
-0.2,11.0,0.1043333470801716,-0.004737513563829275
-0.2,12.0,0.08178259501140919,-0.01759423332308008
-0.2,13.0,0.16014611361731002,0.04760138100424381
-0.2,14.0,0.14036341801649824,0.0488444345181473
-0.2,15.0,0.11780910870827152,0.01889061739543627
-0.2,16.0,0.1699955104981259,0.02980958721111493
-0.2,17.0,0.1434605757196494,0.005334671306027807
-0.2,18.0,0.1422065085359366,0.004966717255454817
-0.2,19.0,0.14329983249581224,0.03474564274061165
-0.2,20.0,0.09048343673182717,0.011154550785621708
-0.2,21.0,0.08973141438997656,-0.037521454737158094
-0.2,22.0,0.09778640776699037,-0.027080932156989597
-0.2,23.0,0.09701803734845654,-0.016096142845521827
-0.2,24.0,0.1438458203994997,0.03232413029255475
-0.2,25.0,0.06735104067223449,-0.02962934828970411
-0.2,26.0,0.11794843762423489,0.012799967634110718
-0.2,27.0,0.12452400796522452,0.018546017257913466
-0.2,28.0,0.16060054595086437,0.023405321964969666
-0.2,29.0,0.10050915623375761,-0.0030041394520300747
-0.2,30.0,0.14516630400994712,0.011636043368619738
-0.2,31.0,0.12488330001419067,0.012225486990373199
-0.2,32.0,0.0935032217431325,-0.019996001199600093
-0.2,33.0,0.08021960311312362,-0.04574929285237198
-0.2,34.0,0.07101421526264878,-0.05333104193091583
-0.2,35.0,0.1447788169993381,0.037468853738322684
-0.2,36.0,0.09575779456894551,-0.02838039283725882
-0.2,37.0,0.0974391256260485,-0.017906614474064046
-0.2,38.0,0.13786966983094046,0.011122914404184739
-0.2,39.0,0.12460701374623583,0.017924696966703197
-0.2,40.0,0.12241493806309253,-0.0013926725851579817
-0.2,41.0,0.12330595054418093,-0.011968478742596723
-0.2,42.0,0.11740509675372733,-0.014915433275281074
-0.2,43.0,0.15815228028968484,0.046186272089633836
-0.2,44.0,0.1152001820575759,-0.030907602879512663
-0.2,45.0,0.0879999403390235,-0.02169689649547079
-0.2,46.0,0.10203611217825595,-0.007153343688294512
-0.2,47.0,0.1280454367410891,0.024351395137233414
-0.2,48.0,0.07955091410220741,-0.039464815777689344
-0.2,49.0,0.13590422816736436,-0.008904798410634266
-0.2,50.0,0.11320456751036032,0.006501757667758667
-0.2,51.0,0.11752140399476227,0.02333946169589537
-0.2,52.0,0.10261403825289199,-0.0009068536274695606
-0.2,53.0,0.11231757491072825,0.014057490150894905
-0.2,54.0,0.15846532709575573,0.023968958765253904
-0.2,55.0,0.16097373332016437,0.032910438564605245
-0.2,56.0,0.0772802981491333,-0.06019276124299252
-0.2,57.0,0.15897559071666623,0.0438451533967821
-0.2,58.0,0.08071530639716679,-0.04051534012219918
-0.2,59.0,0.11044394874252579,-0.006418991391593286
