gamma,replicate,individual,out_degree,out_degree_initial,in_degree,in_degree_initial,same_type_adds,same_type_breaks,diff_type_adds,diff_type_breaks
-0.2,0,0,2,2,5,6,0,0,0,0
-0.2,0,1,0,3,6,6,0,0,0,3
-0.2,0,2,8,8,5,6,0,0,0,0
-0.2,0,3,7,7,7,8,0,0,0,0
-0.2,0,4,6,6,13,13,0,0,0,0
-0.2,0,5,3,3,9,10,0,0,0,0
-0.2,0,6,8,8,3,3,0,0,0,0
-0.2,0,7,6,6,4,5,0,0,0,0
-0.2,0,8,2,2,0,0,0,0,0,0
-0.2,0,9,5,5,7,7,0,0,0,0
-0.2,0,10,9,9,2,3,0,0,0,0
-0.2,0,11,8,8,6,6,0,0,0,0
-0.2,0,12,5,6,3,4,0,0,0,1
-0.2,0,13,10,10,4,5,0,0,0,0
-0.2,0,14,4,4,3,3,0,0,0,0
-0.2,0,15,4,4,7,9,0,0,0,0
-0.2,0,16,4,7,5,5,0,0,0,3
-0.2,0,17,2,3,6,8,0,0,0,1
-0.2,0,18,7,7,3,5,0,0,0,0
-0.2,0,19,7,7,4,4,0,0,0,0
-0.2,0,20,4,4,6,6,0,0,0,0
-0.2,0,21,0,4,4,4,0,0,0,4
-0.2,0,22,2,5,4,6,0,0,0,3
-0.2,0,23,6,6,6,6,0,0,0,0
-0.2,0,24,5,5,2,3,0,0,0,0
-0.2,0,25,9,9,4,4,0,0,0,0
-0.2,0,26,6,6,1,1,0,0,0,0
-0.2,0,27,9,9,5,6,0,0,0,0
-0.2,0,28,5,5,2,2,0,0,0,0
-0.2,0,29,6,6,8,8,0,0,0,0
-0.2,0,30,4,4,6,6,0,0,0,0
-0.2,0,31,5,5,3,4,0,0,0,0
-0.2,0,32,6,6,7,7,0,0,0,0
-0.2,0,33,2,2,7,7,0,0,0,0
-0.2,0,34,6,6,3,3,0,0,0,0
-0.2,0,35,4,5,5,6,0,0,0,1
-0.2,0,36,2,3,1,1,0,0,0,1
-0.2,0,37,2,2,5,5,0,0,0,0
-0.2,0,38,4,4,7,7,0,0,0,0
-0.2,0,39,9,9,6,7,0,0,0,0
-0.2,0,40,5,5,3,3,0,0,0,0
-0.2,0,41,4,5,3,4,0,0,0,1
-0.2,0,42,7,7,7,7,0,0,0,0
-0.2,0,43,6,6,3,5,0,0,0,0
-0.2,0,44,2,2,2,2,0,0,0,0
-0.2,0,45,4,4,7,7,0,0,0,0
-0.2,0,46,9,9,5,5,0,0,0,0
-0.2,0,47,5,5,1,1,0,0,0,0
-0.2,0,48,6,6,3,3,0,0,0,0
-0.2,0,49,3,3,10,10,0,0,0,0
-0.2,0,50,5,6,2,2,0,0,0,1
-0.2,0,51,2,2,2,2,0,0,0,0
-0.2,0,52,0,6,3,3,0,0,0,6
-0.2,0,53,0,4,3,4,0,0,0,4
-0.2,0,54,2,4,5,6,0,0,0,2
-0.2,0,55,0,4,2,3,0,0,0,4
-0.2,0,56,5,5,8,8,0,0,0,0
-0.2,0,57,4,5,6,7,0,0,0,1
-0.2,0,58,5,5,2,2,0,0,0,0
-0.2,0,59,4,4,7,8,0,0,0,0
-0.2,0,60,2,3,4,5,0,0,0,1
-0.2,0,61,0,1,5,5,0,0,0,1
-0.2,0,62,4,4,5,5,0,0,0,0
-0.2,0,63,2,5,6,6,0,0,0,3
-0.2,0,64,4,4,9,9,0,0,0,0
-0.2,0,65,1,1,2,3,0,0,0,0
-0.2,0,66,2,2,6,7,0,0,0,0
-0.2,0,67,8,8,2,3,0,0,0,0
-0.2,0,68,4,5,4,4,0,0,0,1
-0.2,0,69,6,6,5,5,0,0,0,0
-0.2,0,70,5,5,7,9,0,0,0,0
-0.2,0,71,6,6,1,2,0,0,0,0
-0.2,0,72,4,5,2,3,0,0,0,1
-0.2,0,73,8,8,4,4,0,0,0,0
-0.2,0,74,2,4,2,2,0,0,0,2
-0.2,0,75,0,5,4,5,0,0,0,5
-0.2,0,76,2,2,5,6,0,0,0,0
-0.2,0,77,8,8,1,2,0,0,0,0
-0.2,0,78,2,3,4,4,0,0,0,1
-0.2,0,79,8,8,8,8,0,0,0,0
-0.2,0,80,7,7,6,6,0,0,0,0
-0.2,0,81,4,4,6,6,0,0,0,0
-0.2,0,82,4,4,6,6,0,0,0,0
-0.2,0,83,4,4,9,9,0,0,0,0
-0.2,0,84,3,3,4,4,0,0,0,0
-0.2,0,85,2,4,3,3,0,0,0,2
-0.2,0,86,4,4,2,2,0,0,0,0
-0.2,0,87,10,10,5,5,0,0,0,0
-0.2,0,88,0,1,6,6,0,0,0,1
-0.2,0,89,9,9,6,7,0,0,0,0
-0.2,0,90,0,5,8,9,0,1,0,4
-0.2,0,91,4,4,9,10,0,0,0,0
-0.2,0,92,2,3,0,1,0,0,0,1
-0.2,0,93,5,5,4,4,0,0,0,0
-0.2,0,94,0,1,6,6,0,1,0,0
-0.2,0,95,2,3,2,2,0,0,0,1
-0.2,0,96,5,5,0,0,0,0,0,0
-0.2,0,97,4,4,5,5,0,0,0,0
-0.2,0,98,3,3,5,5,0,0,0,0
-0.2,0,99,2,2,2,4,0,0,0,0
-0.2,0,100,1,1,6,7,0,0,0,0
-0.2,0,101,2,2,5,7,0,0,0,0
-0.2,0,102,0,4,6,6,0,0,0,4
-0.2,0,103,2,4,4,4,0,0,0,2
-0.2,0,104,0,4,6,6,0,0,0,4
-0.2,0,105,4,4,4,6,0,0,0,0
-0.2,0,106,5,5,3,5,0,0,0,0
-0.2,0,107,12,12,5,6,0,0,0,0
-0.2,0,108,0,1,4,4,0,0,0,1
-0.2,0,109,4,4,2,3,0,0,0,0
-0.2,0,110,4,4,3,3,0,0,0,0
-0.2,0,111,3,3,5,5,0,0,0,0
