gamma,replicate,individual,out_degree,out_degree_initial,in_degree,in_degree_initial,same_type_adds,same_type_breaks,diff_type_adds,diff_type_breaks
0.8,0,0,4,4,5,5,0,0,0,0
0.8,0,1,2,3,3,3,0,0,0,1
0.8,0,2,5,5,7,7,0,0,0,0
0.8,0,3,1,2,6,6,0,0,0,1
0.8,0,4,4,5,3,3,0,0,0,1
0.8,0,5,2,3,7,8,0,0,0,1
0.8,0,6,2,3,4,4,0,0,0,1
0.8,0,7,0,4,4,4,0,0,0,4
0.8,0,8,6,7,2,2,0,0,0,1
0.8,0,9,8,8,4,5,0,0,0,0
0.8,0,10,6,7,7,8,0,0,0,1
0.8,0,11,2,4,3,4,0,0,0,2
0.8,0,12,13,13,1,1,0,0,0,0
0.8,0,13,2,2,4,4,0,0,0,0
0.8,0,14,2,3,2,2,0,0,0,1
0.8,0,15,2,3,4,4,0,0,0,1
0.8,0,16,4,4,3,4,0,0,0,0
0.8,0,17,2,2,3,3,0,0,0,0
0.8,0,18,4,5,2,2,0,0,0,1
0.8,0,19,7,7,3,5,0,0,0,0
0.8,0,20,4,4,1,1,0,0,0,0
0.8,0,21,6,6,6,8,0,0,0,0
0.8,0,22,6,6,3,3,0,0,0,0
0.8,0,23,4,4,6,6,0,0,0,0
0.8,0,24,5,5,6,6,0,0,0,0
0.8,0,25,6,6,2,3,0,0,0,0
0.8,0,26,2,3,3,3,0,0,0,1
0.8,0,27,0,2,1,1,0,0,0,2
0.8,0,28,10,10,4,4,0,0,0,0
0.8,0,29,9,9,3,5,0,0,0,0
0.8,0,30,2,5,1,1,0,0,0,3
0.8,0,31,6,6,7,9,0,0,0,0
0.8,0,32,2,4,4,4,0,0,0,2
0.8,0,33,0,3,4,4,0,0,0,3
0.8,0,34,2,3,4,6,0,0,0,1
0.8,0,35,4,4,7,7,0,0,0,0
0.8,0,36,4,5,10,10,0,0,0,1
0.8,0,37,0,4,4,4,0,0,0,4
0.8,0,38,5,5,5,5,0,0,0,0
0.8,0,39,13,13,4,5,0,0,0,0
0.8,0,40,3,3,4,4,0,0,0,0
0.8,0,41,3,3,5,5,0,0,0,0
0.8,0,42,2,3,3,4,0,0,0,1
0.8,0,43,4,4,5,7,0,0,0,0
0.8,0,44,7,7,8,8,0,0,0,0
0.8,0,45,5,5,4,4,0,0,0,0
0.8,0,46,1,1,5,6,0,0,0,0
0.8,0,47,4,4,5,6,0,0,0,0
0.8,0,48,4,4,9,10,0,0,0,0
0.8,0,49,5,5,5,7,0,0,0,0
0.8,0,50,0,3,7,8,0,0,0,3
0.8,0,51,4,4,2,3,0,0,0,0
0.8,0,52,7,7,4,4,0,0,0,0
0.8,0,53,7,7,2,3,0,0,0,0
