Id,Type,Threshold
0,1,0.5
1,1,0.5
2,0,0.5
3,0,0.5
4,0,0.5
5,0,0.5
6,0,0.5
7,0,0.5
8,0,0.5
9,0,0.5
10,1,0.5
11,0,0.5
12,1,0.5
13,1,0.5
14,0,0.5
15,0,0.5
16,1,0.5
17,1,0.5
18,0,0.5
19,1,0.5
20,1,0.5
21,0,0.5
22,1,0.5
23,1,0.5
24,0,0.5
25,1,0.5
26,0,0.5
27,0,0.5
28,1,0.5
29,0,0.5
30,1,0.5
31,0,0.5
32,1,0.5
33,0,0.5
34,1,0.5
35,1,0.5
36,1,0.5
37,1,0.5
38,0,0.5
39,1,0.5
40,1,0.5
41,1,0.5
42,1,0.5
43,0,0.5
44,0,0.5
45,0,0.5
46,0,0.5
47,1,0.5
48,0,0.5
49,0,0.5
50,1,0.5
51,0,0.5
52,0,0.5
53,0,0.5
54,0,0.5
55,0,0.5
56,1,0.5
57,1,0.5
58,1,0.5
59,0,0.5
60,0,0.5
61,0,0.5
62,0,0.5
63,0,0.5
64,0,0.5
65,0,0.5
66,1,0.5
67,1,0.5
68,0,0.5
69,1,0.5
70,1,0.5
71,0,0.5
72,1,0.5
73,0,0.5
74,0,0.5
75,1,0.5
76,0,0.5
77,0,0.5
78,0,0.5
79,1,0.5
80,1,0.5
81,0,0.5
82,1,0.5
83,0,0.5
84,1,0.5
85,0,0.5
86,1,0.5
87,1,0.5
88,0,0.5
89,1,0.5
90,1,0.5
91,1,0.5
92,0,0.5
93,0,0.5
94,0,0.5
95,1,0.5
96,1,0.5
97,1,0.5
98,1,0.5
99,0,0.5
100,1,0.5
101,0,0.5
102,0,0.5
103,0,0.5
104,0,0.5
105,1,0.5
106,1,0.5
107,1,0.5
108,0,0.5
109,0,0.5
110,0,0.5
111,0,0.5
112,0,0.5
113,0,0.5
114,1,0.5
115,0,0.5
116,0,0.5
117,0,0.5
118,1,0.5
119,1,0.5
120,0,0.5
121,1,0.5
122,0,0.5
123,0,0.5
124,0,0.5
125,0,0.5
126,0,0.5
127,0,0.5
128,0,0.5
129,1,0.5
130,1,0.5
131,1,0.5
132,1,0.5
133,1,0.5
134,1,0.5
135,0,0.5
136,1,0.5
137,1,0.5
138,0,0.5
139,1,0.5
140,0,0.5
141,1,0.5
142,0,0.5
143,1,0.5
144,1,0.5
145,0,0.5
146,0,0.5
147,0,0.5
148,0,0.5
149,1,0.5
150,0,0.5
151,0,0.5
152,1,0.5
153,0,0.5
154,1,0.5
155,0,0.5
156,1,0.5
157,0,0.5
158,0,0.5
159,0,0.5
160,0,0.5
161,1,0.5
162,1,0.5
163,0,0.5
164,0,0.5
165,0,0.5
166,0,0.5
167,1,0.5
168,0,0.5
169,1,0.5
170,1,0.5
171,0,0.5
172,1,0.5
173,0,0.5
174,1,0.5
175,1,0.5
176,1,0.5
177,0,0.5
178,1,0.5
179,1,0.5
180,0,0.5
181,1,0.5
182,0,0.5
183,0,0.5
184,0,0.5
185,0,0.5
186,0,0.5
187,1,0.5
188,0,0.5
189,0,0.5
190,1,0.5
191,1,0.5
192,0,0.5
193,0,0.5
194,1,0.5
195,0,0.5
196,0,0.5
197,1,0.5
198,1,0.5
199,1,0.5
