gamma,replicate,assort_final,assort_initial
-0.2,0.0,0.20457939537585576,-0.017190519784355707
-0.2,1.0,0.17753408520226188,-0.058646616541353384
-0.2,2.0,0.15342493178140532,-0.0020202020202020198
-0.2,3.0,0.13828474091903858,0.02957393483709273
-0.2,4.0,0.11594854276141983,-0.032103210321032125
-0.2,5.0,0.18624339727931147,-0.018062397372742227
-0.2,6.0,0.21169766716743788,0.007603041216486504
-0.2,7.0,0.13938749823506805,-0.004100410041004123
-0.2,8.0,0.13132523043247524,-0.06896206585927345
-0.2,9.0,0.21461306592246637,-0.04410441044104413
-0.2,10.0,0.25285341834098535,-0.004133481197701404
-0.2,11.0,0.1734554119310687,0.013798701298701208
-0.2,12.0,0.16545222653897687,0.027124411970773612
-0.2,13.0,0.2153133499032909,0.0004014452027299186
-0.2,14.0,0.11606536083175475,-0.002506265664160401
-0.2,15.0,0.1611354000624353,-0.0001008166145781054
-0.2,16.0,0.10491720114476795,-0.08974358974358977
-0.2,17.0,0.13780792498320543,0.06790679067906788
-0.2,18.0,0.09081621840303444,0.033583959899749376
-0.2,19.0,0.1253815976651604,0.03190319031903188
-0.2,20.0,0.15400921658986175,-0.03572862304295466
-0.2,21.0,0.18289485849981357,0.0004014452027299186
-0.2,22.0,0.1491747691613212,-0.0329296366730058
-0.2,23.0,0.16814757712427042,0.030448717948718035
-0.2,24.0,0.19077887020572948,-0.024296804113317902
-0.2,25.0,0.13094542233365072,0.011997177134791905
-0.2,26.0,0.18494581163011545,0.04038870331005171
-0.2,27.0,0.07877304257226356,-0.012101210121012125
-0.2,28.0,0.13981918298579887,0.011109998999099212
-0.2,29.0,0.14140462326200387,0.017857142857142766
-0.2,30.0,0.10126653877029652,-0.03641456582633051
-0.2,31.0,0.09803122483553334,-0.02100291427997184
-0.2,32.0,0.09987859952362435,0.0039477679927119045
-0.2,33.0,0.19092831939661253,-0.0036130068245684693
-0.2,34.0,0.11459524734540696,-0.03241296518607452
-0.2,35.0,0.19498658012191894,0.06602254428341377
-0.2,36.0,0.12322428383159183,-0.0009044317154055782
-0.2,37.0,0.2115069635927029,0.02390239023902388
-0.2,38.0,0.09109785746301767,-0.023685266961059718
-0.2,39.0,0.09932466578073455,-0.06382978723404258
-0.2,40.0,0.15803260771777125,-0.0024350649350650274
-0.2,41.0,0.08674624783324285,-0.040416166466586724
-0.2,42.0,0.15323095809213,-0.02254428341384861
-0.2,43.0,0.14046727827573577,-0.04646464646464646
-0.2,44.0,0.19407341578220347,0.01379870129870132
-0.2,45.0,0.14971494885940365,0.003601440576230401
-0.2,46.0,0.07131384405750836,-0.03974307507025293
-0.2,47.0,0.14935765864297668,0.0064102564102563875
-0.2,48.0,0.1343691423901114,-0.03572862304295466
-0.2,49.0,0.10707872327755268,-0.010551948051948028
-0.2,50.0,0.13520544795616063,-0.059253246753246724
-0.2,51.0,0.1299740594770304,-0.025022610792885227
-0.2,52.0,0.10278666971847816,0.008430349257326464
-0.2,53.0,0.15645025754729514,-0.008403361344537907
-0.2,54.0,0.11726891671410458,-0.04841936774709893
-0.2,55.0,0.11131800673043425,-0.018518518518518497
-0.2,56.0,0.2689147623223071,-0.036103610361036126
-0.2,57.0,0.13471884155736788,0.018429487179487156
-0.2,58.0,0.20933178312265766,0.019194050849160798
-0.2,59.0,0.10883831933096273,-0.028102810281028127
-0.2,60.0,0.12497068727530794,-0.0009154714678058969
-0.2,61.0,0.12573980020972148,0.019117205484936464
-0.2,62.0,0.10668468133699026,0.011997177134791905
-0.2,63.0,0.09502650872936767,-0.02429680411331778
-0.2,64.0,0.11948109009369548,-0.015656362906463172
-0.2,65.0,0.13459612132739723,-0.0329296366730058
-0.2,66.0,0.04992747118048959,-0.047771979124849484
-0.2,67.0,0.1486267801361209,0.028
-0.2,68.0,0.12428450934138247,-0.04646464646464646
-0.2,69.0,0.13240558110281683,-0.012101210121012125
-0.2,70.0,0.15934124634428867,0.060115959719255437
-0.2,71.0,0.12754668336381478,-0.05463659147869674
-0.2,72.0,0.18140433366104522,-0.016
-0.2,73.0,0.11898155973538652,-0.026570048309178838
-0.2,74.0,0.08086984286206353,-0.042606516290726815
-0.2,75.0,0.13650701003260207,-0.022544283413848724
-0.2,76.0,0.09742539930745138,-0.0199918400652795
-0.2,77.0,0.12916587840377228,-0.055194805194805165
-0.2,78.0,0.1357993916629362,-0.004401760704281803
-0.2,79.0,0.13350082192948973,0.0031027925132619586
-0.2,80.0,0.1424072086294388,-0.03462157809983895
-0.2,81.0,0.19969462233352026,0.02790279027902788
-0.2,82.0,0.11655163979121468,-0.006516290726817042
-0.2,83.0,0.10433806267586265,-0.004100410041004123
-0.2,84.0,0.1408480891717376,-0.016
-0.2,85.0,0.1105395848693366,-0.04661654135338346
-0.2,86.0,0.0849781717024807,0.007106395756180473
-0.2,87.0,0.10926868207743236,-0.0009008107296566682
-0.2,88.0,0.12922546450936356,-0.008100810081008124
-0.2,89.0,0.11889418388215402,0.014423076923076901
-0.2,90.0,0.09251701736384632,-0.0204081632653061
-0.2,91.0,0.1250598268306159,0.02556390977443609
-0.2,92.0,0.12573845484816645,-0.01414141414141414
-0.2,93.0,0.1495665777146548,0.007106395756180473
-0.2,94.0,0.15600362739232737,0.05915323791412273
-0.2,95.0,0.18886142264511932,-0.010741687979539642
-0.2,96.0,0.1420981442566979,0.007900790079007878
-0.2,97.0,0.10987371403309557,-0.024102410241024125
-0.2,98.0,0.09602416759688877,0.008567931456548324
-0.2,99.0,0.24738856896146713,-0.0036130068245684693
-0.4,0.0,0.1622546482690977,0.06468266018827826
-0.4,1.0,0.14107504794274695,-0.0009154714678058969
-0.4,2.0,0.1785858664508517,-0.04894404964468019
-0.4,3.0,0.14781273215082552,-0.006649616368286445
-0.4,4.0,0.1526865200925702,-0.028151774785801737
-0.4,5.0,0.10645854616352121,0.023609443777510914
-0.4,6.0,0.09763091679935068,-0.017628205128205152
-0.4,7.0,0.1982352828152962,0.07116404764287851
-0.4,8.0,0.1339040085375018,0.0031152647975076966
-0.4,9.0,0.16449290550572268,-0.0283294686964412
-0.4,10.0,0.11778389247596527,-0.03059581320450895
-0.4,11.0,0.1343000154890479,-0.014492753623188498
-0.4,12.0,0.167185670297686,0.003900390039003878
-0.4,13.0,0.20923133635046226,-0.002506265664160401
-0.4,14.0,0.12925220865090334,-0.02964743589743592
-0.4,15.0,0.20910247630317064,-0.009615384615384638
-0.4,16.0,0.16666179333659725,-0.004
-0.4,17.0,0.18029924043603945,0.03381642512077286
-0.4,18.0,0.16569052148658917,0.011154657823334361
-0.4,19.0,0.23424214633302448,0.043312229926640564
-0.4,20.0,0.14481296740001226,0.0031532906113315253
-0.4,21.0,0.13007346138592513,-0.00440176070428169
-0.4,22.0,0.08482392545481544,-0.0283294686964412
-0.4,23.0,0.1562597066094514,-0.018668831168831144
-0.4,24.0,0.2098206741527997,0.009523809523809525
-0.4,25.0,0.1312136329994763,0.015113602242017727
-0.4,26.0,0.15773791796172593,0.017543859649122806
-0.4,27.0,0.17917528905872987,-0.014536340852130326
-0.4,28.0,0.21360332646594354,0.020473705339221174
-0.4,29.0,0.11733962414864342,-0.004924128228318739
-0.4,30.0,0.11863999565066376,-0.05858585858585858
-0.4,31.0,0.1479473588333312,0.003601440576230401
-0.4,32.0,0.10878933063499624,-0.028102810281028127
-0.4,33.0,0.07873468425635437,-0.0506265664160401
-0.4,34.0,0.19430943508449264,0.06362545018007193
-0.4,35.0,0.1594979796922471,-0.04494044640176169
-0.4,36.0,0.16108692650535966,0.01672786617707056
-0.4,37.0,0.22233853284447377,0.007603041216486504
-0.4,38.0,0.07706985597610101,-0.012815212897891785
-0.4,39.0,0.16653798299869585,0.04714242818536675
-0.4,40.0,0.1105211794371855,-0.055800883179445905
