samplers,samplers_active,sampler_A,sampler_B,total_active,active_A,active_B,active_diff,active_diff_prop,gamma,replicate
20.0,10.4603,6.6288,3.8315,27.091,16.2978,10.7932,5.7994,0.25023399802488244,1.0,0.0
20.0,10.0016,4.7887,5.2129,24.5539,13.0226,11.5313,3.1219,0.17748762714038332,1.0,1.0
20.0,10.0798,5.4689,4.6109,26.9955,15.5145,11.481,4.3651,0.21511732223411287,1.0,2.0
20.0,10.6094,5.2776,5.3318,26.851,12.7483,14.1027,3.1862,0.17095857734436845,1.0,3.0
20.0,9.8291,4.0208,5.8083,24.6238,8.0614,16.5624,8.5384,0.39584655452028267,1.0,4.0
20.0,8.8589,4.7269,4.132,17.6773,8.7259,8.9514,2.8637,0.21441011897452988,1.0,5.0
20.0,10.4574,5.5294,4.928,27.063,14.5177,12.5453,3.3212,0.16840828774344702,1.0,6.0
20.0,9.7775,5.1605,4.617,23.7876,12.5472,11.2404,2.9382,0.17270350639037055,1.0,7.0
20.0,9.1777,4.2439,4.9338,20.7601,9.5859,11.1742,2.8961,0.21832680400770604,1.0,8.0
20.0,10.0717,4.6176,5.4541,25.8351,12.3789,13.4562,3.1983,0.17163093403138732,1.0,9.0
20.0,9.9281,5.4153,4.5128,22.2605,10.3925,11.868,3.1359,0.21342859256733418,1.0,10.0
20.0,10.3876,5.7254,4.6622,28.8374,15.3533,13.4841,3.2488,0.15056382734486556,1.0,11.0
20.0,10.558,4.809,5.749,33.2386,12.7126,20.526,7.8512,0.2803374424104911,1.0,12.0
20.0,9.6375,4.2209,5.4166,22.0396,9.4546,12.585,4.038,0.23891516539836938,1.0,13.0
20.0,9.5905,4.3311,5.2594,27.5132,12.1667,15.3465,4.1706,0.20677646250545786,1.0,14.0
20.0,9.5543,5.1583,4.396,25.3782,14.083,11.2952,3.5806,0.1847621982884399,1.0,15.0
20.0,9.9739,5.3138,4.6601,23.5665,11.9889,11.5776,3.0605,0.19222221366203304,1.0,16.0
20.0,11.2102,4.9241,6.2861,35.184,17.6978,17.4862,3.326,0.1304553371986327,1.0,17.0
20.0,10.2588,4.5067,5.7521,28.1437,11.2842,16.8595,5.8095,0.25694471136790825,1.0,18.0
20.0,10.4674,5.7521,4.7153,30.4204,16.5057,13.9147,3.7342,0.16403106837386672,1.0,19.0
20.0,10.1461,4.8842,5.2619,25.3596,12.1353,13.2243,3.0524,0.1755865717191509,1.0,20.0
20.0,10.1154,5.1307,4.9847,30.24,16.0882,14.1518,3.0808,0.1329931586832215,1.0,21.0
20.0,10.0441,4.6972,5.3469,25.5481,12.4644,13.0837,2.8469,0.1708416386124525,1.0,22.0
20.0,10.1569,5.2871,4.8698,30.5887,14.9606,15.6281,3.0007,0.13144419285360648,1.0,23.0
20.0,10.4012,5.2656,5.1356,28.836,14.3283,14.5077,2.9782,0.16151954592223625,1.0,24.0
20.0,10.6331,6.1332,4.4999,30.1128,18.5489,11.5639,7.076,0.29874225328358933,1.0,25.0
20.0,10.0431,4.6253,5.4178,24.4112,13.0886,11.3226,3.3668,0.1897762520086828,1.0,26.0
20.0,10.0617,5.1951,4.8666,25.2563,12.7965,12.4598,2.9669,0.16618088872537143,1.0,27.0
20.0,10.3251,4.7993,5.5258,25.8547,11.4654,14.3893,3.9357,0.19372669452962823,1.0,28.0
20.0,9.2733,4.4006,4.8727,17.9901,8.7124,9.2777,2.9685,0.23458451699428098,1.0,29.0
20.0,10.5861,5.4282,5.1579,26.0613,13.3293,12.732,2.9851,0.16115353638142796,1.0,30.0
20.0,8.5171,3.9962,4.5209,17.2489,8.2925,8.9564,2.6181,0.20889516645929793,1.0,31.0
20.0,9.473,5.3075,4.1655,23.8942,13.361,10.5332,3.7052,0.20280358114818223,1.0,32.0
20.0,9.2619,4.5054,4.7565,17.3835,9.3712,8.0123,2.8347,0.23767494005160011,1.0,33.0
20.0,9.7533,4.5431,5.2102,23.7826,11.2317,12.5509,3.1228,0.17464901722204562,1.0,34.0
20.0,9.4908,4.9259,4.5649,21.0234,10.7433,10.2801,2.7374,0.1885842763569061,1.0,35.0
20.0,10.6539,4.4307,6.2232,31.2468,11.3795,19.8673,8.6302,0.29942569044619927,1.0,36.0
20.0,9.9045,5.3234,4.5811,23.0859,12.4386,10.6473,3.2911,0.2040851378388263,1.0,37.0
20.0,10.0323,5.0629,4.9694,22.5063,10.3424,12.1639,3.2499,0.1929831777462133,1.0,38.0
20.0,11.188,4.8619,6.3261,37.2333,14.4798,22.7535,8.3379,0.2694173927147673,1.0,39.0
20.0,10.0173,4.5928,5.4245,24.1241,10.5776,13.5465,3.8147,0.19538420896536415,1.0,40.0
20.0,10.6348,4.7052,5.9296,23.9853,9.2553,14.73,5.7385,0.2928458930155556,1.0,41.0
20.0,10.1375,5.8672,4.2703,28.2163,17.8943,10.322,7.6121,0.3145213338439534,1.0,42.0
20.0,10.3166,6.3675,3.9491,26.2536,17.2832,8.9704,8.422,0.35732394219186414,1.0,43.0
20.0,9.8205,4.5878,5.2327,25.03,11.2174,13.8126,3.6452,0.19151726581204334,1.0,44.0
20.0,10.9929,5.7945,5.1984,40.6509,18.7649,21.886,4.4493,0.17115112061501808,1.0,45.0
20.0,10.1147,4.9702,5.1445,23.8825,11.0427,12.8398,3.0705,0.18556611382490648,1.0,46.0
