gamma,assort_final,assort_initial
-0.1,-0.0004119368665731368,-0.005025125628140636
-0.1,-0.0007462546100765199,-0.005025125628140733
-0.1,-0.0013450253538103939,-0.005025125628140704
-0.1,-0.0017194579047414731,-0.005025125628140783
-0.1,-0.0011698510525239537,-0.005025125628140733
-0.1,-0.004220834472661264,-0.005025125628140704
-0.1,-0.003752585814328133,-0.005025125628140696
-0.1,-0.003401023371095365,-0.005025125628140704
-0.1,-0.0046177559027226955,-0.005025125628140711
-0.1,-0.0037815407641003706,-0.005025125628140711
-0.1,-0.0020330965208616766,-0.005025125628140711
-0.1,-0.003680557186778275,-0.005025125628140696
-0.1,-0.0033996095133658356,-0.005025125628140674
-0.1,-0.00010901483507434952,-0.005025125628140783
-0.1,-0.0025250808589943755,-0.005025125628140783
-0.1,-0.0023834822514080672,-0.0050251256281407695
-0.1,-0.0015438708930439237,-0.005025125628140733
-0.1,-0.0026400643832563842,-0.005025125628140704
-0.1,-0.002183793761583114,-0.005025125628140674
-0.1,-0.004780253148470557,-0.005025125628140696
-0.1,-0.00345933360285561,-0.005025125628140659
-0.1,-0.003176470884258772,-0.005025125628140733
-0.1,-0.0037732492148758704,-0.005025125628140704
-0.1,-0.0017568250265627638,-0.005025125628140711
-0.1,-0.0036697538020901512,-0.005025125628140704
-0.1,-0.002908377111211541,-0.005025125628140704
-0.1,-0.00022414479331398846,-0.005025125628140674
-0.1,-0.002701638279128478,-0.005025125628140677
-0.1,-0.003742783575207242,-0.005025125628140783
-0.1,-0.0041399980922362505,-0.005025125628140622
-0.1,-0.0046981547864415,-0.005025125628140659
-0.1,-0.002585703042888313,-0.005025125628140783
-0.1,-0.0039443489418828515,-0.005025125628140733
-0.1,-0.0017616098670021278,-0.005025125628140704
-0.1,-0.0006112412561700212,-0.005025125628140636
-0.1,-0.001440566172794234,-0.005025125628140659
-0.1,-0.0022200177832386605,-0.005025125628140704
-0.1,-0.0016738308393532274,-0.005025125628140749
-0.1,-0.0027568650961051857,-0.005025125628140696
-0.1,-0.002855577429193195,-0.005025125628140659
-0.1,-0.0042413650355505195,-0.005025125628140749
-0.1,-0.0013824531231430375,-0.0050251256281407045
-0.1,-0.002495986356924361,-0.005025125628140659
-0.1,-0.004488308924048426,-0.005025125628140783
-0.1,-0.002328308857317254,-0.005025125628140622
-0.1,-0.003847286371316152,-0.0050251256281407695
-0.1,-0.002622660955769383,-0.005025125628140622
-0.1,-0.0008915896044987606,-0.005025125628140711
-0.1,7.495067715918424e-05,-0.005025125628140733
-0.1,-0.002868228868209951,-0.005025125628140622
-0.1,-0.0027157587148939288,-0.005025125628140704
-0.1,-0.002887674507835515,-0.005025125628140622
-0.1,-0.003907866968477433,-0.005025125628140783
-0.1,-0.0021900363183488627,-0.005025125628140711
-0.1,-0.001953618531754766,-0.005025125628140659
-0.1,-0.004454619224529297,-0.005025125628140783
-0.1,-0.004536067816419697,-0.005025125628140636
-0.1,-0.0005846053634605162,-0.005025125628140696
-0.1,-0.0019467803992663589,-0.005025125628140783
-0.1,-0.0029330344477246804,-0.005025125628140711
-0.1,-0.001519343659074409,-0.005025125628140783
-0.1,-0.0022411354833424026,-0.005025125628140704
-0.1,-0.0022452100770403464,-0.005025125628140677
-0.1,-0.001847330343861062,-0.005025125628140659
-0.1,-0.0021475721174042182,-0.005025125628140711
-0.1,-0.00023450454305404966,-0.005025125628140704
-0.1,-0.0017826476286056723,-0.005025125628140659
-0.1,-0.0044253501544198465,-0.005025125628140711
-0.1,-0.0038062577468742794,-0.005025125628140733
-0.1,-0.00020775674947452573,-0.005025125628140659
-0.1,-0.0036088661574916023,-0.005025125628140659
-0.1,-0.0003902508418654312,-0.005025125628140733
-0.1,-0.0013399191086606555,-0.005025125628140677
-0.1,-0.0037943735096354243,-0.005025125628140674
-0.1,0.0028969816239643657,-0.005025125628140711
-0.1,-0.0033731982586811256,-0.005025125628140704
-0.1,-0.0042301274759162025,-0.005025125628140696
-0.1,-0.003700810020381326,-0.005025125628140704
-0.1,-0.0013124558028971502,-0.005025125628140749
-0.1,-0.003354119193763288,-0.005025125628140677
-0.1,-0.0026714388253421388,-0.005025125628140749
-0.1,-0.0019626749575736785,-0.005025125628140696
-0.1,-0.0030268260910420717,-0.005025125628140704
-0.1,-0.002269653295074992,-0.005025125628140659
-0.1,-0.0013911318325188708,-0.005025125628140704
-0.1,-0.0024947526817430945,-0.005025125628140711
-0.1,-0.004684920209545431,-0.005025125628140674
-0.1,-0.0005726654318137194,-0.005025125628140783
-0.1,-0.0010071051899362827,-0.005025125628140622
-0.1,-0.004823714705351162,-0.005025125628140696
-0.1,-0.0031522643862461138,-0.005025125628140711
-0.1,-0.00327851333369276,-0.005025125628140696
-0.1,-0.002706576141260664,-0.005025125628140636
-0.1,-0.003767200877495944,-0.005025125628140733
-0.1,-0.0031983189661683627,-0.005025125628140783
-0.1,-0.0015236165082216117,-0.005025125628140711
-0.1,-0.002952184864208942,-0.005025125628140674
-0.1,-0.0025517062927371513,-0.005025125628140711
-0.1,-0.0020027350077535286,-0.005025125628140696
-0.1,-0.001755475534760307,-0.005025125628140622
-0.2,-0.008051036359796022,-0.0050251256281407695
-0.2,-0.004734352011301245,-0.005025125628140704
-0.2,-0.004432673794974852,-0.005025125628140704
-0.2,-0.0032977243077589994,-0.005025125628140704
-0.2,-0.0022418605139093955,-0.005025125628140783
-0.2,-0.0017824697548026933,-0.005025125628140731
-0.2,-0.0006082660826939182,-0.005025125628140659
-0.2,0.0014463581031328,-0.005025125628140783
-0.2,-0.001099560700640744,-0.005025125628140696
-0.2,-0.0061820146035178845,-0.005025125628140783
-0.2,-0.0045608931438083766,-0.005025125628140636
-0.2,-0.00041785722783740996,-0.0050251256281407695
-0.2,-0.00036245733505767215,-0.005025125628140696
-0.2,0.0035079326086955866,-0.005025125628140674
-0.2,0.0011671119937038225,-0.005025125628140704
-0.2,-0.0017443154287850315,-0.005025125628140636
-0.2,-0.0030026627882554645,-0.005025125628140711
-0.2,-0.003694188739322109,-0.005025125628140783
-0.2,-0.003104192399307197,-0.005025125628140704
-0.2,-0.003068298006335502,-0.005025125628140783
-0.2,0.0010401126115445346,-0.005025125628140674
-0.2,-0.002828695106999333,-0.005025125628140674
-0.2,-0.0006868004087499033,-0.005025125628140696
-0.2,-0.003515810490629321,-0.005025125628140711
-0.2,-0.0038002560418441142,-0.005025125628140636
-0.2,-0.0036953223976009283,-0.005025125628140636
-0.2,-0.0031092225220750724,-0.005025125628140749
-0.2,-0.004545434970900929,-0.005025125628140783
-0.2,-0.0012071257390797764,-0.005025125628140696
-0.2,-0.003355937011642063,-0.0050251256281407695
-0.2,-0.001746278022874298,-0.005025125628140659
-0.2,-0.003937453266506741,-0.005025125628140622
-0.2,-0.002888901610855551,-0.005025125628140749
-0.2,-0.00311198333158542,-0.005025125628140674
-0.2,-0.0017673903681881833,-0.005025125628140659
-0.2,-0.006602538207212945,-0.005025125628140733
-0.2,-0.0035771636671385566,-0.005025125628140622
-0.2,0.0007641169906034868,-0.005025125628140783
-0.2,-0.0029690973291345746,-0.005025125628140674
-0.2,-0.0013263732964732566,-0.005025125628140674
-0.2,-0.001274290231768632,-0.0050251256281407695
-0.2,-0.004151712779159812,-0.005025125628140659
-0.2,-0.00402628419376924,-0.005025125628140733
-0.2,-0.0036548837129821406,-0.005025125628140704
-0.2,2.792799709007231e-05,-0.005025125628140677
-0.2,-0.002858531841656961,-0.005025125628140659
-0.2,-0.0010385968913875963,-0.005025125628140674
-0.2,-0.002195973681681149,-0.005025125628140711
-0.2,-0.0016761319396673263,-0.005025125628140674
-0.2,-0.0033751470525136946,-0.005025125628140677
-0.2,-0.0067089988090603785,-0.005025125628140677
-0.2,-0.0023724837687531786,-0.005025125628140622
-0.2,-0.0025231249715667076,-0.005025125628140674
-0.2,-0.002746095232911315,-0.005025125628140659
-0.2,0.0002473025043862473,-0.005025125628140659
-0.2,0.00022466427438079197,-0.005025125628140733
-0.2,-0.0009603629006494469,-0.005025125628140783
-0.2,-0.0015304153895827855,-0.005025125628140711
-0.2,0.0006780403794114011,-0.005025125628140622
-0.2,-0.00228934953137552,-0.005025125628140783
-0.2,-0.0037493513303743287,-0.005025125628140677
-0.2,-0.0035540258667024,-0.005025125628140696
-0.2,-0.001940960948581798,-0.005025125628140636
-0.2,0.00030105579353214635,-0.005025125628140636
-0.2,-0.003825018709318569,-0.005025125628140674
-0.2,-0.0044145933717651565,-0.005025125628140696
-0.2,-0.0021307525528463664,-0.005025125628140674
-0.2,-0.0009777030388692881,-0.005025125628140704
-0.2,-0.003181911768412693,-0.005025125628140704
-0.2,-0.0017964306363074684,-0.005025125628140783
-0.2,-0.0032135748206711806,-0.005025125628140677
-0.2,-0.003612228334315117,-0.005025125628140704
-0.2,0.004388099360294018,-0.005025125628140704
-0.2,-0.002156514257746606,-0.005025125628140733
-0.2,-0.0026949575158247987,-0.005025125628140704
-0.2,-0.004113407619895715,-0.005025125628140733
-0.2,-0.004037251753413301,-0.005025125628140749
-0.2,-0.0020946315951340666,-0.005025125628140677
-0.2,-0.0031354036684814604,-0.005025125628140659
-0.2,-0.003365174174742196,-0.005025125628140696
-0.2,-0.003746899564444055,-0.005025125628140733
-0.2,-0.0010624574931708695,-0.005025125628140783
-0.2,-0.0036405951107365956,-0.005025125628140704
-0.2,-0.001490952097554483,-0.005025125628140783
-0.2,-0.001267304778395122,-0.005025125628140704
-0.2,-0.003619729193981719,-0.005025125628140704
-0.2,-0.0030026541395462166,-0.005025125628140696
-0.2,-0.0038276349649049015,-0.005025125628140696
-0.2,-0.0028970536601636504,-0.005025125628140783
-0.2,-0.00059506246312183,-0.005025125628140711
-0.2,-0.003803257863128136,-0.005025125628140659
-0.2,-0.00267946917722401,-0.005025125628140704
-0.2,-0.0031509047925955278,-0.005025125628140704
-0.2,-0.003701933843593032,-0.005025125628140696
-0.2,-0.003634619509409796,-0.005025125628140696
-0.2,-0.0016735748554938617,-0.005025125628140704
-0.2,-0.0024852957526946677,-0.005025125628140783
-0.2,-0.002740389021879955,-0.005025125628140783
-0.2,-0.0022338446102699284,-0.005025125628140749
-0.2,-0.0018889189764142256,-0.005025125628140674
-0.3,-0.001284219814313345,-0.005025125628140704
-0.3,-0.0034288749534118895,-0.005025125628140677
-0.3,-0.00429099041621923,-0.005025125628140733
-0.3,-0.000743844750519725,-0.005025125628140733
-0.3,-0.003868944146000617,-0.005025125628140704
-0.3,-0.0006611366754668858,-0.005025125628140659
-0.3,-0.0022879192224273836,-0.005025125628140704
-0.3,-0.0026455046767244173,-0.005025125628140622
-0.3,0.0001874756101998061,-0.005025125628140711
-0.3,-0.0011136059751858775,-0.005025125628140696
-0.3,-0.0016351119385013195,-0.005025125628140659
-0.3,-0.0033013901971885172,-0.005025125628140704
-0.3,-0.0018176902565977357,-0.005025125628140711
-0.3,-0.001492450775360607,-0.005025125628140674
-0.3,0.0017880874633653988,-0.005025125628140711
-0.3,-0.003569281617718774,-0.005025125628140711
-0.3,-0.0031607085229132504,-0.005025125628140622
-0.3,-0.0025148357817307756,-0.005025125628140696
-0.3,-0.0011458620712818505,-0.005025125628140704
-0.3,-0.002923556395538991,-0.005025125628140659
-0.3,-0.005653637432355954,-0.005025125628140696
-0.3,-0.00020194841294245115,-0.005025125628140749
-0.3,-0.002867365578329252,-0.005025125628140674
-0.3,-0.003887259792847549,-0.005025125628140659
-0.3,-0.004398091983480003,-0.005025125628140636
-0.3,-0.0018236801432498033,-0.005025125628140659
-0.3,-0.0028926653953154006,-0.005025125628140783
-0.3,-0.0020951569012390434,-0.005025125628140696
-0.3,-0.0019654618971361054,-0.005025125628140734
-0.3,-0.0012683353683882825,-0.005025125628140636
-0.3,0.0072484656175093596,-0.005025125628140733
-0.3,-0.0020182605840198043,-0.005025125628140704
