samplers,samplers_active,sampler_A,sampler_B,total_active,active_A,active_B,active_diff,active_diff_prop,gamma,replicate
20.0,10.4668,6.6265,3.8403,81.0337,51.5248,29.5089,22.0163,0.26657288494802694,1.0,0.0
20.0,9.997,4.7856,5.2114,61.1964,30.617,30.5794,3.0498,0.12189058760250569,1.0,1.0
20.0,10.1141,5.484,4.6301,56.7389,30.8547,25.8842,5.1117,0.16279142080409922,1.0,2.0
20.0,10.6007,5.2879,5.3128,97.0353,48.3528,48.6825,2.8059,0.05486212186154975,1.0,3.0
20.0,9.8388,4.0263,5.8125,77.2701,30.2891,46.981,16.6919,0.2473454802707228,1.0,4.0
20.0,8.8434,4.7205,4.1229,35.4296,17.4359,17.9937,3.6858,0.17850126694225812,1.0,5.0
20.0,10.4484,5.5185,4.9299,97.6095,51.3434,46.2661,5.1625,0.08824463046662975,1.0,6.0
20.0,9.7884,5.1628,4.6256,40.7376,21.1126,19.625,3.3628,0.15497776530526633,1.0,7.0
20.0,9.1514,4.2329,4.9185,23.5069,10.1502,13.3567,3.7141,0.16090294710517616,1.0,8.0
20.0,10.0551,4.6147,5.4404,85.2088,39.8229,45.3859,6.666,0.11220580820751914,1.0,9.0
20.0,9.9197,5.4073,4.5124,38.7254,19.7071,19.0183,4.653,0.15728486899869093,1.0,10.0
20.0,10.3885,5.7239,4.6646,96.9966,53.1592,43.8374,9.8368,0.10325333190088735,1.0,11.0
20.0,10.5528,4.8002,5.7526,95.4475,42.5181,52.9294,10.4113,0.15580719592031425,1.0,12.0
20.0,9.6477,4.2306,5.4171,36.4399,15.6661,20.7738,5.4527,0.2367702907878169,1.0,13.0
20.0,9.5908,4.3372,5.2536,44.1887,20.1741,24.0146,4.1839,0.1015119778636065,1.0,14.0
20.0,9.5436,5.1507,4.3929,58.4674,31.3919,27.0755,4.4392,0.12057090181652018,1.0,15.0
20.0,9.9487,5.3085,4.6402,67.5968,35.8667,31.7301,4.6588,0.09898765862387704,1.0,16.0
20.0,11.2062,4.9284,6.2778,100.6271,44.6229,56.0042,12.8929,0.1143746888235089,1.0,17.0
20.0,10.265,4.5081,5.7569,88.6572,38.1664,50.4908,12.3308,0.1700587887956189,1.0,18.0
20.0,10.5029,5.7684,4.7345,95.1398,52.1643,42.9755,9.7366,0.09560082935110348,1.0,19.0
20.0,10.1203,4.8631,5.2572,89.3365,42.2812,47.0553,5.1921,0.05885411958116381,1.0,20.0
20.0,10.0982,5.1246,4.9736,80.2164,40.4962,39.7202,2.29,0.059479258842585765,1.0,21.0
20.0,10.0356,4.6918,5.3438,81.4809,38.0427,43.4382,6.2171,0.09801855055759069,1.0,22.0
20.0,10.1653,5.2906,4.8747,89.5094,46.5128,42.9966,4.0386,0.057132769875508804,1.0,23.0
20.0,10.3649,5.2409,5.124,93.8408,47.6937,46.1471,2.1754,0.05758620027321677,1.0,24.0
20.0,10.6565,6.1437,4.5128,99.1062,57.6433,41.4629,16.1804,0.1974414524772393,1.0,25.0
20.0,10.0317,4.6231,5.4086,82.7377,37.9599,44.7778,8.3269,0.0975459109085283,1.0,26.0
20.0,10.0642,5.1934,4.8708,76.799,39.2148,37.5842,2.6806,0.0495758421903242,1.0,27.0
20.0,10.3386,4.8094,5.5292,95.5334,44.5967,50.9367,6.36,0.0804622905788466,1.0,28.0
20.0,9.254,4.3901,4.8639,28.1858,15.4175,12.7683,3.8438,0.1957072740852341,1.0,29.0
20.0,10.5776,5.4306,5.147,95.9549,49.3096,46.6453,5.5605,0.0963875629971047,1.0,30.0
20.0,8.5245,4.0015,4.523,23.8228,11.7447,12.0781,2.7114,0.16887278497064837,1.0,31.0
20.0,9.4812,5.312,4.1692,44.4327,25.7749,18.6578,7.4135,0.1822621584073262,1.0,32.0
20.0,9.2577,4.4989,4.7588,18.8487,10.273,8.5757,2.9419,0.23962318806499633,1.0,33.0
20.0,9.7366,4.5376,5.199,69.2505,34.0002,35.2503,2.2519,0.054885827226866274,1.0,34.0
20.0,9.4782,4.9262,4.552,62.652,32.9995,29.6525,3.569,0.09284834064214029,1.0,35.0
20.0,10.6089,4.42,6.1889,98.8181,40.7672,58.0509,17.3053,0.20881588532162215,1.0,36.0
20.0,9.9226,5.3307,4.5919,75.1272,40.3804,34.7468,5.6404,0.07452497658145234,1.0,37.0
20.0,10.0459,5.0876,4.9583,66.9436,34.5267,32.4169,3.958,0.0680607380177419,1.0,38.0
20.0,11.1929,4.8721,6.3208,99.6167,42.6403,56.9764,14.3361,0.17945242963796743,1.0,39.0
20.0,10.0214,4.5974,5.424,75.6605,34.4012,41.2593,6.9901,0.1431803480656875,1.0,40.0
20.0,10.5913,4.705,5.8863,77.9211,34.7835,43.1376,8.3583,0.2244032735355125,1.0,41.0
20.0,10.1366,5.8704,4.2662,85.56,50.3237,35.2363,15.1254,0.24386618183591377,1.0,42.0
20.0,10.2608,6.3297,3.9311,84.116,52.5561,31.5599,20.9962,0.36890635834365854,1.0,43.0
20.0,9.8323,4.5903,5.242,65.2633,29.788,35.4753,5.7951,0.11525297313698406,1.0,44.0
20.0,11.0265,5.8033,5.2232,98.0106,51.2532,46.7574,5.906,0.08022789947492791,1.0,45.0
20.0,10.0985,4.9608,5.1377,86.7037,39.3483,47.3554,8.2839,0.17871475549012414,1.0,46.0
20.0,10.0769,5.0493,5.0276,84.8361,41.9819,42.8542,3.1757,0.047920240050699746,1.0,47.0
20.0,8.7436,3.674,5.0696,27.2033,13.3643,13.839,2.4221,0.16177310829110111,1.0,48.0
20.0,10.7086,6.2314,4.4772,94.4915,54.5421,39.9494,14.8145,0.1820478449152375,1.0,49.0
