true_positive,false_negative,true_negative,false_positive,sensitivity,specificity,precision,gamma,replicate
1354.025,3874.91,4770.54,0.525,0.19324647685022545,0.9998289900529004,0.9917038954568985,1.0,0.0
1227.2,3767.435,5004.87,0.495,0.18125842767837674,0.9999168726627582,0.9850796719344894,1.0,1.0
1348.88,3683.67,4966.555,0.895,0.20155284228122225,0.9997625236554633,0.9901126052051026,1.0,2.0
1342.105,3969.9,4687.55,0.445,0.18846076083535399,0.9997334551529221,0.9993188678997129,1.0,3.0
1230.86,3676.845,5091.965,0.33,0.17897861851074723,0.9992551446508374,0.9889810697434327,1.0,4.0
883.78,3536.84,5579.295,0.085,0.14675220841743294,0.9999880428694544,0.9945812109265435,1.0,5.0
1352.6,3888.35,4758.5,0.55,0.19285275376495853,0.9998629531766485,0.9929191577859565,1.0,6.0
1189.155,3703.92,5106.7,0.225,0.17803945700851526,0.9974108136210379,0.9994349192506061,1.0,7.0
1037.61,3551.625,5410.37,0.395,0.16379552731883504,0.9999323057263263,0.9990003603548459,1.0,8.0
1291.425,3718.29,4989.955,0.33,0.18956346291156456,0.9999263173906993,0.9982834140265101,1.0,9.0
1112.77,3850.915,5036.06,0.255,0.16439899243562003,0.9999336122941903,0.9935651681765109,1.0,0.0
1441.645,3745.025,4813.105,0.225,0.19935734472214237,0.9992293003483216,0.9936634062485702,1.0,1.0
1660.715,3613.88,4724.19,1.215,0.2216371513480603,0.9987061726500204,0.9911043601338692,1.0,2.0
1101.765,3718.185,5179.835,0.215,0.16808773486807438,0.9999144633427117,0.9938853975799088,1.0,3.0
1374.725,3414.09,5210.25,0.935,0.1961769615875454,0.9998022342927652,0.9878831074332594,1.0,4.0
1268.6,3511.86,5219.23,0.31,0.18198491202839612,0.999330594893758,0.9991365819799629,1.0,5.0
1177.81,3803.485,5018.19,0.515,0.1758010322542826,0.9998981836299463,0.9585849374260803,1.0,6.0
1758.68,3853.37,4387.43,0.52,0.23459892768500237,0.9999115723291606,0.9847620351900261,1.0,7.0
1406.6,3728.48,4864.335,0.585,0.19797677120307783,0.999462882189304,0.98659320261238,1.0,8.0
1520.58,3715.775,4763.205,0.44,0.21348689739015955,0.9998766462103803,0.9920589980401278,1.0,9.0
1267.13,3810.17,4921.85,0.85,0.18063538659898257,0.9998451726096209,0.9953973370884853,1.0,0.0
1510.77,3535.655,4952.345,1.23,0.21246676589583685,0.9993067165863208,0.9970398524812987,1.0,1.0
1276.81,3744.69,4977.905,0.595,0.18430560019036857,0.9996496337330891,0.9909721926888752,1.0,2.0
1529.085,3553.145,4917.42,0.35,0.21130422137275925,0.9982186870691487,0.988038092661511,1.0,3.0
1441.23,3769.62,4788.58,0.57,0.2040044547217096,0.9998901423155733,0.986731632005059,1.0,4.0
1504.89,3810.555,4683.805,0.75,0.209375065028279,0.9998448160062112,0.9869553985003393,1.0,5.0
1220.025,3811.36,4968.08,0.535,0.17985833348807737,0.9999237427168552,0.994048678419658,1.0,6.0
1262.255,3768.485,4968.7,0.56,0.18272800343370163,0.999911425595159,0.9920189683424037,1.0,7.0
1292.67,3874.345,4832.92,0.065,0.18187658025699824,0.9999907505401101,0.9988045026493731,1.0,8.0
899.04,3732.025,5368.47,0.465,0.14528727768463784,0.9999273663162279,0.9925092382343018,1.0,9.0
1302.83,3996.195,4700.74,0.235,0.18346982266393091,0.9982028967671208,0.9933449627607981,1.0,0.0
862.375,3404.015,5733.54,0.07,0.14499074327907271,0.999861077684416,0.9990122674537454,1.0,1.0
1194.415,3545.505,5259.785,0.295,0.18475954677513123,0.9998049831510689,0.9925677260029366,1.0,2.0
868.895,3766.16,5364.665,0.28,0.1430098559810537,0.999950946807289,0.9990159654899697,1.0,3.0
1188.545,3680.285,5130.585,0.585,0.17666976005118723,0.9981832980765418,0.9935732131432992,1.0,4.0
1050.61,3695.785,5253.045,0.56,0.16926059983865105,0.9998227279864826,0.992922034292816,1.0,5.0
