true_positive,false_negative,true_negative,false_positive,sensitivity,specificity,precision,gamma,replicate
1344.12,3885.755,4769.48,0.645,0.19251627419133466,0.9998220451301854,0.9903147450782112,1.0,0.0
1489.005,3507.325,5002.13,1.54,0.21379583959742124,0.9997587530307827,0.9846019599286899,1.0,1.0
1083.505,3948.555,4967.215,0.725,0.17303158885704412,0.999838022416002,0.9826726226452022,1.0,2.0
1387.895,3924.195,4686.58,1.33,0.20217675449030387,0.9997992783301597,0.9779466612714024,1.0,3.0
1335.69,3569.455,5093.965,0.89,0.19503596451983915,0.9995556368300998,0.9305568135272684,1.0,4.0
844.08,3577.815,5577.945,0.16,0.14285375333287473,0.9999575568569083,0.9934185214995147,1.0,5.0
1409.135,3835.4,4753.425,2.04,0.20729349674201422,0.999638110674703,0.9727472444387939,1.0,6.0
1094.095,3797.105,5107.2,1.6,0.1730869750942732,0.9998077916356004,0.9604521781808385,1.0,7.0
793.205,3792.275,5413.935,0.585,0.14662894116023767,0.9982484037111827,0.9457338295202988,1.0,8.0
1388.085,3618.98,4992.05,0.885,0.20455135026079044,0.9997259338892257,0.9750519202728755,1.0,9.0
1024.0,3938.885,5033.18,3.935,0.1780493415016184,0.9995214579905194,0.916874239586654,1.0,0.0
1537.94,3646.035,4813.21,2.815,0.2122531090876015,0.9995150787155879,0.9837804405124249,1.0,1.0
1593.01,3679.955,4725.385,1.65,0.2190652067535792,0.9801601173247395,0.976989630346402,1.0,2.0
1309.935,3508.915,5180.655,0.495,0.1925524561369699,0.9998502529720711,0.989737171086121,1.0,3.0
1001.57,3788.0,5209.665,0.765,0.15291090666926774,0.9998922848498117,0.9951098166840671,1.0,4.0
1255.005,3526.425,5218.53,0.04,0.18237229286127377,0.999994314684082,0.9947250918233013,1.0,5.0
1036.41,3941.455,5021.605,0.53,0.162393154683424,0.999325124807161,0.9911969668141856,1.0,6.0
1474.345,4134.665,4390.29,0.7,0.2049367134533855,0.9965056076252252,0.9905466576794288,1.0,7.0
1680.005,3458.405,4861.355,0.235,0.22416403246949929,0.999822166408842,0.9987874063993094,1.0,8.0
1220.26,4020.68,4758.205,0.855,0.1812861120743559,0.9992727053077174,0.9891220195074031,1.0,9.0
905.965,4169.64,4924.065,0.33,0.14441363589793246,0.9999366239171558,0.9812283111221185,1.0,0.0
1600.125,3443.03,4935.01,21.835,0.22844999442404323,0.9968067037056778,0.9734814648775665,1.0,1.0
1209.375,3811.16,4977.69,1.775,0.17801576501526892,0.9997153304366558,0.9706487544811945,1.0,2.0
1097.75,3984.075,4917.98,0.195,0.1624456146322851,0.9945733264114337,0.9937527837870764,1.0,3.0
1300.28,3909.385,4780.585,9.75,0.1990576410629012,0.9986114853122898,0.9595997789998677,1.0,4.0
1693.885,3621.95,4680.57,3.595,0.22768421300186803,0.9931782235424338,0.9778082746610077,1.0,5.0
1322.825,3704.63,4969.935,2.61,0.19556201510414098,0.981343052570579,0.9671919609906905,1.0,6.0
1190.08,3842.64,4965.02,2.26,0.17621532606662382,0.9993983550951566,0.9883242836500791,1.0,7.0
1388.925,3772.52,4838.15,0.405,0.1937921321234459,0.999543033089106,0.9841799373733054,1.0,8.0
1068.335,3562.29,5366.915,2.46,0.16972282862174348,0.9996770100455266,0.9917765312382724,1.0,9.0
1525.385,3773.325,4700.645,0.645,0.21025294810915923,0.9998309235604604,0.9827571241603853,1.0,0.0
914.085,3354.16,5731.24,0.515,0.15091180631765247,0.9997182991205523,0.9955157459208687,1.0,1.0
1047.57,3691.94,5259.395,1.095,0.175676917708259,0.9996489188679731,0.9934716865338761,1.0,2.0
949.575,3691.425,5356.255,2.745,0.15816676950574665,0.9997099403690465,0.984045885553792,1.0,3.0
1214.595,3649.545,5131.89,3.97,0.18439339194932605,0.9986139260308354,0.9654858547246228,1.0,4.0
998.59,3749.65,5251.525,0.235,0.1633263816062725,0.9991262936536434,0.9943855239726759,1.0,5.0
1555.515,3776.225,4667.87,0.39,0.21117641612360166,0.9993985056915168,0.9866321347165085,1.0,6.0
