samplers,samplers_active,sampler_A,sampler_B,total_active,active_A,active_B,active_diff,active_diff_prop,gamma,replicate
20.0,10.4612,6.6305,3.8307,26.8953,16.4234,10.4719,6.3339,0.25516821124591604,1.0,0.0
20.0,10.0019,4.7868,5.2151,29.8109,15.4784,14.3325,2.7431,0.16807207544226221,1.0,1.0
20.0,10.075,5.4639,4.6111,21.6846,12.3622,9.3224,3.8264,0.23735309341145328,1.0,2.0
20.0,10.6166,5.2803,5.3363,27.7845,12.9306,14.8539,3.3713,0.19380437683487797,1.0,3.0
20.0,9.8234,4.0183,5.8051,26.7316,9.7105,17.0211,7.5332,0.3315940377284469,1.0,4.0
20.0,8.8624,4.727,4.1354,16.8848,7.8985,8.9863,2.5512,0.2212021955881485,1.0,5.0
20.0,10.4694,5.5341,4.9353,28.2235,15.3793,12.8442,3.4541,0.18861681122918308,1.0,6.0
20.0,9.7757,5.1584,4.6173,21.9139,11.2893,10.6246,2.9349,0.21709073130175588,1.0,7.0
20.0,9.1707,4.2427,4.928,15.8758,7.0357,8.8401,2.7618,0.2451151457023297,1.0,8.0
20.0,10.0636,4.6177,5.4459,27.7794,13.2444,14.535,3.3806,0.1632108630259464,1.0,9.0
20.0,9.9256,5.4153,4.5103,20.5587,10.034,10.5247,2.8215,0.20872229315005567,1.0,10.0
20.0,10.3782,5.7172,4.661,30.8151,16.422,14.3931,3.2841,0.1635419889013363,1.0,11.0
20.0,10.5559,4.8069,5.749,31.8932,12.7879,19.1053,6.5114,0.27267460382434383,1.0,12.0
20.0,9.6351,4.221,5.4141,26.2086,10.8354,15.3732,5.0708,0.2573006806916711,1.0,13.0
20.0,9.5908,4.3309,5.2599,20.0467,9.7141,10.3326,2.9181,0.21196775875225243,1.0,14.0
20.0,9.5564,5.1604,4.396,25.1009,14.1355,10.9654,3.9363,0.20220499843348072,1.0,15.0
20.0,9.9694,5.3137,4.6557,20.7388,11.0594,9.6794,3.0736,0.22556721824845172,1.0,16.0
20.0,11.2052,4.9233,6.2819,29.5009,13.7231,15.7778,3.7345,0.1670923171861265,1.0,17.0
20.0,10.2632,4.5087,5.7545,33.6048,12.4924,21.1124,8.7654,0.2974852091711473,1.0,18.0
20.0,10.4803,5.7591,4.7212,24.4223,12.2168,12.2055,2.8791,0.1705104476722336,1.0,19.0
20.0,10.1412,4.883,5.2582,18.1259,8.7306,9.3953,2.7323,0.21073094857221863,1.0,20.0
20.0,10.1073,5.1301,4.9772,32.4392,16.5072,15.932,2.571,0.13774924608149255,1.0,21.0
20.0,10.0431,4.6957,5.3474,24.223,11.6322,12.5908,2.7234,0.16681621037250663,1.0,22.0
20.0,10.1549,5.2869,4.868,21.9589,10.5213,11.4376,2.9181,0.1824696170929406,1.0,23.0
20.0,10.3998,5.2696,5.1302,26.2006,13.6337,12.5669,2.9532,0.19150651698580162,1.0,24.0
20.0,10.6377,6.1356,4.5021,33.9496,21.605,12.3446,9.3378,0.30468141939753773,1.0,25.0
20.0,10.0374,4.6234,5.414,26.5087,12.795,13.7137,2.8695,0.14536430030116368,1.0,26.0
20.0,10.0668,5.1957,4.8711,23.8468,12.1213,11.7255,2.7062,0.17165015805269657,1.0,27.0
20.0,10.3141,4.7951,5.519,27.7866,12.4785,15.3081,4.1804,0.20074753472721482,1.0,28.0
20.0,9.2737,4.4042,4.8695,21.4159,10.9256,10.4903,2.7591,0.2240485470198317,1.0,29.0
20.0,10.5872,5.4315,5.1557,30.5206,16.4458,14.0748,3.5136,0.17493406252248891,1.0,30.0
20.0,8.5213,3.9971,4.5242,18.292,8.8916,9.4004,2.3176,0.2055305744123448,1.0,31.0
20.0,9.473,5.308,4.165,20.9733,11.6619,9.3114,3.4455,0.2247174986529182,1.0,32.0
20.0,9.27,4.5045,4.7655,19.0464,10.324,8.7224,2.9324,0.2602983251781059,1.0,33.0
20.0,9.7446,4.5417,5.2029,24.3713,11.0693,13.302,3.3669,0.17116436624138648,1.0,34.0
20.0,9.4947,4.9283,4.5664,19.9765,9.5903,10.3862,2.9539,0.20162622351539786,1.0,35.0
20.0,10.6551,4.432,6.2231,31.1181,11.9145,19.2036,7.4101,0.2765798703093114,1.0,36.0
20.0,9.8994,5.3203,4.5791,25.7394,13.4893,12.2501,2.949,0.17708575182949374,1.0,37.0
20.0,10.0425,5.0692,4.9733,23.7598,11.4062,12.3536,2.8658,0.19581758644519223,1.0,38.0
20.0,11.1864,4.861,6.3254,35.9694,14.6018,21.3676,6.9688,0.25801635073955925,1.0,39.0
20.0,10.0214,4.5949,5.4265,34.1055,15.4963,18.6092,3.8605,0.19357084341758532,1.0,40.0
20.0,10.6378,4.7055,5.9323,27.9751,11.4542,16.5209,5.4501,0.2708931487031637,1.0,41.0
20.0,10.1376,5.8684,4.2692,21.7131,13.5227,8.1904,5.5383,0.30859736791144954,1.0,42.0
20.0,10.3185,6.3709,3.9476,29.337,19.7053,9.6317,10.12,0.4173216721568109,1.0,43.0
20.0,9.8169,4.5859,5.231,21.8982,9.6496,12.2486,3.4804,0.20061788374504488,1.0,44.0
20.0,10.9957,5.7964,5.1993,33.9194,17.9466,15.9728,3.9642,0.1733736223347079,1.0,45.0
20.0,10.1162,4.9699,5.1463,25.341,11.4278,13.9132,3.3998,0.19617705802511343,1.0,46.0
20.0,10.0646,5.0445,5.0201,23.1363,12.0012,11.1351,2.6853,0.17077886917532775,1.0,47.0
20.0,8.7429,3.6755,5.0674,19.257,8.4617,10.7953,3.3786,0.24142084722297397,1.0,48.0
20.0,10.7007,6.232,4.4687,27.9708,16.0515,11.9193,4.6636,0.22012022693250785,1.0,49.0
20.0,9.4109,5.1179,4.293,22.9356,12.4018,10.5338,3.053,0.17531332526010399,1.0,50.0
20.0,10.7028,5.9023,4.8005,27.3879,15.436,11.9519,4.4439,0.2210589749845433,1.0,51.0
20.0,10.8154,5.509,5.3064,37.2864,18.379,18.9074,2.8706,0.12941151583883131,1.0,52.0
20.0,10.4372,5.1727,5.2645,24.2437,12.0242,12.2195,2.8205,0.17441132121034825,1.0,53.0
20.0,10.9544,6.0091,4.9453,25.8601,14.5302,11.3299,4.1749,0.2109490826707827,1.0,54.0
20.0,10.6358,5.0916,5.5442,27.6141,13.1354,14.4787,2.9243,0.19691465970805092,1.0,55.0
20.0,9.7884,5.5204,4.268,24.4147,14.18,10.2347,4.4145,0.2296897575506493,1.0,56.0
20.0,10.5874,5.0313,5.5561,26.5827,13.4067,13.176,2.6089,0.1470684981574108,1.0,57.0
20.0,9.0799,3.8909,5.189,20.7083,9.3116,11.3967,3.3679,0.23047548058344594,1.0,58.0
20.0,10.2863,5.3069,4.9794,23.7768,12.6205,11.1563,3.0288,0.17421138726628302,1.0,59.0
20.0,9.9545,4.7159,5.2386,22.2056,9.8304,12.3752,3.499,0.23639256253772745,1.0,60.0
20.0,10.1033,4.8617,5.2416,27.6821,14.8079,12.8742,3.4457,0.1893773711005112,1.0,61.0
20.0,10.6149,5.0694,5.5455,35.5461,17.536,18.0101,2.9641,0.14556890428462932,1.0,62.0
