gamma,replicate,individual,out_degree,out_degree_initial,in_degree,in_degree_initial,same_type_adds,same_type_breaks,diff_type_adds,diff_type_breaks
-0.8,0,0,1,4,0,1,0,0,0,3
-0.8,0,1,0,2,1,3,0,0,0,2
-0.8,0,2,0,3,1,1,0,0,0,3
-0.8,0,3,1,3,1,4,0,1,0,1
-0.8,0,4,0,4,4,5,0,3,0,1
-0.8,0,5,0,3,3,5,0,2,0,1
-0.8,0,6,0,7,2,7,0,4,0,3
-0.8,0,7,1,4,2,4,0,1,0,2
-0.8,0,8,0,5,1,5,0,3,0,2
-0.8,0,9,3,9,1,7,0,3,0,3
-0.8,0,10,0,2,2,6,0,1,0,1
-0.8,0,11,5,5,2,5,0,0,0,0
-0.8,0,12,2,4,4,7,0,2,0,0
-0.8,0,13,0,8,2,5,0,3,0,5
-0.8,0,14,1,1,2,8,0,0,0,0
-0.8,0,15,1,4,1,4,0,2,0,1
-0.8,0,16,3,7,0,5,0,1,0,3
-0.8,0,17,0,6,2,2,0,2,0,4
-0.8,0,18,0,3,2,5,0,0,0,3
-0.8,0,19,0,4,3,8,0,1,0,3
-0.8,0,20,8,8,5,7,0,0,0,0
-0.8,0,21,4,7,1,4,0,0,0,3
-0.8,0,22,0,5,0,5,0,1,0,4
-0.8,0,23,0,3,0,1,0,1,0,2
-0.8,0,24,2,7,2,7,0,2,0,3
-0.8,0,25,3,8,2,4,0,3,0,2
-0.8,0,26,0,4,3,4,0,0,0,4
-0.8,0,27,0,6,3,8,0,2,0,4
-0.8,0,28,2,4,1,5,0,1,0,1
-0.8,0,29,1,3,0,3,0,1,0,1
-0.8,0,30,0,1,3,6,0,1,0,0
-0.8,0,31,1,1,1,5,0,0,0,0
-0.8,0,32,7,7,0,2,0,0,0,0
-0.8,0,33,0,5,3,7,0,2,0,3
-0.8,0,34,0,5,2,3,0,3,0,2
-0.8,0,35,4,6,4,7,0,0,0,2
-0.8,0,36,0,6,0,2,0,2,0,4
-0.8,0,37,0,7,1,6,0,4,0,3
-0.8,0,38,0,3,1,3,0,1,0,2
-0.8,0,39,0,4,4,7,0,2,0,2
-0.8,0,40,6,8,2,7,0,0,0,2
-0.8,0,41,6,8,1,6,0,1,0,1
-0.8,0,42,0,4,3,6,0,2,0,2
-0.8,0,43,1,10,2,10,0,6,0,3
-0.8,0,44,0,2,1,5,0,1,0,1
-0.8,0,45,3,7,0,2,0,1,0,3
-0.8,0,46,6,8,3,3,0,1,0,1
-0.8,0,47,6,7,1,2,0,0,0,1
-0.8,0,48,3,8,4,4,0,4,0,1
-0.8,0,49,6,6,1,1,0,0,0,0
-0.8,0,50,2,6,2,5,0,0,0,4
-0.8,0,51,6,6,1,2,0,0,0,0
-0.8,0,52,8,11,0,3,0,3,0,0
-0.8,0,53,1,3,0,3,0,0,0,2
-0.8,0,54,0,4,2,5,0,1,0,3
-0.8,0,55,2,5,5,8,0,1,0,2
-0.8,0,56,3,6,3,8,0,2,0,1
-0.8,0,57,0,4,2,9,0,0,0,4
-0.8,0,58,0,2,3,4,0,2,0,0
-0.8,0,59,0,4,1,5,0,0,0,4
-0.8,0,60,0,6,0,4,0,3,0,3
-0.8,0,61,0,2,3,7,0,0,0,2
-0.8,0,62,10,10,1,4,0,0,0,0
-0.8,0,63,2,3,3,6,0,0,0,1
-0.8,0,64,1,3,1,4,0,1,0,1
-0.8,0,65,0,4,3,3,0,1,0,3
-0.8,0,66,0,4,3,6,0,2,0,2
-0.8,0,67,8,10,5,6,0,0,0,2
-0.8,0,68,2,4,0,2,0,0,0,2
-0.8,0,69,7,7,1,2,0,0,0,0
-0.8,0,70,1,8,4,5,0,2,0,5
-0.8,0,71,1,3,1,4,0,1,0,1
-0.8,0,72,0,1,1,3,0,1,0,0
-0.8,0,73,0,5,2,7,0,4,0,1
-0.8,0,74,0,3,1,4,0,0,0,3
-0.8,0,75,2,7,0,6,0,2,0,3
-0.8,0,76,2,2,3,4,0,0,0,0
-0.8,0,77,2,6,1,3,0,1,0,3
-0.8,0,78,0,4,1,4,0,1,0,3
-0.8,0,79,1,4,1,5,0,0,0,3
-0.8,0,80,2,3,3,6,0,0,0,1
-0.8,0,81,3,7,1,4,0,4,0,0
-0.8,0,82,0,3,3,4,0,1,0,2
-0.8,0,83,0,3,2,3,0,1,0,2
-0.8,0,84,0,1,4,8,0,1,0,0
-0.8,0,85,0,5,1,6,0,4,0,1
-0.8,0,86,0,3,1,5,0,2,0,1
-0.8,0,87,1,7,0,7,0,3,0,3
-0.8,0,88,6,8,2,3,0,0,0,2
-0.8,0,89,6,7,1,5,0,0,0,1
-0.8,0,90,0,4,2,6,0,2,0,2
-0.8,0,91,0,2,3,4,0,2,0,0
-0.8,0,92,0,2,4,5,0,0,0,2
-0.8,0,93,0,6,1,4,0,3,0,3
-0.8,0,94,2,6,4,12,0,1,0,3
-0.8,0,95,1,2,3,5,0,0,0,1
-0.8,0,96,6,7,0,1,0,0,0,1
-0.8,0,97,3,6,3,5,0,1,0,2
-0.8,0,98,0,2,2,9,0,1,0,1
-0.8,0,99,3,5,1,3,0,0,0,2
-0.8,0,100,0,5,2,6,0,3,0,2
-0.8,0,101,7,9,1,4,0,1,0,1
-0.8,0,102,4,7,1,1,0,2,0,1
-0.8,0,103,1,7,1,4,0,4,0,2
-0.8,0,104,2,3,1,2,0,0,0,1
-0.8,0,105,6,7,2,4,0,1,0,0
-0.8,0,106,1,4,2,6,0,1,0,2
-0.8,0,107,2,5,1,8,0,0,0,3
-0.8,0,108,5,7,5,7,0,1,0,1
-0.8,0,109,1,6,0,5,0,1,0,4
-0.8,0,110,5,9,2,6,0,0,0,4
-0.8,0,111,2,4,1,7,0,0,0,2
-0.8,0,112,7,8,5,8,0,0,0,1
-0.8,0,113,0,2,3,4,0,2,0,0
-0.8,0,114,0,4,2,7,0,1,0,3
-0.8,0,115,1,8,0,3,0,2,0,5
-0.8,0,116,4,5,2,4,0,1,0,0
-0.8,0,117,0,2,0,5,0,1,0,1
-0.8,0,118,0,6,0,4,0,2,0,4
-0.8,0,119,2,5,1,1,0,0,0,3
-0.8,0,120,2,10,2,6,0,2,0,6
-0.8,0,121,0,8,0,3,0,3,0,5
-0.8,0,122,0,4,1,3,0,2,0,2
-0.8,0,123,3,3,1,2,0,0,0,0
-0.8,0,124,5,6,1,4,0,0,0,1
-0.8,0,125,0,3,4,9,0,2,0,1
-0.8,0,126,2,3,2,6,0,1,0,0
-0.8,0,127,2,5,0,5,0,2,0,1
-0.8,0,128,3,4,5,5,0,1,0,0
-0.8,0,129,6,7,4,6,0,1,0,0
-0.8,0,130,0,7,0,2,0,3,0,4
-0.8,0,131,0,5,1,4,0,1,0,4
-0.8,0,132,0,6,0,5,0,2,0,4
-0.8,0,133,2,4,2,4,0,1,0,1
-0.8,0,134,0,3,0,4,0,1,0,2
-0.8,0,135,0,5,3,4,0,2,0,3
-0.8,0,136,1,4,0,10,0,2,0,1
-0.8,0,137,3,4,3,8,0,0,0,1
-0.8,0,138,3,3,3,6,0,0,0,0
-0.8,0,139,0,8,0,3,0,5,0,3
-0.8,0,140,0,2,0,6,0,1,0,1
-0.8,0,141,0,2,6,7,0,0,0,2
-0.8,0,142,0,6,3,8,0,2,0,4
-0.8,0,143,1,6,2,5,0,3,0,2
-0.8,0,144,0,5,2,3,0,2,0,3
-0.8,0,145,0,2,2,5,0,1,0,1
-0.8,0,146,1,7,0,7,0,5,0,1
-0.8,0,147,5,6,3,3,0,1,0,0
-0.8,0,148,2,5,3,6,0,1,0,2
-0.8,0,149,1,5,0,6,0,2,0,2
-0.8,0,150,0,3,2,2,0,2,0,1
-0.8,0,151,8,8,0,1,0,0,0,0
-0.8,0,152,0,6,0,4,0,4,0,2
-0.8,0,153,1,7,0,8,0,2,0,4
-0.8,0,154,0,5,3,8,0,0,0,5
-0.8,0,155,5,5,0,4,0,0,0,0
-0.8,0,156,2,7,0,8,0,1,0,4
-0.8,0,157,1,4,2,8,0,1,0,2
-0.8,0,158,0,4,1,6,0,2,0,2
-0.8,0,159,1,6,1,5,0,0,0,5
-0.8,0,160,2,6,3,8,0,2,0,2
-0.8,0,161,1,5,0,4,0,1,0,3
-0.8,0,162,1,6,2,3,0,2,0,3
-0.8,0,163,0,2,2,8,0,1,0,1
-0.8,0,164,0,8,0,5,0,3,0,5
-0.8,0,165,0,2,3,5,0,2,0,0
-0.8,0,166,4,4,5,6,0,0,0,0
-0.8,0,167,1,6,0,2,0,1,0,4
-0.8,0,168,2,3,0,4,0,1,0,0
-0.8,0,169,8,10,5,9,0,1,0,1
-0.8,0,170,2,7,2,7,0,1,0,4
-0.8,0,171,3,3,2,3,0,0,0,0
-0.8,0,172,0,7,1,6,0,2,0,5
-0.8,0,173,2,9,0,3,0,2,0,5
-0.8,0,174,0,4,4,6,0,1,0,3
-0.8,0,175,6,6,0,3,0,0,0,0
-0.8,0,176,1,8,1,4,0,1,0,6
-0.8,0,177,2,4,0,8,0,0,0,2
-0.8,0,178,1,3,1,4,0,1,0,1
-0.8,0,179,0,4,2,3,0,3,0,1
-0.8,0,180,0,1,4,6,0,1,0,0
-0.8,0,181,6,7,2,5,0,0,0,1
-0.8,0,182,0,3,2,4,0,2,0,1
-0.8,0,183,0,3,4,8,0,1,0,2
-0.8,0,184,0,1,1,3,0,0,0,1
-0.8,0,185,0,7,4,13,0,4,0,3
-0.8,0,186,1,5,1,6,0,1,0,3
-0.8,0,187,5,6,2,2,0,1,0,0
-0.8,0,188,0,7,3,5,0,2,0,5
-0.8,0,189,0,4,3,6,0,2,0,2
-0.8,0,190,0,6,3,6,0,1,0,5
-0.8,0,191,7,9,1,6,0,0,0,2
-0.8,0,192,6,6,3,4,0,0,0,0
-0.8,0,193,5,5,1,4,0,0,0,0
-0.8,0,194,0,1,3,8,0,1,0,0
-0.8,0,195,0,1,2,6,0,1,0,0
-0.8,0,196,2,5,1,4,0,1,0,2
-0.8,0,197,0,3,3,5,0,3,0,0
-0.8,0,198,0,3,3,5,0,3,0,0
-0.8,0,199,0,2,1,3,0,2,0,0
-0.8,1,0,6,6,5,6,0,0,0,0
-0.8,1,1,0,6,1,5,0,3,0,3
-0.8,1,2,1,4,0,3,0,0,0,3
-0.8,1,3,0,4,1,4,0,2,0,2
-0.8,1,4,3,7,4,6,0,3,0,1
-0.8,1,5,6,6,5,6,0,0,0,0
-0.8,1,6,0,3,7,7,0,2,0,1
-0.8,1,7,1,6,2,5,0,1,0,4
-0.8,1,8,1,5,2,7,0,2,0,2
-0.8,1,9,4,7,4,7,0,1,0,2
-0.8,1,10,0,1,3,4,0,0,0,1
-0.8,1,11,7,7,1,2,0,0,0,0
-0.8,1,12,0,3,2,5,0,0,0,3
-0.8,1,13,0,2,4,6,0,1,0,1
-0.8,1,14,4,7,0,5,0,0,0,3
-0.8,1,15,4,7,2,7,0,0,0,3
-0.8,1,16,6,6,5,6,0,0,0,0
-0.8,1,17,6,6,4,4,0,0,0,0
-0.8,1,18,0,4,4,6,0,1,0,3
-0.8,1,19,3,4,3,6,0,1,0,0
-0.8,1,20,5,7,4,7,0,1,0,1
-0.8,1,21,0,3,2,2,0,2,0,1
-0.8,1,22,3,8,6,10,0,1,0,4
-0.8,1,23,1,3,1,5,0,0,0,2
-0.8,1,24,1,2,2,6,0,1,0,0
-0.8,1,25,0,1,3,7,0,1,0,0
-0.8,1,26,5,8,4,5,0,1,0,2
-0.8,1,27,1,2,1,5,0,0,0,1
-0.8,1,28,2,4,4,7,0,1,0,1
-0.8,1,29,0,7,3,5,0,4,0,3
-0.8,1,30,0,5,3,4,0,0,0,5
-0.8,1,31,4,5,1,3,0,0,0,1
-0.8,1,32,5,5,1,3,0,0,0,0
-0.8,1,33,0,1,1,2,0,1,0,0
-0.8,1,34,0,1,10,12,0,0,0,1
-0.8,1,35,1,5,1,8,0,2,0,2
-0.8,1,36,6,7,5,7,0,1,0,0
-0.8,1,37,5,5,5,8,0,0,0,0
-0.8,1,38,1,7,0,1,0,2,0,4
-0.8,1,39,0,3,5,7,0,0,0,3
-0.8,1,40,3,6,6,9,0,2,0,1
-0.8,1,41,0,2,0,0,0,2,0,0
-0.8,1,42,4,5,1,3,0,0,0,1
-0.8,1,43,6,6,4,7,0,0,0,0
-0.8,1,44,0,4,2,5,0,3,0,1
-0.8,1,45,0,4,4,4,0,1,0,3
-0.8,1,46,1,4,0,2,0,1,0,2
-0.8,1,47,0,9,2,6,0,3,0,6
-0.8,1,48,3,10,1,4,0,2,0,5
-0.8,1,49,1,5,0,3,0,2,0,2
-0.8,1,50,0,4,3,4,0,2,0,2
-0.8,1,51,4,4,1,3,0,0,0,0
-0.8,1,52,2,6,1,6,0,1,0,3
-0.8,1,53,1,5,0,4,0,2,0,2
-0.8,1,54,5,7,1,4,0,1,0,1
-0.8,1,55,0,8,2,5,0,3,0,5
-0.8,1,56,6,6,3,9,0,0,0,0
-0.8,1,57,0,6,2,10,0,5,0,1
-0.8,1,58,3,3,6,8,0,0,0,0
-0.8,1,59,1,5,5,10,0,1,0,3
-0.8,1,60,0,1,3,3,0,1,0,0
-0.8,1,61,0,4,3,4,0,1,0,3
-0.8,1,62,2,3,1,4,0,0,0,1
-0.8,1,63,0,2,3,4,0,1,0,1
-0.8,1,64,2,8,3,3,0,2,0,4
-0.8,1,65,1,3,2,4,0,2,0,0
-0.8,1,66,4,4,3,6,0,0,0,0
-0.8,1,67,12,12,2,4,0,0,0,0
-0.8,1,68,3,10,1,6,0,0,0,7
-0.8,1,69,1,4,3,4,0,1,0,2
-0.8,1,70,5,5,3,5,0,0,0,0
-0.8,1,71,4,7,4,6,0,2,0,1
-0.8,1,72,2,3,6,7,0,1,0,0
-0.8,1,73,7,7,0,2,0,0,0,0
-0.8,1,74,3,6,3,6,0,1,0,2
-0.8,1,75,6,6,3,4,0,0,0,0
-0.8,1,76,3,5,8,10,0,0,0,2
-0.8,1,77,3,3,4,6,0,0,0,0
-0.8,1,78,1,5,2,5,0,1,0,3
-0.8,1,79,5,6,6,7,0,1,0,0
-0.8,1,80,9,9,2,4,0,0,0,0
-0.8,1,81,0,2,5,5,0,0,0,2
-0.8,1,82,4,4,6,8,0,0,0,0
-0.8,1,83,1,5,3,10,0,2,0,2
-0.8,1,84,0,6,3,5,0,1,0,5
-0.8,1,85,4,5,5,6,0,0,0,1
-0.8,1,86,4,4,1,2,0,0,0,0
-0.8,1,87,5,7,5,8,0,1,0,1
-0.8,1,88,0,4,2,3,0,2,0,2
-0.8,1,89,1,6,4,6,0,1,0,4
-0.8,1,90,1,2,0,1,0,0,0,1
-0.8,1,91,2,5,2,6,0,3,0,0
-0.8,1,92,5,11,1,4,0,0,0,6
-0.8,1,93,1,3,1,3,0,0,0,2
