gamma,replicate,individual,out_degree,out_degree_initial,in_degree,in_degree_initial,same_type_adds,same_type_breaks,diff_type_adds,diff_type_breaks
0.0,0,0,4,4,2,2,0,0,0,0
0.0,0,1,5,7,4,7,0,0,0,2
0.0,0,2,4,4,4,7,0,0,0,0
0.0,0,3,7,7,3,3,0,0,0,0
0.0,0,4,9,9,4,5,0,0,0,0
0.0,0,5,4,5,5,7,0,0,0,1
0.0,0,6,0,3,4,4,0,3,0,0
0.0,0,7,7,7,6,8,0,0,0,0
0.0,0,8,1,6,4,8,0,1,0,4
0.0,0,9,0,3,5,6,0,1,0,2
0.0,0,10,4,4,3,3,0,0,0,0
0.0,0,11,1,5,4,7,0,3,0,1
0.0,0,12,1,3,3,10,0,0,0,2
0.0,0,13,1,3,2,3,0,1,0,1
0.0,0,14,2,5,1,5,0,0,0,3
0.0,0,15,6,6,5,5,0,0,0,0
0.0,0,16,5,5,2,5,0,0,0,0
0.0,0,17,1,3,4,5,0,0,0,2
0.0,0,18,2,4,2,2,0,1,0,1
0.0,0,19,1,1,1,2,0,0,0,0
0.0,0,20,5,5,7,7,0,0,0,0
0.0,0,21,3,4,1,2,0,1,0,0
0.0,0,22,4,4,7,8,0,0,0,0
0.0,0,23,1,6,3,5,0,1,0,4
0.0,0,24,8,8,5,8,0,0,0,0
0.0,0,25,0,5,3,7,0,3,0,2
0.0,0,26,6,9,1,3,0,0,0,3
0.0,0,27,5,11,0,4,0,1,0,5
0.0,0,28,1,2,4,6,0,1,0,0
0.0,0,29,4,7,0,4,0,0,0,3
0.0,0,30,2,3,1,1,0,0,0,1
0.0,0,31,6,7,4,6,0,1,0,0
0.0,0,32,4,4,4,4,0,0,0,0
0.0,0,33,1,6,2,5,0,3,0,2
0.0,0,34,3,6,2,3,0,1,0,2
0.0,0,35,4,6,4,8,0,0,0,2
0.0,0,36,0,3,3,5,0,1,0,2
0.0,0,37,2,5,0,2,0,3,0,0
0.0,0,38,6,10,3,6,0,2,0,2
0.0,0,39,0,1,1,2,0,0,0,1
0.0,0,40,1,5,3,5,0,1,0,3
0.0,0,41,6,7,4,7,0,0,0,1
0.0,0,42,8,8,2,2,0,0,0,0
0.0,0,43,2,2,0,0,0,0,0,0
0.0,0,44,3,6,2,4,0,1,0,2
0.0,0,45,5,5,7,7,0,0,0,0
0.0,0,46,0,3,3,4,0,0,0,3
0.0,0,47,0,1,2,3,0,0,0,1
0.0,0,48,4,7,3,5,0,2,0,1
