gamma,replicate,assort_final,assort_initial
-0.2,0.0,0.3014023836393163,0.02213690271656728
-0.2,1.0,0.2523576866265197,-0.07159535865904397
-0.2,2.0,0.2802389542792927,-0.009638964506975026
-0.2,3.0,0.2830254388880973,-0.0024579521336490703
-0.2,4.0,0.3107509402690128,0.0061395988028611565
-0.2,5.0,0.32601782154275294,0.05594424391075552
-0.2,6.0,0.35262799993365757,-0.03644550065428138
-0.2,7.0,0.252355591970504,-0.012546430861167647
-0.2,8.0,0.2624830081239898,-0.012211279838654478
-0.2,9.0,0.39060022751498114,0.025923672284856675
-0.2,10.0,0.28947524646674916,-0.07137761709051631
-0.2,11.0,0.2881298661573318,-9.801862803250812e-05
-0.2,12.0,0.31604938271604954,-0.009928893614902968
-0.2,13.0,0.3362461709346823,0.04058083048324387
-0.2,14.0,0.34108194017447796,0.049901255123261254
-0.2,15.0,0.31221288029817096,0.029090864958675692
-0.2,16.0,0.2947140936561584,0.03853269832561197
-0.2,17.0,0.35076062248644874,0.018815366764027654
-0.2,18.0,0.27901976746613233,-0.018656322445850193
-0.2,19.0,0.2796545479037884,-0.03403602918841514
-0.2,20.0,0.2923938913129709,-0.03207959340483006
-0.2,21.0,0.31848874878589256,0.018920876096270745
-0.2,22.0,0.29038368459106895,-0.025907782693038152
-0.2,23.0,0.3102664571019564,-0.01264900670886794
-0.2,24.0,0.24358131779198403,0.022732856845277552
-0.2,25.0,0.258161254391226,0.039277013402052335
-0.2,26.0,0.3040064818953957,0.006955028059526216
-0.2,27.0,0.21893210169637836,0.004064552808450674
-0.2,28.0,0.306195196053364,-0.049001282965398976
-0.2,29.0,0.19370341921152603,-0.08846262006376099
-0.2,30.0,0.3114323258869908,-0.017672156090076538
-0.2,31.0,0.2775118024620131,-0.011303161783622794
-0.2,32.0,0.3088301373522945,0.00997161154303785
-0.2,33.0,0.30707728753331354,-0.03098981225901298
-0.2,34.0,0.274348288729102,0.01601037808859227
-0.2,35.0,0.3469534949355577,0.01924459553019473
-0.2,36.0,0.23820862276713928,-0.04199521768649371
-0.2,37.0,0.30167090313742995,-0.015523513380476112
-0.2,38.0,0.22569281352747758,-0.021079957743089375
-0.2,39.0,0.2357738148579622,-0.018278319277921423
-0.2,40.0,0.3026760139540584,0.030119199180080748
-0.2,41.0,0.2671670448594867,-0.024887296123379258
-0.2,42.0,0.2998336805229394,-0.010028001090918127
-0.2,43.0,0.2747864834756777,-0.02638171246516045
-0.2,44.0,0.30252590845238414,-0.03070266882499522
-0.2,45.0,0.275284248722091,0.043694331854141094
-0.2,46.0,0.33079362074677,0.008592493076914188
-0.2,47.0,0.30051303098707177,-0.02356612325018902
-0.2,48.0,0.36615644449172835,0.022501447023825512
-0.2,49.0,0.2364493204736083,-0.04569669378325854
-0.2,50.0,0.28694894078558963,-0.01098421326404533
-0.2,51.0,0.27005023830993163,0.005045665571069027
-0.2,52.0,0.26366275622471796,0.0012846379052751371
-0.2,53.0,0.27063054817266013,-0.006145192219227485
-0.2,54.0,0.42559182801545836,0.04647635456164445
-0.2,55.0,0.24944078424661711,-0.02283773267598455
-0.2,56.0,0.33640899597746315,-6.803947418849642e-05
-0.2,57.0,0.29580340627927654,-0.019969910397663822
-0.2,58.0,0.3261109400656814,0.0338837831762731
-0.2,59.0,0.2258320212823716,-0.024060181820430078
-0.2,60.0,0.26443382578580515,0.01977613940159923
-0.2,61.0,0.2580503120572805,-0.006176747231112452
-0.2,62.0,0.25588207194338475,-0.042029491750526865
-0.2,63.0,0.2951458529756294,0.0069957437404539365
-0.2,64.0,0.3032779877225082,0.006164288316734651
-0.2,65.0,0.2578731039459378,-0.01567127227307633
-0.2,66.0,0.23551902619190065,-0.020417594961450458
-0.2,67.0,0.25924876859115303,-0.009150724988587428
-0.2,68.0,0.26143160331854126,0.009720146952179006
-0.2,69.0,0.22648833877458693,-0.016789499373014535
-0.2,70.0,0.2563791008505467,-0.05987495953447809
-0.2,71.0,0.2983424074500723,-0.024760298514149463
-0.2,72.0,0.3355434434113496,0.03053642888966702
-0.2,73.0,0.34563814866760173,0.04427037740074977
-0.2,74.0,0.2742044479078518,-0.0226068995007216
-0.2,75.0,0.23093629773723182,-0.024227348741770776
-0.2,76.0,0.21917028161906657,-0.030338383128076844
-0.2,77.0,0.2575225398453189,-0.01798200547280165
-0.2,78.0,0.24458523927228637,-0.02209922662080649
-0.2,79.0,0.265212894328564,-0.0759710041440489
-0.2,80.0,0.2764244911583305,0.02792040751862883
-0.2,81.0,0.3335079421325898,-0.0048406669611335005
-0.2,82.0,0.32223877727578587,-0.002060611852744113
-0.2,83.0,0.22295176663136634,-0.0270708094735234
-0.2,84.0,0.2613668542161703,-0.046523217740206305
-0.2,85.0,0.2483208199031093,-0.02206048452360763
-0.2,86.0,0.24989765084316193,-0.01506728781858326
-0.2,87.0,0.22634179468550178,-0.04413881177699418
-0.2,88.0,0.26241532285109276,-0.004892774009387376
-0.2,89.0,0.28810603418207176,0.0456360441749837
-0.2,90.0,0.28659351362868507,-0.010097474292345325
-0.2,91.0,0.285943982222357,0.03701742766539139
-0.2,92.0,0.2792809627027431,-0.01098421326404533
-0.2,93.0,0.32145247242533165,-0.05389500646823949
-0.2,94.0,0.2279555646147575,-0.035877329005866106
-0.2,95.0,0.31865587326024625,0.029462382941098417
-0.2,96.0,0.2601678915424904,-0.03233571585767762
-0.2,97.0,0.3427193886227007,0.025930333767848934
-0.2,98.0,0.2676715256438443,-0.07497829549186734
-0.2,99.0,0.28682507887545683,-0.01896738520857604
-0.4,0.0,0.2891502987114524,-0.005861531935103306
-0.4,1.0,0.19647846063708402,0.006220100774395265
-0.4,2.0,0.38092038965401437,-0.05021846399557479
-0.4,3.0,0.22740879454339163,-0.033468965860518576
-0.4,4.0,0.29419503556067816,-0.01254611418802249
-0.4,5.0,0.24946565118166322,0.038954938793974464
-0.4,6.0,0.3069066062937592,0.004505860867571817
-0.4,7.0,0.27191779048999576,0.042187560322018945
-0.4,8.0,0.238832638475283,0.010922141302383835
-0.4,9.0,0.3538153899326042,-0.00241905685709565
-0.4,10.0,0.3046060531519955,-0.02805164939003642
-0.4,11.0,0.26198395617296016,0.0035126086509595826
-0.4,12.0,0.3757393757393758,0.04200411660515084
-0.4,13.0,0.33984872576493624,0.005294003907963871
-0.4,14.0,0.3182223560615714,0.0391352216995296
-0.4,15.0,0.29708327696902215,-0.08400604865326239
-0.4,16.0,0.2399949848339449,-0.025510133288959114
-0.4,17.0,0.3015900605571816,-0.0004429605705803747
-0.4,18.0,0.2762287906725524,-0.015475018640877348
-0.4,19.0,0.3168833366233325,0.003667413995285664
-0.4,20.0,0.2357622535030962,-0.016920550806281028
-0.4,21.0,0.2912411682256358,-0.06431115351605668
-0.4,22.0,0.1829515873905517,-0.03565585545578666
-0.4,23.0,0.2635243264646198,0.0009363116657118589
-0.4,24.0,0.2384441368133167,0.007655659015919704
-0.4,25.0,0.2630661242008315,-0.02464070971667776
-0.4,26.0,0.30100669722388296,-0.010626449842176092
-0.4,27.0,0.29514462743997,-0.039820489473356535
-0.4,28.0,0.3142713970103907,0.013731693001134743
-0.4,29.0,0.2603532976890062,-0.01660542485969117
-0.4,30.0,0.29893683552220124,-0.005803551243722907
-0.4,31.0,0.1975988322465617,-0.037500719441006594
-0.4,32.0,0.29408102113087126,0.05214771792233556
-0.4,33.0,0.27257608726009686,0.023706085501172598
-0.4,34.0,0.3349417009252364,0.06816538857143394
-0.4,35.0,0.25338801444620374,0.0051723966154894096
-0.4,36.0,0.2693877808157043,-0.019761388185653827
-0.4,37.0,0.3073526789631134,0.020476907732821164
-0.4,38.0,0.26644945193847547,-0.01907019302901804
-0.4,39.0,0.2231009411412378,-0.021428343157224958
-0.4,40.0,0.23285919769857757,-0.007071878458095629
-0.4,41.0,0.30821523216960484,0.06969418723147554
