gamma,replicate,individual,out_degree,out_degree_initial,in_degree,in_degree_initial,same_type_adds,same_type_breaks,diff_type_adds,diff_type_breaks
-0.8,0,0,32,3,17,6,18,1,13,1
-0.8,0,1,8,5,19,7,6,3,2,2
-0.8,0,2,24,2,23,2,13,1,11,1
-0.8,0,3,21,4,19,6,11,2,10,2
-0.8,0,4,12,2,14,7,7,1,5,1
-0.8,0,5,17,5,16,5,13,0,4,5
-0.8,0,6,35,7,24,3,16,1,14,1
-0.8,0,7,32,9,17,3,17,0,7,1
-0.8,0,8,19,6,19,3,5,2,11,1
-0.8,0,9,12,4,18,2,5,1,7,3
-0.8,0,10,3,2,15,2,1,1,2,1
-0.8,0,11,13,4,19,5,5,2,8,2
-0.8,0,12,35,6,23,5,12,0,17,0
-0.8,0,13,14,5,18,6,10,2,4,3
-0.8,0,14,9,7,11,3,9,1,0,6
-0.8,0,15,15,9,14,4,6,2,4,2
-0.8,0,16,10,5,13,8,8,1,0,2
-0.8,0,17,25,7,22,4,8,1,12,1
-0.8,0,18,11,3,18,3,8,1,2,1
-0.8,0,19,21,7,25,8,10,3,9,2
-0.8,0,20,20,5,15,1,7,1,10,1
-0.8,0,21,16,6,11,8,13,0,0,3
-0.8,0,22,6,2,17,6,6,0,0,2
-0.8,0,23,19,7,31,10,12,0,6,6
-0.8,0,24,22,4,14,2,14,0,6,2
-0.8,0,25,14,2,15,5,12,0,2,2
-0.8,0,26,39,5,21,10,17,1,19,1
-0.8,0,27,5,3,18,2,4,1,1,2
-0.8,0,28,25,7,19,5,13,0,7,2
-0.8,0,29,14,8,20,3,9,2,3,4
-0.8,0,30,7,4,14,7,6,2,1,2
-0.8,0,31,13,7,8,4,9,1,1,3
-0.8,0,32,35,7,26,4,15,0,14,1
-0.8,0,33,18,7,16,9,11,4,7,3
-0.8,0,34,18,1,22,7,9,0,8,0
-0.8,0,35,11,6,8,7,10,1,0,4
-0.8,0,36,6,7,19,7,4,0,2,7
-0.8,0,37,5,7,12,4,4,3,1,4
-0.8,0,38,11,2,17,3,6,0,4,1
-0.8,0,39,6,4,16,3,5,0,0,3
-0.8,0,40,27,6,23,8,11,2,12,0
-0.8,0,41,20,7,20,8,10,1,9,5
-0.8,0,42,2,2,17,6,1,1,1,1
-0.8,0,43,9,6,15,8,7,3,1,2
-0.8,0,44,12,6,14,6,11,2,1,4
-0.8,0,45,4,3,16,9,4,1,0,2
-0.8,0,46,0,1,22,6,0,0,0,1
-0.8,0,47,0,4,23,4,0,1,0,3
-0.8,0,48,22,5,23,3,8,0,12,3
-0.8,0,49,13,5,11,5,9,2,4,3
-0.8,0,50,8,3,10,2,8,0,0,3
-0.8,0,51,40,9,23,5,18,0,15,2
-0.8,0,52,15,3,20,4,6,1,9,2
-0.8,0,53,8,4,19,6,6,1,0,1
-0.8,0,54,34,1,10,6,14,1,20,0
-0.8,0,55,33,6,22,8,14,0,13,0
-0.8,0,56,9,4,21,4,5,3,3,0
-0.8,0,57,30,6,22,3,13,0,13,2
-0.8,0,58,16,7,25,4,4,0,7,2
-0.8,0,59,24,5,16,5,13,2,10,2
-0.8,0,60,7,4,10,10,6,2,1,2
-0.8,0,61,13,5,12,2,11,3,1,1
-0.8,0,62,20,3,10,1,9,2,11,1
-0.8,0,63,23,4,13,5,14,1,9,3
-0.8,0,64,13,5,15,3,7,0,3,2
-0.8,0,65,38,5,13,4,18,1,17,1
-0.8,0,66,23,4,18,4,11,1,11,2
-0.8,0,67,15,4,24,4,9,2,5,1
-0.8,0,68,10,4,12,2,9,2,0,1
-0.8,0,69,30,6,18,3,12,0,12,0
-0.8,0,70,18,10,26,9,9,4,6,3
-0.8,0,71,24,5,21,7,11,1,12,3
-0.8,0,72,17,2,15,5,11,0,6,2
-0.8,0,73,11,6,17,8,7,0,3,5
-0.8,0,74,8,6,12,3,7,0,0,5
-0.8,0,75,5,8,9,6,4,4,0,3
-0.8,0,76,18,5,18,3,11,1,7,4
-0.8,0,77,8,3,15,3,7,0,0,2
-0.8,0,78,24,5,25,3,11,1,9,0
-0.8,0,79,11,3,13,6,11,2,0,1
-0.8,0,80,27,7,15,6,10,2,12,0
-0.8,0,81,26,4,14,6,11,0,11,0
-0.8,0,82,35,8,17,6,16,0,11,0
-0.8,0,83,27,7,25,4,11,0,10,1
-0.8,0,84,21,1,19,3,14,0,7,1
-0.8,0,85,12,3,14,7,11,0,1,3
-0.8,0,86,12,7,14,4,9,4,3,3
-0.8,0,87,16,6,26,4,7,3,6,0
-0.8,0,88,21,4,25,6,7,0,10,0
-0.8,0,89,18,4,10,7,10,3,8,1
-0.8,0,90,27,9,13,5,11,0,9,2
-0.8,0,91,0,3,13,6,0,1,0,2
-0.8,0,92,0,3,15,6,0,1,0,2
-0.8,0,93,30,6,19,1,13,0,11,0
-0.8,0,94,8,4,14,6,7,1,0,2
-0.8,0,95,32,3,16,4,19,0,12,2
-0.8,0,96,28,6,19,7,13,0,9,0
-0.8,0,97,16,3,13,8,6,1,9,1
-0.8,0,98,20,4,19,3,12,3,8,1
-0.8,0,99,7,4,14,4,7,1,0,3
-0.8,0,100,27,5,10,2,14,4,12,0
-0.8,0,101,6,10,15,3,5,5,0,4
-0.8,0,102,0,4,19,6,0,1,0,3
-0.8,0,103,11,10,10,6,8,4,0,3
-0.8,0,104,26,5,16,4,10,0,15,4
-0.8,0,105,28,5,14,4,16,0,10,3
-0.8,0,106,6,5,13,4,6,3,0,2
-0.8,0,107,9,5,17,7,7,1,0,2
-0.8,0,108,8,5,21,6,5,3,3,2
-0.8,0,109,6,5,20,2,5,1,1,4
-0.8,0,110,12,5,15,4,11,2,1,3
-0.8,0,111,5,8,14,7,2,3,0,2
-0.8,0,112,22,4,22,6,11,0,7,0
-0.8,0,113,0,3,24,4,0,3,0,0
-0.8,0,114,25,4,17,6,16,2,8,1
-0.8,0,115,7,5,18,6,4,0,1,3
-0.8,0,116,31,9,22,3,13,2,11,0
-0.8,0,117,32,6,18,9,12,0,15,1
-0.8,0,118,3,4,17,4,3,1,0,3
-0.8,0,119,19,4,13,6,13,1,5,2
-0.8,0,120,12,1,19,6,6,0,5,0
-0.8,0,121,11,6,16,5,9,4,2,2
-0.8,0,122,23,7,12,4,11,3,11,3
-0.8,0,123,8,4,13,4,2,1,6,3
-0.8,0,124,28,2,23,9,10,0,18,2
-0.8,0,125,34,3,24,5,11,0,22,2
-0.8,0,126,38,5,22,3,16,0,21,4
-0.8,0,127,9,3,10,3,7,0,1,2
-0.8,0,128,35,8,16,6,15,1,14,1
-0.8,0,129,31,4,18,5,13,0,15,1
-0.8,0,130,14,2,18,8,7,2,7,0
-0.8,0,131,14,6,19,7,6,4,8,2
-0.8,0,132,6,3,14,8,6,1,0,2
-0.8,0,133,21,10,19,8,13,3,7,6
-0.8,0,134,3,5,21,4,3,1,0,4
-0.8,0,135,2,6,12,4,1,3,1,3
-0.8,0,136,3,4,16,3,3,1,0,3
-0.8,0,137,39,11,21,4,12,0,17,1
-0.8,0,138,33,7,20,6,12,0,15,1
-0.8,0,139,16,5,15,9,10,2,5,2
-0.8,0,140,16,7,15,3,12,2,3,4
-0.8,0,141,30,4,21,5,14,0,13,1
-0.8,0,142,9,4,17,5,4,3,5,1
-0.8,0,143,17,6,13,5,9,1,5,2
-0.8,0,144,16,2,23,5,7,0,7,0
-0.8,0,145,30,6,20,4,11,1,15,1
-0.8,0,146,7,4,16,6,6,2,0,1
-0.8,0,147,0,3,14,2,0,2,0,1
-0.8,0,148,14,3,16,3,6,0,8,3
-0.8,0,149,10,3,15,5,8,0,0,1
-0.8,0,150,31,9,21,9,13,1,10,0
-0.8,0,151,23,7,18,3,7,1,12,2
-0.8,0,152,21,6,23,5,13,1,6,3
-0.8,0,153,8,4,19,2,7,1,1,3
-0.8,0,154,8,2,15,5,6,0,0,0
-0.8,0,155,27,3,15,6,14,2,13,1
-0.8,0,156,7,7,12,5,7,1,0,6
-0.8,0,157,31,4,19,5,12,0,15,0
-0.8,0,158,19,4,17,6,7,1,11,2
-0.8,0,159,17,3,22,8,10,3,7,0
-0.8,0,160,25,6,22,5,10,0,10,1
-0.8,0,161,6,4,11,3,5,2,1,2
-0.8,0,162,8,8,15,5,6,3,2,5
-0.8,0,163,28,4,20,4,16,1,10,1
-0.8,0,164,16,3,16,5,11,1,4,1
-0.8,0,165,17,4,16,10,11,2,6,2
-0.8,0,166,19,6,23,10,8,0,7,2
-0.8,0,167,11,2,12,2,7,0,3,1
-0.8,0,168,21,6,18,2,11,1,10,5
-0.8,0,169,28,10,19,6,13,0,7,2
-0.8,0,170,18,6,15,2,14,0,2,4
-0.8,0,171,24,8,15,2,10,0,9,3
-0.8,0,172,14,5,16,9,9,4,4,0
-0.8,0,173,9,6,9,6,7,1,1,4
-0.8,0,174,0,2,15,5,0,0,0,2
-0.8,0,175,22,6,20,6,9,3,12,2
-0.8,0,176,7,4,12,10,6,2,0,1
-0.8,0,177,12,4,9,6,9,0,1,2
-0.8,0,178,20,12,17,3,11,2,6,7
-0.8,0,179,32,5,25,3,17,0,10,0
-0.8,0,180,28,6,20,1,13,3,14,2
-0.8,0,181,27,4,15,1,12,0,11,0
-0.8,0,182,15,5,15,6,8,3,6,1
-0.8,0,183,6,9,12,6,5,6,0,2
-0.8,0,184,27,5,21,4,17,2,9,2
-0.8,0,185,24,8,14,1,10,5,13,2
-0.8,0,186,8,2,19,5,7,1,1,1
-0.8,0,187,31,6,19,6,13,0,12,0
-0.8,0,188,10,5,15,8,8,2,2,3
-0.8,0,189,10,7,17,2,8,3,2,4
-0.8,0,190,20,1,16,4,11,0,9,1
-0.8,0,191,18,5,19,2,6,3,11,1
-0.8,0,192,32,8,20,1,13,0,11,0
-0.8,0,193,37,3,20,4,22,0,12,0
-0.8,0,194,18,2,19,5,8,0,9,1
-0.8,0,195,0,3,21,3,0,1,0,2
-0.8,0,196,8,3,13,4,7,0,0,2
-0.8,0,197,10,1,19,5,4,0,6,1
-0.8,0,198,30,6,18,7,8,0,16,0
-0.8,0,199,4,7,11,11,4,2,0,5
-0.8,1,0,35,13,16,6,11,0,11,0
-0.8,1,1,7,3,15,1,5,2,2,1
-0.8,1,2,9,4,9,3,8,0,0,3
-0.8,1,3,25,4,23,6,12,1,11,1
-0.8,1,4,3,4,22,7,2,2,1,2
-0.8,1,5,27,9,21,4,10,1,11,2
-0.8,1,6,27,6,23,3,9,1,15,2
-0.8,1,7,7,5,12,4,6,2,0,2
-0.8,1,8,19,7,13,2,10,3,7,2
-0.8,1,9,19,5,21,3,12,1,7,4
-0.8,1,10,16,6,15,2,7,0,8,5
-0.8,1,11,0,4,16,6,0,1,0,3
-0.8,1,12,15,4,21,4,7,2,8,2
-0.8,1,13,11,7,22,4,5,5,6,2
-0.8,1,14,8,6,15,7,6,2,0,2
-0.8,1,15,9,2,15,7,9,1,0,1
-0.8,1,16,24,5,10,7,14,2,9,2
-0.8,1,17,8,3,24,5,3,2,4,0
-0.8,1,18,5,5,20,4,3,4,2,1
-0.8,1,19,8,5,18,8,4,1,3,3
-0.8,1,20,16,2,20,5,13,0,3,2
-0.8,1,21,30,5,21,6,11,1,15,0
-0.8,1,22,19,3,16,3,9,0,8,1
-0.8,1,23,18,2,13,4,10,1,8,1
-0.8,1,24,11,3,11,4,10,0,0,2
-0.8,1,25,14,5,6,4,14,0,0,5
-0.8,1,26,27,5,20,1,11,0,11,0
-0.8,1,27,8,5,21,4,4,0,2,3
-0.8,1,28,6,5,16,8,3,2,2,2
-0.8,1,29,17,4,21,9,13,2,4,2
-0.8,1,30,26,5,22,6,12,1,13,3
-0.8,1,31,43,4,24,4,25,0,15,1
-0.8,1,32,17,4,23,4,12,1,4,2
-0.8,1,33,26,6,25,5,16,1,7,2
-0.8,1,34,18,6,16,6,11,3,6,2
-0.8,1,35,14,3,12,3,11,1,2,1
-0.8,1,36,3,3,18,7,1,1,2,2
-0.8,1,37,21,3,29,5,10,0,8,0
-0.8,1,38,5,9,17,6,3,3,1,5
-0.8,1,39,33,5,27,5,17,1,12,0
-0.8,1,40,25,3,18,9,11,1,13,1
-0.8,1,41,30,7,24,3,12,1,14,2
-0.8,1,42,25,8,12,4,10,4,13,2
-0.8,1,43,41,7,19,5,22,1,14,1
-0.8,1,44,21,7,8,5,7,1,12,4
-0.8,1,45,9,4,10,3,6,0,2,3
-0.8,1,46,7,4,15,3,7,2,0,2
-0.8,1,47,10,3,15,5,8,2,2,1
-0.8,1,48,4,4,16,3,3,2,0,1
-0.8,1,49,21,6,14,3,13,4,8,2
-0.8,1,50,32,9,23,3,13,0,11,1
-0.8,1,51,27,7,16,3,13,0,9,2
-0.8,1,52,11,2,14,1,9,0,1,1
-0.8,1,53,9,8,9,9,4,3,2,2
-0.8,1,54,2,1,13,7,2,1,0,0
-0.8,1,55,27,5,22,2,8,0,15,1
-0.8,1,56,20,2,20,6,12,0,8,2
-0.8,1,57,4,5,14,6,2,1,0,2
-0.8,1,58,26,6,23,6,9,0,12,1
-0.8,1,59,33,4,22,8,19,1,11,0
-0.8,1,60,12,6,20,9,8,4,4,2
-0.8,1,61,12,8,15,7,7,4,4,3
-0.8,1,62,13,7,11,7,9,5,4,2
-0.8,1,63,5,4,15,7,4,1,0,2
-0.8,1,64,15,5,18,8,12,1,1,2
-0.8,1,65,34,6,17,3,21,3,11,1
-0.8,1,66,27,6,16,5,11,1,12,1
-0.8,1,67,23,3,20,6,12,0,9,1
-0.8,1,68,22,9,9,6,13,0,6,6
-0.8,1,69,12,2,12,3,11,0,1,2
-0.8,1,70,12,3,17,3,0,1,11,1
-0.8,1,71,14,4,9,2,8,1,4,1
-0.8,1,72,28,4,19,6,15,2,12,1
-0.8,1,73,20,3,26,8,7,1,12,1
-0.8,1,74,13,2,23,10,10,0,2,1
-0.8,1,75,36,10,24,5,14,0,12,0
-0.8,1,76,14,4,26,4,5,2,8,1
-0.8,1,77,19,7,20,8,7,0,8,3
-0.8,1,78,22,9,21,8,14,1,4,4
-0.8,1,79,25,7,21,5,8,0,11,1
-0.8,1,80,15,5,17,5,5,3,10,2
-0.8,1,81,21,3,16,5,10,1,10,1
-0.8,1,82,25,6,18,4,10,0,10,1
-0.8,1,83,24,8,15,2,15,2,7,4
-0.8,1,84,20,3,22,8,10,1,9,1
-0.8,1,85,16,4,18,6,8,2,8,2
-0.8,1,86,33,6,23,6,14,0,15,2
-0.8,1,87,34,6,22,2,19,0,12,3
-0.8,1,88,23,2,24,3,14,0,9,2
-0.8,1,89,16,1,14,5,13,0,3,1
-0.8,1,90,10,5,12,5,9,0,0,4
-0.8,1,91,20,6,19,7,8,1,9,2
-0.8,1,92,18,10,11,3,13,2,0,3
-0.8,1,93,9,9,11,2,6,1,0,5
-0.8,1,94,24,2,20,6,13,1,11,1
-0.8,1,95,2,2,19,2,2,0,0,2
-0.8,1,96,7,8,19,8,6,2,1,6
-0.8,1,97,36,7,20,7,16,1,14,0
-0.8,1,98,11,3,11,5,7,0,3,2
-0.8,1,99,21,7,19,2,13,6,8,1
-0.8,1,100,1,6,11,6,1,4,0,2
-0.8,1,101,20,5,18,4,9,0,8,2
-0.8,1,102,4,3,12,7,2,0,0,1
-0.8,1,103,12,4,10,1,7,2,4,1
-0.8,1,104,27,5,16,6,11,0,12,1
-0.8,1,105,14,6,12,11,9,1,2,2
-0.8,1,106,36,9,16,5,13,0,14,0
-0.8,1,107,2,4,16,6,2,4,0,0
-0.8,1,108,31,8,21,3,10,0,14,1
-0.8,1,109,0,6,26,4,0,4,0,2
-0.8,1,110,30,5,21,6,13,1,13,0
-0.8,1,111,11,5,16,5,7,3,4,2
-0.8,1,112,10,4,16,1,5,1,3,1
-0.8,1,113,33,5,20,6,11,0,19,2
-0.8,1,114,19,9,10,2,8,3,9,4
-0.8,1,115,12,4,17,8,7,1,4,2
-0.8,1,116,25,3,17,4,15,3,10,0
-0.8,1,117,7,5,18,3,5,2,0,1
-0.8,1,118,9,7,9,5,6,1,0,3
-0.8,1,119,23,2,19,5,12,0,11,2
-0.8,1,120,10,5,14,8,7,3,3,2
-0.8,1,121,3,4,13,4,3,1,0,3
-0.8,1,122,22,7,19,3,8,0,11,4
-0.8,1,123,15,6,20,9,11,4,4,2
-0.8,1,124,19,5,18,5,10,2,8,2
-0.8,1,125,10,2,14,7,6,1,4,1
-0.8,1,126,15,6,12,3,7,1,6,3
-0.8,1,127,10,4,20,4,7,2,3,2
-0.8,1,128,22,2,18,5,13,1,8,0
-0.8,1,129,9,4,17,4,7,1,1,2
-0.8,1,130,3,4,10,3,3,1,0,3
-0.8,1,131,37,7,23,4,11,1,20,0
-0.8,1,132,13,5,22,3,9,2,4,3
-0.8,1,133,10,5,10,7,8,0,1,4
-0.8,1,134,12,7,15,6,10,2,0,3
-0.8,1,135,2,3,13,7,2,3,0,0
-0.8,1,136,0,3,18,7,0,1,0,2
-0.8,1,137,42,9,24,7,16,2,19,0
-0.8,1,138,11,6,13,5,10,1,0,4
-0.8,1,139,15,6,18,8,10,3,3,1
-0.8,1,140,7,2,18,5,4,0,3,2
-0.8,1,141,6,3,26,11,4,1,2,2
-0.8,1,142,11,9,14,3,8,1,0,5
-0.8,1,143,31,5,29,6,14,1,14,1
-0.8,1,144,8,6,13,3,7,1,0,4
-0.8,1,145,25,4,16,6,13,1,12,3
-0.8,1,146,31,7,11,3,15,0,9,0
-0.8,1,147,22,3,15,5,8,2,14,1
-0.8,1,148,1,6,23,4,0,2,0,3
-0.8,1,149,16,5,11,4,10,0,2,1
-0.8,1,150,7,5,15,7,6,0,0,4
-0.8,1,151,33,6,21,7,16,0,11,0
-0.8,1,152,20,6,12,2,6,2,12,2
-0.8,1,153,8,5,17,5,6,1,0,2
-0.8,1,154,32,7,17,9,11,0,14,0
-0.8,1,155,5,7,19,6,3,4,0,1
-0.8,1,156,9,6,13,4,6,2,1,2
-0.8,1,157,34,4,20,2,20,0,12,2
-0.8,1,158,28,5,14,6,12,1,13,1
-0.8,1,159,18,4,18,6,7,2,10,1
-0.8,1,160,16,3,17,8,9,0,7,3
-0.8,1,161,4,5,16,1,4,3,0,2
-0.8,1,162,7,2,11,6,6,0,0,1
-0.8,1,163,28,10,17,4,7,0,12,1
-0.8,1,164,3,3,13,0,3,2,0,1
-0.8,1,165,16,2,12,9,14,1,2,1
-0.8,1,166,7,2,16,3,7,1,0,1
-0.8,1,167,10,7,15,6,9,4,0,2
-0.8,1,168,8,5,11,5,4,0,1,2
-0.8,1,169,9,4,9,4,8,0,0,3
-0.8,1,170,22,6,21,3,5,1,12,0
-0.8,1,171,9,4,14,4,6,0,3,4
-0.8,1,172,5,1,15,4,3,0,2,1
-0.8,1,173,4,2,17,8,3,0,1,2
-0.8,1,174,7,2,13,3,7,1,0,1
-0.8,1,175,29,5,14,6,11,0,14,1
-0.8,1,176,25,2,13,3,16,0,9,2
-0.8,1,177,18,3,26,9,10,2,8,1
-0.8,1,178,20,8,13,8,12,2,6,4
-0.8,1,179,30,6,16,1,17,1,9,1
-0.8,1,180,16,5,18,5,8,0,5,2
-0.8,1,181,11,3,22,2,8,2,3,1
-0.8,1,182,6,6,13,2,5,1,1,5
-0.8,1,183,37,9,19,7,15,0,13,0
