gamma,replicate,individual,out_degree,out_degree_initial,in_degree,in_degree_initial,same_type_adds,same_type_breaks,diff_type_adds,diff_type_breaks
0.0,0,0,38,4,27,9,23,0,11,0
0.0,0,1,13,6,21,8,11,1,0,3
0.0,0,2,27,5,26,5,14,1,9,0
0.0,0,3,30,4,28,5,16,0,10,0
0.0,0,4,28,2,28,3,17,0,9,0
0.0,0,5,27,4,19,7,12,2,13,0
0.0,0,6,29,7,29,2,9,0,13,0
0.0,0,7,21,1,26,3,7,1,14,0
0.0,0,8,8,4,17,7,7,4,1,0
0.0,0,9,35,6,26,4,11,0,18,0
0.0,0,10,26,3,27,8,15,3,11,0
0.0,0,11,3,1,25,4,2,0,1,1
0.0,0,12,7,6,22,5,6,3,1,3
0.0,0,13,37,6,24,5,16,1,18,2
0.0,0,14,25,8,19,3,14,1,7,3
0.0,0,15,31,3,28,6,11,0,18,1
0.0,0,16,31,9,29,4,9,0,13,0
0.0,0,17,8,5,20,7,6,1,0,2
0.0,0,18,15,3,25,7,10,1,5,2
0.0,0,19,30,7,26,10,20,0,7,4
0.0,0,20,33,5,20,4,14,0,14,0
0.0,0,21,29,7,21,3,9,0,13,0
0.0,0,22,30,4,20,3,9,0,17,0
0.0,0,23,7,1,22,4,6,0,1,1
0.0,0,24,33,10,25,6,16,0,7,0
0.0,0,25,21,7,29,7,10,3,11,4
0.0,0,26,15,5,17,6,8,1,3,0
0.0,0,27,12,9,18,6,8,2,3,6
0.0,0,28,34,9,20,4,17,1,10,1
0.0,0,29,5,2,19,6,5,0,0,2
0.0,0,30,14,4,16,5,9,2,4,1
0.0,0,31,34,3,18,3,18,0,14,1
0.0,0,32,22,1,18,5,12,0,10,1
0.0,0,33,24,4,26,8,14,1,10,3
0.0,0,34,9,4,23,5,8,0,1,4
0.0,0,35,32,6,31,6,14,0,12,0
0.0,0,36,34,4,33,10,13,0,17,0
0.0,0,37,27,5,22,5,15,0,7,0
0.0,0,38,22,1,17,7,16,1,6,0
0.0,0,39,20,3,27,7,10,1,8,0
0.0,0,40,9,6,20,5,5,3,2,1
0.0,0,41,34,5,18,5,16,1,14,0
0.0,0,42,34,10,29,3,14,0,10,0
0.0,0,43,29,3,22,5,16,0,12,2
0.0,0,44,21,4,22,6,9,0,9,1
0.0,0,45,39,9,23,6,15,0,15,0
0.0,0,46,22,6,28,7,13,1,7,3
0.0,0,47,28,3,30,7,18,1,9,1
0.0,0,48,13,3,18,7,8,1,4,1
0.0,0,49,36,5,20,4,20,0,11,0
0.0,0,50,7,6,13,8,4,2,1,2
0.0,0,51,19,7,16,1,15,0,2,5
0.0,0,52,24,2,23,6,13,0,9,0
0.0,0,53,30,6,28,5,15,0,9,0
0.0,0,54,17,4,23,7,8,1,9,3
0.0,0,55,18,7,12,4,13,1,1,2
0.0,0,56,19,4,26,6,13,1,3,0
0.0,0,57,14,3,19,5,11,0,0,0
0.0,0,58,28,3,33,10,15,1,12,1
0.0,0,59,24,6,27,4,11,1,11,3
0.0,0,60,35,8,22,3,17,0,11,1
0.0,0,61,23,6,26,4,8,1,12,2
0.0,0,62,18,8,11,4,8,3,10,5
0.0,0,63,13,5,21,5,11,1,0,2
0.0,0,64,19,7,17,3,9,3,9,3
0.0,0,65,11,5,14,4,6,0,4,4
0.0,0,66,6,6,22,5,6,2,0,4
0.0,0,67,14,3,18,3,13,0,0,2
0.0,0,68,11,8,14,2,6,4,3,2
0.0,0,69,23,5,30,5,9,1,14,4
0.0,0,70,5,6,17,8,5,0,0,6
0.0,0,71,10,4,20,9,6,2,3,1
0.0,0,72,27,5,26,6,10,1,13,0
0.0,0,73,18,10,16,3,12,2,4,6
0.0,0,74,12,6,22,3,7,1,2,2
0.0,0,75,33,4,24,5,16,0,13,0
0.0,0,76,29,5,23,5,15,0,9,0
0.0,0,77,23,7,22,5,9,0,8,1
0.0,0,78,20,1,24,4,18,1,2,0
0.0,0,79,25,3,27,4,8,2,17,1
0.0,0,80,34,6,16,6,18,0,10,0
0.0,0,81,37,7,29,7,15,0,15,0
0.0,0,82,11,7,18,10,8,0,0,4
0.0,0,83,33,4,23,8,20,0,9,0
0.0,0,84,35,7,20,4,15,0,14,1
0.0,0,85,30,9,32,4,15,0,6,0
0.0,0,86,34,9,21,7,20,0,5,0
0.0,0,87,10,7,21,5,7,1,2,5
0.0,0,88,2,4,17,7,2,1,0,3
0.0,0,89,6,8,15,5,4,0,1,7
0.0,0,90,11,2,17,4,10,0,0,1
0.0,0,91,26,6,25,3,11,0,9,0
0.0,0,92,33,6,20,6,13,0,14,0
0.0,0,93,17,2,21,4,12,0,3,0
0.0,0,94,28,3,21,2,19,0,6,0
0.0,0,95,12,8,19,6,10,1,1,6
0.0,0,96,36,5,18,3,18,0,13,0
0.0,0,97,27,11,27,4,9,0,7,0
0.0,0,98,12,4,29,2,2,3,9,0
0.0,0,99,10,3,26,6,8,1,2,2
0.0,0,100,20,3,24,6,7,0,10,0
0.0,0,101,30,4,21,7,10,2,19,1
0.0,0,102,30,7,25,4,8,1,16,0
0.0,0,103,3,1,29,5,2,1,1,0
0.0,0,104,31,3,28,7,14,0,14,0
0.0,0,105,8,3,22,6,7,2,1,1
0.0,0,106,14,7,20,6,9,3,3,2
0.0,0,107,32,8,25,7,17,1,8,0
0.0,0,108,15,3,22,5,8,1,7,2
0.0,0,109,11,2,17,5,7,2,4,0
0.0,0,110,32,1,27,4,14,0,18,1
0.0,0,111,0,2,21,6,0,0,0,2
0.0,0,112,26,4,14,6,8,1,16,1
0.0,0,113,25,5,25,6,12,0,8,0
0.0,0,114,12,2,15,8,10,1,2,1
0.0,0,115,29,4,34,3,16,2,12,1
0.0,0,116,5,5,19,1,4,0,0,4
0.0,0,117,14,6,22,5,12,2,2,4
0.0,0,118,9,3,25,6,4,0,4,2
0.0,0,119,25,9,24,4,9,0,8,1
0.0,0,120,15,6,15,3,7,1,6,3
0.0,0,121,32,5,28,7,20,0,7,0
0.0,0,122,32,5,20,6,19,0,8,0
0.0,0,123,21,5,21,5,11,3,10,2
0.0,0,124,28,5,20,5,8,0,15,0
0.0,0,125,28,4,38,9,14,0,10,0
0.0,0,126,40,6,19,4,18,0,16,0
0.0,0,127,27,2,28,1,18,0,8,1
0.0,0,128,32,8,22,1,10,0,14,0
0.0,0,129,33,7,28,8,17,1,10,0
0.0,0,130,14,4,14,5,10,0,1,1
0.0,0,131,8,5,19,8,6,1,1,3
0.0,0,132,7,5,22,4,2,2,4,2
0.0,0,133,6,6,25,7,4,2,1,3
