samplers,samplers_active,sampler_A,sampler_B,total_active,active_A,active_B,active_diff,active_diff_prop,gamma,replicate
20.0,10.4781,6.6453,3.8328,51.8095,32.1844,19.6251,12.7693,0.23200582647496373,1.0,0.0
20.0,9.9414,4.7905,5.1509,33.0329,16.3039,16.729,3.5899,0.16343361980572416,1.0,1.0
20.0,10.0346,5.4204,4.6142,29.3248,16.9801,12.3447,4.9904,0.23314873715201587,1.0,2.0
20.0,10.5956,5.2675,5.3281,53.9731,26.0933,27.8798,2.7875,0.13525614091593274,1.0,3.0
20.0,9.8576,4.0306,5.827,41.2252,14.3503,26.8749,12.5428,0.3471713163166262,1.0,4.0
20.0,8.8148,4.7008,4.114,23.5395,11.2228,12.3167,2.9519,0.22052391068325755,1.0,5.0
20.0,10.5161,5.5496,4.9665,53.8685,28.6128,25.2557,4.0615,0.15554938388784634,1.0,6.0
20.0,9.8323,5.2021,4.6302,24.6748,12.5629,12.1119,2.6666,0.16348576538202567,1.0,7.0
20.0,9.2346,4.274,4.9606,19.9965,8.6211,11.3754,3.3323,0.19600630577791364,1.0,8.0
20.0,9.9992,4.6082,5.391,38.1517,18.0947,20.057,4.4039,0.16232335042279786,1.0,9.0
20.0,10.0059,5.4512,4.5547,33.7085,16.9582,16.7503,3.6469,0.16403189308349023,1.0,10.0
20.0,10.3584,5.6904,4.668,51.8816,28.8539,23.0277,6.0856,0.16753113770020278,1.0,11.0
20.0,10.6071,4.8399,5.7672,67.7068,27.9577,39.7491,11.797,0.25326257731752727,1.0,12.0
20.0,9.6635,4.2084,5.4551,20.9014,8.9842,11.9172,3.6516,0.23552031432635667,1.0,13.0
20.0,9.497,4.2851,5.2119,28.2635,13.5301,14.7334,3.2413,0.15472717507093822,1.0,14.0
20.0,9.5184,5.137,4.3814,40.8301,22.722,18.1081,4.8557,0.1846147312929214,1.0,15.0
20.0,9.9974,5.3207,4.6767,36.7413,18.8607,17.8806,3.6687,0.14381599292567113,1.0,16.0
20.0,11.1862,4.967,6.2192,67.9297,31.3725,36.5572,6.6809,0.10222715795176304,1.0,17.0
20.0,10.2762,4.5205,5.7557,48.0189,20.1881,27.8308,7.7435,0.20576445079204064,1.0,18.0
20.0,10.4328,5.709,4.7238,52.5513,28.3316,24.2197,6.0781,0.11960641628541725,1.0,19.0
20.0,10.1227,4.8579,5.2648,37.4201,18.2007,19.2194,2.9231,0.12610972050974786,1.0,20.0
20.0,10.1362,5.1434,4.9928,39.2567,20.0228,19.2339,2.7575,0.13418244921862357,1.0,21.0
20.0,10.0193,4.6716,5.3477,40.8304,19.4153,21.4151,3.7698,0.1337266318583125,1.0,22.0
20.0,10.1546,5.2811,4.8735,50.1773,25.4774,24.6999,4.2451,0.12213404973861432,1.0,23.0
20.0,10.3051,5.2356,5.0695,46.3058,24.0331,22.2727,2.9564,0.13660041426178593,1.0,24.0
20.0,10.6498,6.1441,4.5057,62.8996,37.3113,25.5883,11.7582,0.22786107919732734,1.0,25.0
20.0,10.0817,4.6407,5.441,45.5565,23.1587,22.3978,4.0517,0.11019634551578882,1.0,26.0
20.0,10.1407,5.2449,4.8958,42.3673,21.8576,20.5097,2.8977,0.107398639253292,1.0,27.0
20.0,10.3523,4.8445,5.5078,53.0191,24.2298,28.7893,4.7545,0.1546797695479596,1.0,28.0
20.0,9.2188,4.3511,4.8677,22.1577,12.2564,9.9013,3.2321,0.1963922973777193,1.0,29.0
20.0,10.5977,5.4738,5.1239,54.6445,28.6258,26.0187,3.3325,0.11300554049010707,1.0,30.0
20.0,8.4454,3.9609,4.4845,18.154,9.061,9.093,2.4436,0.19757623949439543,1.0,31.0
20.0,9.6384,5.3673,4.2711,29.3159,15.4621,13.8538,3.7033,0.16349305286217602,1.0,32.0
20.0,9.388,4.5478,4.8402,16.6959,8.4351,8.2608,2.4627,0.20913105395824205,1.0,33.0
20.0,9.628,4.4734,5.1546,44.2107,21.31,22.9007,2.9691,0.11289772565257661,1.0,34.0
20.0,9.5109,4.9214,4.5895,29.8386,15.169,14.6696,2.6026,0.1342817303349779,1.0,35.0
20.0,10.6233,4.4278,6.1955,54.628,20.8069,33.8211,13.2946,0.23540003924885455,1.0,36.0
20.0,9.9604,5.3104,4.65,38.8631,20.3078,18.5553,3.0161,0.1072168710134875,1.0,37.0
20.0,9.9172,5.0166,4.9006,36.8712,19.3922,17.479,3.1322,0.1483118461964382,1.0,38.0
20.0,11.1961,4.9008,6.2953,64.1673,26.4612,37.7061,11.2493,0.2843327319075376,1.0,39.0
20.0,9.8888,4.5512,5.3376,36.9738,16.7362,20.2376,3.992,0.16491013131047608,1.0,40.0
20.0,10.5475,4.6272,5.9203,44.9623,18.8673,26.095,7.3945,0.28321719221649894,1.0,41.0
20.0,10.1354,5.9011,4.2343,46.3396,28.5492,17.7904,10.7748,0.31862146551754766,1.0,42.0
20.0,10.27,6.345,3.925,42.3172,27.6861,14.6311,13.0694,0.42931697068531155,1.0,43.0
20.0,9.7651,4.5954,5.1697,38.8826,17.811,21.0716,4.0306,0.14220017201953455,1.0,44.0
20.0,11.0159,5.775,5.2409,63.454,31.9998,31.4542,3.7166,0.11693219982898294,1.0,45.0
20.0,10.1307,5.0001,5.1306,34.6378,15.1803,19.4575,4.5652,0.20128569116427905,1.0,46.0
20.0,10.1456,5.0805,5.0651,47.89,23.66,24.23,2.2746,0.08359966017041076,1.0,47.0
20.0,8.7876,3.6875,5.1001,24.7984,12.5646,12.2338,2.5256,0.16870870809958488,1.0,48.0
20.0,10.7203,6.2111,4.5092,58.6995,33.7694,24.9301,9.0859,0.18824302960129294,1.0,49.0
20.0,9.4397,5.1269,4.3128,42.4587,22.8953,19.5634,4.3673,0.12411580827537018,1.0,50.0
20.0,10.7678,5.8788,4.889,57.0588,30.9107,26.1481,6.4304,0.15104296695752006,1.0,51.0
20.0,10.8122,5.5306,5.2816,59.236,30.1466,29.0894,3.4782,0.09998720500172746,1.0,52.0
20.0,10.4313,5.1938,5.2375,47.506,23.478,24.028,2.5906,0.08648077445192973,1.0,53.0
