samplers,samplers_active,sampler_A,sampler_B,total_active,active_A,active_B,avg_cascade_size,active_diff,cascade_bias,gamma,replicate
20.0,10.9352,5.6341,5.3011,21.7551,9.76,11.9951,1.9685178669739085,6.5801,0.3177367059477071,-0.20000000000003176,0.0
20.0,10.4446,5.6045,4.8401,19.7757,10.1347,9.641,1.8613622975720119,6.0625,0.3256502819644891,-0.20000000000003176,1.0
20.0,9.511,4.2929,5.2181,15.6475,6.4153,9.2322,1.64579613302239,5.7697,0.3858474187719206,-0.20000000000003176,2.0
20.0,9.681,4.9089,4.7721,20.8476,8.692,12.1556,2.1729545131298984,6.2326,0.315041490603287,-0.20000000000003176,3.0
20.0,10.5379,5.2699,5.268,23.0967,12.0475,11.0492,2.183568509538008,6.3443,0.29806229803456985,-0.20000000000003176,4.0
20.0,10.4256,4.2527,6.1729,20.0905,8.8759,11.2146,1.9147370627765778,6.3377,0.3374220963298145,-0.20000000000003176,5.0
20.0,10.9234,5.7721,5.1513,24.7246,13.9564,10.7682,2.2286079624561936,7.6856,0.3472161727223381,-0.20000000000003176,6.0
20.0,10.5771,5.1568,5.4203,26.342,12.1632,14.1788,2.4755222348708985,6.5098,0.261421300349768,-0.20000000000003176,7.0
20.0,10.0177,5.6281,4.3896,23.6164,13.7683,9.8481,2.389004815828156,6.7354,0.2869949338267296,-0.20000000000003176,8.0
20.0,11.2845,5.2847,5.9998,27.3305,12.0027,15.3278,2.3164270516205434,7.1003,0.30607199858436324,-0.20000000000003176,9.0
20.0,10.9733,5.4369,5.5364,25.1026,12.9251,12.1775,2.266465737823653,6.3236,0.26867504531549014,-0.20000000000003176,10.0
20.0,10.4459,5.8648,4.5811,24.4855,15.7859,8.6996,2.352797294498156,8.4629,0.3645109480387121,-0.20000000000003176,11.0
20.0,10.318,5.319,4.999,26.4381,15.5437,10.8944,2.6508216486743006,6.4363,0.25114710410296465,-0.20000000000003176,12.0
20.0,10.7359,5.956,4.7799,27.5029,14.5705,12.9324,2.6126165928111686,6.4381,0.23351906785075205,-0.20000000000003176,13.0
20.0,10.2469,4.5304,5.7165,21.332,7.6794,13.6526,2.0876343338686065,7.5644,0.35472010868530707,-0.20000000000003176,14.0
20.0,10.5589,4.2296,6.3293,23.3821,7.2174,16.1647,2.2098710913984854,9.8699,0.42943088891888853,-0.20000000000003176,15.0
20.0,9.5607,4.533,5.0277,17.5567,7.783,9.7737,1.8582398030346698,5.1115,0.3034436908536674,-0.20000000000003176,16.0
20.0,9.742,4.2967,5.4453,24.0966,11.1478,12.9488,2.6249637459785435,5.3008,0.22033168706823728,-0.20000000000003176,17.0
20.0,9.4496,4.9211,4.5285,18.6111,9.9786,8.6325,1.984164225340935,5.0371,0.2853291835716136,-0.20000000000003176,18.0
