samplers,samplers_active,sampler_A,sampler_B,total_active,active_A,active_B,avg_cascade_size,active_diff,cascade_bias,gamma,replicate
20.0,10.7538,5.5953,5.1585,19.0821,9.0291,10.053,1.7054230221042008,8.8409,0.5333793726182523,-0.20000000000003176,0.0
20.0,10.3452,5.5442,4.801,18.664,10.6994,7.9646,1.71887325434412,8.7654,0.5187138958733319,-0.20000000000003176,1.0
20.0,9.5346,4.2741,5.2605,15.2104,6.3921,8.8183,1.5526471788278549,7.4856,0.5526619039949615,-0.20000000000003176,2.0
20.0,9.7473,4.9348,4.8125,20.0197,10.035,9.9847,1.9643475936585486,9.3717,0.5257383586101645,-0.20000000000003176,3.0
20.0,10.4505,5.2621,5.1884,20.8394,10.4031,10.4363,1.8831680826072452,9.121,0.5120427577366747,-0.20000000000003176,4.0
20.0,10.2956,4.2378,6.0578,18.1144,8.3779,9.7365,1.700676053817794,8.6648,0.5467014758331369,-0.20000000000003176,5.0
20.0,10.6605,5.612,5.0485,21.2546,11.8614,9.3932,1.8737312322409443,9.1962,0.5150882280824203,-0.20000000000003176,6.0
20.0,10.4702,5.1717,5.2985,23.4119,10.737,12.6749,2.1336012111577065,10.6623,0.5194170256086756,-0.20000000000003176,7.0
20.0,10.014,5.5156,4.4984,20.006,11.1642,8.8418,1.9199780948930283,9.102,0.5096123005459058,-0.20000000000003176,8.0
20.0,11.0168,5.2084,5.8084,23.0957,11.5824,11.5133,1.9786871655284912,9.7779,0.5167951725005332,-0.20000000000003176,9.0
20.0,10.6939,5.219,5.4749,20.7802,10.5997,10.1805,1.8441593579879634,9.264,0.5231388900913208,-0.20000000000003176,10.0
20.0,10.411,5.9048,4.5062,21.1517,13.5514,7.6003,1.9596412835757373,10.6261,0.5457046816099014,-0.20000000000003176,11.0
20.0,10.2447,5.3216,4.9231,20.7801,12.0073,8.7728,1.9405168917712696,9.5343,0.5141750150115384,-0.20000000000003176,12.0
20.0,10.6633,5.9064,4.7569,22.4635,12.3723,10.0912,2.0093644800468726,10.0961,0.5184620774242267,-0.20000000000003176,13.0
20.0,10.2373,4.5692,5.6681,17.9744,7.0863,10.8881,1.6858797856056356,8.7892,0.5395089493847155,-0.20000000000003176,14.0
20.0,10.4442,4.294,6.1502,20.07,6.9239,13.1461,1.8514254075556185,10.5142,0.5693093352630079,-0.20000000000003176,15.0
