true_positive,false_negative,true_negative,false_positive,sensitivity,specificity,precision,gamma,replicate
2588.42,2646.84,4762.685,2.055,0.366566041610942,0.9997380008339771,0.981373294581401,1.0,0.0
1650.61,3340.25,5008.105,1.035,0.24722873011030802,0.9998795535091557,0.9787015915074833,1.0,1.0
1466.065,3550.66,4983.1,0.175,0.21070775321933427,0.9999749126966445,0.9994787477720886,1.0,2.0
2695.665,2611.06,4690.285,2.99,0.40144724436339335,0.999564610219301,0.9634005341477807,1.0,3.0
2061.125,2863.0,5075.74,0.135,0.280613325516734,0.9999543434404765,0.9998102938825497,1.0,4.0
1176.975,3231.835,5591.19,0.0,0.17975185151668926,1.0,1.0,1.0,5.0
2690.45,2553.915,4752.66,2.975,0.39085894081755257,0.9995092940816527,0.9459837752694631,1.0,6.0
1233.585,3688.675,5077.585,0.155,0.18589195945332407,0.9999837380330374,0.9568986909766886,1.0,7.0
999.825,3612.635,5387.54,0.0,0.1544261937230508,1.0,1.0,1.0,8.0
1906.935,3088.17,5004.245,0.65,0.26787435030668805,0.9998995347790457,0.9989119817458341,1.0,9.0
1685.045,3322.47,4992.105,0.38,0.24849991347232475,0.9999534341928916,0.9985114588183335,1.0,0.0
2591.54,2576.8,4829.12,2.54,0.3638223960369843,0.9995914371086168,0.9718569277882328,1.0,1.0
3383.075,1918.155,4696.505,2.265,0.44437967134192374,0.9940492505814978,0.99286543323869,1.0,2.0
1045.04,3775.785,5179.145,0.03,0.16453222185830313,0.999996312316942,0.9998251894681535,1.0,3.0
1413.035,3344.095,5242.73,0.14,0.2024427161483281,0.9997135255803168,0.9422315486717544,1.0,4.0
2041.445,2722.495,5236.0,0.06,0.27489671703901153,0.9998084121820341,0.9999824967965413,1.0,5.0
1831.54,3175.04,4987.895,5.525,0.28460348228581744,0.9993655345050261,0.9164071766128583,1.0,6.0
3392.285,2223.6,4379.915,4.2,0.46292558257186883,0.9988595503918424,0.9841296160048613,1.0,7.0
2400.17,2736.705,4862.35,0.775,0.32138825126437887,0.9997874797825076,0.9946366771088576,1.0,8.0
2625.505,2591.315,4781.12,2.06,0.3599515108165729,0.9995907489988232,0.9925088106037979,1.0,9.0
1862.745,3211.435,4917.56,8.26,0.3282931490560844,0.9990667697888767,0.9323347871007478,1.0,0.0
1961.42,3092.185,4944.98,1.415,0.2910198410719456,0.9997037567609581,0.9505642610681554,1.0,1.0
2040.86,2980.77,4977.71,0.66,0.30035778970898647,0.9998803231791394,0.9974503532685988,1.0,2.0
2508.23,2567.34,4923.795,0.635,0.3340087019843011,0.9998309547462383,0.9990496613074745,1.0,3.0
2313.72,2842.23,4842.48,1.57,0.3500968617551863,0.9997815449309103,0.9841215969479208,1.0,4.0
3134.795,2172.86,4682.16,10.185,0.48016240336458493,0.9985200434402387,0.9140824186883612,1.0,5.0
2277.45,2752.18,4969.995,0.375,0.30399236854096573,0.9995525563812234,0.9864350515491568,1.0,6.0
2117.36,2954.455,4927.18,1.005,0.3119567829076179,0.9998398875118607,0.9914705631173129,1.0,7.0
2649.82,2530.965,4818.08,1.135,0.3618928578247645,0.9997982210844213,0.9984317509040846,1.0,8.0
1107.885,3498.86,5393.255,0.0,0.17072720089602902,1.0,1.0,1.0,9.0
2729.2,2572.84,4694.935,3.025,0.3815566594950255,0.9995739443221651,0.9556997891730381,1.0,0.0
907.7,3322.955,5769.345,0.0,0.14842839226488508,1.0,1.0,1.0,1.0
1465.765,3337.205,5197.0,0.03,0.20455293886480794,0.999987180975728,0.9999755711883958,1.0,2.0
834.76,3859.23,5305.975,0.035,0.13600950253648214,0.9999953341236951,0.9964419609809682,1.0,3.0
2210.34,2600.28,5189.185,0.195,0.28533416468882133,0.9998772348001554,0.9999376256176896,1.0,4.0
1491.89,3278.75,5229.32,0.04,0.21024500446019245,0.999994444991009,0.9998483201796768,1.0,5.0
2730.63,2583.11,4685.49,0.77,0.3611152454148836,0.9997241096062478,0.9901815077768308,1.0,6.0
1942.54,3033.23,5023.615,0.615,0.263031089392009,0.9999259286877736,0.926195829392239,1.0,7.0
1841.46,3122.02,5034.42,2.1,0.2974354597418047,0.9990215408424787,0.9672596944793096,1.0,8.0
3201.14,2404.805,4386.83,7.225,0.45540471029217383,0.9987369542459816,0.9729597762300174,1.0,9.0
1848.265,3102.42,5048.89,0.425,0.2661861028423649,0.9999478634922417,0.9903612342746246,1.0,0.0
2242.515,3046.065,4705.82,5.6,0.3607259550115238,0.9992824682161794,0.9676095626687007,1.0,1.0
2315.455,2763.815,4919.205,1.525,0.34818967489082836,0.9996581249076754,0.9828037983736926,1.0,2.0
2114.555,3013.405,4870.735,1.305,0.3243748182803051,0.9998266835628224,0.994184064290584,1.0,3.0
1944.095,2943.895,5111.975,0.035,0.2701611316391107,0.9999809786908076,0.9999747155872151,1.0,4.0
3169.08,2353.395,4473.905,3.62,0.43121578813784445,0.999414255173497,0.9665418575623469,1.0,5.0
1730.78,3330.805,4937.305,1.11,0.2623123161261051,0.9998746249300862,0.9857754002765065,1.0,6.0
2389.575,2688.7,4916.8,4.925,0.35939712772750476,0.9994211256252337,0.9371598237624765,1.0,7.0
1239.915,3137.37,5622.71,0.005,0.1899258259192722,0.9999974810448626,0.9999978158308579,1.0,8.0
2933.07,2431.09,4633.935,1.905,0.4119186417896995,0.9995204536887934,0.9941510566076519,1.0,9.0
2122.9,2590.275,5286.79,0.035,0.2784539706843265,0.9999702941732235,0.9999803452865941,1.0,0.0
2837.905,2548.875,4598.185,15.035,0.45335553322812494,0.9981849475819806,0.9356915559045311,1.0,1.0
2958.2,2461.885,4576.315,3.6,0.41956339011361354,0.999048712687128,0.9777584094763346,1.0,2.0
2373.915,2829.71,4794.99,1.385,0.34307844237282287,0.9991848274356392,0.9693614568149737,1.0,3.0
3209.11,2252.185,4535.865,2.84,0.44132723713691385,0.9993112026122759,0.9843226861088807,1.0,4.0
2621.91,2725.195,4650.48,2.415,0.3918705127351317,0.9996165707832878,0.9790609160154671,1.0,5.0
1681.925,3227.96,5090.07,0.045,0.23525094468212132,0.9999266026188022,0.9998608540775383,1.0,6.0
2532.99,2697.385,4758.78,10.845,0.40815969720239503,0.9987890148706493,0.9266949786435008,1.0,7.0
886.965,3677.43,5435.605,0.0,0.14741637205358712,1.0,1.0,1.0,8.0
2340.615,2827.9,4830.36,1.125,0.33514708184764086,0.9998697911765758,0.9897723841634799,1.0,9.0
2243.655,2737.065,5018.91,0.37,0.30547814997767775,0.9998634626274646,0.9987561500840084,1.0,0.0
2601.175,2449.04,4948.4,1.385,0.36302991539526364,0.994557004049007,0.9984126136860276,1.0,1.0
3100.685,2209.75,4687.39,2.175,0.45471136377430793,0.9970286470719122,0.9927087272117633,1.0,2.0
1299.15,3403.785,5297.0,0.065,0.1956469519608585,0.99997981585705,0.9950532536138773,1.0,3.0
1218.93,3441.35,5339.7,0.02,0.18512354706269338,0.999992915304194,0.9999886869816116,1.0,4.0
1691.55,3322.27,4984.525,1.655,0.2704920841279744,0.9998044440786252,0.9612419314308059,1.0,5.0
1915.97,3109.375,4974.205,0.45,0.27389908207178904,0.9999425924734209,0.9558431680443193,1.0,6.0
1090.53,3218.275,5691.195,0.0,0.16552553147719473,1.0,1.0,1.0,7.0
1706.655,3240.31,5044.86,8.175,0.2738928615830878,0.9991422040988669,0.94428198904534,1.0,8.0
2585.43,2604.23,4809.145,1.195,0.35245228817571217,0.9976217922715414,0.9904494209813726,1.0,9.0
1325.81,3352.09,5322.085,0.015,0.19028202630793672,0.9999920369485588,0.999992396593674,1.0,0.0
2067.885,2899.44,5031.575,1.1,0.30081801383272405,0.9946784598733401,0.9652096758512914,1.0,1.0
2035.415,2928.44,5035.925,0.22,0.2789029720235099,0.9999119652868154,0.9998418890270815,1.0,2.0
2304.31,2948.48,4741.025,6.185,0.3549036413587105,0.9992507872115698,0.9557291717324335,1.0,3.0
1707.69,3229.435,5062.6,0.275,0.24653536359253894,0.9999674368803386,0.9963310042947855,1.0,4.0
1028.31,3473.025,5498.665,0.0,0.15811740447258033,1.0,1.0,1.0,5.0
1084.38,3488.98,5426.64,0.0,0.16919587808910086,1.0,1.0,1.0,6.0
