gamma,replicate,individual,out_degree,out_degree_initial,in_degree,in_degree_initial,same_type_adds,same_type_breaks,diff_type_adds,diff_type_breaks
-0.1,0,0,25,2,17,9,17,1,8,1
-0.1,0,1,19,6,28,6,11,0,6,4
-0.1,0,2,29,5,20,8,14,3,14,1
-0.1,0,3,23,4,9,4,9,0,11,1
-0.1,0,4,21,10,13,2,11,4,7,3
-0.1,0,5,21,5,14,5,12,0,7,3
-0.1,0,6,27,4,28,4,11,0,12,0
-0.1,0,7,26,5,27,4,14,0,7,0
-0.1,0,8,17,4,24,8,7,0,6,0
-0.1,0,9,33,8,22,1,10,0,16,1
-0.1,0,10,13,4,11,4,7,0,5,3
-0.1,0,11,14,5,25,7,8,2,3,0
-0.1,0,12,20,5,30,0,8,3,12,2
-0.1,0,13,20,8,20,6,12,4,7,3
-0.1,0,14,32,7,29,12,11,0,14,0
-0.1,0,15,10,3,24,6,8,1,2,2
-0.1,0,16,19,6,21,3,11,0,4,2
-0.1,0,17,11,7,21,3,8,4,1,1
-0.1,0,18,30,5,21,1,9,0,16,0
-0.1,0,19,16,2,13,3,12,0,4,2
-0.1,0,20,33,5,25,3,18,1,11,0
-0.1,0,21,26,3,35,6,13,0,10,0
-0.1,0,22,0,4,18,4,0,1,0,3
-0.1,0,23,36,7,23,4,12,0,17,0
-0.1,0,24,20,4,23,9,5,2,14,1
-0.1,0,25,27,10,24,1,11,1,11,4
-0.1,0,26,27,4,28,7,13,0,10,0
-0.1,0,27,28,4,14,6,11,0,13,0
-0.1,0,28,29,6,34,1,13,0,10,0
-0.1,0,29,23,4,23,5,15,1,8,3
-0.1,0,30,37,6,29,4,18,0,13,0
-0.1,0,31,38,5,24,7,11,0,22,0
-0.1,0,32,27,4,22,6,16,1,9,1
-0.1,0,33,25,8,17,4,12,0,8,3
-0.1,0,34,31,2,18,8,15,0,14,0
-0.1,0,35,21,4,19,6,11,0,8,2
-0.1,0,36,23,3,23,3,13,1,9,1
-0.1,0,37,13,9,16,3,9,3,4,6
-0.1,0,38,36,4,28,4,14,0,19,1
-0.1,0,39,13,7,8,3,7,2,5,4
-0.1,0,40,33,5,31,5,12,0,16,0
-0.1,0,41,32,7,17,5,9,0,16,0
-0.1,0,42,9,6,22,3,5,4,4,2
-0.1,0,43,22,3,26,5,11,2,11,1
-0.1,0,44,14,4,25,6,11,1,3,3
-0.1,0,45,18,4,32,3,5,4,13,0
-0.1,0,46,33,5,22,5,12,1,17,0
-0.1,0,47,25,2,17,8,14,0,10,1
-0.1,0,48,30,5,11,7,23,0,5,3
-0.1,0,49,23,2,18,5,11,0,12,2
-0.1,0,50,19,3,13,6,11,0,5,0
-0.1,0,51,18,3,17,4,11,0,6,2
-0.1,0,52,16,7,21,6,8,0,5,4
-0.1,0,53,15,1,21,2,11,0,3,0
-0.1,0,54,28,6,26,3,13,0,9,0
-0.1,0,55,15,3,24,3,9,1,6,2
-0.1,0,56,20,6,21,12,7,0,10,3
-0.1,0,57,7,4,21,4,5,3,2,1
-0.1,0,58,6,3,18,7,5,0,1,3
-0.1,0,59,4,2,22,6,3,1,1,1
-0.1,0,60,24,1,26,6,13,0,11,1
-0.1,0,61,23,5,18,3,12,3,11,2
-0.1,0,62,35,6,27,9,16,1,15,1
-0.1,0,63,35,10,33,9,16,0,11,2
-0.1,0,64,28,7,20,4,11,1,12,1
-0.1,0,65,25,7,21,1,12,0,6,0
-0.1,0,66,15,8,20,6,6,1,6,4
-0.1,0,67,27,9,31,4,15,0,9,6
-0.1,0,68,13,6,19,4,7,0,2,2
