gamma,replicate,individual,out_degree,out_degree_initial,in_degree,in_degree_initial,same_type_adds,same_type_breaks,diff_type_adds,diff_type_breaks
0.5,0,0,23,7,28,3,13,0,6,3
0.5,0,1,26,1,32,7,12,1,14,0
0.5,0,2,27,5,24,8,16,2,10,2
0.5,0,3,37,7,21,4,12,0,18,0
0.5,0,4,36,5,21,3,13,0,18,0
0.5,0,5,28,4,35,6,12,0,12,0
0.5,0,6,24,2,22,3,15,0,8,1
0.5,0,7,27,2,28,6,15,1,12,1
0.5,0,8,32,3,21,11,18,1,14,2
0.5,0,9,38,6,21,2,19,1,17,3
0.5,0,10,34,5,28,4,12,0,17,0
0.5,0,11,32,6,29,11,13,0,13,0
0.5,0,12,25,6,24,10,12,0,11,4
0.5,0,13,25,9,25,3,9,0,7,0
0.5,0,14,31,4,21,5,12,0,15,0
0.5,0,15,26,1,21,4,14,1,12,0
0.5,0,16,22,1,38,2,10,1,12,0
0.5,0,17,13,5,21,3,6,2,7,3
0.5,0,18,23,4,29,2,8,0,11,0
0.5,0,19,44,4,23,5,20,0,20,0
0.5,0,20,34,4,20,4,20,0,10,0
0.5,0,21,14,6,30,10,6,2,8,4
0.5,0,22,24,4,28,7,12,0,8,0
0.5,0,23,21,5,24,4,8,0,8,0
0.5,0,24,34,8,17,5,9,0,17,0
0.5,0,25,31,6,23,4,15,0,10,0
0.5,0,26,21,6,23,5,9,0,8,2
0.5,0,27,30,6,22,4,13,1,13,1
0.5,0,28,31,5,19,4,15,0,11,0
0.5,0,29,23,4,18,3,9,0,10,0
0.5,0,30,35,4,27,1,20,0,11,0
0.5,0,31,30,7,21,5,12,0,11,0
0.5,0,32,26,3,24,5,16,2,9,0
0.5,0,33,15,3,34,1,7,1,8,2
0.5,0,34,23,1,22,5,6,0,16,0
0.5,0,35,31,7,25,5,15,1,11,1
0.5,0,36,30,10,35,6,10,0,10,0
0.5,0,37,29,6,24,4,10,0,13,0
0.5,0,38,29,5,28,8,14,0,10,0
0.5,0,39,13,5,32,4,4,3,9,2
0.5,0,40,27,5,25,3,10,0,13,1
0.5,0,41,22,7,29,6,8,1,10,2
0.5,0,42,37,10,23,6,8,1,23,3
0.5,0,43,42,8,27,4,11,0,23,0
0.5,0,44,16,2,26,4,9,0,7,2
0.5,0,45,21,2,31,9,12,0,8,1
0.5,0,46,24,2,20,4,12,0,10,0
0.5,0,47,22,5,36,3,12,2,10,3
0.5,0,48,19,4,30,3,9,1,10,3
0.5,0,49,19,5,31,4,5,0,9,0
0.5,0,50,19,8,29,5,7,0,7,3
0.5,0,51,35,6,30,5,13,0,18,2
0.5,0,52,27,3,34,5,14,0,10,0
0.5,0,53,26,5,37,3,9,0,12,0
0.5,0,54,31,9,28,5,6,1,17,0
0.5,0,55,33,7,40,5,14,0,12,0
0.5,0,56,30,3,28,8,16,0,11,0
0.5,0,57,21,2,25,3,10,0,9,0
0.5,0,58,32,5,32,6,19,0,8,0
0.5,0,59,36,6,18,2,16,0,14,0
0.5,0,60,30,5,22,3,14,3,16,2
0.5,0,61,32,7,28,2,17,0,9,1
0.5,0,62,24,4,30,7,16,0,6,2
0.5,0,63,28,6,22,2,13,0,9,0
0.5,0,64,32,5,29,8,9,1,20,1
0.5,0,65,37,6,21,5,21,0,10,0
0.5,0,66,35,6,30,7,15,0,14,0
0.5,0,67,22,9,25,2,11,2,8,4
0.5,0,68,30,9,29,4,12,0,9,0
0.5,0,69,42,4,29,4,19,0,19,0
0.5,0,70,31,7,25,5,15,0,9,0
0.5,0,71,25,3,21,8,16,1,7,0
0.5,0,72,29,7,26,9,11,0,11,0
0.5,0,73,41,8,35,6,16,0,17,0
0.5,0,74,24,9,19,4,11,1,8,3
0.5,0,75,25,6,28,6,9,0,10,0
0.5,0,76,34,6,32,6,12,0,16,0
0.5,0,77,30,3,28,6,11,0,17,1
0.5,0,78,15,3,35,4,6,2,9,1
0.5,0,79,25,6,23,6,8,0,11,0
0.5,0,80,33,4,33,5,13,0,16,0
0.5,0,81,32,6,25,5,15,0,11,0
0.5,0,82,31,3,33,4,12,0,16,0
0.5,0,83,32,4,31,10,19,0,9,0
0.5,0,84,35,5,19,6,18,0,13,1
0.5,0,85,37,4,29,4,15,1,19,0
0.5,0,86,26,5,32,7,12,0,11,2
0.5,0,87,30,4,29,4,12,0,14,0
0.5,0,88,21,5,22,4,12,0,6,2
0.5,0,89,24,10,24,8,10,0,5,1
0.5,0,90,22,1,30,4,9,0,13,1
0.5,0,91,29,5,35,7,16,0,8,0
0.5,0,92,25,5,20,4,7,0,13,0
0.5,0,93,23,3,34,7,11,0,9,0
0.5,0,94,22,9,32,9,8,1,7,1
0.5,0,95,34,7,27,5,15,0,12,0
0.5,0,96,23,4,34,9,13,0,9,3
0.5,0,97,37,8,37,4,15,0,15,1
0.5,0,98,24,4,32,4,10,0,10,0
0.5,0,99,39,6,29,4,18,0,15,0
0.5,0,100,29,5,29,4,14,1,11,0
0.5,0,101,9,2,23,3,4,1,5,1
0.5,0,102,16,2,31,8,9,1,6,0
0.5,0,103,22,4,32,8,9,1,11,1
0.5,0,104,27,7,20,3,13,0,7,0
0.5,0,105,34,4,23,6,21,1,11,1
0.5,0,106,30,7,25,6,11,0,12,0
0.5,0,107,27,4,31,7,12,0,11,0
0.5,0,108,36,6,23,6,13,0,17,0
0.5,0,109,34,5,20,8,16,0,16,3
0.5,0,110,23,5,22,7,11,0,8,1
0.5,0,111,28,6,36,8,10,0,13,1
0.5,0,112,36,2,24,5,18,0,16,0
0.5,0,113,24,6,23,3,13,0,9,4
0.5,0,114,16,4,22,4,9,3,6,0
0.5,0,115,34,12,18,6,13,0,12,3
0.5,0,116,25,3,36,6,13,0,9,0
0.5,0,117,31,3,25,10,14,1,15,0
0.5,0,118,28,3,27,7,15,0,11,1
0.5,0,119,25,7,19,4,8,1,12,1
0.5,0,120,27,6,23,6,18,0,6,3
0.5,0,121,31,8,20,4,12,1,12,0
0.5,0,122,13,5,26,4,7,1,5,3
0.5,0,123,21,7,31,5,6,1,11,2
0.5,0,124,24,5,23,5,11,3,13,2
