gamma,replicate,individual,out_degree,out_degree_initial,in_degree,in_degree_initial,same_type_adds,same_type_breaks,diff_type_adds,diff_type_breaks
-0.4,0,0,31,6,25,4,11,0,14,0
-0.4,0,1,34,5,25,7,16,0,13,0
-0.4,0,2,17,1,12,6,5,0,12,1
-0.4,0,3,14,2,27,4,11,0,2,1
-0.4,0,4,35,8,24,5,13,0,14,0
-0.4,0,5,38,9,22,4,15,0,14,0
-0.4,0,6,34,4,25,4,18,0,12,0
-0.4,0,7,15,3,21,1,8,1,6,1
-0.4,0,8,35,5,27,11,16,0,15,1
-0.4,0,9,23,8,32,5,10,1,8,2
-0.4,0,10,41,6,22,4,14,0,21,0
-0.4,0,11,31,6,31,8,13,0,12,0
-0.4,0,12,32,5,17,4,10,0,17,0
-0.4,0,13,29,3,33,6,14,1,13,0
-0.4,0,14,31,5,21,9,18,0,8,0
-0.4,0,15,22,3,27,6,11,2,11,1
-0.4,0,16,10,4,27,7,10,0,0,4
-0.4,0,17,17,6,25,5,9,0,3,1
-0.4,0,18,16,3,21,3,9,0,6,2
-0.4,0,19,28,7,24,3,11,0,10,0
-0.4,0,20,9,5,26,5,5,3,4,2
-0.4,0,21,3,1,29,2,1,0,2,1
-0.4,0,22,21,2,15,4,9,0,10,0
-0.4,0,23,16,3,23,5,4,0,11,2
-0.4,0,24,33,12,13,3,7,0,14,0
-0.4,0,25,6,3,21,2,5,0,1,3
-0.4,0,26,36,7,36,4,16,0,13,0
-0.4,0,27,34,6,27,7,15,0,13,0
-0.4,0,28,20,6,24,5,4,0,13,3
-0.4,0,29,30,3,25,4,17,0,10,0
-0.4,0,30,20,2,24,5,6,0,12,0
-0.4,0,31,16,3,22,5,9,1,7,2
-0.4,0,32,27,4,26,6,14,0,9,0
-0.4,0,33,16,3,25,7,10,1,6,2
-0.4,0,34,8,3,27,6,5,1,2,1
-0.4,0,35,13,3,21,8,7,1,4,0
-0.4,0,36,0,2,25,9,0,1,0,1
-0.4,0,37,37,3,29,5,17,0,17,0
-0.4,0,38,36,5,24,2,11,0,20,0
-0.4,0,39,36,3,28,4,10,0,23,0
-0.4,0,40,7,1,16,1,6,0,1,1
-0.4,0,41,25,4,24,7,12,0,9,0
-0.4,0,42,36,8,24,9,14,0,14,0
-0.4,0,43,12,9,12,2,5,1,2,3
-0.4,0,44,14,6,19,5,7,0,3,2
-0.4,0,45,26,8,24,8,11,0,8,1
-0.4,0,46,27,4,31,8,10,0,13,0
-0.4,0,47,28,4,21,8,9,0,15,0
-0.4,0,48,28,14,20,4,7,0,9,2
-0.4,0,49,41,9,27,2,19,0,13,0
-0.4,0,50,25,5,22,4,14,1,10,3
-0.4,0,51,29,5,23,6,11,0,13,0
-0.4,0,52,9,6,21,6,6,3,2,2
-0.4,0,53,18,3,27,3,9,1,9,2
-0.4,0,54,17,3,18,2,8,0,8,2
-0.4,0,55,15,9,32,5,8,2,3,3
-0.4,0,56,24,4,28,5,13,2,11,2
-0.4,0,57,15,3,24,5,14,2,1,1
-0.4,0,58,19,5,16,3,12,0,5,3
-0.4,0,59,1,2,24,1,1,0,0,2
-0.4,0,60,12,4,30,4,8,0,4,4
-0.4,0,61,18,4,23,3,10,0,6,2
-0.4,0,62,7,3,28,4,3,3,4,0
-0.4,0,63,23,3,23,3,11,0,11,2
-0.4,0,64,12,4,25,3,5,1,7,3
-0.4,0,65,24,5,19,2,10,0,12,3
-0.4,0,66,28,5,18,8,10,0,14,1
-0.4,0,67,0,3,28,9,0,2,0,1
-0.4,0,68,28,8,25,7,12,1,11,2
-0.4,0,69,20,5,25,3,11,1,7,2
-0.4,0,70,39,8,21,5,15,0,16,0
-0.4,0,71,21,6,25,6,9,1,12,5
-0.4,0,72,17,8,24,5,12,4,4,3
-0.4,0,73,22,8,22,6,11,3,10,4
-0.4,0,74,33,4,31,3,12,0,17,0
-0.4,0,75,29,2,23,7,12,1,16,0
-0.4,0,76,31,4,23,6,14,0,13,0
-0.4,0,77,26,5,29,6,13,1,9,0
-0.4,0,78,25,4,39,5,12,0,9,0
-0.4,0,79,21,4,24,5,10,0,9,2
-0.4,0,80,34,12,30,4,11,0,11,0
-0.4,0,81,18,5,29,7,11,2,5,1
-0.4,0,82,32,4,18,2,16,0,13,1
-0.4,0,83,19,6,19,4,11,0,7,5
-0.4,0,84,29,4,27,7,14,0,11,0
-0.4,0,85,24,6,26,1,11,1,11,3
-0.4,0,86,28,1,18,6,13,0,15,1
-0.4,0,87,17,9,15,2,12,2,2,4
-0.4,0,88,27,3,30,4,9,0,15,0
-0.4,0,89,41,6,23,4,17,0,18,0
-0.4,0,90,20,2,25,4,9,0,9,0
-0.4,0,91,20,4,25,6,12,0,6,2
-0.4,0,92,21,4,18,0,13,0,5,1
-0.4,0,93,29,3,27,6,12,0,15,1
-0.4,0,94,38,8,34,6,16,0,14,0
-0.4,0,95,36,8,29,5,18,0,10,0
-0.4,0,96,3,5,25,3,3,2,0,3
-0.4,0,97,26,7,36,7,11,0,8,0
-0.4,0,98,25,3,27,4,11,0,11,0
-0.4,0,99,24,3,16,4,12,0,9,0
-0.4,0,100,17,4,11,3,9,0,6,2
-0.4,0,101,33,4,30,5,11,1,20,1
-0.4,0,102,10,5,14,1,7,2,2,2
-0.4,0,103,27,3,31,11,15,0,9,0
-0.4,0,104,22,4,22,8,9,0,9,0
-0.4,0,105,27,3,23,4,11,1,15,1
-0.4,0,106,36,5,31,8,19,0,12,0
-0.4,0,107,22,6,21,5,11,1,8,2
-0.4,0,108,25,3,21,8,14,0,10,2
-0.4,0,109,9,5,17,5,7,2,1,2
-0.4,0,110,38,8,21,5,19,0,11,0
-0.4,0,111,36,6,28,4,13,0,17,0
-0.4,0,112,9,4,16,4,7,0,1,3
-0.4,0,113,21,4,21,6,16,0,4,3
-0.4,0,114,23,4,15,3,16,2,6,1
-0.4,0,115,17,4,21,5,7,0,10,4
-0.4,0,116,20,5,18,3,9,0,6,0
-0.4,0,117,7,6,19,5,4,1,2,4
-0.4,0,118,41,6,18,6,15,0,20,0
-0.4,0,119,28,4,31,9,7,1,18,0
-0.4,0,120,24,4,33,7,12,0,8,0
-0.4,0,121,17,3,15,5,9,0,7,2
-0.4,0,122,29,2,31,8,16,0,11,0
-0.4,0,123,27,7,24,6,10,0,10,0
-0.4,0,124,26,7,23,5,10,0,9,0
-0.4,0,125,20,4,15,5,10,0,7,1
-0.4,0,126,0,1,25,6,0,1,0,0
-0.4,0,127,31,9,27,6,17,1,8,2
-0.4,0,128,15,3,19,5,11,1,4,2
-0.4,0,129,32,7,17,4,13,0,12,0
-0.4,0,130,25,8,23,5,16,2,9,6
-0.4,0,131,13,1,22,3,6,0,7,1
-0.4,0,132,25,1,19,3,13,0,11,0
-0.4,0,133,6,7,25,9,3,2,0,2
-0.4,0,134,16,3,19,6,12,0,4,3
-0.4,0,135,32,5,23,7,12,0,15,0
-0.4,0,136,26,5,24,6,14,0,7,0
-0.4,0,137,11,6,17,6,8,0,0,3
-0.4,0,138,32,5,33,6,18,0,9,0
-0.4,0,139,25,2,19,4,14,1,11,1
-0.4,0,140,16,6,21,8,8,0,7,5
-0.4,0,141,29,6,25,1,14,0,9,0
-0.4,0,142,18,1,25,3,8,0,10,1
-0.4,0,143,32,8,25,4,11,0,13,0
-0.4,0,144,13,6,23,8,6,0,3,2
-0.4,0,145,31,5,16,9,12,0,14,0
-0.4,0,146,16,3,22,5,11,2,5,1
-0.4,0,147,13,4,21,2,12,4,1,0
-0.4,0,148,29,3,20,4,15,0,11,0
-0.4,0,149,19,3,31,7,9,0,7,0
-0.4,0,150,24,5,23,4,6,0,13,0
-0.4,0,151,23,2,18,6,13,0,9,1
-0.4,0,152,26,4,30,2,15,0,7,0
-0.4,0,153,10,6,22,7,7,1,0,2
-0.4,0,154,32,8,15,3,11,0,13,0
-0.4,0,155,16,3,26,4,10,1,6,2
-0.4,0,156,34,4,28,5,14,0,16,0
-0.4,0,157,28,4,21,5,10,0,14,0
-0.4,0,158,20,2,20,6,13,0,6,1
-0.4,0,159,18,3,23,7,10,0,6,1
-0.4,0,160,14,6,23,3,11,0,3,6
-0.4,0,161,18,7,30,2,13,0,3,5
-0.4,0,162,17,10,19,5,13,2,3,7
-0.4,0,163,29,7,32,5,7,0,15,0
-0.4,0,164,24,4,23,7,10,0,10,0
-0.4,0,165,33,8,22,5,13,0,12,0
-0.4,0,166,23,8,24,8,10,1,6,0
-0.4,0,167,28,7,21,4,10,0,11,0
-0.4,0,168,40,7,30,5,13,0,20,0
-0.4,0,169,23,5,16,5,12,3,10,1
-0.4,0,170,37,7,26,6,17,0,13,0
-0.4,0,171,45,12,24,6,18,0,15,0
-0.4,0,172,3,4,17,6,3,0,0,4
-0.4,0,173,28,7,26,5,8,0,13,0
-0.4,0,174,30,6,26,1,10,0,14,0
-0.4,0,175,37,8,19,5,18,0,11,0
-0.4,0,176,21,4,27,2,10,0,7,0
-0.4,0,177,29,4,32,7,18,0,7,0
-0.4,0,178,23,7,23,4,10,1,9,2
-0.4,0,179,21,6,31,7,8,0,7,0
-0.4,0,180,36,6,29,4,16,0,14,0
-0.4,0,181,30,4,27,4,17,0,10,1
-0.4,0,182,29,4,24,3,9,3,19,0
-0.4,0,183,25,5,17,3,17,0,4,1
-0.4,0,184,14,5,24,6,8,1,5,3
-0.4,0,185,32,5,22,3,13,0,14,0
-0.4,0,186,18,6,19,5,11,0,3,2
-0.4,0,187,25,5,20,6,7,0,13,0
-0.4,0,188,35,5,23,7,15,0,15,0
-0.4,0,189,22,8,15,5,9,0,9,4
-0.4,0,190,21,7,23,4,12,0,4,2
-0.4,0,191,29,6,29,7,6,0,17,0
-0.4,0,192,17,6,20,4,10,4,7,2
-0.4,0,193,26,3,27,1,17,0,7,1
-0.4,0,194,31,5,24,6,11,0,15,0
-0.4,0,195,37,7,32,11,19,0,11,0
-0.4,0,196,42,3,25,8,23,0,16,0
-0.4,0,197,36,8,24,1,15,0,13,0
-0.4,0,198,17,4,16,4,13,0,3,3
-0.4,0,199,15,5,19,6,9,1,6,4
-0.4,1,0,25,3,31,7,12,0,10,0
-0.4,1,1,18,3,36,10,12,1,6,2
-0.4,1,2,12,8,18,4,8,1,1,4
-0.4,1,3,31,7,27,6,13,0,11,0
-0.4,1,4,31,6,22,7,9,0,16,0
-0.4,1,5,38,7,22,4,15,0,16,0
-0.4,1,6,32,9,29,4,11,0,12,0
-0.4,1,7,29,9,21,2,10,0,15,5
-0.4,1,8,23,5,24,7,12,1,7,0
-0.4,1,9,34,7,18,4,13,0,14,0
-0.4,1,10,27,2,22,5,19,0,6,0
-0.4,1,11,29,5,28,4,9,0,15,0
-0.4,1,12,26,7,25,6,14,2,9,2
-0.4,1,13,45,9,23,0,17,0,19,0
-0.4,1,14,30,4,35,8,14,0,12,0
-0.4,1,15,31,7,23,7,13,1,12,0
-0.4,1,16,23,6,26,3,10,0,7,0
-0.4,1,17,26,5,32,5,14,0,7,0
-0.4,1,18,19,6,31,4,9,1,7,2
-0.4,1,19,35,6,25,3,18,0,11,0
-0.4,1,20,27,3,20,4,14,0,11,1
-0.4,1,21,15,1,22,5,9,1,6,0
-0.4,1,22,15,4,26,5,9,1,5,2
-0.4,1,23,30,8,24,9,15,0,8,1
-0.4,1,24,30,4,29,5,11,0,18,3
-0.4,1,25,36,6,28,7,20,1,12,1
-0.4,1,26,29,3,27,2,13,0,13,0
-0.4,1,27,16,3,15,7,14,1,1,1
-0.4,1,28,27,4,32,6,8,0,15,0
-0.4,1,29,24,6,19,5,14,2,9,3
-0.4,1,30,27,4,25,7,17,0,6,0
-0.4,1,31,17,3,23,7,9,0,6,1
-0.4,1,32,37,4,26,3,21,0,12,0
-0.4,1,33,33,7,31,2,12,0,14,0
-0.4,1,34,24,2,20,4,15,0,9,2
-0.4,1,35,35,2,26,3,21,0,12,0
-0.4,1,36,0,2,21,3,0,0,0,2
-0.4,1,37,26,4,24,7,7,0,15,0
-0.4,1,38,17,4,35,8,5,1,12,3
-0.4,1,39,23,4,30,8,10,1,10,0
-0.4,1,40,39,7,39,8,11,0,21,0
-0.4,1,41,21,4,28,3,16,1,4,2
-0.4,1,42,22,5,22,6,8,1,11,1
-0.4,1,43,44,6,23,6,11,0,27,0
-0.4,1,44,30,4,22,4,17,0,9,0
-0.4,1,45,21,6,26,3,9,0,11,5
-0.4,1,46,29,5,21,1,10,0,14,0
-0.4,1,47,25,4,23,7,15,1,8,1
-0.4,1,48,19,3,27,5,12,1,6,1
-0.4,1,49,23,5,28,12,14,1,8,3
-0.4,1,50,26,2,26,4,13,0,11,0
-0.4,1,51,24,2,28,6,11,0,11,0
-0.4,1,52,27,3,21,5,13,0,11,0
-0.4,1,53,23,5,25,6,5,0,13,0
-0.4,1,54,12,3,23,2,3,1,7,0
-0.4,1,55,28,8,17,7,11,3,12,0
-0.4,1,56,34,5,25,4,10,0,19,0
-0.4,1,57,20,5,27,9,11,1,7,2
-0.4,1,58,31,2,29,6,13,0,16,0
-0.4,1,59,34,7,35,6,13,0,14,0
-0.4,1,60,25,4,17,6,18,0,5,2
-0.4,1,61,17,6,27,5,11,1,3,2
-0.4,1,62,6,5,28,2,4,2,1,2
-0.4,1,63,23,3,25,4,9,2,13,0
-0.4,1,64,30,5,34,5,11,0,14,0
-0.4,1,65,13,3,12,5,10,0,2,2
-0.4,1,66,26,7,17,5,10,0,10,1
-0.4,1,67,27,4,19,3,14,3,13,1
-0.4,1,68,31,6,28,6,15,0,10,0
-0.4,1,69,34,11,21,4,14,0,9,0
-0.4,1,70,28,4,17,3,15,0,9,0
-0.4,1,71,32,4,23,5,17,0,11,0
-0.4,1,72,26,4,28,6,12,0,10,0
-0.4,1,73,23,4,18,5,11,0,11,3
-0.4,1,74,29,6,25,6,15,1,12,3
-0.4,1,75,36,3,39,10,19,0,14,0
-0.4,1,76,30,8,22,3,19,2,6,1
-0.4,1,77,26,6,27,2,17,1,5,1
-0.4,1,78,41,4,29,2,25,0,12,0
-0.4,1,79,22,5,23,7,10,0,10,3
-0.4,1,80,12,4,19,6,9,1,2,2
-0.4,1,81,25,6,28,3,17,1,7,4
-0.4,1,82,32,4,20,4,16,1,16,3
-0.4,1,83,22,7,29,3,9,2,8,0
-0.4,1,84,34,5,26,5,14,0,15,0
-0.4,1,85,26,5,30,5,16,0,5,0
-0.4,1,86,26,4,30,7,12,0,11,1
-0.4,1,87,22,2,35,1,10,0,10,0
-0.4,1,88,26,1,26,5,13,0,13,1
-0.4,1,89,18,2,21,3,11,0,7,2
-0.4,1,90,9,5,14,6,5,0,2,3
-0.4,1,91,13,6,24,6,11,0,2,6
-0.4,1,92,10,5,18,3,6,1,1,1
-0.4,1,93,34,9,19,4,19,2,11,3
-0.4,1,94,37,8,30,6,14,0,15,0
-0.4,1,95,25,6,25,7,15,1,6,1
-0.4,1,96,13,8,25,4,7,3,6,5
-0.4,1,97,32,8,25,5,10,0,14,0
-0.4,1,98,28,5,26,7,19,1,5,0
-0.4,1,99,37,6,29,8,14,0,17,0
-0.4,1,100,21,2,19,4,12,0,7,0
-0.4,1,101,25,3,21,3,15,0,7,0
-0.4,1,102,25,5,37,6,14,1,7,0
-0.4,1,103,23,4,15,3,12,0,7,0
-0.4,1,104,25,5,29,4,14,0,8,2
-0.4,1,105,31,4,30,6,11,0,16,0
-0.4,1,106,23,5,38,4,11,0,10,3
-0.4,1,107,32,6,26,2,19,0,7,0
-0.4,1,108,15,3,28,5,9,0,5,2
-0.4,1,109,22,4,34,9,10,0,9,1
-0.4,1,110,23,5,28,9,13,1,8,2
-0.4,1,111,22,6,22,8,17,0,1,2
-0.4,1,112,27,2,28,5,10,0,15,0
-0.4,1,113,22,4,19,4,10,0,11,3
-0.4,1,114,24,2,23,1,12,1,11,0
-0.4,1,115,28,8,33,6,13,2,9,0
-0.4,1,116,15,7,19,3,9,0,4,5
-0.4,1,117,38,6,27,10,19,0,13,0
-0.4,1,118,34,6,27,6,17,0,11,0
-0.4,1,119,16,1,28,8,10,0,5,0
-0.4,1,120,13,5,25,11,8,0,2,2
-0.4,1,121,6,2,33,3,2,1,4,1
-0.4,1,122,23,2,25,6,13,1,10,1
-0.4,1,123,31,5,21,3,13,0,13,0
-0.4,1,124,9,5,22,5,7,2,2,3
-0.4,1,125,23,4,23,5,15,2,7,1
-0.4,1,126,22,6,23,3,8,0,8,0
-0.4,1,127,21,8,28,3,12,1,6,4
-0.4,1,128,25,6,29,5,6,0,13,0
-0.4,1,129,25,2,29,6,16,1,9,1
-0.4,1,130,34,7,30,8,18,0,9,0
-0.4,1,131,33,7,36,4,16,1,13,2
-0.4,1,132,40,6,23,4,16,0,18,0
-0.4,1,133,28,8,27,2,11,0,9,0
-0.4,1,134,30,9,31,6,10,0,11,0
-0.4,1,135,28,5,20,4,11,0,14,2
-0.4,1,136,17,7,20,6,12,0,1,3
-0.4,1,137,18,3,21,5,5,0,10,0
-0.4,1,138,36,5,26,1,16,0,15,0
-0.4,1,139,22,6,17,1,13,1,7,3
-0.4,1,140,26,5,21,8,11,0,10,0
-0.4,1,141,43,12,18,5,15,1,17,0
-0.4,1,142,33,8,39,8,12,0,13,0
-0.4,1,143,17,4,20,3,13,1,3,2
-0.4,1,144,40,6,25,3,18,0,16,0
-0.4,1,145,29,7,34,5,14,0,8,0
-0.4,1,146,24,6,28,6,10,2,10,0
-0.4,1,147,28,4,25,6,12,1,15,2
-0.4,1,148,28,5,27,2,14,0,9,0
-0.4,1,149,23,1,31,8,15,0,7,0
-0.4,1,150,0,1,18,2,0,0,0,1
-0.4,1,151,17,7,22,6,6,2,8,2
-0.4,1,152,22,2,22,7,12,1,10,1
-0.4,1,153,36,7,25,1,15,0,14,0
-0.4,1,154,39,6,34,4,14,0,19,0
-0.4,1,155,28,9,28,3,8,0,11,0
-0.4,1,156,17,4,24,1,9,1,6,1
-0.4,1,157,37,3,26,2,23,0,11,0
-0.4,1,158,15,3,19,3,9,1,4,0
-0.4,1,159,17,3,14,2,13,1,3,1
-0.4,1,160,39,5,35,8,17,0,17,0
-0.4,1,161,16,2,27,6,6,0,8,0
-0.4,1,162,24,4,25,5,11,0,9,0
-0.4,1,163,8,3,19,9,4,0,3,2
-0.4,1,164,26,4,26,12,9,0,13,0
-0.4,1,165,5,1,17,6,5,0,0,1
-0.4,1,166,22,9,22,3,10,0,4,1
-0.4,1,167,15,8,25,4,9,1,5,6
-0.4,1,168,31,3,32,3,10,1,19,0
-0.4,1,169,35,7,25,4,13,0,15,0
