gamma,replicate,individual,out_degree,out_degree_initial,in_degree,in_degree_initial,same_type_adds,same_type_breaks,diff_type_adds,diff_type_breaks
1.0,0,0,28,5,30,6,5,0,20,2
1.0,0,1,28,2,29,3,6,1,21,0
1.0,0,2,42,4,33,3,19,0,19,0
1.0,0,3,31,6,22,7,18,0,7,0
1.0,0,4,27,7,18,3,15,1,6,0
1.0,0,5,28,7,18,5,10,0,11,0
1.0,0,6,30,7,33,4,16,0,8,1
1.0,0,7,22,2,25,8,12,2,10,0
1.0,0,8,23,3,26,3,13,2,9,0
1.0,0,9,33,7,24,6,6,0,20,0
1.0,0,10,19,1,25,8,10,1,9,0
1.0,0,11,34,5,19,6,15,0,14,0
1.0,0,12,28,7,21,6,16,1,6,0
1.0,0,13,24,2,21,4,14,1,10,1
1.0,0,14,22,4,24,6,11,2,9,0
1.0,0,15,22,3,29,6,10,1,10,0
1.0,0,16,32,6,31,5,18,1,10,1
1.0,0,17,38,4,21,4,22,0,12,0
1.0,0,18,27,5,19,3,8,0,15,1
1.0,0,19,21,4,22,8,11,3,9,0
1.0,0,20,24,1,31,7,15,1,9,0
1.0,0,21,37,6,33,8,8,0,23,0
1.0,0,22,30,4,18,3,7,0,19,0
1.0,0,23,36,9,30,4,17,1,12,1
1.0,0,24,34,4,19,5,19,1,12,0
1.0,0,25,32,3,28,6,20,0,9,0
1.0,0,26,18,3,27,2,9,2,9,1
1.0,0,27,27,8,16,4,8,1,12,0
1.0,0,28,28,3,25,6,12,0,13,0
1.0,0,29,32,9,29,5,16,1,8,0
1.0,0,30,16,2,24,4,11,0,4,1
1.0,0,31,32,7,30,4,8,0,17,0
1.0,0,32,33,9,26,8,17,0,7,0
1.0,0,33,11,2,18,6,8,1,3,1
1.0,0,34,36,5,23,6,9,0,22,0
1.0,0,35,22,5,24,10,11,1,7,0
1.0,0,36,31,9,24,7,16,0,6,0
1.0,0,37,28,2,29,7,19,2,9,0
1.0,0,38,27,7,34,7,10,0,11,1
1.0,0,39,25,5,29,2,8,0,12,0
1.0,0,40,11,5,33,7,6,2,4,2
1.0,0,41,27,4,33,3,10,0,13,0
1.0,0,42,30,6,23,5,5,0,19,0
1.0,0,43,37,6,32,4,13,0,19,1
1.0,0,44,12,3,27,7,6,2,6,1
1.0,0,45,22,4,23,3,12,2,9,1
1.0,0,46,27,3,20,1,14,0,10,0
1.0,0,47,32,10,18,2,11,2,13,0
1.0,0,48,34,9,30,11,18,0,7,0
1.0,0,49,27,3,27,7,10,1,17,2
1.0,0,50,21,7,29,6,10,0,6,2
1.0,0,51,27,6,33,8,9,2,15,1
1.0,0,52,26,1,25,7,15,0,11,1
1.0,0,53,18,4,24,5,8,0,9,3
1.0,0,54,23,4,32,1,9,1,11,0
1.0,0,55,20,5,22,3,14,3,4,0
1.0,0,56,37,11,21,5,12,1,16,1
1.0,0,57,28,4,30,6,6,0,19,1
1.0,0,58,27,1,26,4,14,0,12,0
1.0,0,59,25,3,30,6,8,1,17,2
1.0,0,60,27,7,19,4,9,0,11,0
1.0,0,61,24,2,28,4,13,0,9,0
1.0,0,62,7,2,24,3,2,1,5,1
1.0,0,63,25,2,22,7,14,0,11,2
1.0,0,64,28,5,20,4,18,2,7,0
1.0,0,65,26,3,35,2,16,0,7,0
1.0,0,66,26,5,31,4,14,0,7,0
1.0,0,67,27,8,21,9,9,1,13,2
1.0,0,68,32,7,21,2,10,1,16,0
1.0,0,69,34,6,20,2,19,0,10,1
1.0,0,70,26,4,31,6,12,0,13,3
1.0,0,71,29,6,27,4,12,0,13,2
1.0,0,72,29,7,34,5,21,3,4,0
1.0,0,73,30,5,25,3,9,0,16,0
1.0,0,74,15,6,30,4,7,2,4,0
1.0,0,75,21,6,32,6,10,0,7,2
1.0,0,76,34,10,28,3,21,3,7,1
1.0,0,77,34,3,31,3,18,0,13,0
1.0,0,78,31,4,25,5,19,0,9,1
1.0,0,79,31,2,25,3,10,1,20,0
1.0,0,80,27,6,26,6,10,1,12,0
1.0,0,81,33,8,28,5,16,0,10,1
1.0,0,82,13,2,25,0,8,1,5,1
1.0,0,83,27,5,16,6,13,1,10,0
1.0,0,84,17,3,27,5,10,1,7,2
1.0,0,85,37,5,24,9,21,0,11,0
1.0,0,86,23,2,23,5,13,0,8,0
1.0,0,87,22,4,22,4,8,1,13,2
1.0,0,88,19,2,19,3,12,0,5,0
1.0,0,89,20,3,26,2,7,0,12,2
1.0,0,90,31,8,32,11,17,4,10,0
1.0,0,91,40,6,27,6,16,1,20,1
1.0,0,92,33,9,24,8,13,1,13,1
1.0,0,93,25,7,21,4,13,1,6,0
1.0,0,94,31,6,23,2,16,0,9,0
1.0,0,95,36,5,32,3,16,0,15,0
1.0,0,96,26,8,24,5,12,1,8,1
1.0,0,97,30,6,26,6,17,0,8,1
1.0,0,98,25,8,24,2,9,0,9,1
1.0,0,99,19,8,25,9,6,2,12,5
1.0,0,100,32,4,32,7,16,0,12,0
1.0,0,101,38,5,37,10,20,0,13,0
1.0,0,102,24,9,22,6,4,0,12,1
1.0,0,103,8,1,31,10,2,0,6,1
1.0,0,104,24,6,24,8,15,1,4,0
1.0,0,105,30,4,24,4,14,0,13,1
1.0,0,106,14,3,28,5,9,1,4,1
1.0,0,107,27,3,38,3,19,2,8,1
1.0,0,108,30,3,29,3,14,1,14,0
1.0,0,109,21,4,29,7,7,0,10,0
1.0,0,110,29,4,21,2,13,0,12,0
1.0,0,111,38,7,37,12,12,0,20,1
1.0,0,112,37,8,20,1,15,0,14,0
1.0,0,113,24,4,25,3,8,1,13,0
1.0,0,114,35,5,34,5,19,1,12,0
1.0,0,115,26,4,24,2,8,0,16,2
1.0,0,116,26,1,22,3,9,0,16,0
1.0,0,117,33,9,26,5,7,1,19,1
1.0,0,118,40,7,26,9,19,0,14,0
1.0,0,119,24,7,21,3,6,0,11,0
1.0,0,120,25,8,30,4,11,0,6,0
1.0,0,121,22,5,30,7,10,0,8,1
1.0,0,122,13,2,19,3,4,0,8,1
1.0,0,123,28,9,32,4,12,0,7,0
1.0,0,124,25,6,23,6,12,0,7,0
1.0,0,125,37,6,23,3,12,1,22,2
1.0,0,126,37,4,26,4,13,0,20,0
1.0,0,127,18,3,28,3,11,0,7,3
1.0,0,128,25,5,36,6,12,0,9,1
1.0,0,129,14,6,35,5,8,4,6,2
1.0,0,130,26,4,30,6,9,1,15,1
1.0,0,131,22,5,27,5,9,1,9,0
1.0,0,132,28,10,37,8,9,0,10,1
1.0,0,133,36,2,26,6,27,0,8,1
1.0,0,134,27,8,38,5,8,3,15,1
1.0,0,135,26,3,41,6,11,0,12,0
1.0,0,136,31,6,25,5,19,0,6,0
1.0,0,137,32,5,38,10,15,2,14,0
1.0,0,138,25,5,31,6,5,0,16,1
1.0,0,139,27,3,26,5,15,0,9,0
1.0,0,140,15,1,25,5,12,1,3,0
1.0,0,141,31,4,28,4,9,0,18,0
1.0,0,142,31,2,17,9,17,1,13,0
1.0,0,143,28,5,32,5,15,1,9,0
1.0,0,144,33,9,31,3,17,1,8,0
1.0,0,145,22,9,35,3,12,3,5,1
1.0,0,146,19,2,26,1,11,0,7,1
1.0,0,147,29,10,21,4,12,2,10,1
1.0,0,148,36,4,29,4,18,0,14,0
1.0,0,149,23,9,32,5,11,1,4,0
1.0,0,150,15,4,30,7,8,1,4,0
1.0,0,151,24,6,27,5,15,0,3,0
1.0,0,152,27,4,29,8,11,0,12,0
1.0,0,153,1,1,19,3,1,1,0,0
1.0,0,154,25,4,30,7,18,4,7,0
1.0,0,155,41,7,20,1,24,0,10,0
1.0,0,156,27,4,24,2,18,0,5,0
1.0,0,157,32,5,35,8,16,1,12,0
1.0,0,158,15,5,21,3,5,3,10,2
1.0,0,159,19,4,21,6,12,1,6,2
1.0,0,160,29,8,28,4,18,0,4,1
1.0,0,161,37,9,27,8,16,0,12,0
1.0,0,162,22,4,25,6,9,0,12,3
1.0,0,163,45,5,35,4,27,0,14,1
1.0,0,164,27,5,27,4,15,0,8,1
1.0,0,165,28,4,16,6,15,0,10,1
1.0,0,166,20,3,37,6,11,1,9,2
1.0,0,167,27,4,21,4,8,0,15,0
1.0,0,168,28,4,26,4,11,0,13,0
1.0,0,169,21,6,28,5,13,4,7,1
1.0,0,170,26,5,26,3,15,0,8,2
1.0,0,171,12,4,22,6,6,1,3,0
1.0,0,172,30,4,38,6,10,1,17,0
1.0,0,173,26,3,29,6,9,1,15,0
1.0,0,174,34,6,20,4,15,0,13,0
1.0,0,175,15,3,29,5,9,1,4,0
1.0,0,176,25,5,27,4,16,4,9,1
1.0,0,177,30,4,34,3,8,0,19,1
1.0,0,178,20,6,25,3,6,3,14,3
1.0,0,179,32,5,23,5,14,1,14,0
1.0,0,180,28,4,25,2,19,1,7,1
1.0,0,181,7,4,30,2,5,1,2,3
1.0,0,182,18,2,21,3,11,1,6,0
1.0,0,183,23,6,21,3,5,0,12,0
1.0,0,184,30,6,32,6,7,0,17,0
1.0,0,185,29,5,26,8,17,2,9,0
1.0,0,186,23,6,30,4,11,0,6,0
1.0,0,187,35,7,25,7,14,0,14,0
1.0,0,188,30,5,37,9,9,0,16,0
1.0,0,189,26,7,19,4,8,0,12,1
1.0,0,190,29,6,31,6,17,2,8,0
1.0,0,191,34,4,43,10,11,0,20,1
1.0,0,192,4,1,31,6,1,1,3,0
1.0,0,193,20,5,29,4,5,3,13,0
1.0,0,194,28,7,19,2,13,1,9,0
1.0,0,195,39,9,24,4,8,0,23,1
1.0,0,196,34,2,26,0,23,1,11,1
1.0,0,197,33,3,25,6,20,0,10,0
1.0,0,198,20,5,19,3,12,1,4,0
1.0,0,199,35,3,28,7,9,0,23,0
1.0,1,0,12,3,23,11,2,0,7,0
1.0,1,1,35,6,30,5,12,0,18,1
1.0,1,2,26,4,36,6,13,0,9,0
1.0,1,3,26,5,23,6,13,0,8,0
1.0,1,4,23,5,29,3,8,0,10,0
1.0,1,5,25,5,25,4,9,0,11,0
1.0,1,6,35,8,38,6,10,0,17,0
1.0,1,7,36,4,24,5,17,0,15,0
1.0,1,8,30,7,24,6,15,1,10,1
1.0,1,9,19,7,37,4,7,3,8,0
1.0,1,10,25,2,20,6,12,0,11,0
1.0,1,11,37,6,16,10,17,0,14,0
1.0,1,12,29,4,29,5,16,0,9,0
1.0,1,13,29,6,27,6,11,1,13,0
1.0,1,14,26,2,26,5,12,1,13,0
1.0,1,15,19,3,25,5,10,2,9,1
1.0,1,16,20,2,28,6,9,0,9,0
1.0,1,17,28,7,31,7,14,0,8,1
1.0,1,18,20,4,32,7,13,2,7,2
1.0,1,19,22,4,23,8,10,3,11,0
1.0,1,20,10,4,35,8,5,2,5,2
1.0,1,21,33,7,21,5,13,0,13,0
1.0,1,22,36,6,30,2,17,0,13,0
1.0,1,23,36,3,25,5,15,0,18,0
1.0,1,24,19,3,31,3,10,0,6,0
1.0,1,25,30,7,27,7,15,1,10,1
1.0,1,26,35,8,32,9,17,1,12,1
1.0,1,27,34,5,30,7,16,0,13,0
1.0,1,28,9,2,26,4,6,2,3,0
1.0,1,29,24,1,25,8,11,0,13,1
1.0,1,30,21,5,31,5,9,0,7,0
1.0,1,31,21,4,28,2,11,3,9,0
1.0,1,32,26,6,32,4,12,3,11,0
1.0,1,33,17,3,23,8,4,2,13,1
1.0,1,34,20,2,24,3,7,1,13,1
1.0,1,35,41,5,15,6,17,1,20,0
1.0,1,36,40,10,26,4,16,0,14,0
1.0,1,37,25,2,26,5,14,0,9,0
1.0,1,38,31,6,19,2,13,0,12,0
1.0,1,39,28,5,35,4,5,1,19,0
1.0,1,40,25,7,29,3,12,1,9,2
1.0,1,41,30,7,32,5,11,0,12,0
1.0,1,42,21,3,18,3,7,0,11,0
1.0,1,43,31,8,32,9,12,1,13,1
1.0,1,44,29,5,26,3,11,2,17,2
1.0,1,45,26,3,24,4,11,0,12,0
1.0,1,46,31,4,26,4,13,0,14,0
1.0,1,47,40,5,31,4,19,0,17,1
1.0,1,48,27,5,23,3,9,0,13,0
1.0,1,49,38,7,30,4,21,0,10,0
1.0,1,50,45,9,25,2,22,0,14,0
1.0,1,51,7,3,30,3,5,2,2,1
1.0,1,52,25,5,27,7,8,0,12,0
1.0,1,53,17,7,29,4,9,2,7,4
1.0,1,54,33,5,26,4,13,0,15,0
1.0,1,55,25,4,24,5,13,0,8,0
1.0,1,56,23,3,32,3,13,0,7,0
1.0,1,57,29,6,27,4,11,1,17,4
1.0,1,58,29,2,30,9,13,1,15,0
1.0,1,59,24,3,26,3,13,0,10,2
1.0,1,60,15,7,21,3,9,5,5,1
1.0,1,61,28,5,25,4,14,0,9,0
1.0,1,62,24,2,29,6,12,0,10,0
1.0,1,63,25,9,17,4,9,2,11,2
1.0,1,64,24,8,21,3,11,2,7,0
1.0,1,65,24,7,22,2,11,2,9,1
1.0,1,66,21,1,43,11,10,0,11,1
1.0,1,67,24,2,28,4,9,1,14,0
1.0,1,68,36,6,36,9,16,0,14,0
1.0,1,69,25,7,25,2,12,3,9,0
1.0,1,70,30,5,27,4,12,0,13,0
1.0,1,71,31,6,31,3,17,0,8,0
1.0,1,72,23,1,38,4,8,0,14,0
1.0,1,73,18,2,22,1,9,2,9,0
1.0,1,74,41,5,41,12,19,0,17,0
1.0,1,75,19,3,20,6,10,0,6,0
1.0,1,76,43,9,23,3,22,0,12,0
1.0,1,77,34,5,20,4,18,0,11,0
1.0,1,78,30,4,24,6,8,0,18,0
1.0,1,79,33,5,34,6,12,0,16,0
1.0,1,80,38,7,20,1,16,0,15,0
1.0,1,81,28,5,35,8,15,0,8,0
1.0,1,82,26,7,31,6,10,0,10,1
1.0,1,83,25,5,26,4,6,0,15,1
1.0,1,84,31,2,30,9,17,1,13,0
1.0,1,85,20,7,31,7,7,3,13,4
1.0,1,86,27,4,34,5,15,0,8,0
1.0,1,87,34,4,32,4,16,1,16,1
1.0,1,88,34,4,30,12,15,3,19,1
1.0,1,89,29,4,28,5,11,2,16,0
1.0,1,90,26,5,29,6,6,0,16,1
1.0,1,91,27,4,30,5,15,2,11,1
1.0,1,92,20,1,33,7,11,0,9,1
1.0,1,93,26,8,17,5,8,0,10,0
1.0,1,94,24,2,26,5,12,1,11,0
1.0,1,95,31,6,25,6,18,1,9,1
1.0,1,96,33,5,23,2,15,0,13,0
1.0,1,97,31,5,22,5,17,0,9,0
1.0,1,98,31,6,24,5,9,0,16,0
1.0,1,99,37,7,30,2,15,0,15,0
1.0,1,100,35,5,27,4,8,0,22,0
1.0,1,101,20,3,30,6,8,0,10,1
1.0,1,102,20,6,37,1,13,0,3,2
1.0,1,103,31,7,26,5,12,0,12,0
1.0,1,104,33,7,28,5,16,0,10,0
1.0,1,105,26,7,26,3,11,0,8,0
1.0,1,106,38,12,32,3,15,0,12,1
1.0,1,107,22,5,25,2,6,0,11,0
1.0,1,108,23,3,25,6,11,1,11,1
1.0,1,109,18,2,30,7,8,1,10,1
1.0,1,110,25,5,29,4,9,0,11,0
1.0,1,111,32,4,24,2,16,0,12,0
1.0,1,112,18,3,33,4,9,1,8,1
1.0,1,113,25,5,20,1,11,2,11,0
1.0,1,114,29,6,26,5,11,2,14,0
1.0,1,115,21,5,27,5,9,0,11,4
1.0,1,116,26,3,25,7,10,0,13,0
1.0,1,117,25,2,25,7,10,0,14,1
1.0,1,118,29,6,23,2,10,0,13,0
1.0,1,119,33,4,32,8,17,0,12,0
1.0,1,120,29,7,27,6,8,2,17,1
1.0,1,121,35,5,30,6,13,1,18,0
1.0,1,122,18,2,41,10,6,1,12,1
1.0,1,123,35,5,25,6,16,0,14,0
1.0,1,124,22,2,26,3,5,1,16,0
1.0,1,125,25,4,27,2,9,0,13,1
1.0,1,126,22,4,36,8,6,0,13,1
1.0,1,127,26,2,29,4,11,1,15,1
1.0,1,128,25,7,31,4,12,0,7,1
1.0,1,129,16,3,24,2,9,1,5,0
1.0,1,130,30,3,32,2,15,0,12,0
1.0,1,131,22,4,34,6,10,2,10,0
1.0,1,132,27,6,23,3,8,0,13,0
1.0,1,133,34,6,29,6,14,1,15,0
1.0,1,134,31,6,26,5,13,1,14,1
1.0,1,135,29,2,18,5,11,0,17,1
1.0,1,136,3,2,26,4,3,1,0,1
1.0,1,137,31,3,32,0,14,1,15,0
1.0,1,138,30,4,20,3,17,1,10,0
1.0,1,139,24,3,15,3,10,1,13,1
1.0,1,140,29,7,27,2,9,0,13,0
1.0,1,141,28,4,33,7,13,0,12,1
1.0,1,142,26,4,27,7,13,1,10,0
1.0,1,143,37,4,33,3,15,0,18,0
1.0,1,144,35,6,25,9,15,1,16,1
1.0,1,145,28,8,34,6,12,1,11,2
1.0,1,146,28,7,35,8,12,0,9,0
1.0,1,147,35,11,24,6,15,0,10,1
1.0,1,148,19,4,31,4,9,1,7,0
1.0,1,149,30,4,22,3,16,0,12,2
1.0,1,150,20,4,28,4,11,2,9,2
1.0,1,151,20,4,36,4,9,1,10,2
1.0,1,152,32,4,31,8,11,2,19,0
1.0,1,153,15,3,24,8,7,0,8,3
1.0,1,154,34,4,25,6,18,0,12,0
1.0,1,155,23,7,28,5,9,0,8,1
1.0,1,156,32,7,22,2,11,0,15,1
1.0,1,157,26,3,19,6,13,1,12,1
1.0,1,158,29,7,27,7,10,0,12,0
1.0,1,159,19,2,26,7,7,1,12,1
1.0,1,160,21,4,37,4,9,0,8,0
1.0,1,161,28,3,25,0,15,0,10,0
1.0,1,162,20,6,25,4,6,2,10,0
1.0,1,163,32,3,26,5,15,0,14,0
1.0,1,164,29,6,23,5,17,1,7,0
1.0,1,165,42,9,30,6,10,0,23,0
1.0,1,166,25,7,31,6,4,0,15,1
1.0,1,167,33,8,30,5,16,0,9,0
1.0,1,168,26,5,25,3,9,0,12,0
1.0,1,169,26,7,26,4,12,0,7,0
1.0,1,170,22,8,30,2,7,0,7,0
1.0,1,171,31,3,17,4,17,1,12,0
1.0,1,172,28,6,30,7,10,0,13,1
1.0,1,173,21,4,24,5,9,1,9,0
1.0,1,174,24,2,15,2,15,0,7,0
1.0,1,175,36,8,24,7,11,0,17,0
1.0,1,176,29,6,23,5,11,1,13,0
1.0,1,177,37,5,28,5,14,0,18,0
1.0,1,178,30,3,26,4,14,1,15,1
1.0,1,179,30,8,30,4,12,2,13,1
1.0,1,180,19,4,20,2,11,3,7,0
1.0,1,181,42,6,22,8,20,0,16,0
1.0,1,182,28,11,15,7,6,0,11,0
1.0,1,183,29,5,27,6,10,0,14,0
1.0,1,184,36,8,28,8,14,0,15,1
1.0,1,185,27,9,29,6,9,0,9,0
1.0,1,186,36,5,26,2,17,0,14,0
1.0,1,187,29,6,24,5,15,0,9,1
1.0,1,188,22,6,26,4,7,0,9,0
1.0,1,189,16,3,34,5,8,1,8,2
1.0,1,190,29,9,31,4,10,0,12,2
1.0,1,191,25,1,31,4,11,0,14,1
1.0,1,192,32,4,23,3,11,0,17,0
1.0,1,193,26,5,27,11,9,0,12,0
1.0,1,194,30,6,30,4,11,1,14,0
1.0,1,195,29,8,26,10,13,1,9,0
1.0,1,196,30,5,32,5,13,0,12,0
1.0,1,197,16,4,23,5,4,1,9,0
1.0,1,198,28,8,29,7,11,1,10,0
1.0,1,199,30,6,33,6,9,0,15,0
1.0,2,0,32,5,34,3,14,1,17,3
1.0,2,1,40,12,19,4,13,0,15,0
1.0,2,2,33,7,24,7,16,0,10,0
1.0,2,3,18,2,32,9,10,0,7,1
1.0,2,4,34,6,29,4,14,0,14,0
1.0,2,5,29,3,28,5,14,0,15,3
1.0,2,6,26,6,26,6,10,0,10,0
1.0,2,7,28,8,30,4,12,0,8,0
1.0,2,8,20,2,31,7,14,1,6,1
1.0,2,9,37,5,25,3,14,0,18,0
1.0,2,10,19,3,37,4,9,0,7,0
1.0,2,11,35,5,30,4,20,0,10,0
1.0,2,12,19,2,35,7,6,0,11,0
1.0,2,13,28,2,25,5,12,1,16,1
1.0,2,14,23,5,29,6,8,1,13,2
