gamma,replicate,individual,out_degree,out_degree_initial,in_degree,in_degree_initial,same_type_adds,same_type_breaks,diff_type_adds,diff_type_breaks
-0.5,0,0,23,6,25,4,6,0,11,0
-0.5,0,1,29,6,40,3,17,1,9,2
-0.5,0,2,19,1,23,4,10,1,9,0
-0.5,0,3,8,3,21,7,7,0,0,2
-0.5,0,4,18,4,24,8,10,2,7,1
-0.5,0,5,31,6,32,7,11,1,15,0
-0.5,0,6,38,6,26,4,22,0,10,0
-0.5,0,7,31,8,32,4,8,0,15,0
-0.5,0,8,31,7,25,4,10,0,14,0
-0.5,0,9,25,7,22,7,14,0,6,2
-0.5,0,10,17,6,32,5,9,4,8,2
-0.5,0,11,10,7,26,4,5,0,3,5
-0.5,0,12,21,5,22,2,4,0,12,0
-0.5,0,13,32,7,33,6,10,0,15,0
-0.5,0,14,27,2,26,6,15,0,11,1
-0.5,0,15,30,6,30,8,14,0,10,0
-0.5,0,16,21,4,26,5,12,1,9,3
-0.5,0,17,27,7,18,6,12,0,8,0
-0.5,0,18,18,4,29,7,11,1,7,3
-0.5,0,19,14,4,22,4,9,2,4,1
-0.5,0,20,20,2,23,6,10,1,10,1
-0.5,0,21,9,2,23,5,8,2,1,0
-0.5,0,22,20,5,28,4,11,2,8,2
-0.5,0,23,28,7,24,4,10,0,11,0
-0.5,0,24,28,1,29,4,16,0,12,1
-0.5,0,25,10,4,20,4,8,2,2,2
-0.5,0,26,24,6,16,1,10,0,9,1
-0.5,0,27,19,3,8,4,6,0,10,0
-0.5,0,28,40,6,31,2,16,0,18,0
-0.5,0,29,23,6,24,6,13,4,8,0
-0.5,0,30,30,6,30,2,12,0,12,0
-0.5,0,31,28,6,30,7,17,1,11,5
-0.5,0,32,8,1,19,5,5,0,3,1
-0.5,0,33,20,2,24,4,11,0,9,2
-0.5,0,34,26,5,31,7,16,0,8,3
-0.5,0,35,13,4,18,6,8,2,4,1
-0.5,0,36,25,8,20,5,10,1,11,3
-0.5,0,37,28,3,27,3,18,1,8,0
-0.5,0,38,32,5,25,6,14,1,15,1
-0.5,0,39,21,4,24,9,17,0,3,3
-0.5,0,40,35,7,35,6,13,0,15,0
-0.5,0,41,35,8,15,4,12,0,15,0
-0.5,0,42,27,6,31,5,11,0,10,0
-0.5,0,43,9,5,24,6,5,2,4,3
-0.5,0,44,24,3,28,6,12,1,12,2
-0.5,0,45,29,8,22,4,11,0,11,1
-0.5,0,46,22,6,21,3,7,0,9,0
-0.5,0,47,22,6,21,4,12,1,9,4
-0.5,0,48,34,4,20,2,13,0,17,0
-0.5,0,49,40,9,20,3,12,1,20,0
-0.5,0,50,29,6,21,0,10,1,14,0
-0.5,0,51,24,4,19,5,17,1,5,1
-0.5,0,52,9,5,14,1,6,0,0,2
-0.5,0,53,36,5,27,5,18,0,13,0
-0.5,0,54,12,3,20,4,9,1,2,1
-0.5,0,55,17,2,23,9,7,0,10,2
-0.5,0,56,23,2,25,8,10,0,11,0
-0.5,0,57,26,4,32,5,11,0,11,0
-0.5,0,58,24,7,18,5,12,0,9,4
-0.5,0,59,12,2,16,3,7,0,5,2
-0.5,0,60,39,8,16,3,18,0,14,1
-0.5,0,61,16,2,23,4,6,0,10,2
-0.5,0,62,41,9,20,2,20,0,12,0
-0.5,0,63,15,3,25,2,10,2,5,1
-0.5,0,64,34,5,19,5,19,0,10,0
-0.5,0,65,35,5,19,3,17,0,13,0
-0.5,0,66,7,8,22,4,6,5,1,3
-0.5,0,67,42,8,22,2,18,0,17,1
-0.5,0,68,20,4,22,3,14,0,6,4
-0.5,0,69,24,6,23,9,18,1,4,3
-0.5,0,70,18,4,24,5,9,0,6,1
-0.5,0,71,17,5,21,3,7,1,9,3
-0.5,0,72,16,3,29,8,10,1,6,2
-0.5,0,73,22,2,23,3,13,0,7,0
-0.5,0,74,30,7,31,6,9,0,14,0
-0.5,0,75,14,4,27,8,10,1,3,2
-0.5,0,76,7,5,17,3,5,1,0,2
-0.5,0,77,17,3,32,5,11,1,5,1
-0.5,0,78,27,5,26,4,8,0,15,1
-0.5,0,79,14,3,27,8,10,0,3,2
-0.5,0,80,36,8,14,2,12,0,16,0
-0.5,0,81,27,5,28,4,7,0,15,0
-0.5,0,82,21,5,27,11,9,0,7,0
-0.5,0,83,35,6,25,2,12,0,17,0
-0.5,0,84,3,3,22,3,2,0,1,3
-0.5,0,85,22,6,26,9,12,4,8,0
-0.5,0,86,10,1,27,4,4,0,6,1
-0.5,0,87,28,3,30,8,20,0,5,0
-0.5,0,88,33,3,27,8,16,0,15,1
-0.5,0,89,6,1,18,7,6,0,0,1
-0.5,0,90,13,4,18,1,10,0,1,2
-0.5,0,91,12,2,25,2,7,0,3,0
-0.5,0,92,19,6,20,6,10,0,7,4
-0.5,0,93,30,8,22,3,7,0,15,0
-0.5,0,94,13,7,18,8,9,1,1,3
-0.5,0,95,22,4,24,8,9,1,10,0
-0.5,0,96,34,2,20,9,22,0,11,1
-0.5,0,97,29,5,21,4,14,0,10,0
-0.5,0,98,43,14,22,3,17,0,12,0
-0.5,0,99,31,7,24,3,10,0,15,1
-0.5,0,100,21,13,31,2,9,1,4,4
-0.5,0,101,35,5,27,4,13,0,17,0
-0.5,0,102,27,10,33,6,9,0,8,0
-0.5,0,103,12,3,26,6,6,2,5,0
-0.5,0,104,33,2,25,4,12,0,20,1
-0.5,0,105,25,7,17,8,13,1,10,4
-0.5,0,106,36,6,34,6,9,0,21,0
-0.5,0,107,28,3,23,6,18,1,9,1
-0.5,0,108,34,1,17,2,20,1,14,0
-0.5,0,109,19,3,26,4,9,0,9,2
-0.5,0,110,29,4,30,5,15,0,10,0
-0.5,0,111,28,7,26,4,14,2,14,5
-0.5,0,112,26,2,20,4,14,0,10,0
-0.5,0,113,32,11,23,6,13,0,8,0
-0.5,0,114,30,6,23,5,9,0,15,0
-0.5,0,115,19,4,14,5,12,0,5,2
-0.5,0,116,30,4,27,5,12,0,14,0
-0.5,0,117,30,5,17,6,8,1,18,0
-0.5,0,118,29,3,27,6,8,0,19,1
-0.5,0,119,18,3,27,4,11,1,7,2
-0.5,0,120,40,13,31,3,17,1,11,0
-0.5,0,121,21,4,20,2,8,0,9,0
-0.5,0,122,35,9,29,4,12,1,15,0
-0.5,0,123,31,10,37,4,12,0,9,0
-0.5,0,124,20,7,13,6,14,1,3,3
-0.5,0,125,18,3,17,7,12,1,5,1
-0.5,0,126,38,6,18,3,16,0,16,0
-0.5,0,127,0,3,21,7,0,3,0,0
-0.5,0,128,23,5,18,9,14,2,6,0
-0.5,0,129,18,4,26,3,9,2,7,0
-0.5,0,130,33,5,26,6,19,0,9,0
-0.5,0,131,12,5,16,2,10,0,2,5
-0.5,0,132,18,5,15,4,14,0,3,4
-0.5,0,133,16,9,25,5,11,2,4,6
-0.5,0,134,18,10,24,7,13,4,4,5
-0.5,0,135,34,3,26,6,11,0,20,0
-0.5,0,136,30,2,21,7,18,0,11,1
-0.5,0,137,24,6,20,6,7,0,12,1
-0.5,0,138,13,2,21,8,7,1,6,1
-0.5,0,139,18,5,30,7,12,0,4,3
-0.5,0,140,24,1,28,6,13,0,11,1
-0.5,0,141,22,3,24,7,6,0,15,2
-0.5,0,142,22,4,21,2,7,0,14,3
-0.5,0,143,9,4,17,5,7,0,2,4
-0.5,0,144,6,3,21,7,4,1,2,2
-0.5,0,145,20,3,24,5,11,2,8,0
-0.5,0,146,12,3,18,7,8,1,3,1
-0.5,0,147,22,6,26,5,6,0,10,0
-0.5,0,148,22,5,18,3,12,1,8,2
-0.5,0,149,27,4,26,7,17,2,9,1
-0.5,0,150,35,9,19,7,14,0,12,0
-0.5,0,151,10,6,24,6,6,0,3,5
-0.5,0,152,37,2,23,4,20,1,16,0
-0.5,0,153,15,5,24,3,9,2,5,2
-0.5,0,154,32,2,27,5,11,0,20,1
-0.5,0,155,32,9,23,4,18,0,13,8
-0.5,0,156,27,6,26,6,13,0,8,0
-0.5,0,157,22,5,24,4,9,0,11,3
-0.5,0,158,19,4,21,6,7,0,10,2
-0.5,0,159,24,7,34,9,11,0,7,1
-0.5,0,160,11,1,17,6,9,0,2,1
-0.5,0,161,25,5,33,9,13,2,9,0
-0.5,0,162,26,3,33,4,10,1,14,0
-0.5,0,163,31,7,26,5,8,0,16,0
-0.5,0,164,28,6,20,4,15,1,10,2
-0.5,0,165,37,4,29,8,16,0,17,0
-0.5,0,166,16,9,27,6,7,3,7,4
-0.5,0,167,36,7,25,3,15,0,16,2
-0.5,0,168,27,8,22,4,5,0,14,0
-0.5,0,169,16,4,15,7,9,0,3,0
-0.5,0,170,35,3,18,6,16,1,17,0
-0.5,0,171,21,3,26,7,6,0,13,1
-0.5,0,172,22,1,20,7,15,0,6,0
-0.5,0,173,18,1,17,5,10,0,8,1
