gamma,replicate,individual,out_degree,out_degree_initial,in_degree,in_degree_initial,same_type_adds,same_type_breaks,diff_type_adds,diff_type_breaks
0.1,0,0,20,9,16,7,11,1,3,2
0.1,0,1,20,5,27,9,5,1,12,1
0.1,0,2,33,3,33,5,16,0,14,0
0.1,0,3,13,2,22,5,8,0,4,1
0.1,0,4,33,5,24,6,18,1,11,0
0.1,0,5,20,4,32,6,9,0,7,0
0.1,0,6,23,4,27,5,11,0,8,0
0.1,0,7,11,4,26,2,8,0,1,2
0.1,0,8,17,4,15,4,11,1,6,3
0.1,0,9,15,2,28,7,6,0,8,1
0.1,0,10,22,2,25,4,11,0,9,0
0.1,0,11,20,7,21,7,9,3,10,3
0.1,0,12,27,3,24,4,17,1,9,1
0.1,0,13,26,8,18,4,8,0,10,0
0.1,0,14,29,9,26,4,12,0,8,0
0.1,0,15,24,6,24,11,13,2,8,1
0.1,0,16,21,5,31,6,9,2,9,0
0.1,0,17,28,5,27,5,11,0,12,0
0.1,0,18,20,2,28,7,11,0,9,2
0.1,0,19,25,6,26,3,13,0,6,0
0.1,0,20,19,4,25,4,10,0,7,2
0.1,0,21,35,5,18,4,15,0,15,0
0.1,0,22,24,2,32,5,12,1,11,0
0.1,0,23,29,5,32,2,8,0,16,0
0.1,0,24,20,3,26,8,9,2,10,0
0.1,0,25,29,6,26,4,9,0,14,0
0.1,0,26,35,6,25,4,15,0,14,0
0.1,0,27,24,10,28,3,3,0,11,0
0.1,0,28,43,6,26,7,21,0,16,0
0.1,0,29,23,4,26,4,9,3,13,0
0.1,0,30,20,7,22,7,6,0,9,2
0.1,0,31,7,4,25,6,5,0,2,4
0.1,0,32,20,2,25,3,8,0,10,0
0.1,0,33,32,11,27,3,8,0,13,0
0.1,0,34,22,5,21,4,9,1,9,0
0.1,0,35,28,7,37,9,11,1,15,4
0.1,0,36,26,7,23,5,10,0,10,1
0.1,0,37,37,8,26,4,19,0,10,0
0.1,0,38,24,6,21,2,13,0,5,0
0.1,0,39,26,5,30,5,14,0,7,0
0.1,0,40,32,7,25,4,12,1,14,0
0.1,0,41,33,8,32,6,16,1,12,2
0.1,0,42,12,1,28,5,11,0,1,1
0.1,0,43,22,2,14,6,11,1,11,1
0.1,0,44,30,5,26,6,15,1,12,1
0.1,0,45,26,3,31,7,12,0,12,1
0.1,0,46,31,3,22,4,19,0,9,0
0.1,0,47,13,2,30,4,10,1,3,1
0.1,0,48,30,5,27,4,14,0,11,0
0.1,0,49,32,5,24,4,16,0,11,0
0.1,0,50,23,4,34,2,9,0,11,1
0.1,0,51,25,5,21,5,10,0,10,0
0.1,0,52,23,3,29,6,6,2,16,0
0.1,0,53,24,7,34,6,8,0,9,0
0.1,0,54,31,8,26,9,11,0,12,0
0.1,0,55,29,6,28,6,11,0,12,0
0.1,0,56,24,5,27,3,10,0,9,0
0.1,0,57,31,8,26,5,8,0,15,0
0.1,0,58,11,2,15,3,7,1,4,1
0.1,0,59,31,6,28,2,12,0,13,0
0.1,0,60,33,4,29,7,15,0,14,0
0.1,0,61,15,6,27,5,9,1,5,4
0.1,0,62,39,4,22,2,12,0,23,0
0.1,0,63,28,3,22,4,15,0,13,3
0.1,0,64,41,5,22,6,20,1,18,1
0.1,0,65,27,6,19,4,12,0,9,0
0.1,0,66,25,6,23,5,13,1,9,2
0.1,0,67,26,5,27,6,13,0,8,0
0.1,0,68,13,5,25,6,6,2,6,2
0.1,0,69,28,8,27,9,10,0,10,0
0.1,0,70,24,5,28,8,10,0,9,0
0.1,0,71,24,4,27,7,10,0,10,0
0.1,0,72,23,7,25,6,12,0,6,2
0.1,0,73,27,2,42,6,11,0,14,0
0.1,0,74,25,3,30,2,10,0,12,0
0.1,0,75,28,5,23,3,11,1,16,3
0.1,0,76,27,4,28,4,9,0,14,0
0.1,0,77,36,9,23,6,15,0,12,0
0.1,0,78,20,3,32,7,8,0,10,1
0.1,0,79,12,2,18,8,9,0,3,2
0.1,0,80,1,2,32,7,0,0,1,2
0.1,0,81,20,7,25,5,9,1,8,3
0.1,0,82,25,6,21,6,14,0,7,2
0.1,0,83,38,7,33,7,13,0,18,0
0.1,0,84,39,3,24,5,16,0,20,0
0.1,0,85,24,5,24,3,8,0,11,0
0.1,0,86,8,4,30,5,5,2,3,2
0.1,0,87,38,8,30,2,14,0,16,0
0.1,0,88,21,1,25,4,13,0,7,0
0.1,0,89,13,5,28,6,8,1,4,3
0.1,0,90,29,8,30,5,14,0,7,0
0.1,0,91,42,8,31,4,20,0,16,2
0.1,0,92,5,3,20,5,3,0,1,2
0.1,0,93,24,5,32,6,12,0,7,0
0.1,0,94,33,7,24,6,15,0,11,0
0.1,0,95,19,2,21,3,9,0,8,0
0.1,0,96,38,7,34,5,15,0,16,0
0.1,0,97,24,5,20,7,15,0,7,3
0.1,0,98,15,5,16,2,8,1,3,0
0.1,0,99,23,7,14,5,13,0,6,3
0.1,0,100,30,7,21,1,13,0,10,0
0.1,0,101,24,6,23,6,8,0,11,1
0.1,0,102,27,4,28,4,10,0,13,0
0.1,0,103,27,6,31,3,10,0,11,0
0.1,0,104,29,6,18,5,14,2,13,2
0.1,0,105,39,9,22,6,16,0,14,0
0.1,0,106,24,5,20,0,9,0,11,1
0.1,0,107,24,3,26,4,14,1,9,1
0.1,0,108,26,8,29,7,12,0,8,2
0.1,0,109,21,4,27,7,9,0,8,0
0.1,0,110,31,3,21,8,15,0,13,0
0.1,0,111,25,4,27,4,12,0,9,0
0.1,0,112,4,2,23,4,3,1,1,1
0.1,0,113,30,4,35,2,15,0,11,0
0.1,0,114,17,2,23,5,9,0,8,2
0.1,0,115,28,2,27,2,13,0,13,0
0.1,0,116,33,7,23,5,16,1,11,0
0.1,0,117,33,5,18,6,16,0,12,0
0.1,0,118,30,4,28,5,11,0,15,0
0.1,0,119,26,4,32,7,8,0,14,0
0.1,0,120,36,6,23,4,15,0,15,0
0.1,0,121,34,8,32,6,15,0,11,0
0.1,0,122,19,9,19,8,11,0,3,4
0.1,0,123,31,5,32,3,15,0,11,0
0.1,0,124,35,3,30,8,15,0,17,0
0.1,0,125,30,8,21,4,11,0,11,0
0.1,0,126,17,1,28,6,11,0,5,0
0.1,0,127,24,6,21,3,10,1,10,1
0.1,0,128,31,6,21,7,9,0,17,1
0.1,0,129,16,1,28,4,11,1,5,0
0.1,0,130,20,5,29,5,5,0,12,2
0.1,0,131,34,7,18,5,12,1,17,1
0.1,0,132,26,8,26,6,9,0,10,1
0.1,0,133,8,6,25,5,5,1,1,3
0.1,0,134,36,6,29,4,14,0,16,0
0.1,0,135,24,4,25,6,10,0,10,0
0.1,0,136,36,6,27,8,13,0,17,0
0.1,0,137,26,4,32,9,12,0,11,1
0.1,0,138,26,3,27,4,8,0,15,0
0.1,0,139,19,4,25,7,6,0,11,2
0.1,0,140,32,5,28,5,16,0,11,0
0.1,0,141,21,3,26,9,13,1,7,1
0.1,0,142,39,6,22,2,19,0,14,0
0.1,0,143,34,5,16,5,17,0,12,0
0.1,0,144,14,5,18,5,8,1,3,1
0.1,0,145,21,4,25,2,11,1,9,2
0.1,0,146,22,5,28,3,10,2,10,1
0.1,0,147,33,8,27,5,11,0,14,0
0.1,0,148,24,5,23,5,10,0,9,0
0.1,0,149,28,4,20,5,13,0,11,0
0.1,0,150,26,4,27,3,13,0,9,0
0.1,0,151,34,8,25,3,14,0,12,0
0.1,0,152,34,6,31,7,15,0,13,0
0.1,0,153,28,6,28,8,17,0,8,3
0.1,0,154,19,2,17,5,11,0,7,1
0.1,0,155,22,5,23,5,9,0,8,0
0.1,0,156,9,4,26,4,5,0,3,3
0.1,0,157,22,2,23,3,12,1,10,1
0.1,0,158,12,2,18,2,10,1,2,1
0.1,0,159,25,5,20,3,10,0,12,2
0.1,0,160,13,3,21,4,9,1,3,1
0.1,0,161,24,1,24,3,14,0,9,0
0.1,0,162,39,13,19,2,9,0,17,0
0.1,0,163,30,3,24,6,17,0,11,1
0.1,0,164,37,6,24,4,14,0,17,0
0.1,0,165,22,4,38,6,15,1,5,1
0.1,0,166,13,2,24,3,4,1,9,1
0.1,0,167,35,6,32,8,13,0,16,0
0.1,0,168,27,6,30,7,11,0,10,0
0.1,0,169,29,5,19,5,11,1,16,2
0.1,0,170,20,4,27,4,12,2,8,2
0.1,0,171,29,5,23,4,11,0,13,0
0.1,0,172,25,3,32,9,11,1,14,2
0.1,0,173,30,5,23,3,15,0,10,0
0.1,0,174,11,4,30,7,6,0,4,3
0.1,0,175,25,2,33,10,9,0,16,2
0.1,0,176,28,6,26,7,11,0,11,0
0.1,0,177,38,8,30,4,21,0,9,0
0.1,0,178,22,4,24,4,12,1,7,0
0.1,0,179,24,9,25,4,12,1,8,4
0.1,0,180,20,7,32,6,10,0,3,0
0.1,0,181,24,8,31,5,6,0,10,0
0.1,0,182,42,4,30,3,18,0,20,0
0.1,0,183,34,4,33,4,17,0,13,0
0.1,0,184,30,6,25,7,14,0,10,0
0.1,0,185,24,3,25,2,12,0,12,3
0.1,0,186,19,5,20,6,12,0,6,4
0.1,0,187,41,4,26,4,15,0,22,0
0.1,0,188,26,8,32,11,8,0,10,0
0.1,0,189,25,5,14,3,8,0,13,1
0.1,0,190,18,3,24,2,3,1,13,0
0.1,0,191,22,3,25,7,13,0,6,0
0.1,0,192,43,7,19,3,20,0,17,1
0.1,0,193,27,4,29,7,11,0,12,0
0.1,0,194,15,3,17,3,11,0,4,3
0.1,0,195,33,7,23,3,20,2,12,4
0.1,0,196,22,5,26,5,10,0,9,2
0.1,0,197,31,7,29,5,13,0,11,0
0.1,0,198,27,6,22,4,11,0,11,1
0.1,0,199,31,3,31,4,14,0,14,0
0.1,1,0,18,5,28,4,12,1,6,4
0.1,1,1,10,1,22,3,6,1,4,0
0.1,1,2,32,6,19,3,16,1,11,0
0.1,1,3,17,6,18,8,8,2,6,1
0.1,1,4,39,8,25,3,19,0,13,1
0.1,1,5,16,8,17,4,9,2,3,2
0.1,1,6,36,9,27,6,14,0,13,0
0.1,1,7,24,5,23,3,6,0,13,0
0.1,1,8,37,10,28,3,11,0,16,0
0.1,1,9,22,6,30,7,8,0,8,0
0.1,1,10,30,5,25,4,9,0,16,0
0.1,1,11,38,7,29,5,15,0,16,0
0.1,1,12,21,4,17,2,13,0,7,3
0.1,1,13,19,5,24,3,12,0,3,1
0.1,1,14,28,8,35,6,11,2,13,2
0.1,1,15,27,3,29,5,11,1,15,1
0.1,1,16,20,2,15,2,14,0,5,1
0.1,1,17,27,5,21,5,10,0,12,0
0.1,1,18,30,6,26,5,15,0,9,0
0.1,1,19,7,2,20,8,6,0,1,2
0.1,1,20,34,5,23,4,16,0,13,0
0.1,1,21,34,5,28,9,15,0,14,0
0.1,1,22,36,6,23,5,13,0,17,0
0.1,1,23,22,3,25,6,13,1,8,1
0.1,1,24,35,10,22,3,13,0,12,0
0.1,1,25,18,3,17,3,12,1,4,0
0.1,1,26,46,8,28,5,17,0,21,0
0.1,1,27,34,8,28,5,11,0,15,0
0.1,1,28,33,6,31,5,12,0,15,0
0.1,1,29,33,2,22,5,15,0,17,1
0.1,1,30,22,8,33,5,8,0,7,1
0.1,1,31,30,4,19,2,18,0,9,1
0.1,1,32,26,4,23,6,8,0,14,0
0.1,1,33,15,5,33,2,5,4,9,0
0.1,1,34,17,5,31,6,10,0,6,4
0.1,1,35,27,8,33,7,10,0,9,0
0.1,1,36,20,4,27,4,7,0,9,0
0.1,1,37,20,5,22,2,13,0,7,5
0.1,1,38,24,5,31,7,6,0,14,1
0.1,1,39,26,6,26,2,13,2,10,1
0.1,1,40,22,2,27,2,13,0,8,1
0.1,1,41,29,6,20,6,10,0,14,1
0.1,1,42,27,4,22,5,13,0,10,0
0.1,1,43,23,4,24,5,11,2,12,2
0.1,1,44,18,4,31,2,8,1,9,2
0.1,1,45,37,9,22,2,16,0,12,0
0.1,1,46,25,6,17,1,7,1,14,1
0.1,1,47,21,3,38,6,13,0,5,0
0.1,1,48,35,5,18,2,18,0,12,0
0.1,1,49,30,4,39,9,10,0,16,0
0.1,1,50,35,6,29,4,15,0,14,0
0.1,1,51,18,4,26,6,8,0,10,4
0.1,1,52,25,3,25,6,10,0,12,0
0.1,1,53,31,5,24,5,15,0,11,0
0.1,1,54,4,5,23,6,3,3,1,2
0.1,1,55,28,7,25,5,16,1,8,2
0.1,1,56,31,11,30,6,16,3,8,1
0.1,1,57,26,4,30,3,10,0,12,0
0.1,1,58,15,4,23,6,6,0,6,1
0.1,1,59,31,3,30,3,11,0,17,0
0.1,1,60,14,2,37,2,12,0,2,2
0.1,1,61,20,6,20,5,10,2,8,2
0.1,1,62,30,5,26,7,14,0,11,0
0.1,1,63,17,4,24,2,11,1,5,2
0.1,1,64,15,2,28,4,10,0,4,1
0.1,1,65,27,6,27,8,13,1,9,0
0.1,1,66,16,5,23,2,8,2,7,2
0.1,1,67,28,3,18,7,12,0,13,0
0.1,1,68,19,5,16,8,4,0,10,0
0.1,1,69,25,7,29,6,8,0,10,0
0.1,1,70,24,4,22,8,16,2,7,1
0.1,1,71,27,6,24,4,10,0,11,0
0.1,1,72,8,6,29,9,5,0,1,4
0.1,1,73,24,2,23,6,9,0,13,0
0.1,1,74,12,4,32,7,8,3,4,1
0.1,1,75,25,4,27,2,9,0,12,0
0.1,1,76,23,2,25,4,12,1,10,0
0.1,1,77,23,3,20,2,9,1,12,0
0.1,1,78,40,6,25,3,12,0,22,0
0.1,1,79,26,5,28,3,10,0,11,0
0.1,1,80,24,4,24,5,8,0,12,0
0.1,1,81,18,6,28,7,11,1,3,1
0.1,1,82,28,3,37,3,20,0,5,0
0.1,1,83,18,5,12,2,10,1,6,2
0.1,1,84,30,3,21,3,13,0,16,2
0.1,1,85,24,5,32,6,8,0,11,0
0.1,1,86,21,6,25,6,8,1,10,2
0.1,1,87,4,1,27,4,4,0,0,1
0.1,1,88,30,4,22,7,12,0,14,0
0.1,1,89,27,6,16,6,13,0,10,2
0.1,1,90,27,4,32,5,8,0,15,0
0.1,1,91,24,11,14,5,9,1,8,3
0.1,1,92,39,6,31,6,13,0,20,0
0.1,1,93,21,5,30,3,6,0,10,0
