gamma,replicate,individual,out_degree,out_degree_initial,in_degree,in_degree_initial,same_type_adds,same_type_breaks,diff_type_adds,diff_type_breaks
-1.0,0,0,33,5,15,2,13,1,16,0
-1.0,0,1,25,6,33,7,11,0,8,0
-1.0,0,2,28,5,25,8,11,0,12,0
-1.0,0,3,24,2,19,2,12,1,11,0
-1.0,0,4,11,3,30,4,6,1,4,1
-1.0,0,5,32,6,27,7,11,0,15,0
-1.0,0,6,15,6,27,9,9,0,6,6
-1.0,0,7,35,9,17,6,13,0,13,0
-1.0,0,8,0,4,26,6,0,3,0,1
-1.0,0,9,35,4,20,2,15,1,17,0
-1.0,0,10,28,6,23,4,13,0,9,0
-1.0,0,11,22,8,26,8,8,1,8,1
-1.0,0,12,29,7,24,0,8,0,15,1
-1.0,0,13,31,4,29,7,11,0,16,0
-1.0,0,14,19,7,18,4,14,0,2,4
-1.0,0,15,17,5,18,9,11,0,2,1
-1.0,0,16,19,5,22,6,16,0,1,3
-1.0,0,17,42,6,17,7,10,0,26,0
-1.0,0,18,27,5,21,4,12,0,10,0
-1.0,0,19,30,6,20,3,14,0,10,0
-1.0,0,20,32,6,29,9,11,0,15,0
-1.0,0,21,33,8,22,11,12,1,14,0
-1.0,0,22,33,8,27,1,13,0,12,0
-1.0,0,23,36,4,23,5,17,0,15,0
-1.0,0,24,13,3,23,5,10,0,1,1
-1.0,0,25,19,2,30,6,13,0,6,2
-1.0,0,26,12,5,18,9,11,3,0,1
-1.0,0,27,26,4,25,4,10,0,12,0
-1.0,0,28,33,6,19,2,16,0,11,0
-1.0,0,29,22,6,26,4,14,2,8,4
-1.0,0,30,7,7,25,3,3,2,1,2
-1.0,0,31,30,4,31,5,17,0,9,0
-1.0,0,32,36,8,21,6,14,0,14,0
-1.0,0,33,21,6,18,8,8,1,8,0
-1.0,0,34,10,5,15,3,8,0,0,3
-1.0,0,35,40,8,27,4,16,0,16,0
-1.0,0,36,29,7,20,4,11,0,11,0
-1.0,0,37,13,4,23,5,8,1,5,3
-1.0,0,38,30,3,26,3,12,0,15,0
-1.0,0,39,37,6,19,3,17,0,14,0
-1.0,0,40,28,5,13,4,17,0,8,2
-1.0,0,41,31,5,26,3,16,0,11,1
-1.0,0,42,32,6,21,6,13,0,15,2
