gamma,replicate,individual,out_degree,out_degree_initial,in_degree,in_degree_initial,same_type_adds,same_type_breaks,diff_type_adds,diff_type_breaks
0.4,0,0,28,5,33,5,11,0,13,1
0.4,0,1,34,3,21,6,21,1,12,1
0.4,0,2,29,4,26,4,13,0,12,0
0.4,0,3,0,3,32,2,0,1,0,2
0.4,0,4,8,2,17,6,8,1,0,1
0.4,0,5,24,8,14,5,8,1,12,3
0.4,0,6,10,3,18,7,9,0,1,3
0.4,0,7,22,8,21,6,15,3,6,4
0.4,0,8,13,3,21,2,9,2,4,1
0.4,0,9,7,3,21,3,6,2,1,1
0.4,0,10,12,2,20,6,6,0,5,1
0.4,0,11,29,6,26,4,9,0,14,0
0.4,0,12,37,6,25,3,19,1,13,0
0.4,0,13,32,5,24,6,19,2,13,3
0.4,0,14,11,5,28,1,6,2,5,3
0.4,0,15,24,6,29,7,11,2,11,2
0.4,0,16,15,1,14,5,10,1,5,0
0.4,0,17,12,8,16,4,5,1,4,4
0.4,0,18,20,4,22,4,9,1,10,2
0.4,0,19,11,2,21,7,10,1,1,1
0.4,0,20,0,4,24,2,0,3,0,1
0.4,0,21,23,5,26,6,7,0,11,0
0.4,0,22,12,4,22,5,9,1,1,1
0.4,0,23,33,6,27,6,7,0,20,0
0.4,0,24,21,3,29,7,6,1,15,2
0.4,0,25,35,7,24,6,21,0,7,0
0.4,0,26,8,3,28,4,4,1,3,1
0.4,0,27,29,7,17,3,12,2,13,1
0.4,0,28,12,5,23,3,7,3,4,1
0.4,0,29,14,8,25,3,9,2,3,4
0.4,0,30,39,6,25,4,12,0,21,0
0.4,0,31,27,6,26,4,10,1,12,0
0.4,0,32,33,7,24,7,13,0,13,0
0.4,0,33,8,4,15,2,6,0,1,3
0.4,0,34,25,3,21,9,17,2,8,1
0.4,0,35,15,8,11,1,9,1,2,3
0.4,0,36,36,7,24,11,5,0,24,0
0.4,0,37,23,2,26,4,8,0,13,0
0.4,0,38,12,4,12,2,9,1,1,1
0.4,0,39,22,5,17,0,11,3,11,2
0.4,0,40,5,5,26,6,4,1,0,3
0.4,0,41,40,8,18,5,12,0,20,0
0.4,0,42,28,2,23,7,14,1,13,0
0.4,0,43,17,5,26,6,10,2,4,0
0.4,0,44,37,5,31,2,14,0,18,0
0.4,0,45,14,6,12,5,11,1,0,2
0.4,0,46,27,2,23,6,11,0,14,0
0.4,0,47,25,3,27,6,13,0,12,3
0.4,0,48,31,4,23,7,16,0,13,2
0.4,0,49,18,6,26,6,9,0,6,3
0.4,0,50,8,2,25,7,4,0,3,1
0.4,0,51,41,5,27,6,25,0,11,0
0.4,0,52,30,5,26,7,12,0,13,0
0.4,0,53,25,4,28,6,11,0,10,0
0.4,0,54,20,5,28,6,7,2,11,1
0.4,0,55,10,7,15,3,6,3,2,2
0.4,0,56,30,5,24,6,14,0,11,0
0.4,0,57,25,4,30,4,13,0,8,0
0.4,0,58,10,9,19,7,7,2,1,5
0.4,0,59,9,4,16,6,8,2,1,2
0.4,0,60,7,5,15,4,4,2,3,3
0.4,0,61,24,5,12,1,12,0,10,3
0.4,0,62,11,3,20,8,5,0,4,1
0.4,0,63,29,5,28,7,7,0,17,0
0.4,0,64,22,4,23,6,9,0,12,3
0.4,0,65,31,4,23,2,19,1,12,3
0.4,0,66,26,6,24,4,13,3,11,1
0.4,0,67,11,4,15,8,9,2,1,1
0.4,0,68,34,4,29,2,17,0,13,0
0.4,0,69,22,6,18,5,15,0,2,1
