gamma,replicate,individual,out_degree,out_degree_initial,in_degree,in_degree_initial,same_type_adds,same_type_breaks,diff_type_adds,diff_type_breaks
-0.7,0,0,7,5,6,5,3,0,0,1
-0.7,0,1,0,2,1,0,0,1,0,1
-0.7,0,2,4,3,3,6,0,0,1,0
-0.7,0,3,9,6,6,3,3,0,0,0
-0.7,0,4,3,4,6,6,1,0,0,2
-0.7,0,5,2,3,3,5,0,0,0,1
-0.7,0,6,2,6,5,8,0,1,0,3
-0.7,0,7,7,6,3,4,0,0,1,0
-0.7,0,8,4,5,6,10,0,1,0,0
-0.7,0,9,4,5,5,5,2,1,0,2
-0.7,0,10,5,8,2,7,2,0,0,5
-0.7,0,11,2,3,2,4,0,0,0,1
-0.7,0,12,2,1,4,4,0,0,1,0
-0.7,0,13,1,2,10,8,0,0,0,1
-0.7,0,14,7,8,6,9,2,1,0,2
-0.7,0,15,2,3,3,6,2,0,0,3
-0.7,0,16,4,4,3,3,1,0,0,1
-0.7,0,17,4,4,3,6,0,0,1,1
-0.7,0,18,3,4,9,10,1,1,0,1
-0.7,0,19,5,2,10,6,2,0,1,0
-0.7,0,20,13,9,4,4,2,0,2,0
-0.7,0,21,7,6,2,2,1,0,0,0
-0.7,0,22,7,4,5,5,3,0,0,0
-0.7,0,23,3,2,4,6,0,0,1,0
-0.7,0,24,8,6,6,6,1,0,1,0
-0.7,0,25,9,12,4,4,1,1,0,3
-0.7,0,26,11,5,1,1,2,0,4,0
-0.7,0,27,10,8,9,5,1,0,1,0
-0.7,0,28,4,5,4,7,3,2,0,2
-0.7,0,29,9,5,8,5,3,0,1,0
-0.7,0,30,6,3,7,5,3,1,2,1
-0.7,0,31,6,5,4,4,1,1,1,0
-0.7,0,32,1,3,4,4,0,0,0,2
-0.7,0,33,1,4,5,10,1,0,0,4
-0.7,0,34,6,4,5,5,1,0,1,0
-0.7,0,35,0,5,7,5,0,2,0,3
-0.7,0,36,6,5,4,4,0,0,1,0
-0.7,0,37,0,1,5,8,0,0,0,1
-0.7,0,38,1,5,4,6,0,0,0,4
-0.7,0,39,2,5,5,5,0,1,0,2
-0.7,0,40,2,4,0,2,0,0,0,2
-0.7,0,41,6,5,7,6,0,0,1,0
-0.7,0,42,7,5,10,8,1,0,2,1
-0.7,0,43,10,7,5,7,4,0,1,2
-0.7,0,44,11,8,2,2,2,0,1,0
-0.7,0,45,3,2,4,5,2,1,1,1
-0.7,0,46,10,7,5,4,1,0,2,0
-0.7,0,47,3,7,3,4,1,0,0,5
-0.7,0,48,0,1,7,4,0,0,0,1
-0.7,0,49,3,4,5,5,0,1,0,0
-0.7,0,50,4,4,3,4,0,0,0,0
-0.7,0,51,4,5,3,2,2,0,1,4
-0.7,0,52,6,6,6,7,2,1,0,1
-0.7,0,53,7,7,4,2,0,0,0,0
-0.7,0,54,4,3,3,4,0,0,1,0
-0.7,0,55,5,4,5,5,0,0,1,0
-0.7,0,56,0,5,4,2,0,3,0,2
-0.7,0,57,10,7,3,3,5,0,1,3
-0.7,0,58,4,7,5,8,0,1,0,2
-0.7,0,59,1,1,6,9,1,1,0,0
-0.7,0,60,1,5,6,6,0,3,0,1
-0.7,0,61,8,8,7,7,0,0,0,0
-0.7,0,62,0,2,4,5,0,1,0,1
-0.7,0,63,1,7,3,2,0,3,0,3
-0.7,0,64,4,6,2,2,2,0,0,4
-0.7,0,65,8,6,5,1,1,0,1,0
-0.7,0,66,9,11,4,3,0,1,0,1
-0.7,0,67,0,1,6,5,0,0,0,1
-0.7,0,68,4,7,3,7,2,1,0,4
-0.7,0,69,0,1,7,6,0,1,0,0
-0.7,0,70,0,2,3,1,0,0,0,2
-0.7,0,71,6,4,5,4,1,0,1,0
-0.7,0,72,3,3,2,5,2,0,0,2
-0.7,0,73,12,7,1,1,1,0,4,0
-0.7,0,74,10,6,4,5,2,0,2,0
-0.7,0,75,1,3,1,3,1,1,0,2
-0.7,0,76,1,6,1,8,0,1,0,4
-0.7,0,77,1,4,2,1,0,0,0,3
-0.7,0,78,4,6,5,5,1,1,1,3
-0.7,0,79,10,5,9,7,3,0,2,0
-0.7,0,80,1,3,4,10,0,2,0,0
-0.7,0,81,8,5,10,6,2,0,1,0
-0.7,0,82,10,4,5,4,3,0,3,0
-0.7,0,83,9,7,5,1,0,0,2,0
-0.7,0,84,6,5,1,6,1,1,1,0
-0.7,0,85,1,8,1,1,0,3,0,4
-0.7,0,86,7,5,9,8,0,0,2,0
-0.7,0,87,3,5,6,4,0,0,0,2
-0.7,0,88,5,6,3,1,2,0,1,4
-0.7,0,89,4,8,2,3,1,3,0,2
-0.7,0,90,2,5,6,6,0,0,0,3
-0.7,0,91,1,4,3,3,0,1,0,2
-0.7,0,92,9,12,6,7,2,0,0,5
-0.7,0,93,12,6,7,6,2,0,4,0
-0.7,0,94,8,6,2,2,1,0,1,0
-0.7,0,95,8,8,4,7,0,0,0,0
-0.7,0,96,4,5,3,4,1,0,0,2
-0.7,0,97,6,5,4,4,2,1,0,0
-0.7,0,98,2,7,3,4,1,1,0,5
-0.7,0,99,6,4,3,4,2,0,0,0
-0.7,0,100,8,5,3,3,1,0,2,0
-0.7,0,101,4,5,7,4,1,0,0,2
-0.7,0,102,9,7,5,5,2,0,0,0
-0.7,0,103,10,6,7,4,4,0,0,0
-0.7,0,104,8,4,5,5,2,0,2,0
-0.7,0,105,1,5,2,7,0,1,0,3
-0.7,0,106,3,5,5,8,1,1,0,2
-0.7,0,107,2,10,7,7,0,1,0,7
-0.7,0,108,7,6,7,6,0,0,1,0
-0.7,0,109,4,6,5,7,1,0,0,3
-0.7,0,110,1,2,2,2,1,2,0,0
-0.7,0,111,0,6,7,5,0,2,0,4
-0.7,0,112,1,4,4,5,0,1,0,2
-0.7,0,113,1,4,6,2,1,1,0,3
-0.7,0,114,10,8,4,5,1,0,1,0
-0.7,0,115,3,3,3,5,2,1,0,1
-0.7,0,116,3,2,5,4,2,0,0,1
-0.7,0,117,2,6,3,3,0,0,0,4
-0.7,0,118,1,7,7,5,0,2,0,4
-0.7,0,119,11,9,9,6,1,0,1,0
-0.7,0,120,0,4,9,7,0,1,0,3
-0.7,0,121,4,6,5,3,1,1,0,2
-0.7,0,122,4,4,3,4,2,1,1,2
-0.7,0,123,1,4,8,7,1,2,0,2
-0.7,0,124,1,1,10,9,1,0,0,1
-0.7,0,125,5,3,8,7,0,0,2,0
-0.7,0,126,9,7,6,7,0,0,2,0
-0.7,0,127,4,3,6,8,2,0,1,2
-0.7,0,128,6,7,7,6,1,0,1,3
-0.7,0,129,9,7,7,5,1,0,1,0
-0.7,0,130,1,2,6,6,0,0,0,1
-0.7,0,131,10,7,5,5,0,0,4,1
-0.7,0,132,4,1,6,3,3,0,0,0
-0.7,0,133,7,3,3,3,3,0,1,0
