gamma,replicate,individual,out_degree,out_degree_initial,in_degree,in_degree_initial,same_type_adds,same_type_breaks,diff_type_adds,diff_type_breaks
0.2,0,0,2,1,7,4,1,1,1,0
0.2,0,1,6,9,2,3,0,0,1,4
0.2,0,2,3,1,3,4,2,0,0,0
0.2,0,3,0,4,2,4,0,3,0,1
0.2,0,4,14,6,4,2,2,1,7,0
0.2,0,5,0,5,9,7,0,4,0,1
0.2,0,6,0,5,8,5,0,3,0,2
0.2,0,7,2,7,2,8,2,2,0,5
0.2,0,8,1,2,4,3,1,0,0,2
0.2,0,9,2,6,8,5,0,2,0,2
0.2,0,10,4,6,3,2,2,0,0,4
0.2,0,11,18,10,4,4,5,0,3,0
0.2,0,12,11,5,6,8,5,1,2,0
0.2,0,13,11,5,5,7,4,0,4,2
0.2,0,14,5,5,7,2,3,0,0,3
0.2,0,15,7,10,2,4,0,0,1,4
0.2,0,16,8,6,8,7,3,2,2,1
0.2,0,17,10,4,7,6,1,1,6,0
0.2,0,18,7,6,4,6,2,1,3,3
0.2,0,19,3,3,12,5,1,1,1,1
0.2,0,20,1,1,1,3,1,1,0,0
0.2,0,21,11,6,9,5,4,0,1,0
0.2,0,22,4,6,5,5,1,2,0,1
0.2,0,23,3,4,3,5,1,2,1,1
0.2,0,24,4,5,0,4,2,1,0,2
0.2,0,25,2,2,1,5,2,0,0,2
0.2,0,26,9,4,7,4,4,0,2,1
0.2,0,27,4,5,2,3,1,1,1,2
0.2,0,28,4,4,6,4,1,2,1,0
0.2,0,29,7,11,2,2,1,4,0,1
0.2,0,30,0,3,8,11,0,0,0,3
0.2,0,31,11,5,3,2,3,0,3,0
0.2,0,32,11,9,10,6,1,0,1,0
0.2,0,33,10,7,3,3,3,1,1,0
0.2,0,34,7,5,8,5,1,0,1,0
0.2,0,35,3,5,6,6,2,1,0,3
0.2,0,36,6,5,9,13,3,2,2,2
0.2,0,37,0,3,11,6,0,3,0,0
0.2,0,38,2,4,5,7,1,1,0,2
0.2,0,39,2,5,8,9,0,3,0,0
0.2,0,40,1,2,6,4,1,1,0,1
