gamma,replicate,individual,out_degree,out_degree_initial,in_degree,in_degree_initial,same_type_adds,same_type_breaks,diff_type_adds,diff_type_breaks
-0.2,0,0,15,11,4,3,2,0,2,0
-0.2,0,1,4,1,5,4,1,0,2,0
-0.2,0,2,6,3,7,4,2,0,1,0
-0.2,0,3,9,5,4,3,3,0,1,0
-0.2,0,4,11,4,6,6,2,0,5,0
-0.2,0,5,11,6,7,5,0,0,5,0
-0.2,0,6,8,6,9,7,0,0,2,0
-0.2,0,7,9,7,9,3,0,0,2,0
-0.2,0,8,7,5,3,2,2,0,2,2
-0.2,0,9,2,2,4,4,0,0,0,0
-0.2,0,10,10,5,6,6,3,0,2,0
-0.2,0,11,7,5,7,2,1,0,1,0
-0.2,0,12,6,3,6,3,2,0,1,0
-0.2,0,13,9,5,6,5,3,0,1,0
-0.2,0,14,6,6,3,3,0,0,1,1
-0.2,0,15,6,2,5,2,2,0,2,0
-0.2,0,16,4,2,6,6,1,0,1,0
-0.2,0,17,10,6,5,5,2,0,2,0
-0.2,0,18,5,4,3,4,0,0,2,1
-0.2,0,19,8,5,5,2,2,0,1,0
-0.2,0,20,9,7,7,6,1,0,1,0
-0.2,0,21,4,4,9,10,0,0,0,0
-0.2,0,22,8,7,9,6,1,0,0,0
-0.2,0,23,11,7,7,5,2,0,2,0
-0.2,0,24,0,4,7,6,0,0,0,4
-0.2,0,25,6,5,7,4,0,0,1,0
-0.2,0,26,5,2,9,5,2,0,2,1
-0.2,0,27,4,3,3,3,1,0,0,0
-0.2,0,28,7,6,8,6,1,0,0,0
-0.2,0,29,0,1,7,7,0,0,0,1
-0.2,0,30,11,7,7,6,1,0,3,0
-0.2,0,31,11,7,6,4,2,0,2,0
-0.2,0,32,6,5,11,7,1,0,0,0
-0.2,0,33,9,6,6,2,2,0,1,0
-0.2,0,34,11,9,3,5,1,0,1,0
-0.2,0,35,10,6,3,3,1,0,3,0
-0.2,0,36,11,10,6,7,0,0,1,0
-0.2,0,37,1,2,8,7,1,0,0,2
-0.2,0,38,4,5,3,3,0,0,0,1
-0.2,0,39,7,4,7,3,3,0,0,0
-0.2,0,40,9,5,6,5,2,0,2,0
-0.2,0,41,5,3,7,5,2,0,0,0
-0.2,0,42,5,1,3,3,2,0,2,0
-0.2,0,43,10,7,3,2,1,0,2,0
-0.2,0,44,9,9,3,2,0,0,0,0
-0.2,0,45,4,4,7,8,0,0,0,0
-0.2,0,46,9,9,7,5,0,0,0,0
-0.2,0,47,1,1,8,6,1,0,0,1
-0.2,0,48,4,4,7,5,0,0,1,1
-0.2,0,49,2,1,6,3,1,0,1,1
-0.2,0,50,10,8,6,2,1,0,1,0
-0.2,0,51,8,6,9,5,1,0,1,0
-0.2,0,52,8,3,3,3,4,0,2,1
-0.2,0,53,2,4,7,3,1,0,1,4
-0.2,0,54,15,6,4,5,5,0,4,0
-0.2,0,55,11,6,6,5,2,0,3,0
-0.2,0,56,8,5,10,9,1,0,2,0
-0.2,0,57,5,2,9,8,2,0,2,1
-0.2,0,58,6,3,6,4,2,0,1,0
-0.2,0,59,0,2,7,5,0,1,0,1
-0.2,0,60,5,5,9,5,0,0,0,0
-0.2,0,61,4,5,6,1,1,0,0,2
-0.2,0,62,7,4,6,4,1,0,2,0
-0.2,0,63,9,7,7,5,1,0,1,0
-0.2,0,64,4,2,5,5,1,0,1,0
-0.2,0,65,7,5,7,5,0,0,2,0
-0.2,0,66,2,2,9,7,2,0,0,2
-0.2,0,67,3,1,8,7,2,0,1,1
-0.2,0,68,9,4,10,8,2,0,3,0
-0.2,0,69,5,2,3,1,0,0,3,0
-0.2,0,70,10,8,6,1,1,0,1,0
-0.2,0,71,7,3,4,3,1,0,3,0
-0.2,0,72,11,9,5,4,1,0,1,0
-0.2,0,73,4,2,8,6,2,0,0,0
-0.2,0,74,8,7,8,7,1,0,0,0
-0.2,0,75,7,3,8,6,1,0,3,0
-0.2,0,76,4,3,3,3,1,0,1,1
-0.2,0,77,9,6,9,8,2,0,1,0
-0.2,0,78,9,6,6,5,1,0,2,0
-0.2,0,79,8,6,8,6,1,0,1,0
-0.2,0,80,14,10,8,7,2,0,2,0
-0.2,0,81,11,5,7,6,2,0,4,0
-0.2,0,82,10,8,8,7,1,0,1,0
-0.2,0,83,6,5,8,6,0,0,2,1
-0.2,0,84,11,5,6,2,4,0,2,0
-0.2,0,85,12,7,6,3,2,0,3,0
-0.2,0,86,2,5,10,5,2,0,0,5
-0.2,0,87,7,5,7,5,2,0,0,0
-0.2,0,88,7,6,10,6,1,0,0,0
-0.2,0,89,10,6,9,6,2,0,2,0
-0.2,0,90,9,4,5,4,3,0,2,0
-0.2,0,91,7,7,6,6,0,0,1,1
-0.2,0,92,10,6,9,4,2,0,2,0
-0.2,0,93,9,5,6,1,2,0,2,0
-0.2,0,94,4,2,14,7,3,0,1,2
-0.2,0,95,9,3,6,5,2,0,4,0
-0.2,0,96,2,2,8,7,0,0,1,1
-0.2,0,97,9,4,7,6,2,0,3,0
-0.2,0,98,10,6,2,2,4,0,0,0
-0.2,0,99,9,6,5,5,1,0,2,0
-0.2,0,100,11,8,10,4,2,0,1,0
-0.2,0,101,6,4,6,4,0,0,2,0
-0.2,0,102,6,3,7,5,1,0,2,0
-0.2,0,103,2,5,4,4,0,0,0,3
-0.2,0,104,1,3,11,9,1,0,0,3
-0.2,0,105,5,5,8,6,0,0,0,0
-0.2,0,106,3,2,9,5,1,0,0,0
-0.2,0,107,13,10,6,3,2,0,1,0
-0.2,0,108,9,6,12,6,1,0,2,0
-0.2,0,109,3,3,10,10,1,0,0,1
-0.2,0,110,9,6,7,5,2,0,1,0
