gamma,replicate,individual,out_degree,out_degree_initial,in_degree,in_degree_initial,same_type_adds,same_type_breaks,diff_type_adds,diff_type_breaks
0.0,0,0,9,5,8,6,1,0,3,0
0.0,0,1,6,5,3,1,0,0,1,0
0.0,0,2,16,11,6,3,3,0,2,0
0.0,0,3,9,7,3,1,1,0,1,0
0.0,0,4,7,6,3,2,1,0,0,0
0.0,0,5,8,7,4,3,0,0,1,0
0.0,0,6,10,7,4,5,2,0,1,0
0.0,0,7,9,8,7,6,1,0,0,0
0.0,0,8,0,2,10,8,0,0,0,2
0.0,0,9,9,5,6,4,3,0,1,0
0.0,0,10,4,4,7,4,0,0,1,1
0.0,0,11,8,6,12,6,0,0,2,0
0.0,0,12,10,6,9,8,0,0,4,0
0.0,0,13,15,8,6,5,0,0,7,0
0.0,0,14,7,5,5,3,1,0,1,0
0.0,0,15,5,4,8,5,1,0,0,0
0.0,0,16,10,7,5,4,1,0,2,0
0.0,0,17,5,5,5,2,0,0,2,2
0.0,0,18,6,7,6,4,0,0,0,1
0.0,0,19,7,4,7,8,2,0,1,0
0.0,0,20,3,1,4,4,1,0,1,0
0.0,0,21,4,3,8,6,1,0,0,0
0.0,0,22,7,6,7,5,0,0,1,0
0.0,0,23,7,5,9,7,0,0,2,0
0.0,0,24,6,4,5,5,1,0,1,0
0.0,0,25,8,5,4,3,1,0,2,0
0.0,0,26,5,3,7,6,2,0,0,0
0.0,0,27,8,7,7,6,0,0,1,0
0.0,0,28,6,5,9,9,1,0,0,0
0.0,0,29,6,5,3,1,1,0,0,0
0.0,0,30,7,6,10,8,1,0,0,0
0.0,0,31,12,8,3,2,2,0,2,0
0.0,0,32,2,1,5,3,1,0,1,1
0.0,0,33,7,5,7,6,1,0,1,0
0.0,0,34,5,3,3,3,3,0,0,1
0.0,0,35,8,7,8,9,1,0,0,0
0.0,0,36,2,4,10,8,0,0,1,3
0.0,0,37,5,5,7,6,1,0,0,1
0.0,0,38,11,7,6,4,2,0,2,0
0.0,0,39,12,5,1,2,5,0,2,0
0.0,0,40,2,3,10,7,0,0,0,1
0.0,0,41,9,7,6,4,1,0,1,0
0.0,0,42,9,6,8,8,2,0,1,0
0.0,0,43,9,4,6,4,1,0,4,0
0.0,0,44,10,7,5,2,2,0,1,0
0.0,0,45,2,5,7,5,0,0,0,3
0.0,0,46,11,8,5,4,3,0,0,0
0.0,0,47,8,4,6,4,1,0,3,0
0.0,0,48,5,4,12,9,1,0,0,0
0.0,0,49,8,7,6,5,0,0,1,0
0.0,0,50,8,2,7,4,5,0,2,1
0.0,0,51,7,5,8,6,1,0,1,0
0.0,0,52,5,3,5,2,2,0,1,1
0.0,0,53,2,2,8,4,1,0,1,2
