gamma,replicate,individual,out_degree,out_degree_initial,in_degree,in_degree_initial,same_type_adds,same_type_breaks,diff_type_adds,diff_type_breaks
-1.0,0,0,10,10,1,2,0,0,0,0
-1.0,0,1,4,4,3,4,0,0,0,0
-1.0,0,2,2,4,3,3,0,0,0,2
-1.0,0,3,3,3,7,7,0,0,0,0
-1.0,0,4,3,3,4,4,0,0,0,0
-1.0,0,5,2,3,7,7,0,0,0,1
-1.0,0,6,0,3,1,1,0,0,0,3
-1.0,0,7,0,1,4,5,0,0,0,1
-1.0,0,8,6,6,3,4,0,0,0,0
-1.0,0,9,4,5,5,5,0,0,0,1
-1.0,0,10,2,2,5,6,0,0,0,0
-1.0,0,11,4,4,2,3,0,0,0,0
-1.0,0,12,8,8,3,4,0,0,0,0
-1.0,0,13,10,10,6,7,0,0,0,0
-1.0,0,14,2,2,5,5,0,0,0,0
-1.0,0,15,6,6,7,7,0,0,0,0
-1.0,0,16,5,5,4,6,0,0,0,0
-1.0,0,17,2,5,5,6,0,0,0,3
-1.0,0,18,4,4,3,4,0,0,0,0
-1.0,0,19,0,3,9,9,0,0,0,3
-1.0,0,20,2,5,1,1,0,1,0,2
-1.0,0,21,6,6,3,3,0,0,0,0
-1.0,0,22,4,6,5,6,0,0,0,2
-1.0,0,23,4,6,2,2,0,0,0,2
-1.0,0,24,5,5,5,5,0,0,0,0
-1.0,0,25,4,6,5,7,0,0,0,2
-1.0,0,26,0,2,6,6,0,0,0,2
-1.0,0,27,5,5,2,2,0,0,0,0
-1.0,0,28,0,4,4,5,0,0,0,4
-1.0,0,29,3,3,3,4,0,0,0,0
-1.0,0,30,6,7,7,9,0,0,0,1
-1.0,0,31,2,3,2,3,0,0,0,1
-1.0,0,32,2,4,5,5,0,0,0,2
-1.0,0,33,6,8,4,5,0,0,0,2
-1.0,0,34,2,2,6,6,0,0,0,0
-1.0,0,35,4,5,5,6,0,0,0,1
-1.0,0,36,6,6,5,6,0,0,0,0
-1.0,0,37,7,7,7,7,0,0,0,0
-1.0,0,38,6,6,6,6,0,0,0,0
-1.0,0,39,6,6,6,6,0,0,0,0
-1.0,0,40,4,5,7,8,0,0,0,1
-1.0,0,41,2,6,4,5,0,0,0,4
-1.0,0,42,0,2,6,6,0,0,0,2
-1.0,0,43,8,8,4,6,0,0,0,0
-1.0,0,44,3,3,4,6,0,0,0,0
-1.0,0,45,7,7,5,6,0,0,0,0
-1.0,0,46,3,3,3,4,0,0,0,0
-1.0,0,47,7,7,3,4,0,0,0,0
-1.0,0,48,4,4,5,6,0,0,0,0
-1.0,0,49,4,5,6,6,0,0,0,1
