gamma,replicate,individual,out_degree,out_degree_initial,in_degree,in_degree_initial,same_type_adds,same_type_breaks,diff_type_adds,diff_type_breaks
0.0,0,0,5,5,8,9,0,0,0,0
0.0,0,1,4,6,2,2,0,0,0,2
0.0,0,2,7,7,2,2,0,0,0,0
0.0,0,3,3,3,6,6,0,0,0,0
0.0,0,4,7,7,3,4,0,0,0,0
0.0,0,5,3,3,5,6,0,0,0,0
0.0,0,6,5,5,2,3,0,0,0,0
0.0,0,7,4,5,4,4,0,0,0,1
0.0,0,8,8,8,3,3,0,0,0,0
0.0,0,9,6,6,4,4,0,0,0,0
0.0,0,10,5,5,4,4,0,0,0,0
0.0,0,11,6,7,1,1,0,0,0,1
0.0,0,12,4,4,7,9,0,0,0,0
0.0,0,13,6,6,5,6,0,0,0,0
0.0,0,14,5,5,6,6,0,0,0,0
0.0,0,15,5,5,10,11,0,0,0,0
0.0,0,16,2,3,5,5,0,0,0,1
0.0,0,17,2,4,6,6,0,0,0,2
0.0,0,18,5,5,5,6,0,0,0,0
0.0,0,19,2,3,7,8,0,0,0,1
0.0,0,20,11,11,7,8,0,0,0,0
0.0,0,21,2,4,5,6,0,0,0,2
0.0,0,22,4,4,4,5,0,0,0,0
0.0,0,23,4,4,1,1,0,0,0,0
0.0,0,24,4,4,0,1,0,0,0,0
0.0,0,25,2,4,9,9,0,0,0,2
0.0,0,26,5,5,6,6,0,0,0,0
0.0,0,27,0,1,1,2,0,1,0,0
0.0,0,28,10,10,2,3,0,0,0,0
0.0,0,29,4,6,5,5,0,0,0,2
0.0,0,30,7,7,5,5,0,0,0,0
0.0,0,31,2,3,6,6,0,0,0,1
0.0,0,32,2,3,3,3,0,0,0,1
0.0,0,33,4,4,4,4,0,0,0,0
0.0,0,34,4,5,3,3,0,0,0,1
0.0,0,35,2,2,7,7,0,0,0,0
0.0,0,36,4,4,4,4,0,0,0,0
0.0,0,37,6,6,2,3,0,0,0,0
0.0,0,38,4,5,4,5,0,0,0,1
0.0,0,39,2,3,5,5,0,0,0,1
0.0,0,40,8,8,7,8,0,0,0,0
0.0,0,41,7,7,4,4,0,0,0,0
0.0,0,42,4,4,8,8,0,0,0,0
0.0,0,43,4,4,5,6,0,0,0,0
0.0,0,44,2,4,4,5,0,0,0,2
0.0,0,45,5,6,5,5,0,0,0,1
0.0,0,46,4,4,7,8,0,0,0,0
0.0,0,47,5,5,4,4,0,0,0,0
0.0,0,48,4,5,3,4,0,0,0,1
0.0,0,49,4,4,3,3,0,0,0,0
0.0,0,50,11,11,3,3,0,0,0,0
0.0,0,51,6,6,7,7,0,0,0,0
0.0,0,52,7,7,5,5,0,0,0,0
0.0,0,53,5,5,6,6,0,0,0,0
0.0,0,54,8,8,4,4,0,0,0,0
0.0,0,55,2,2,7,7,0,0,0,0
