gamma,replicate,individual,out_degree,out_degree_initial,in_degree,in_degree_initial,same_type_adds,same_type_breaks,diff_type_adds,diff_type_breaks
-0.6,0,0,0,7,2,6,0,2,0,5
-0.6,0,1,0,6,2,5,0,1,0,5
-0.6,0,2,0,3,1,5,0,0,0,3
-0.6,0,3,2,6,2,6,0,0,0,4
-0.6,0,4,0,1,1,3,0,1,0,0
-0.6,0,5,0,4,1,3,0,1,0,3
-0.6,0,6,0,4,5,9,0,0,0,4
-0.6,0,7,4,7,0,3,0,0,0,3
-0.6,0,8,1,4,0,7,0,1,0,2
-0.6,0,9,0,3,0,4,0,1,0,2
-0.6,0,10,0,2,2,2,0,1,0,1
-0.6,0,11,0,3,0,4,0,1,0,2
-0.6,0,12,0,7,0,4,0,4,0,3
-0.6,0,13,5,7,1,5,0,1,0,1
-0.6,0,14,1,3,0,3,0,1,0,1
-0.6,0,15,1,5,0,4,0,1,0,3
-0.6,0,16,0,3,4,7,0,2,0,1
-0.6,0,17,3,5,0,1,0,0,0,2
-0.6,0,18,3,4,4,7,0,1,0,0
-0.6,0,19,1,6,1,9,0,1,0,4
-0.6,0,20,0,6,2,10,0,3,0,3
-0.6,0,21,2,7,2,7,0,2,0,3
-0.6,0,22,0,6,4,7,0,3,0,3
-0.6,0,23,0,4,0,1,0,0,0,4
-0.6,0,24,0,2,4,7,0,2,0,0
-0.6,0,25,7,9,1,5,0,0,0,2
-0.6,0,26,3,4,2,8,0,1,0,0
-0.6,0,27,0,8,1,6,0,1,0,7
-0.6,0,28,0,4,1,7,0,2,0,2
-0.6,0,29,0,6,2,5,0,1,0,5
-0.6,0,30,2,5,1,4,0,1,0,2
-0.6,0,31,0,8,1,9,0,5,0,3
-0.6,0,32,0,2,5,6,0,1,0,1
-0.6,0,33,7,10,5,8,0,1,0,2
-0.6,0,34,6,8,4,9,0,1,0,1
-0.6,0,35,0,2,1,5,0,0,0,2
-0.6,0,36,1,6,2,5,0,1,0,4
-0.6,0,37,0,7,2,8,0,2,0,5
-0.6,0,38,1,7,1,4,0,4,0,2
-0.6,0,39,1,4,0,3,0,1,0,2
-0.6,0,40,4,8,0,7,0,1,0,3
-0.6,0,41,3,4,2,4,0,0,0,1
-0.6,0,42,3,4,4,4,0,0,0,1
-0.6,0,43,1,3,1,5,0,2,0,0
-0.6,0,44,2,6,0,4,0,1,0,3
-0.6,0,45,0,6,0,5,0,1,0,5
-0.6,0,46,1,4,2,6,0,1,0,2
-0.6,0,47,0,3,3,6,0,2,0,1
-0.6,0,48,0,6,1,6,0,3,0,3
-0.6,0,49,1,4,2,4,0,0,0,3
-0.6,0,50,1,4,4,5,0,2,0,1
-0.6,0,51,1,5,2,4,0,0,0,4
-0.6,0,52,3,3,0,3,0,0,0,0
-0.6,0,53,1,7,1,6,0,1,0,5
-0.6,0,54,0,1,2,4,0,0,0,1
-0.6,0,55,1,5,0,6,0,0,0,4
-0.6,0,56,0,4,1,3,0,0,0,4
-0.6,0,57,0,10,0,4,0,4,0,6
-0.6,0,58,1,4,1,2,0,2,0,1
-0.6,0,59,3,4,2,5,0,0,0,1
-0.6,0,60,0,4,3,8,0,2,0,2
-0.6,0,61,0,3,3,8,0,1,0,2
-0.6,0,62,3,8,4,11,0,1,0,4
-0.6,0,63,0,5,3,6,0,0,0,5
-0.6,0,64,6,7,1,2,0,1,0,0
-0.6,0,65,6,7,1,7,0,0,0,1
-0.6,0,66,4,5,3,5,0,0,0,1
-0.6,0,67,1,6,2,7,0,3,0,2
-0.6,0,68,0,3,0,3,0,0,0,3
-0.6,0,69,4,5,1,2,0,0,0,1
-0.6,0,70,0,3,0,2,0,3,0,0
-0.6,0,71,5,5,4,9,0,0,0,0
-0.6,0,72,1,6,0,1,0,2,0,3
-0.6,0,73,0,3,2,2,0,2,0,1
-0.6,0,74,1,5,0,3,0,1,0,3
-0.6,0,75,0,4,2,7,0,4,0,0
