gamma,replicate,individual,out_degree,out_degree_initial,in_degree,in_degree_initial,same_type_adds,same_type_breaks,diff_type_adds,diff_type_breaks
0.2,0,0,2,3,2,5,0,1,0,0
0.2,0,1,2,5,2,4,0,0,0,3
0.2,0,2,2,6,0,5,0,0,0,4
0.2,0,3,2,4,2,5,0,1,0,1
0.2,0,4,1,5,2,5,0,3,0,1
0.2,0,5,4,5,2,5,0,1,0,0
0.2,0,6,3,4,5,5,0,1,0,0
0.2,0,7,2,5,4,8,0,0,0,3
0.2,0,8,0,4,1,4,0,3,0,1
0.2,0,9,0,1,6,9,0,1,0,0
0.2,0,10,0,3,3,5,0,0,0,3
0.2,0,11,4,4,5,8,0,0,0,0
0.2,0,12,0,1,1,5,0,0,0,1
0.2,0,13,6,7,1,2,0,1,0,0
0.2,0,14,2,6,5,9,0,1,0,3
0.2,0,15,2,5,3,11,0,0,0,3
0.2,0,16,11,11,5,7,0,0,0,0
0.2,0,17,7,8,5,6,0,0,0,1
0.2,0,18,5,5,3,3,0,0,0,0
0.2,0,19,10,10,5,7,0,0,0,0
0.2,0,20,0,5,2,6,0,1,0,4
0.2,0,21,0,2,4,5,0,1,0,1
0.2,0,22,9,9,5,10,0,0,0,0
0.2,0,23,6,6,0,3,0,0,0,0
0.2,0,24,1,2,1,1,0,0,0,1
0.2,0,25,2,3,1,4,0,0,0,1
0.2,0,26,6,6,5,6,0,0,0,0
0.2,0,27,1,2,4,7,0,0,0,1
0.2,0,28,0,5,6,8,0,2,0,3
0.2,0,29,1,3,4,4,0,2,0,0
0.2,0,30,8,8,3,5,0,0,0,0
0.2,0,31,8,8,4,4,0,0,0,0
0.2,0,32,4,5,3,4,0,0,0,1
0.2,0,33,5,7,4,7,0,1,0,1
0.2,0,34,3,4,2,3,0,0,0,1
0.2,0,35,2,9,0,1,0,3,0,4
0.2,0,36,8,8,3,4,0,0,0,0
0.2,0,37,8,8,3,4,0,0,0,0
0.2,0,38,2,5,0,4,0,1,0,2
0.2,0,39,0,5,3,7,0,3,0,2
0.2,0,40,3,3,3,5,0,0,0,0
0.2,0,41,5,5,3,3,0,0,0,0
0.2,0,42,0,1,3,4,0,0,0,1
0.2,0,43,4,4,1,2,0,0,0,0
0.2,0,44,2,5,5,9,0,2,0,1
0.2,0,45,2,7,5,8,0,1,0,4
0.2,0,46,2,7,3,5,0,1,0,4
