gamma,replicate,individual,out_degree,out_degree_initial,in_degree,in_degree_initial,same_type_adds,same_type_breaks,diff_type_adds,diff_type_breaks
-0.2,0,0,8,5,27,8,6,1,0,2
-0.2,0,1,40,7,24,6,13,0,20,0
-0.2,0,2,6,7,15,3,3,2,3,5
-0.2,0,3,24,3,24,6,12,2,12,1
-0.2,0,4,12,9,16,0,10,3,0,4
-0.2,0,5,33,4,25,5,21,0,8,0
-0.2,0,6,27,4,24,4,13,1,11,0
-0.2,0,7,37,7,27,2,19,1,14,2
-0.2,0,8,18,3,26,7,9,1,9,2
-0.2,0,9,28,6,27,5,7,0,15,0
-0.2,0,10,34,7,19,7,18,1,10,0
-0.2,0,11,26,9,16,3,14,0,6,3
-0.2,0,12,6,2,17,7,4,1,2,1
-0.2,0,13,17,3,26,7,10,2,7,1
-0.2,0,14,23,6,19,4,15,2,4,0
-0.2,0,15,20,7,24,5,12,3,5,1
-0.2,0,16,28,6,28,4,14,0,8,0
-0.2,0,17,25,5,21,7,9,0,11,0
-0.2,0,18,22,7,17,7,11,2,6,0
-0.2,0,19,24,4,21,4,12,2,11,1
-0.2,0,20,6,3,11,5,5,0,0,2
-0.2,0,21,12,3,22,5,11,0,1,3
-0.2,0,22,23,7,21,3,10,1,10,3
-0.2,0,23,31,8,19,3,11,0,13,1
-0.2,0,24,20,6,21,6,7,2,12,3
-0.2,0,25,19,3,19,6,7,1,12,2
-0.2,0,26,10,5,17,6,8,0,1,4
-0.2,0,27,23,3,19,7,13,0,8,1
-0.2,0,28,38,6,28,5,18,0,15,1
-0.2,0,29,9,4,16,2,5,2,4,2
-0.2,0,30,4,4,20,2,3,1,1,3
-0.2,0,31,32,6,16,5,14,2,15,1
-0.2,0,32,23,5,13,1,11,1,11,3
-0.2,0,33,25,2,27,7,15,0,9,1
-0.2,0,34,2,2,19,7,1,0,1,2
-0.2,0,35,28,4,22,3,13,1,13,1
-0.2,0,36,21,2,18,4,12,1,9,1
-0.2,0,37,8,5,15,2,6,3,1,1
-0.2,0,38,20,3,26,7,11,0,7,1
-0.2,0,39,21,5,29,3,9,3,11,1
-0.2,0,40,5,5,17,5,5,3,0,2
-0.2,0,41,21,6,16,6,14,2,4,1
-0.2,0,42,17,4,21,3,9,0,4,0
-0.2,0,43,11,4,18,5,9,0,0,2
-0.2,0,44,38,6,31,7,16,0,16,0
-0.2,0,45,0,5,19,3,0,3,0,2
-0.2,0,46,10,5,20,3,6,3,4,2
-0.2,0,47,26,5,24,6,14,0,8,1
-0.2,0,48,20,5,24,1,7,1,10,1
-0.2,0,49,22,5,13,4,13,1,6,1
-0.2,0,50,25,7,22,3,7,0,13,2
-0.2,0,51,17,6,13,1,10,1,5,3
-0.2,0,52,29,5,22,7,8,0,16,0
-0.2,0,53,14,4,30,3,8,0,6,4
-0.2,0,54,27,5,23,2,14,1,9,0
-0.2,0,55,6,6,13,5,4,1,0,3
-0.2,0,56,25,6,19,7,16,0,4,1
-0.2,0,57,8,6,19,7,7,1,0,4
-0.2,0,58,36,3,24,6,12,0,22,1
-0.2,0,59,26,5,18,1,16,1,9,3
-0.2,0,60,23,5,17,9,15,0,5,2
-0.2,0,61,23,2,19,6,14,1,8,0
-0.2,0,62,8,4,16,8,7,2,1,2
-0.2,0,63,11,3,25,2,9,1,1,1
-0.2,0,64,31,5,19,5,11,0,15,0
-0.2,0,65,22,3,26,6,11,0,8,0
-0.2,0,66,10,2,19,10,9,0,0,1
-0.2,0,67,25,3,27,9,12,2,13,1
-0.2,0,68,28,8,15,4,9,1,12,0
-0.2,0,69,29,7,12,2,18,0,6,2
-0.2,0,70,32,7,22,3,14,1,13,1
-0.2,0,71,8,5,14,4,7,2,0,2
-0.2,0,72,28,3,20,3,12,0,13,0
-0.2,0,73,33,7,30,4,10,0,17,1
-0.2,0,74,21,2,22,9,9,0,12,2
-0.2,0,75,11,3,13,4,8,0,3,3
-0.2,0,76,29,5,25,5,12,0,12,0
-0.2,0,77,32,2,18,1,15,1,16,0
-0.2,0,78,15,5,29,3,10,0,4,4
-0.2,0,79,12,6,18,7,9,0,2,5
-0.2,0,80,27,7,26,6,12,0,8,0
-0.2,0,81,23,4,15,2,12,0,9,2
-0.2,0,82,29,5,20,7,13,0,11,0
-0.2,0,83,4,2,19,6,3,0,0,1
-0.2,0,84,23,8,12,4,10,1,8,2
-0.2,0,85,27,5,26,4,12,0,13,3
-0.2,0,86,22,6,23,4,8,3,12,1
-0.2,0,87,6,5,15,4,3,4,2,0
-0.2,0,88,26,5,25,4,16,0,6,1
-0.2,0,89,5,6,22,4,2,4,3,2
-0.2,0,90,17,7,22,5,11,0,1,2
-0.2,0,91,25,5,20,3,9,1,12,0
-0.2,0,92,29,5,22,3,11,1,14,0
-0.2,0,93,5,6,16,5,3,3,2,3
-0.2,0,94,3,5,19,8,2,0,0,4
-0.2,0,95,10,4,17,4,6,2,4,2
-0.2,0,96,11,5,22,7,3,1,7,3
-0.2,0,97,34,4,21,2,20,1,12,1
-0.2,0,98,32,6,23,8,15,0,13,2
-0.2,0,99,29,7,13,1,12,0,10,0
-0.2,0,100,31,5,19,7,17,2,13,2
-0.2,0,101,36,8,28,5,16,0,12,0
-0.2,0,102,0,7,26,7,0,4,0,3
-0.2,0,103,11,5,15,7,9,1,1,3
-0.2,0,104,12,5,16,3,8,1,3,3
-0.2,0,105,24,6,16,4,14,1,6,1
-0.2,0,106,5,5,10,5,5,1,0,4
-0.2,0,107,27,4,29,3,10,1,16,2
-0.2,0,108,11,4,18,5,8,0,1,2
-0.2,0,109,30,4,17,5,19,0,8,1
-0.2,0,110,27,7,20,6,20,0,4,4
-0.2,0,111,13,7,12,8,9,2,3,4
