gamma,replicate,individual,out_degree,out_degree_initial,in_degree,in_degree_initial,same_type_adds,same_type_breaks,diff_type_adds,diff_type_breaks
0.6,0,0,21,1,25,1,11,0,10,1
0.6,0,1,25,6,20,6,11,0,8,0
0.6,0,2,13,3,26,6,8,1,5,2
0.6,0,3,18,4,24,6,9,0,8,3
0.6,0,4,29,7,30,8,6,0,16,0
0.6,0,5,29,5,22,3,9,0,15,0
0.6,0,6,30,7,30,6,11,1,14,1
0.6,0,7,19,5,24,2,10,2,8,2
0.6,0,8,33,8,23,7,18,0,7,0
0.6,0,9,27,5,25,5,10,0,12,0
0.6,0,10,36,6,19,4,20,0,10,0
0.6,0,11,21,3,24,6,10,0,8,0
0.6,0,12,16,4,20,2,8,0,5,1
0.6,0,13,42,9,27,7,18,0,15,0
0.6,0,14,29,9,26,4,11,0,9,0
0.6,0,15,14,4,33,6,7,1,6,2
0.6,0,16,28,7,26,3,15,0,6,0
0.6,0,17,35,6,29,6,11,0,18,0
0.6,0,18,28,4,28,4,11,0,14,1
0.6,0,19,17,4,21,4,10,0,3,0
0.6,0,20,33,8,27,2,15,0,10,0
0.6,0,21,23,5,25,9,7,0,11,0
0.6,0,22,37,4,23,5,20,0,14,1
0.6,0,23,28,3,23,4,18,1,8,0
0.6,0,24,20,5,27,6,4,0,14,3
0.6,0,25,42,5,25,6,17,0,20,0
0.6,0,26,36,5,31,2,18,0,13,0
0.6,0,27,27,3,24,5,14,1,11,0
0.6,0,28,16,2,18,5,4,0,10,0
0.6,0,29,26,6,20,3,15,3,11,3
0.6,0,30,22,4,26,7,10,2,10,0
0.6,0,31,14,4,23,6,6,0,6,2
0.6,0,32,28,7,28,4,16,0,5,0
0.6,0,33,30,9,27,7,9,0,12,0
0.6,0,34,29,8,30,7,11,0,11,1
0.6,0,35,32,7,23,1,10,0,15,0
0.6,0,36,13,4,22,7,5,0,7,3
0.6,0,37,21,4,23,6,9,1,10,1
0.6,0,38,24,5,24,2,8,0,13,2
0.6,0,39,31,5,18,2,15,0,11,0
