true_positive,false_negative,true_negative,false_positive,sensitivity,specificity,precision,gamma,replicate
1300.605,3930.225,4765.73,3.44,0.1863178187352716,0.999592974829745,0.9903592932225925,1.0,0.0
1235.61,3760.555,5001.125,2.71,0.18159968534308887,0.999678681360484,0.9850245584608435,1.0,1.0
1224.915,3806.335,4967.91,0.84,0.1854035507030811,0.9998461650991417,0.9921775285420988,1.0,2.0
1417.17,3897.48,4684.895,0.455,0.19557385709479436,0.9995614070496072,0.9889688358106273,1.0,3.0
1426.6,3480.27,5092.79,0.34,0.20104804169396992,0.9998259314649517,0.9940234126123461,1.0,4.0
940.935,3479.36,5579.295,0.41,0.1540765565678573,0.999045717171832,0.9969366048316854,1.0,5.0
1452.31,3787.09,4756.15,4.45,0.20388784215060765,0.9963140382927065,0.9720639611043906,1.0,6.0
1106.38,3796.6,5096.69,0.33,0.17022091402909684,0.9999471697539695,0.9916707214067031,1.0,7.0
834.95,3748.46,5416.385,0.205,0.1421881069427185,0.9999637075378736,0.9813653792549482,1.0,8.0
1235.135,3774.86,4988.95,1.055,0.18382938470060803,0.9997147544678276,0.9855365168834976,1.0,9.0
1024.8,3936.795,5038.27,0.135,0.15431496921345897,0.9999716130051757,0.9944665385305967,1.0,0.0
1503.95,3679.195,4816.585,0.27,0.2066573959509497,0.9991872168707561,0.9987922256088608,1.0,1.0
1543.65,3730.945,4725.265,0.14,0.20778998918125674,0.9999628495356353,0.9995962571467409,1.0,2.0
1085.005,3735.53,5179.21,0.255,0.167159758139961,0.9999453573141794,0.9928761316068294,1.0,3.0
1132.795,3659.325,5207.19,0.69,0.16825594389947632,0.9980403021098772,0.9966390491746763,1.0,4.0
1251.865,3529.04,5218.765,0.33,0.1811978541388625,0.999606340277353,0.9897477355457153,1.0,5.0
1221.415,3759.31,5019.055,0.22,0.17834712586672188,0.9994535946970787,0.9932446633775196,1.0,6.0
1933.05,3679.595,4386.055,1.3,0.2563818371095124,0.998554399190679,0.9613265647208155,1.0,7.0
1321.135,3815.42,4863.015,0.43,0.18847491246639256,0.9964169739248242,0.9977259466820559,1.0,8.0
1457.585,3780.605,4761.29,0.52,0.20560856733998412,0.9998121169859662,0.9856000112079472,1.0,9.0
1254.36,3818.395,4927.06,0.185,0.18060230754613685,0.9999723074647987,0.994270336388154,1.0,0.0
1239.12,3805.87,4954.32,0.69,0.18213713932100944,0.9999056839888193,0.9885876684256315,1.0,1.0
1281.855,3738.35,4979.485,0.31,0.18341349140569455,0.999945532478815,0.996749855349775,1.0,2.0
1602.74,3479.375,4917.255,0.63,0.21993517051788833,0.9994326290836396,0.9922354120385299,1.0,3.0
1279.815,3931.265,4788.465,0.455,0.1864606589349707,0.9999186931847445,0.9953198900490242,1.0,4.0
1395.005,3921.665,4682.74,0.59,0.1937386351343008,0.9999142668962504,0.9958322949487631,1.0,5.0
1582.33,3446.47,4970.8,0.4,0.22144195271075728,0.997375453998699,0.9981330192878954,1.0,6.0
1425.84,3605.99,4967.785,0.385,0.20336298740525025,0.9999214578178307,0.9761733115673119,1.0,7.0
1486.095,3681.84,4829.67,2.395,0.20509513243958213,0.9996384633052927,0.9947795542668242,1.0,8.0
938.94,3689.805,5371.08,0.175,0.14837793219716108,0.9998981962843245,0.9986060871893793,1.0,9.0
1489.1,3810.045,4698.705,2.15,0.2058879111559826,0.9995688573486065,0.9745936160213232,1.0,0.0
770.035,3499.62,5730.215,0.13,0.13496958647595594,0.9999642891789485,0.999829893703656,1.0,1.0
1162.59,3577.635,5259.21,0.565,0.18016317077954236,0.9998952681187521,0.9881173158996581,1.0,2.0
963.61,3674.82,5360.8,0.77,0.1549549378282074,0.9998777314307185,0.9929525714441508,1.0,3.0
1268.615,3595.6,5135.21,0.575,0.18451804894542945,0.9998405672907796,0.9895219180541914,1.0,4.0
1197.46,3543.25,5258.855,0.435,0.18642901875419804,0.9997350505758545,0.9892910694351296,1.0,5.0
1627.185,3704.5,4667.94,0.375,0.21744554055411375,0.9986030206061338,0.9992151014540248,1.0,6.0
1151.155,3804.11,5044.465,0.27,0.16933573991883744,0.9996932968238843,0.9973885510645034,1.0,7.0
1154.81,3868.18,4976.82,0.19,0.17459700306120754,0.9998973864951703,0.9970855195236209,1.0,8.0
1765.335,3847.78,4385.84,1.045,0.23859070871177113,0.999767773974413,0.9906609686469843,1.0,9.0
1169.02,3839.5,4991.135,0.345,0.17558085142835372,0.9997786232765526,0.9844825844975659,1.0,0.0
1527.115,3778.865,4693.585,0.435,0.21340804945715744,0.9998780835851846,0.9942568550454612,1.0,1.0
1186.31,3898.945,4914.265,0.48,0.1728668420752232,0.9999325753199316,0.9807145981335144,1.0,2.0
1313.565,3833.08,4852.405,0.95,0.19104366478357562,0.9998624117023358,0.9894611907887202,1.0,3.0
1250.425,3639.63,5109.54,0.405,0.18250938951860574,0.9999377906899716,0.988950818959848,1.0,4.0
1737.52,3741.92,4518.56,2.0,0.22606390790398442,0.9991957252339763,0.9957344265967812,1.0,5.0
1237.64,3826.065,4936.04,0.255,0.17995969405686119,0.9999516007314643,0.9993568804502625,1.0,6.0
1348.47,3694.065,4955.78,1.685,0.19312561671565004,0.9997544486873877,0.9959702440748543,1.0,7.0
876.355,3509.23,5614.345,0.07,0.14716493111453943,0.9999896433829867,0.9987673287600128,1.0,8.0
1404.595,3944.635,4649.91,0.86,0.19592045669404326,0.9997963852853736,0.9893049184540462,1.0,9.0
1167.94,3558.92,5273.05,0.09,0.17396642404722137,0.9924368959396096,0.9985965908562108,1.0,0.0
1418.56,3932.145,4648.705,0.59,0.19597941220933046,0.9991386192217212,0.9969837839651979,1.0,1.0
1709.665,3697.55,4591.74,1.045,0.2277327408261415,0.9998685404694821,0.9802520743039541,1.0,2.0
1320.115,3878.19,4797.995,3.7,0.19052369667832592,0.9994342680508357,0.9912350586590661,1.0,3.0
1490.06,3988.035,4521.565,0.34,0.2012980852194058,0.9998647190792389,0.9985716327334823,1.0,4.0
1447.085,3872.015,4679.98,0.92,0.2017879402207686,0.9998280751858631,0.9795485504418263,1.0,5.0
1276.915,3625.61,5097.08,0.395,0.18524747934019462,0.9999291161315962,0.9931072124579169,1.0,6.0
1583.34,3693.275,4721.885,1.5,0.21661112848302055,0.9997024946210809,0.992773352854022,1.0,7.0
929.06,3609.585,5461.255,0.1,0.1511096431159572,0.9999792982917036,0.9997959420623788,1.0,8.0
1303.635,3829.865,4866.28,0.22,0.1856477846929136,0.9998863957058737,0.9955080130574524,1.0,9.0
1237.81,3741.82,5020.04,0.33,0.18087440257167714,0.9999290566511155,0.999239197379872,1.0,0.0
1213.14,3837.815,4948.675,0.37,0.17590122361153773,0.9960816510789746,0.9889238922158886,1.0,1.0
1550.135,3750.505,4699.085,0.275,0.21135012315163643,0.9996630020504454,0.9941808372481363,1.0,2.0
1146.055,3583.985,5269.74,0.22,0.17265749818596243,0.999914553917014,0.9964468154867666,1.0,3.0
954.44,3700.48,5344.965,0.115,0.1596680181822829,0.9999820854615549,0.993354965843506,1.0,4.0
1162.11,3837.5,4998.92,1.47,0.1738118646766485,0.9986712187717457,0.9971229513104182,1.0,5.0
1329.255,3670.795,4999.465,0.485,0.19104383446585163,0.998503310401795,0.9983501606836721,1.0,6.0
915.085,3391.49,5693.305,0.12,0.15440389447910502,0.9999776359010323,0.9938266227540744,1.0,7.0
1022.735,3971.11,5005.5,0.655,0.15675175406256095,0.9998595359551661,0.9982499218358002,1.0,8.0
1509.655,3692.27,4796.965,1.11,0.2118774000411324,0.9972695963986488,0.9937925715585896,1.0,9.0
1114.85,3595.96,5288.525,0.665,0.16826485683037423,0.9997117117177681,0.9930321518582936,1.0,0.0
1240.215,3726.49,5032.205,1.09,0.1816001665902022,0.999769943100068,0.9922625759267677,1.0,1.0
1210.32,3774.28,5015.27,0.13,0.17993685127163772,0.9999386200658548,0.9995210647783112,1.0,2.0
1221.99,4038.76,4738.655,0.595,0.17809350175876598,0.9998160005850802,0.9945353820913954,1.0,3.0
1235.315,3702.86,5060.92,0.905,0.17827971483194602,0.9997650446450379,0.9909668207152332,1.0,4.0
928.09,3553.345,5518.415,0.15,0.15110275215043245,0.9999774021139441,0.9982845079585821,1.0,5.0
867.88,3681.0,5449.34,1.78,0.14431788817286906,0.9995821832692816,0.991727988773356,1.0,6.0
1304.695,3832.88,4862.195,0.23,0.18576081689703067,0.9999496230109125,0.9993968245837985,1.0,7.0
979.6,3693.935,5326.24,0.225,0.1590543495533386,0.9999604065088044,0.9989543023307218,1.0,8.0
1393.94,4017.505,4587.28,1.275,0.19139513088486232,0.9997172038531106,0.9920259119455281,1.0,9.0
1721.125,3878.195,4398.06,2.62,0.22952999000185437,0.9994906748348622,0.9910900922457204,1.0,0.0
1167.24,3724.905,5107.765,0.09,0.17066262173365201,0.9999797737481873,0.9995885390991481,1.0,1.0
1161.06,3854.48,4984.02,0.44,0.17363948857888367,0.9999240766818825,0.9886563317342553,1.0,2.0
1495.35,3660.52,4843.83,0.3,0.20553775727202575,0.999524806257169,0.9792437372152426,1.0,3.0
1876.965,3644.03,4477.375,1.63,0.24907238167929813,0.9992459539385504,0.9866379650336576,1.0,4.0
1528.845,3744.21,4725.85,1.095,0.2085012889525651,0.9997624476182582,0.9968652238815038,1.0,5.0
1066.505,3720.84,5210.785,1.87,0.16325296856024957,0.9996720560696492,0.9940611030615689,1.0,6.0
1455.09,3630.71,4910.665,3.535,0.2075550702517469,0.9989803843480377,0.9951904207869574,1.0,7.0
1071.175,3717.355,5211.3,0.17,0.16474371881397185,0.9999530897139541,0.9920813731874848,1.0,8.0
1404.875,3833.35,4761.095,0.68,0.19411962585345768,0.9998913412388133,0.9876354733834414,1.0,9.0
1198.64,3910.645,4889.08,1.635,0.1776662519652533,0.9997623819476654,0.9844158787473912,1.0,0.0
1379.75,3715.195,4904.275,0.78,0.19305832123623998,0.9982166296464987,0.991041196486615,1.0,1.0
979.175,3505.005,5515.6,0.22,0.1599794983611168,0.9999357205146183,0.9922403968357044,1.0,2.0
