true_positive,false_negative,true_negative,false_positive,correct_message,incorrect_message,gamma,replicate
1300.605,3930.225,4765.73,3.44,0.1863178187352716,0.000407025170255006,1.0,0.0
1235.61,3760.555,5001.125,2.71,0.18159968534308887,0.0003213186395158218,1.0,1.0
1224.915,3806.335,4967.91,0.84,0.1854035507030811,0.00015383490085826645,1.0,2.0
1417.17,3897.48,4684.895,0.455,0.19557385709479436,0.00043859295039292193,1.0,3.0
1426.6,3480.27,5092.79,0.34,0.20104804169396992,0.00017406853504833928,1.0,4.0
940.935,3479.36,5579.295,0.41,0.1540765565678573,0.0009542828281680321,1.0,5.0
1452.31,3787.09,4756.15,4.45,0.20388784215060765,0.003685961707293374,1.0,6.0
1106.38,3796.6,5096.69,0.33,0.17022091402909684,5.283024603062654e-05,1.0,7.0
834.95,3748.46,5416.385,0.205,0.1421881069427185,3.6292462126412716e-05,1.0,8.0
1235.135,3774.86,4988.95,1.055,0.18382938470060803,0.0002852455321723939,1.0,9.0
1024.8,3936.795,5038.27,0.135,0.15431496921345897,2.8386994824221545e-05,1.0,0.0
1503.95,3679.195,4816.585,0.27,0.2066573959509497,0.0008127831292438959,1.0,1.0
1543.65,3730.945,4725.265,0.14,0.20778998918125674,3.715046436467578e-05,1.0,2.0
1085.005,3735.53,5179.21,0.255,0.167159758139961,5.4642685820477465e-05,1.0,3.0
1132.795,3659.325,5207.19,0.69,0.16825594389947632,0.0019596978901227887,1.0,4.0
1251.865,3529.04,5218.765,0.33,0.1811978541388625,0.0003936597226469521,1.0,5.0
1221.415,3759.31,5019.055,0.22,0.17834712586672188,0.0005464053029210731,1.0,6.0
1933.05,3679.595,4386.055,1.3,0.2563818371095124,0.0014456008093209074,1.0,7.0
1321.135,3815.42,4863.015,0.43,0.18847491246639256,0.0035830260751758673,1.0,8.0
1457.585,3780.605,4761.29,0.52,0.20560856733998412,0.0001878830140337953,1.0,9.0
1254.36,3818.395,4927.06,0.185,0.18060230754613685,2.7692535201405616e-05,1.0,0.0
1239.12,3805.87,4954.32,0.69,0.18213713932100944,9.431601118068753e-05,1.0,1.0
1281.855,3738.35,4979.485,0.31,0.18341349140569455,5.446752118495042e-05,1.0,2.0
1602.74,3479.375,4917.255,0.63,0.21993517051788833,0.0005673709163604238,1.0,3.0
1279.815,3931.265,4788.465,0.455,0.1864606589349707,8.130681525565339e-05,1.0,4.0
1395.005,3921.665,4682.74,0.59,0.1937386351343008,8.57331037495919e-05,1.0,5.0
1582.33,3446.47,4970.8,0.4,0.22144195271075728,0.002624546001301044,1.0,6.0
1425.84,3605.99,4967.785,0.385,0.20336298740525025,7.854218216942113e-05,1.0,7.0
1486.095,3681.84,4829.67,2.395,0.20509513243958213,0.00036153669470728386,1.0,8.0
938.94,3689.805,5371.08,0.175,0.14837793219716108,0.00010180371567528389,1.0,9.0
1489.1,3810.045,4698.705,2.15,0.2058879111559826,0.0004311426513936485,1.0,0.0
770.035,3499.62,5730.215,0.13,0.13496958647595594,3.571082105151968e-05,1.0,1.0
1162.59,3577.635,5259.21,0.565,0.18016317077954236,0.00010473188124791527,1.0,2.0
963.61,3674.82,5360.8,0.77,0.1549549378282074,0.00012226856928167557,1.0,3.0
1268.615,3595.6,5135.21,0.575,0.18451804894542945,0.00015943270922033804,1.0,4.0
1197.46,3543.25,5258.855,0.435,0.18642901875419804,0.0002649494241455104,1.0,5.0
1627.185,3704.5,4667.94,0.375,0.21744554055411375,0.0013969793938661324,1.0,6.0
1151.155,3804.11,5044.465,0.27,0.16933573991883744,0.0003067031761158757,1.0,7.0
1154.81,3868.18,4976.82,0.19,0.17459700306120754,0.0001026135048296206,1.0,8.0
1765.335,3847.78,4385.84,1.045,0.23859070871177113,0.00023222602558644598,1.0,9.0
1169.02,3839.5,4991.135,0.345,0.17558085142835372,0.00022137672344734117,1.0,0.0
1527.115,3778.865,4693.585,0.435,0.21340804945715744,0.00012191641481547767,1.0,1.0
1186.31,3898.945,4914.265,0.48,0.1728668420752232,6.742468006862019e-05,1.0,2.0
1313.565,3833.08,4852.405,0.95,0.19104366478357562,0.00013758829766413882,1.0,3.0
1250.425,3639.63,5109.54,0.405,0.18250938951860574,6.220931002836851e-05,1.0,4.0
1737.52,3741.92,4518.56,2.0,0.22606390790398442,0.0008042747660236512,1.0,5.0
1237.64,3826.065,4936.04,0.255,0.17995969405686119,4.839926853569807e-05,1.0,6.0
1348.47,3694.065,4955.78,1.685,0.19312561671565004,0.00024555131261229585,1.0,7.0
876.355,3509.23,5614.345,0.07,0.14716493111453943,1.035661701339297e-05,1.0,8.0
1404.595,3944.635,4649.91,0.86,0.19592045669404326,0.0002036147146263753,1.0,9.0
1167.94,3558.92,5273.05,0.09,0.17396642404722137,0.00756310406039043,1.0,0.0
1418.56,3932.145,4648.705,0.59,0.19597941220933046,0.0008613807782785528,1.0,1.0
1709.665,3697.55,4591.74,1.045,0.2277327408261415,0.00013145953051778988,1.0,2.0
1320.115,3878.19,4797.995,3.7,0.19052369667832592,0.0005657319491642795,1.0,3.0
1490.06,3988.035,4521.565,0.34,0.2012980852194058,0.00013528092076094852,1.0,4.0
1447.085,3872.015,4679.98,0.92,0.2017879402207686,0.00017192481413662138,1.0,5.0
1276.915,3625.61,5097.08,0.395,0.18524747934019462,7.08838684037837e-05,1.0,6.0
1583.34,3693.275,4721.885,1.5,0.21661112848302055,0.0002975053789190712,1.0,7.0
929.06,3609.585,5461.255,0.1,0.1511096431159572,2.0701708296280572e-05,1.0,8.0
1303.635,3829.865,4866.28,0.22,0.1856477846929136,0.00011360429412635426,1.0,9.0
1237.81,3741.82,5020.04,0.33,0.18087440257167714,7.094334888456756e-05,1.0,0.0
1213.14,3837.815,4948.675,0.37,0.17590122361153773,0.003918348921025384,1.0,1.0
1550.135,3750.505,4699.085,0.275,0.21135012315163643,0.00033699794955452253,1.0,2.0
1146.055,3583.985,5269.74,0.22,0.17265749818596243,8.544608298597212e-05,1.0,3.0
954.44,3700.48,5344.965,0.115,0.1596680181822829,1.7914538444953587e-05,1.0,4.0
1162.11,3837.5,4998.92,1.47,0.1738118646766485,0.0013287812282543729,1.0,5.0
1329.255,3670.795,4999.465,0.485,0.19104383446585163,0.0014966895982049915,1.0,6.0
915.085,3391.49,5693.305,0.12,0.15440389447910502,2.2364098967623906e-05,1.0,7.0
1022.735,3971.11,5005.5,0.655,0.15675175406256095,0.00014046404483388837,1.0,8.0
1509.655,3692.27,4796.965,1.11,0.2118774000411324,0.0027304036013511804,1.0,9.0
1114.85,3595.96,5288.525,0.665,0.16826485683037423,0.0002882882822319197,1.0,0.0
1240.215,3726.49,5032.205,1.09,0.1816001665902022,0.00023005689993214277,1.0,1.0
1210.32,3774.28,5015.27,0.13,0.17993685127163772,6.13799341453813e-05,1.0,2.0
1221.99,4038.76,4738.655,0.595,0.17809350175876598,0.0001839994149193835,1.0,3.0
1235.315,3702.86,5060.92,0.905,0.17827971483194602,0.00023495535496200588,1.0,4.0
928.09,3553.345,5518.415,0.15,0.15110275215043245,2.2597886055992386e-05,1.0,5.0
867.88,3681.0,5449.34,1.78,0.14431788817286906,0.00041781673071854795,1.0,6.0
1304.695,3832.88,4862.195,0.23,0.18576081689703067,5.037698908733461e-05,1.0,7.0
979.6,3693.935,5326.24,0.225,0.1590543495533386,3.9593491195675787e-05,1.0,8.0
1393.94,4017.505,4587.28,1.275,0.19139513088486232,0.00028279614688960446,1.0,9.0
1721.125,3878.195,4398.06,2.62,0.22952999000185437,0.0005093251651377418,1.0,0.0
1167.24,3724.905,5107.765,0.09,0.17066262173365201,2.0226251812830518e-05,1.0,1.0
1161.06,3854.48,4984.02,0.44,0.17363948857888367,7.592331811740724e-05,1.0,2.0
1495.35,3660.52,4843.83,0.3,0.20553775727202575,0.00047519374283084155,1.0,3.0
1876.965,3644.03,4477.375,1.63,0.24907238167929813,0.0007540460614495073,1.0,4.0
1528.845,3744.21,4725.85,1.095,0.2085012889525651,0.00023755238174169715,1.0,5.0
1066.505,3720.84,5210.785,1.87,0.16325296856024957,0.00032794393035079236,1.0,6.0
1455.09,3630.71,4910.665,3.535,0.2075550702517469,0.001019615651962041,1.0,7.0
1071.175,3717.355,5211.3,0.17,0.16474371881397185,4.6910286045823004e-05,1.0,8.0
1404.875,3833.35,4761.095,0.68,0.19411962585345768,0.00010865876118672916,1.0,9.0
1198.64,3910.645,4889.08,1.635,0.1776662519652533,0.00023761805233439483,1.0,0.0
1379.75,3715.195,4904.275,0.78,0.19305832123623998,0.0017833703535013736,1.0,1.0
979.175,3505.005,5515.6,0.22,0.1599794983611168,6.427948538160048e-05,1.0,2.0
1458.42,3770.845,4770.275,0.46,0.20205477220769655,7.920832022309532e-05,1.0,3.0
1155.405,3497.27,5346.515,0.81,0.18158475201937638,0.00017009181391068005,1.0,4.0
933.66,3401.32,5664.965,0.055,0.15886978122064419,1.0736283917859104e-05,1.0,5.0
877.93,3648.61,5473.07,0.39,0.14697662803257155,7.548257814085289e-05,1.0,6.0
