samplers,samplers_active,sampler_A,sampler_B,total_active,active_A,active_B,avg_cascade_size,active_diff,cascade_bias,gamma,replicate
20.0,10.326,5.2901,5.0359,14.6423,7.1321,7.5102,1.3625143961486652,7.0663,0.5359644737782336,-0.10000000000001588,0.0
20.0,10.3488,5.0762,5.2726,15.1735,7.5432,7.6303,1.3986957024581155,7.2643,0.5144430273830162,-0.10000000000001588,1.0
20.0,9.9584,5.0781,4.8803,14.252,7.0574,7.1946,1.371126981613118,6.961,0.5312753627947289,-0.10000000000001588,2.0
20.0,10.1958,4.9015,5.2943,14.4612,6.7756,7.6856,1.366227157838821,6.653,0.5032418134501707,-0.10000000000001588,3.0
20.0,10.0137,5.1533,4.8604,15.0305,7.5793,7.4512,1.4297516166674276,7.5325,0.5461179614759957,-0.10000000000001588,4.0
20.0,9.9957,4.8001,5.1956,13.4225,6.1232,7.2993,1.2928235170197666,6.5029,0.5349021785988636,-0.10000000000001588,5.0
20.0,9.5543,4.4368,5.1175,14.079,6.6265,7.4525,1.4131671462966313,7.1094,0.5588212335898622,-0.10000000000001588,6.0
20.0,9.7558,4.9344,4.8214,14.2432,7.4515,6.7917,1.3898818919473952,7.1296,0.5377145425651396,-0.10000000000001588,7.0
20.0,10.3046,5.1461,5.1585,15.3397,7.4955,7.8442,1.4216336486954886,7.4013,0.5297883536098703,-0.10000000000001588,8.0
20.0,9.6786,5.1718,4.5068,13.4597,7.3175,6.1422,1.3351582825675972,6.6023,0.5386043938264649,-0.10000000000001588,9.0
20.0,10.0666,5.1883,4.8783,14.711,7.6644,7.0466,1.4039063952940016,7.082,0.5234440395835019,-0.10000000000001588,10.0
20.0,9.4232,4.6167,4.8065,13.2725,6.2196,7.0529,1.346431927093748,6.7055,0.5483920812754978,-0.10000000000001588,11.0
20.0,10.0633,5.0359,5.0274,15.0021,7.6082,7.3939,1.4220748517379556,7.4051,0.5508313250236725,-0.10000000000001588,12.0
20.0,10.0814,5.3367,4.7447,15.3887,8.3326,7.0561,1.4597334611234825,7.6023,0.5387143456123261,-0.10000000000001588,13.0
20.0,10.2799,4.9794,5.3005,15.3714,7.6116,7.7598,1.4313354307858854,7.4786,0.5245989983467994,-0.10000000000001588,14.0
20.0,9.334,4.8371,4.4969,12.605,6.5886,6.0164,1.302855059566783,5.9814,0.508249424245376,-0.10000000000001588,15.0
20.0,10.1439,5.3837,4.7602,15.0853,8.2846,6.8007,1.4275221018475204,7.4429,0.5355296082868741,-0.10000000000001588,16.0
20.0,9.6122,4.4713,5.1409,13.6962,6.317,7.3792,1.36434798002827,6.804,0.5434962136842847,-0.10000000000001588,17.0
20.0,9.7357,5.2126,4.5231,13.8204,7.6977,6.1227,1.3604354291248906,6.7536,0.5254673855024264,-0.10000000000001588,18.0
20.0,9.3025,4.9512,4.3513,13.1196,7.0477,6.0719,1.3558055952315635,6.6554,0.5553540999075719,-0.10000000000001588,19.0
20.0,10.3565,5.2236,5.1329,15.4179,8.0782,7.3397,1.4195676704555993,7.4553,0.5113918813791904,-0.10000000000001588,20.0
20.0,9.9254,5.1331,4.7923,14.3425,7.9875,6.355,1.3855523036263024,7.2699,0.545295148525608,-0.10000000000001588,21.0
20.0,9.3897,5.0273,4.3624,13.5338,7.6105,5.9233,1.3853245515808543,6.7198,0.5406563154596011,-0.10000000000001588,22.0
20.0,9.9626,5.1014,4.8612,14.3015,7.3201,6.9814,1.3745431864683613,6.8093,0.5045875117964292,-0.10000000000001588,23.0
20.0,10.2005,5.388,4.8125,14.9027,7.9429,6.9598,1.3941671477938562,7.2141,0.5174005174572485,-0.10000000000001588,24.0
20.0,9.5989,4.749,4.8499,13.7425,6.5166,7.2259,1.3694704586589586,6.7361,0.5298782654673295,-0.10000000000001588,25.0
20.0,10.283,5.1704,5.1126,14.8951,7.8116,7.0835,1.3913279965519894,7.0643,0.5211816799041011,-0.10000000000001588,26.0
20.0,9.7067,4.4999,5.2068,13.4255,6.2284,7.1971,1.3292302712541482,6.5483,0.5272315470555321,-0.10000000000001588,27.0
20.0,10.6107,5.766,4.8447,15.9382,9.1064,6.8318,1.4346229427937633,7.7234,0.5209494323791372,-0.10000000000001588,28.0
20.0,9.6632,4.5656,5.0976,13.6279,6.163,7.4649,1.355690039339067,6.8109,0.5552381635967941,-0.10000000000001588,29.0
20.0,9.077,4.547,4.53,13.3527,6.4305,6.9222,1.4090119276599269,6.7899,0.5584467698768455,-0.10000000000001588,30.0
20.0,9.7787,5.2557,4.523,14.2842,7.8522,6.432,1.397503673877902,6.9198,0.5264505624947079,-0.10000000000001588,31.0
20.0,9.5223,4.8547,4.6676,13.5532,7.0334,6.5198,1.3566853720326184,6.8598,0.5467237670914143,-0.10000000000001588,32.0
20.0,10.0671,4.6093,5.4578,14.6911,6.3747,8.3164,1.4043239798537743,7.0671,0.5259978270785933,-0.10000000000001588,33.0
20.0,10.0425,4.8495,5.193,14.5113,6.8034,7.7079,1.382721234726716,7.0495,0.5246145127309344,-0.10000000000001588,34.0
20.0,10.4101,5.59,4.8201,15.2432,8.4478,6.7954,1.4090395813259993,7.1926,0.5163191922239074,-0.10000000000001588,35.0
20.0,9.9899,5.21,4.7799,14.8552,7.613,7.2422,1.4237571511794604,7.331,0.5349564102640849,-0.10000000000001588,36.0
20.0,10.1262,5.2768,4.8494,14.968,7.7217,7.2463,1.4114092658507187,7.3286,0.5313634795049437,-0.10000000000001588,37.0
20.0,9.9886,4.8465,5.1421,14.5342,6.9466,7.5876,1.3983896931090152,6.8328,0.5133602445719591,-0.10000000000001588,38.0
20.0,9.511,4.6082,4.9028,13.0562,6.4355,6.6207,1.3181169906009138,6.5498,0.5476180610942014,-0.10000000000001588,39.0
20.0,9.9935,4.9317,5.0618,13.6083,6.8233,6.785,1.306653725994738,6.6909,0.5476950882707678,-0.10000000000001588,40.0
20.0,9.5463,4.7952,4.7511,14.1579,7.1361,7.0218,1.4129209466601134,7.2117,0.5482925293044814,-0.10000000000001588,41.0
20.0,9.9873,4.8625,5.1248,14.1568,6.8798,7.277,1.3549955640198954,6.9396,0.5368509284229648,-0.10000000000001588,42.0
20.0,9.8417,4.9043,4.9374,13.9037,7.1151,6.7886,1.3583112389725907,6.8411,0.5478753710655038,-0.10000000000001588,43.0
20.0,9.6642,4.8852,4.779,13.5058,6.8234,6.6824,1.3426224190462137,6.5346,0.5251184049115605,-0.10000000000001588,44.0
20.0,9.4779,4.9034,4.5745,12.472,6.3702,6.1018,1.265345640751437,6.1164,0.5395666609154322,-0.10000000000001588,45.0
20.0,9.498,4.5837,4.9143,13.8972,6.6226,7.2746,1.394354799699275,6.8802,0.5347839376478781,-0.10000000000001588,46.0
20.0,10.0799,4.8632,5.2167,15.4822,7.1783,8.3039,1.4658690039447986,7.586,0.5234118480685883,-0.10000000000001588,47.0
20.0,10.1611,4.9307,5.2304,14.7069,7.2508,7.4561,1.379096069128357,7.3033,0.5374230707420132,-0.10000000000001588,48.0
20.0,9.982,4.9302,5.0518,14.6658,7.2496,7.4162,1.406836627612571,7.221,0.5427604133466964,-0.10000000000001588,49.0
20.0,10.2494,4.8839,5.3655,15.0628,7.0512,8.0116,1.4103406278996633,7.1616,0.5159513615912695,-0.10000000000001588,50.0
20.0,9.6261,4.7613,4.8648,13.8645,6.8505,7.014,1.3716149102602382,6.9153,0.5406544366674937,-0.10000000000001588,51.0
20.0,9.6925,4.8041,4.8884,14.2151,7.2007,7.0144,1.4033568103105556,7.0907,0.5444930890709727,-0.10000000000001588,52.0
20.0,10.3478,5.2138,5.134,15.4419,7.5572,7.8847,1.4279204923999351,7.4121,0.5132933557344069,-0.10000000000001588,53.0
20.0,10.1491,4.6483,5.5008,14.4136,6.3064,8.1072,1.3614892438547965,7.0912,0.534213126248544,-0.10000000000001588,54.0
20.0,10.3452,5.1812,5.164,14.5844,7.2914,7.293,1.3483378703213205,7.1402,0.5411242353083916,-0.10000000000001588,55.0
20.0,9.59,4.8317,4.7583,13.2943,6.5535,6.7408,1.3393263580386345,6.5239,0.5572540320914077,-0.10000000000001588,56.0
20.0,9.9806,4.7051,5.2755,15.0084,6.9574,8.051,1.4326742954726297,7.3422,0.5294620035818794,-0.10000000000001588,57.0
20.0,9.8554,4.9124,4.943,14.5767,7.4048,7.1719,1.4193700734119497,7.1245,0.5365833601830631,-0.10000000000001588,58.0
20.0,10.328,5.0834,5.2446,15.8423,7.3606,8.4817,1.4633371445538752,7.6409,0.5197160126481177,-0.10000000000001588,59.0
20.0,10.3175,5.825,4.4925,14.8944,8.8111,6.0833,1.3772800712241797,7.4968,0.5413693018066695,-0.10000000000001588,60.0
20.0,10.3403,5.3943,4.946,15.4769,8.2013,7.2756,1.4339062333393469,7.3555,0.5147272090927384,-0.10000000000001588,61.0
20.0,9.996,5.293,4.703,14.2649,7.8141,6.4508,1.365800376774836,6.9089,0.5243753438058281,-0.10000000000001588,62.0
20.0,9.9042,4.7957,5.1085,14.6322,6.8094,7.8228,1.4063855503377563,7.288,0.5333753099336961,-0.10000000000001588,63.0
20.0,10.1749,5.0512,5.1237,15.3738,7.6765,7.6973,1.442872306939646,7.517,0.5334661038572688,-0.10000000000001588,64.0
20.0,9.9638,5.1622,4.8016,14.9587,7.9104,7.0483,1.4353518990768674,7.3699,0.540508620941035,-0.10000000000001588,65.0
20.0,10.3941,5.1222,5.2719,15.5122,7.6467,7.8655,1.4310752975326206,7.3314,0.5250799595471769,-0.10000000000001588,66.0
20.0,9.316,4.6201,4.6959,12.5361,6.3291,6.207,1.2924236817384536,6.3149,0.5567460576855606,-0.10000000000001588,67.0
20.0,9.2691,5.0251,4.244,13.1969,7.2388,5.9581,1.3650864557387299,6.7213,0.5571763742362416,-0.10000000000001588,68.0
20.0,10.2791,5.1625,5.1166,15.3256,7.7691,7.5565,1.421572612576937,7.4102,0.5162783061371147,-0.10000000000001588,69.0
20.0,9.8906,5.1531,4.7375,13.7404,7.0544,6.686,1.334181215371077,6.7444,0.5487444340645892,-0.10000000000001588,70.0
