trial,samplers,samplers_active,sampler_A,sampler_B,total_active,active_A,active_B,avg_cascade_size,active_diff,cascade_bias,gamma,replicate
post,20.0,9.974,5.1342,4.8398,14.4229,7.7637,6.6592,1.315810461767092,4.0027,0.3739182959624388,-0.10000000000001588,21
pre,20.0,9.9209,5.092,4.8289,36.2392,20.4306,15.8086,3.729906681740743,4.9666,0.19704707297061977,-0.10000000000001588,21
post,20.0,9.7988,4.8941,4.9047,13.7135,6.8848,6.8287,1.2892778226603743,3.7109,0.35472117358181493,-0.10000000000001588,52
pre,20.0,9.6838,4.823,4.8608,35.2299,17.3403,17.8896,3.716260979766489,2.8743,0.13135958359564046,-0.10000000000001588,52
post,20.0,9.8541,4.8847,4.9694,14.2747,7.1527,7.122,1.325411171177158,3.7951,0.3537752792196136,-0.10000000000001588,58
pre,20.0,9.8583,4.8712,4.9871,44.8121,21.0433,23.7688,4.460657428308838,3.6251,0.13759961754151745,-0.10000000000001588,58
post,20.0,10.3422,5.1338,5.2084,15.813,7.6813,8.1317,1.387881439336348,4.3426,0.3503439689921993,-0.10000000000001588,82
pre,20.0,10.3971,5.1248,5.2723,57.2449,27.9826,29.2623,5.372305140656739,2.9865,0.09035585389635761,-0.10000000000001588,82
post,20.0,9.8527,4.9198,4.9329,14.1469,7.2761,6.8708,1.3148449922208751,3.8863,0.373528372898361,-0.10000000000001588,43
pre,20.0,9.9129,4.9418,4.9711,29.527,15.385,14.142,2.8339022962592813,2.8464,0.18435224872685838,-0.10000000000001588,43
post,20.0,9.8807,4.7013,5.1794,14.8017,6.7913,8.0104,1.3601541721668937,4.1631,0.3698592724927049,-0.10000000000001588,5
pre,20.0,9.9085,4.722,5.1865,41.4176,18.6713,22.7463,4.041710703429288,4.7762,0.20472384298437893,-0.10000000000001588,5
post,20.0,9.9426,4.8225,5.1201,14.3253,6.8473,7.478,1.3161032894034965,3.9099,0.36317813591956966,-0.10000000000001588,72
pre,20.0,10.1185,4.9326,5.1859,53.8831,25.7321,28.151,5.7723397360619355,3.6379,0.11024360798291191,-0.10000000000001588,72
post,20.0,10.1123,5.3739,4.7384,15.5962,8.7851,6.8111,1.4060439582155853,4.468,0.3692961649245821,-0.10000000000001588,13
pre,20.0,10.0432,5.3049,4.7383,40.5699,21.3838,19.1861,3.6433252650447474,3.6313,0.15407103932279045,-0.10000000000001588,13
post,20.0,10.3199,5.8256,4.4943,15.3942,9.1749,6.2193,1.3655963110735811,4.7808,0.38211123852079265,-0.10000000000001588,60
pre,20.0,10.2062,5.7546,4.4516,53.5794,30.8413,22.7381,4.724494108600805,8.8364,0.23449085196847522,-0.10000000000001588,60
post,20.0,9.4549,4.8796,4.5753,13.2486,7.1058,6.1428,1.2838322414294412,3.8068,0.3786538317045187,-0.10000000000001588,45
pre,20.0,9.5262,4.9096,4.6166,43.4489,21.7486,21.7003,5.407897248930438,2.5235,0.08888365963744758,-0.10000000000001588,45
post,20.0,9.2356,4.5017,4.7339,12.5627,6.3082,6.2545,1.2508606564697968,3.4339,0.3778812071088055,-0.10000000000001588,89
pre,20.0,9.3043,4.5482,4.7561,16.8874,8.1778,8.7096,1.6803350293503356,2.7552,0.2798733168631628,-0.10000000000001588,89
post,20.0,9.714,4.5896,5.1244,13.5933,6.0932,7.5001,1.287285043790299,3.8631,0.38568300803529504,-0.10000000000001588,29
pre,20.0,9.574,4.532,5.042,31.5834,13.7301,17.8533,2.9924123200216868,4.7002,0.24247937805025388,-0.10000000000001588,29
post,20.0,9.8552,4.94,4.9152,14.3822,7.4183,6.9639,1.344210513790476,3.9758,0.3715217301975412,-0.10000000000001588,83
pre,20.0,9.7471,4.8683,4.8788,53.4498,25.9622,27.4876,5.373110660931581,2.6842,0.11913935083796616,-0.10000000000001588,83
post,20.0,9.505,4.5819,4.9231,13.4785,6.5802,6.8983,1.2902883969925756,3.6877,0.35763942728568116,-0.10000000000001588,46
pre,20.0,9.4006,4.4827,4.9179,35.3516,16.7118,18.6398,3.551391126231062,3.1138,0.15404326115483888,-0.10000000000001588,46
post,20.0,10.2436,5.2915,4.9521,14.4856,7.6693,6.8163,1.3001434889008823,3.9292,0.3550580143340352,-0.10000000000001588,84
pre,20.0,10.3041,5.3247,4.9794,60.9384,31.6494,29.289,5.552655320101021,3.3962,0.12291144973373046,-0.10000000000001588,84
