trial,samplers,samplers_active,sampler_A,sampler_B,total_active,active_A,active_B,avg_cascade_size,active_diff,cascade_bias,gamma,replicate
post,20.0,9.9613,5.0966,4.8647,14.2278,7.6399,6.5879,1.422678367405397,9.0706,0.6121624859026227,-0.10000000000001588,21
pre,20.0,9.9472,5.13,4.8172,34.4765,19.9457,14.5308,3.5124659392194038,6.7221,0.20472275833301087,-0.10000000000001588,21
post,20.0,9.7556,4.901,4.8546,13.5235,6.8443,6.6792,1.3807660538395363,8.4723,0.6088272647039854,-0.10000000000001588,52
pre,20.0,9.7228,4.8095,4.9133,34.6453,17.007,17.6383,3.5925363714824075,5.1933,0.15960546816963783,-0.10000000000001588,52
post,20.0,9.8692,4.8578,5.0114,14.1907,7.0193,7.1714,1.4325720008586278,8.8773,0.6058743225078717,-0.10000000000001588,58
pre,20.0,9.8278,4.8909,4.9369,45.5182,21.0332,24.485,4.6772519417879925,5.8906,0.14405620397131053,-0.10000000000001588,58
post,20.0,10.3095,5.0673,5.2422,15.641,7.5085,8.1325,1.5099610049844427,9.8708,0.6078583283357074,-0.10000000000001588,82
pre,20.0,10.363,5.1456,5.2174,62.9241,30.8282,32.0959,6.126256871810691,5.2275,0.09333544386391433,-0.10000000000001588,82
post,20.0,9.8529,4.9297,4.9232,13.9924,7.188,6.8044,1.4157342851947428,9.0296,0.6297204952265318,-0.10000000000001588,43
pre,20.0,9.8608,4.9212,4.9396,27.5006,14.5498,12.9508,2.7819368165047944,5.2886,0.212738332123049,-0.10000000000001588,43
post,20.0,9.925,4.7317,5.1933,14.8777,6.8206,8.0571,1.49172771479166,9.6851,0.6283871102092872,-0.10000000000001588,5
pre,20.0,9.9466,4.7649,5.1817,42.1011,18.2529,23.8482,4.282332990062895,7.3279,0.19809992596626738,-0.10000000000001588,5
post,20.0,10.0617,4.9303,5.1314,14.4926,7.0063,7.4863,1.4332492431321826,9.1852,0.6092346981311052,-0.10000000000001588,72
pre,20.0,10.1,4.9044,5.1956,56.7062,26.494,30.2122,5.767901404518669,6.0902,0.11371372152452498,-0.10000000000001588,72
post,20.0,10.0992,5.3542,4.745,15.4003,8.6416,6.7587,1.518985190576537,9.8011,0.6150114338642171,-0.10000000000001588,13
pre,20.0,10.1461,5.3345,4.8116,38.4952,20.2968,18.1984,3.7470056016953577,6.184,0.18016812998123674,-0.10000000000001588,13
post,20.0,10.2441,5.7867,4.4574,15.1641,9.0605,6.1036,1.470784288073045,9.8145,0.6262168654509994,-0.10000000000001588,60
pre,20.0,10.2473,5.7529,4.4944,50.2199,28.7676,21.4523,4.8169943759557015,8.8273,0.18320606727939132,-0.10000000000001588,60
post,20.0,9.4828,4.8485,4.6343,13.132,6.9849,6.1471,1.374276683372968,8.4932,0.6232233705517529,-0.10000000000001588,45
