true_positive,false_negative,true_negative,false_positive,correct_message,incorrect_message,gamma,replicate
1344.12,3885.755,4769.48,0.645,0.19251627419133466,0.0001779548698148325,1.0,0.0
1344.12,3885.755,4769.48,0.645,0.19251627419133466,0.0001779548698148325,1.0,0.0
1489.005,3507.325,5002.13,1.54,0.21379583959742124,0.0002412469692171343,1.0,1.0
1489.005,3507.325,5002.13,1.54,0.21379583959742124,0.0002412469692171343,1.0,1.0
1083.505,3948.555,4967.215,0.725,0.17303158885704412,0.00016197758399787222,1.0,2.0
1083.505,3948.555,4967.215,0.725,0.17303158885704412,0.00016197758399787222,1.0,2.0
1387.895,3924.195,4686.58,1.33,0.20217675449030387,0.00020072166984012266,1.0,3.0
1387.895,3924.195,4686.58,1.33,0.20217675449030387,0.00020072166984012266,1.0,3.0
1335.69,3569.455,5093.965,0.89,0.19503596451983915,0.0004443631698996446,1.0,4.0
1335.69,3569.455,5093.965,0.89,0.19503596451983915,0.0004443631698996446,1.0,4.0
844.08,3577.815,5577.945,0.16,0.14285375333287473,4.244314309179477e-05,1.0,5.0
844.08,3577.815,5577.945,0.16,0.14285375333287473,4.244314309179477e-05,1.0,5.0
1409.135,3835.4,4753.425,2.04,0.20729349674201422,0.0003618893252970686,1.0,6.0
1409.135,3835.4,4753.425,2.04,0.20729349674201422,0.0003618893252970686,1.0,6.0
1094.095,3797.105,5107.2,1.6,0.1730869750942732,0.00019220836439984477,1.0,7.0
1094.095,3797.105,5107.2,1.6,0.1730869750942732,0.00019220836439984477,1.0,7.0
793.205,3792.275,5413.935,0.585,0.14662894116023767,0.0017515962888171022,1.0,8.0
793.205,3792.275,5413.935,0.585,0.14662894116023767,0.0017515962888171022,1.0,8.0
1388.085,3618.98,4992.05,0.885,0.20455135026079044,0.00027406611077446377,1.0,9.0
1388.085,3618.98,4992.05,0.885,0.20455135026079044,0.00027406611077446377,1.0,9.0
1024.0,3938.885,5033.18,3.935,0.1780493415016184,0.00047854200948091745,1.0,0.0
1024.0,3938.885,5033.18,3.935,0.1780493415016184,0.00047854200948091745,1.0,0.0
1537.94,3646.035,4813.21,2.815,0.2122531090876015,0.0004849212844122342,1.0,1.0
1537.94,3646.035,4813.21,2.815,0.2122531090876015,0.0004849212844122342,1.0,1.0
1001.57,3788.0,5209.665,0.765,0.15291090666926774,0.00010771515018837985,1.0,4.0
1001.57,3788.0,5209.665,0.765,0.15291090666926774,0.00010771515018837985,1.0,4.0
1255.005,3526.425,5218.53,0.04,0.18237229286127377,5.685315918060475e-06,1.0,5.0
1255.005,3526.425,5218.53,0.04,0.18237229286127377,5.685315918060475e-06,1.0,5.0
1036.41,3941.455,5021.605,0.53,0.162393154683424,0.0006748751928391545,1.0,6.0
1036.41,3941.455,5021.605,0.53,0.162393154683424,0.0006748751928391545,1.0,6.0
1474.345,4134.665,4390.29,0.7,0.2049367134533855,0.0034943923747748446,1.0,7.0
1474.345,4134.665,4390.29,0.7,0.2049367134533855,0.0034943923747748446,1.0,7.0
1680.005,3458.405,4861.355,0.235,0.22416403246949929,0.00017783359115812675,1.0,8.0
1680.005,3458.405,4861.355,0.235,0.22416403246949929,0.00017783359115812675,1.0,8.0
1220.26,4020.68,4758.205,0.855,0.1812861120743559,0.0007272946922827286,1.0,9.0
1220.26,4020.68,4758.205,0.855,0.1812861120743559,0.0007272946922827286,1.0,9.0
