gamma,replicate,assort_type_final,assort_type_initial,assort_thresh_final,assort_thresh_initial
-0.1,0,0.395,0.009944309,-0.203153092,0.019550161
-0.1,1,0.374964842,0.014944591,-0.163340929,0.039335569
-0.1,2,0.412455016,-0.005157056,-0.186784898,-0.009552377
-0.1,3,0.354802408,-0.046674679,-0.153631765,0.015175744
-0.1,4,0.401818634,0.012313265,-0.166395421,0.021347406
-0.1,5,0.324489145,-0.00510051,-0.142897477,0.017239177
-0.1,6,0.304930493,0.021825977,-0.100470455,-0.034072122
-0.1,7,0.338660788,-0.025641026,-0.155242353,-0.029217313
-0.1,8,0.384133938,-0.007501574,-0.090062266,0.019698316
-0.1,9,0.359515634,0.04490449,-0.120100045,0.009157604
-0.1,10,0.356533795,-0.065006656,-0.153574945,-0.014598223
-0.1,11,0.381795827,0.09749859,-0.155281403,-0.007563803
-0.1,12,0.337199669,-0.006415271,-0.139615213,0.014018426
-0.1,13,0.372381341,0.023021619,-0.124569839,-0.055719101
-0.1,14,0.365993243,-0.000625391,-0.11067505,-0.011632664
-0.1,15,0.331947813,-0.00040016,-0.165684193,-0.02930925
-0.1,16,0.341511238,-0.005,-0.188847871,-0.02521126
-0.1,17,0.316832845,-6.25E-06,-0.114920425,0.004100653
-0.1,18,0.345781655,-0.017514309,-0.087952932,-0.027291824
-0.1,19,0.294995594,-0.00040016,-0.149616205,-0.040584651
-0.1,20,0.419706226,0.00394792,-0.139287473,-0.008961815
-0.1,21,0.378446115,0.041707912,-0.171011114,-0.041589838
-0.1,22,0.277363377,-0.065539429,-0.115584412,0.021222081
-0.1,23,0.315,-0.052514801,-0.189420838,0.01295997
-0.1,24,0.399759904,-0.050006563,-0.138568011,0.001019492
-0.1,25,0.357490965,-0.01510151,-0.198379846,-0.065085483
-0.1,26,0.407094764,0.027376902,-0.200052728,0.023466537
-0.1,27,0.3314962,0.052071951,-0.132596503,0.02712843
-0.1,28,0.368088468,0.002373738,-0.12670406,0.026403621
-0.1,29,0.309788623,-0.06505991,-0.124927233,0.032208356
-0.1,30,0.307022495,0.024975624,-0.111047597,0.007917345
-0.1,31,0.372216517,-0.005509039,-0.096898731,0.041943765
-0.1,32,0.332198446,0.042486535,-0.099854571,0.004551435
-0.1,33,0.404985125,0.031699639,-0.173258676,-0.102710553
-0.1,34,0.337374722,0.009498559,-0.155613332,0.011913287
-0.1,35,0.418171743,0.031953962,-0.183608532,-0.019777863
-0.1,36,0.387384177,-0.016963516,-0.136122521,-0.016794995
-0.1,37,0.307412344,-0.006062654,-0.169599099,0.034756161
-0.1,38,0.367491105,-0.021436395,-0.139210126,-0.0257824
-0.1,39,0.31731973,0.024945153,-0.117198225,0.011477185
-0.1,40,0.294960342,0.00490049,-0.177914323,-0.013762287
-0.1,41,0.292445828,-0.023345859,-0.16001734,-0.008068164
-0.1,42,0.312318409,-0.007627528,-0.129310947,-0.012201814
-0.1,43,0.344995906,-0.062581354,-0.125877572,-0.036174165
-0.1,44,0.376563872,0.057251055,-0.101319971,-0.013528966
-0.1,45,0.329932993,-0.022578291,-0.087953717,0.079368138
-0.1,46,0.354221666,-0.027861358,-0.118858434,0.02823824
-0.1,47,0.286910587,-0.020229552,-0.182598411,0.011895303
-0.1,48,0.37953077,0.019607843,-0.062199392,0.055037545
-0.1,49,0.376985039,-0.041099662,-0.155557813,-0.042171599
-0.1,50,0.424482034,0.047462792,-0.130767408,-0.020316778
-0.1,51,0.330909865,-0.025519169,-0.103947792,-0.001882711
-0.1,52,0.388896194,0.016945496,-0.175888348,-0.068470263
-0.1,53,0.359515634,0.019993875,-0.185841295,0.006146342
-0.1,54,0.338130628,-0.048523949,-0.1347495,0.014553826
-0.1,55,0.346755914,-0.088599181,-0.144963604,0.007371917
-0.1,56,0.374436993,0.082326502,-0.041410315,0.027186237
-0.1,57,0.38313398,0.008785763,-0.136123051,-0.035697305
-0.1,58,0.373731807,0.003598811,-0.132975449,-0.007296693
-0.1,59,0.337411765,-0.022629427,-0.142432846,-0.010818758
-0.1,60,0.34908465,-0.031650641,-0.112222181,-0.025034546
-0.1,61,0.354317998,-0.022819145,-0.169376077,0.036808086
-0.1,62,0.324983125,-0.081557531,-0.174179713,0.022503973
-0.1,63,0.334063527,-0.010006313,-0.145230364,0.013223652
-0.1,64,0.344963154,-0.06263449,-0.073104511,0.051235965
-0.1,65,0.367499012,0.01215271,-0.143530516,0.00951851
-0.1,66,0.3314962,-0.037774037,-0.144276733,-0.028579821
-0.1,67,0.259773306,-0.0685435,-0.182795289,-0.069357756
-0.1,68,0.242157787,-0.003329314,-0.106666527,0.033218462
-0.1,69,0.407476855,0.034269666,-0.164380339,0.030893162
-0.1,70,0.282310485,0.01425453,-0.042794765,0.07709157
-0.1,71,0.424910142,-0.021078514,-0.226840085,0.01271701
-0.1,72,0.364857093,-0.025230677,-0.170363434,-0.002206961
-0.1,73,0.351823937,-0.023345859,-0.145449668,-0.068445497
-0.1,74,0.386187016,-0.036872852,-0.189631727,-0.007544895
-0.1,75,0.367380395,-0.042631958,-0.095773505,-0.009541551
-0.1,76,0.327414876,-0.020312471,-0.188273577,0.02327189
-0.1,77,0.3622758,0.054976374,-0.129689257,0.046621725
-0.1,78,0.329291564,0.027425537,-0.120145597,0.051755074
-0.1,79,0.311626972,0.012834099,-0.142933301,-0.004028535
-0.1,80,0.369936994,0.037245773,-0.139600159,-0.01986253
-0.1,81,0.344504281,-0.01,-0.119629852,-0.0700152
-0.1,82,0.364984125,0.005,-0.075362896,0.044049799
-0.1,83,0.359472507,-0.023205052,-0.129716818,0.053952413
-0.1,84,0.319174688,0.018429487,-0.172821802,0.032578448
-0.1,85,0.353966346,-0.067501668,-0.142234235,0.003031221
-0.1,86,0.297498902,-0.002689571,-0.142320876,-0.055639247
-0.1,87,0.363408521,-0.053225738,-0.145730741,-0.02433548
-0.1,88,0.420325314,-0.035783311,-0.12469009,0.099527983
-0.1,89,0.356533795,0.062498535,-0.15125874,-0.07479609
-0.1,90,0.333162028,0.008413462,-0.14580764,-0.058014931
-0.1,91,0.324932493,0.01490149,-0.146870178,-0.066378572
-0.1,92,0.396344566,-0.007514168,-0.119171511,-0.027516362
-0.1,93,0.28435592,-0.035,-0.190444944,-0.041387151
-0.1,94,0.314035362,0.031045054,-0.093763749,-0.027346875
-0.1,95,0.333876915,0.020863147,-0.138843284,0.044194246
-0.1,96,0.34686217,-0.014285356,-0.124152129,-0.022957023
-0.1,97,0.382282834,-0.003191261,-0.15232959,-0.017227171
-0.1,98,0.364964279,-0.048694529,-0.123362087,0.053049167
-0.1,99,0.368421053,0.017026505,-0.121567509,0.027216391
-0.2,0,0.381896383,0.00969672,-0.138207006,-0.044677392
-0.2,1,0.375,0.0097772,-0.207014738,-0.006909276
-0.2,2,0.273979033,0.002373738,-0.129147147,0.07859294
-0.2,3,0.329396457,-0.010631645,-0.144533509,0.021828258
-0.2,4,0.414908579,0.014778325,-0.145890087,-0.038024257
-0.2,5,0.373586655,-0.058096833,-0.164125502,-0.032421832
-0.2,6,0.430123998,0.014097095,-0.149175576,-0.012597656
-0.2,7,0.351823937,-0.005025126,-0.141375911,0.031567312
-0.2,8,0.339962873,-0.002501566,-0.151956257,0.014100511
-0.2,9,0.412565279,-0.000506506,-0.193912352,-0.009444652
