gamma,replicate,individual,out_degree,out_degree_initial,in_degree,in_degree_initial,same_type_adds,same_type_breaks,diff_type_adds,diff_type_breaks
-0.7,0,0,4,2,5,7,3,1,0,0
-0.7,0,1,10,7,5,6,2,0,1,0
-0.7,0,2,0,2,7,5,0,1,0,1
-0.7,0,3,13,10,9,9,2,0,1,0
-0.7,0,4,6,5,4,4,0,0,1,0
-0.7,0,5,2,3,6,5,1,0,0,2
-0.7,0,6,4,9,6,6,0,1,0,4
-0.7,0,7,10,7,5,3,2,0,1,0
-0.7,0,8,6,6,6,4,1,0,0,1
-0.7,0,9,7,5,4,6,2,0,0,0
-0.7,0,10,2,8,9,7,1,0,0,7
-0.7,0,11,5,6,3,4,1,1,1,2
-0.7,0,12,4,4,5,6,0,0,1,1
-0.7,0,13,5,7,3,2,1,1,2,4
-0.7,0,14,2,3,8,6,1,2,0,0
-0.7,0,15,1,2,8,7,1,0,0,2
-0.7,0,16,4,4,3,3,0,0,0,0
-0.7,0,17,4,6,4,6,2,0,0,4
-0.7,0,18,10,8,6,6,1,0,1,0
-0.7,0,19,0,2,6,5,0,0,0,2
-0.7,0,20,6,5,4,5,0,0,1,0
-0.7,0,21,6,5,12,9,1,0,0,0
-0.7,0,22,2,5,5,4,2,3,0,2
-0.7,0,23,7,5,5,6,1,0,1,0
-0.7,0,24,5,4,4,4,1,0,0,0
-0.7,0,25,9,5,4,2,1,0,3,0
-0.7,0,26,10,6,4,2,0,0,4,0
-0.7,0,27,6,4,3,2,0,0,2,0
-0.7,0,28,2,4,5,9,1,1,0,2
-0.7,0,29,5,5,8,4,0,0,0,0
-0.7,0,30,7,3,6,5,2,0,2,0
-0.7,0,31,5,5,2,3,1,0,1,2
-0.7,0,32,0,5,3,5,0,1,0,4
-0.7,0,33,0,6,2,2,0,1,0,5
-0.7,0,34,0,2,8,6,0,2,0,0
-0.7,0,35,7,6,4,3,0,0,1,0
-0.7,0,36,8,5,5,6,0,0,3,0
-0.7,0,37,7,5,2,5,2,1,1,0
-0.7,0,38,0,3,7,6,0,0,0,3
-0.7,0,39,4,8,3,6,0,0,0,4
-0.7,0,40,7,4,2,0,3,0,1,1
-0.7,0,41,3,4,5,6,2,1,1,3
-0.7,0,42,2,6,7,5,0,3,0,1
-0.7,0,43,4,3,5,5,1,0,1,1
-0.7,0,44,7,5,1,2,1,0,1,0
-0.7,0,45,2,5,9,6,1,1,1,4
-0.7,0,46,12,7,5,4,3,0,2,0
-0.7,0,47,5,3,6,7,1,0,1,0
-0.7,0,48,8,6,6,8,1,0,1,0
-0.7,0,49,6,9,7,6,1,2,1,3
-0.7,0,50,7,5,7,7,0,0,2,0
-0.7,0,51,10,6,6,4,3,0,1,0
-0.7,0,52,2,3,4,2,1,0,0,2
-0.7,0,53,6,5,3,4,0,0,1,0
-0.7,0,54,7,4,8,9,3,0,0,0
-0.7,0,55,8,7,10,6,1,0,0,0
-0.7,0,56,4,4,4,6,1,0,0,1
-0.7,0,57,1,5,5,6,1,2,0,3
-0.7,0,58,4,3,5,5,1,0,0,0
-0.7,0,59,2,3,7,9,0,0,0,1
-0.7,0,60,2,5,5,7,1,0,0,4
-0.7,0,61,3,3,9,9,0,0,0,0
-0.7,0,62,11,9,6,4,1,0,1,0
-0.7,0,63,2,5,8,6,0,0,0,3
-0.7,0,64,2,7,4,2,0,0,0,5
-0.7,0,65,9,4,10,5,3,0,2,0
-0.7,0,66,4,4,7,6,0,0,0,0
-0.7,0,67,7,8,5,7,2,0,1,4
-0.7,0,68,2,5,4,5,1,2,0,2
-0.7,0,69,12,7,8,6,3,0,2,0
-0.7,0,70,4,4,6,6,1,0,1,2
-0.7,0,71,8,5,9,4,2,0,1,0
-0.7,0,72,5,6,7,8,3,2,0,2
-0.7,0,73,4,3,8,6,2,0,0,1
-0.7,0,74,7,4,7,7,2,0,1,0
-0.7,0,75,1,5,7,6,0,2,0,2
-0.7,0,76,6,6,6,7,1,0,0,1
-0.7,0,77,6,3,2,3,2,0,1,0
-0.7,0,78,3,3,6,3,2,2,1,1
-0.7,0,79,14,11,12,11,2,0,1,0
-0.7,0,80,1,1,5,8,1,0,0,1
-0.7,0,81,5,4,3,5,0,0,1,0
-0.7,0,82,12,9,8,8,2,0,1,0
-0.7,0,83,6,4,9,4,2,0,2,2
-0.7,0,84,1,2,3,5,1,0,0,2
-0.7,0,85,9,12,4,4,1,1,1,4
-0.7,0,86,8,5,14,9,1,0,2,0
-0.7,0,87,2,6,8,8,0,0,0,4
-0.7,0,88,5,7,2,4,1,1,1,3
-0.7,0,89,8,9,6,6,2,1,0,2
-0.7,0,90,1,3,6,7,0,0,0,2
-0.7,0,91,6,6,10,10,1,2,3,2
-0.7,0,92,2,3,6,9,1,2,0,0
-0.7,0,93,2,1,4,5,2,0,0,1
-0.7,0,94,5,5,1,2,0,0,0,0
-0.7,0,95,10,9,8,4,1,0,0,0
-0.7,0,96,0,2,4,3,0,1,0,1
-0.7,0,97,4,2,3,1,2,0,0,0
-0.7,0,98,8,4,7,7,4,0,1,1
-0.7,0,99,12,9,4,5,0,0,3,0
-0.7,0,100,4,2,5,3,0,0,2,0
-0.7,0,101,10,8,4,5,3,0,0,1
-0.7,0,102,0,2,7,5,0,2,0,0
-0.7,0,103,8,6,7,6,2,0,0,0
-0.7,0,104,15,11,2,2,2,0,2,0
-0.7,0,105,2,3,9,5,1,2,0,0
-0.7,0,106,5,3,7,6,2,0,0,0
-0.7,0,107,12,10,5,7,2,0,2,2
-0.7,0,108,9,4,5,5,1,0,4,0
-0.7,0,109,1,2,1,4,0,0,0,1
-0.7,0,110,2,7,0,1,0,2,0,3
-0.7,0,111,8,7,6,7,1,0,0,0
-0.7,0,112,3,5,1,0,1,1,0,2
-0.7,0,113,3,5,8,4,1,1,1,3
-0.7,0,114,11,9,2,3,0,0,2,0
-0.7,0,115,3,5,5,8,0,0,0,2
-0.7,0,116,1,5,2,4,0,1,0,3
-0.7,0,117,2,2,4,5,1,0,0,1
-0.7,0,118,6,6,3,3,1,0,0,1
-0.7,0,119,7,3,7,5,2,0,2,0
-0.7,0,120,5,5,7,4,2,0,0,2
-0.7,0,121,12,11,2,1,3,2,2,2
-0.7,0,122,11,7,7,8,1,0,3,0
-0.7,0,123,2,4,2,2,0,3,1,0
-0.7,0,124,11,7,5,6,4,0,0,0
-0.7,0,125,2,2,6,3,2,0,0,2
-0.7,0,126,2,1,9,7,1,0,0,0
-0.7,0,127,2,2,4,3,1,0,0,1
-0.7,0,128,6,3,8,7,1,0,2,0
-0.7,0,129,11,8,4,5,1,0,2,0
-0.7,0,130,8,8,2,3,3,1,1,3
-0.7,0,131,10,7,2,2,2,0,1,0
-0.7,0,132,4,3,2,5,1,0,1,1
-0.7,0,133,11,8,3,4,0,0,3,0
-0.7,0,134,10,7,6,5,1,0,2,0
-0.7,0,135,8,7,10,9,0,0,3,2
-0.7,0,136,1,3,7,3,0,0,0,2
-0.7,0,137,8,7,4,5,1,0,0,0
-0.7,0,138,4,3,3,3,0,0,1,0
-0.7,0,139,5,5,4,2,1,0,0,1
-0.7,0,140,8,3,5,4,2,0,3,0
-0.7,0,141,3,2,10,9,0,0,1,0
-0.7,0,142,13,11,6,4,2,0,0,0
-0.7,0,143,3,5,2,4,0,0,0,2
-0.7,0,144,2,2,10,8,0,0,0,0
-0.7,0,145,8,7,8,5,1,0,0,0
-0.7,0,146,2,4,4,3,2,1,0,3
-0.7,0,147,0,2,3,3,0,0,0,2
-0.7,0,148,5,4,4,4,3,1,1,2
-0.7,0,149,8,7,7,3,1,0,0,0
-0.7,0,150,8,6,5,4,0,0,2,0
-0.7,0,151,12,9,7,6,2,0,1,0
-0.7,0,152,3,5,9,7,1,1,0,2
-0.7,0,153,5,3,10,4,0,0,2,0
-0.7,0,154,9,5,8,6,2,0,2,0
-0.7,0,155,7,6,6,4,0,0,1,0
-0.7,0,156,7,5,5,5,3,0,0,1
-0.7,0,157,7,6,4,6,2,0,0,1
-0.7,0,158,7,5,3,2,2,0,0,0
-0.7,0,159,2,4,4,4,0,2,0,0
-0.7,0,160,10,6,8,7,1,0,3,0
-0.7,0,161,6,4,4,4,2,0,0,0
-0.7,0,162,5,4,5,6,1,1,1,0
-0.7,0,163,7,3,12,7,2,0,2,0
-0.7,0,164,6,4,3,3,1,0,1,0
-0.7,0,165,3,5,6,7,1,2,1,2
-0.7,0,166,6,4,5,3,0,0,2,0
-0.7,0,167,2,3,3,1,0,0,0,1
-0.7,0,168,5,5,8,5,0,0,0,0
-0.7,0,169,2,2,7,6,0,0,0,0
-0.7,0,170,5,4,5,2,0,0,1,0
-0.7,0,171,0,2,6,5,0,0,0,2
-0.7,0,172,5,5,7,7,0,0,1,1
-0.7,0,173,12,9,2,4,1,0,2,0
-0.7,0,174,8,4,4,7,2,0,2,0
-0.7,0,175,8,5,3,2,2,0,1,0
-0.7,0,176,5,3,7,7,2,0,0,0
-0.7,0,177,2,6,7,6,0,3,0,1
-0.7,0,178,5,7,4,3,1,0,1,4
-0.7,0,179,10,7,2,4,2,0,1,0
-0.7,0,180,5,4,11,5,0,0,1,0
-0.7,0,181,1,2,1,3,1,2,0,0
-0.7,0,182,8,3,4,2,2,0,3,0
-0.7,0,183,6,5,7,6,2,1,1,1
-0.7,0,184,1,6,6,6,0,1,0,4
-0.7,0,185,3,4,6,6,1,0,0,2
-0.7,0,186,6,5,3,1,1,0,0,0
-0.7,0,187,4,3,5,5,2,0,1,2
-0.7,0,188,4,4,5,4,1,1,1,1
-0.7,0,189,5,4,11,7,0,0,1,0
-0.7,0,190,6,3,3,5,1,0,2,0
-0.7,0,191,6,4,8,9,2,0,0,0
-0.7,0,192,7,4,1,5,3,1,2,1
-0.7,0,193,7,6,7,5,0,0,1,0
-0.7,0,194,12,7,2,2,3,0,2,0
-0.7,0,195,8,6,7,6,0,0,2,0
-0.7,0,196,3,2,3,2,1,0,0,0
-0.7,0,197,4,2,6,2,2,0,0,0
-0.7,0,198,9,6,10,8,1,0,2,0
-0.7,0,199,0,5,10,5,0,1,0,4
-0.7,1,0,0,3,3,5,0,1,0,2
-0.7,1,1,9,6,6,3,1,0,2,0
-0.7,1,2,8,5,2,3,0,0,4,1
-0.7,1,3,5,7,4,6,1,0,0,3
-0.7,1,4,4,6,4,3,2,1,1,4
-0.7,1,5,10,8,9,6,2,0,0,0
-0.7,1,6,2,2,5,5,0,0,0,0
-0.7,1,7,8,6,10,5,2,0,0,0
-0.7,1,8,3,6,10,5,0,0,0,3
-0.7,1,9,2,5,6,2,0,0,0,3
-0.7,1,10,8,4,8,7,3,0,1,0
-0.7,1,11,2,3,8,9,0,0,0,1
-0.7,1,12,5,5,10,9,3,0,1,4
-0.7,1,13,12,7,6,6,3,0,3,1
-0.7,1,14,3,5,5,6,3,2,0,3
-0.7,1,15,4,4,5,5,0,0,1,1
-0.7,1,16,11,6,4,2,2,0,3,0
-0.7,1,17,9,7,9,5,3,0,0,1
-0.7,1,18,5,5,0,0,1,1,1,1
-0.7,1,19,9,6,4,6,3,0,0,0
-0.7,1,20,2,3,3,5,1,0,1,3
-0.7,1,21,5,5,5,4,2,0,0,2
-0.7,1,22,5,4,7,6,1,0,1,1
-0.7,1,23,10,6,3,3,2,0,2,0
-0.7,1,24,12,7,4,7,3,0,2,0
-0.7,1,25,7,7,5,5,0,0,0,0
-0.7,1,26,2,7,1,3,1,1,0,5
-0.7,1,27,4,4,11,12,0,0,0,0
-0.7,1,28,5,3,7,5,0,0,2,0
-0.7,1,29,5,4,7,6,0,0,1,0
-0.7,1,30,7,6,7,5,0,0,1,0
-0.7,1,31,5,4,6,3,0,0,1,0
-0.7,1,32,1,2,8,4,0,1,0,0
-0.7,1,33,3,1,4,5,1,0,1,0
-0.7,1,34,9,4,8,4,3,0,2,0
-0.7,1,35,8,5,5,4,2,0,1,0
-0.7,1,36,1,2,6,10,1,0,0,2
-0.7,1,37,1,1,5,2,1,1,0,0
-0.7,1,38,3,4,2,3,0,0,0,1
-0.7,1,39,8,6,9,10,1,0,1,0
-0.7,1,40,10,7,9,6,1,0,2,0
-0.7,1,41,5,4,5,4,2,1,0,0
-0.7,1,42,8,7,6,7,0,0,1,0
-0.7,1,43,3,3,8,2,0,0,0,0
-0.7,1,44,6,4,3,3,1,0,1,0
-0.7,1,45,3,3,8,7,0,0,0,0
-0.7,1,46,5,3,4,5,1,0,1,0
-0.7,1,47,2,5,1,2,0,2,0,1
-0.7,1,48,3,4,4,3,1,1,0,1
-0.7,1,49,3,5,3,7,0,1,0,1
-0.7,1,50,0,1,7,3,0,1,0,0
-0.7,1,51,1,7,6,6,0,1,0,5
-0.7,1,52,9,6,8,6,2,0,1,0
-0.7,1,53,5,5,5,7,4,0,0,4
-0.7,1,54,5,3,4,5,1,0,1,0
-0.7,1,55,4,3,5,6,1,0,0,0
-0.7,1,56,3,3,4,5,1,0,1,2
-0.7,1,57,10,5,7,6,2,0,3,0
-0.7,1,58,6,4,3,5,2,0,2,2
-0.7,1,59,10,7,16,12,2,0,1,0
-0.7,1,60,6,6,13,8,0,0,0,0
-0.7,1,61,12,5,7,7,4,0,3,0
-0.7,1,62,8,6,6,3,1,0,1,0
-0.7,1,63,10,7,6,2,2,0,1,0
-0.7,1,64,6,8,3,3,1,0,0,3
-0.7,1,65,1,3,4,5,0,1,0,1
-0.7,1,66,9,6,4,5,0,0,3,0
-0.7,1,67,8,4,8,8,2,0,2,0
-0.7,1,68,7,7,4,4,0,0,0,0
-0.7,1,69,1,5,5,4,0,1,0,3
-0.7,1,70,1,5,3,4,1,2,0,3
-0.7,1,71,4,4,8,7,1,1,1,1
-0.7,1,72,5,4,9,6,1,2,2,0
-0.7,1,73,8,4,7,6,0,0,4,0
-0.7,1,74,6,5,3,6,1,0,0,0
-0.7,1,75,7,7,4,3,1,1,1,1
