gamma,replicate,individual,same_type_adds,same_type_breaks,diff_type_adds,diff_type_breaks
-0.8,0,0,1,3,0,2
-0.8,0,1,2,1,2,0
-0.8,0,2,4,0,1,1
-0.8,0,3,4,0,3,1
-0.8,0,4,2,2,2,0
-0.8,0,5,3,2,5,0
-0.8,0,6,2,0,2,0
-0.8,0,7,0,0,4,0
-0.8,0,8,0,0,0,0
-0.8,0,9,1,1,1,0
-0.8,0,10,1,0,1,1
-0.8,0,11,2,0,3,0
-0.8,0,12,0,0,2,0
-0.8,0,13,2,1,0,0
-0.8,0,14,0,1,1,2
-0.8,0,15,1,1,1,0
-0.8,0,16,0,0,0,3
-0.8,0,17,1,0,5,1
-0.8,0,18,0,1,1,0
-0.8,0,19,1,1,4,0
-0.8,0,20,2,2,3,1
-0.8,0,21,0,4,0,3
-0.8,0,22,1,2,0,0
-0.8,0,23,2,0,3,1
-0.8,0,24,0,0,2,0
-0.8,0,25,1,0,0,0
-0.8,0,26,0,3,0,2
-0.8,0,27,0,1,1,0
-0.8,0,28,3,0,1,0
-0.8,0,29,1,1,3,0
-0.8,0,30,1,0,4,0
-0.8,0,31,1,0,2,0
-0.8,0,32,1,1,2,0
-0.8,0,33,0,0,0,0
-0.8,0,34,1,1,2,0
-0.8,0,35,0,1,0,1
-0.8,0,36,1,1,4,2
-0.8,0,37,2,0,5,0
-0.8,0,38,0,2,2,1
-0.8,0,39,2,0,2,0
-0.8,0,40,1,0,2,0
-0.8,0,41,0,1,0,1
-0.8,0,42,0,0,0,1
-0.8,0,43,3,0,2,0
-0.8,0,44,2,1,1,0
-0.8,0,45,1,1,2,0
-0.8,0,46,0,0,0,0
-0.8,0,47,0,2,0,0
-0.8,0,48,0,0,2,0
-0.8,0,49,0,3,0,0
-0.8,0,50,1,0,1,0
-0.8,0,51,0,2,1,0
-0.8,0,52,2,0,3,0
-0.8,0,53,1,0,5,0
-0.8,0,54,0,0,0,1
-0.8,0,55,1,2,1,3
-0.8,0,56,0,2,1,1
-0.8,0,57,3,0,0,0
-0.8,0,58,0,3,1,1
-0.8,0,59,1,1,4,1
-0.8,0,60,1,0,2,1
-0.8,0,61,2,0,4,0
-0.8,0,62,0,1,1,0
-0.8,0,63,0,4,1,0
-0.8,0,64,1,0,0,0
-0.8,0,65,1,0,2,0
-0.8,0,66,5,0,3,0
-0.8,0,67,0,3,0,2
-0.8,0,68,0,0,1,0
-0.8,0,69,0,0,0,0
-0.8,0,70,1,3,5,1
-0.8,0,71,1,1,1,0
-0.8,0,72,3,0,3,0
-0.8,0,73,1,0,0,0
-0.8,0,74,0,0,3,0
-0.8,0,75,0,1,6,0
-0.8,0,76,1,0,4,0
-0.8,0,77,0,2,1,0
-0.8,0,78,0,0,0,0
-0.8,0,79,0,2,1,2
-0.8,0,80,2,1,0,0
-0.8,0,81,1,0,3,0
-0.8,0,82,0,2,0,2
-0.8,0,83,1,2,0,1
-0.8,0,84,1,0,4,0
-0.8,0,85,1,2,1,0
-0.8,0,86,0,3,0,1
-0.8,0,87,1,0,5,0
-0.8,0,88,1,0,0,4
-0.8,0,89,1,2,3,1
-0.8,0,90,0,4,3,0
-0.8,0,91,0,2,0,2
-0.8,0,92,1,0,1,0
-0.8,0,93,0,2,1,0
-0.8,0,94,0,1,4,0
-0.8,0,95,2,0,0,0
-0.8,0,96,0,0,1,0
-0.8,0,97,1,0,2,2
-0.8,0,98,0,0,3,0
-0.8,0,99,0,1,1,3
-0.8,0,100,1,2,0,1
-0.8,0,101,1,3,5,0
-0.8,0,102,0,0,1,1
-0.8,0,103,0,1,2,1
-0.8,0,104,1,3,0,2
-0.8,0,105,2,0,2,2
-0.8,0,106,0,1,1,0
-0.8,0,107,0,2,0,1
-0.8,0,108,0,2,1,2
-0.8,0,109,1,0,6,0
-0.8,0,110,0,1,0,1
-0.8,0,111,1,1,1,0
-0.8,0,112,1,2,0,4
-0.8,0,113,0,2,0,0
-0.8,0,114,0,2,1,4
-0.8,0,115,0,0,5,0
-0.8,0,116,3,0,3,0
-0.8,0,117,0,1,1,1
-0.8,0,118,1,0,1,0
-0.8,0,119,3,5,4,0
-0.8,0,120,1,0,2,0
-0.8,0,121,1,0,1,0
-0.8,0,122,0,2,0,1
-0.8,0,123,0,3,0,0
-0.8,0,124,1,2,0,2
-0.8,0,125,1,1,1,0
-0.8,0,126,2,0,5,0
-0.8,0,127,0,0,0,1
-0.8,0,128,1,0,3,1
-0.8,0,129,1,0,0,1
-0.8,0,130,1,0,3,0
-0.8,0,131,2,0,1,1
-0.8,0,132,0,2,3,0
-0.8,0,133,2,0,3,0
-0.8,0,134,1,0,2,0
-0.8,0,135,0,0,2,0
-0.8,0,136,0,2,4,0
-0.8,0,137,0,5,0,0
-0.8,0,138,0,0,0,1
-0.8,0,139,2,0,5,0
-0.8,0,140,0,1,1,0
-0.8,0,141,1,0,2,2
-0.8,0,142,0,6,0,0
-0.8,0,143,0,0,3,0
-0.8,0,144,2,1,6,1
-0.8,0,145,1,3,3,0
-0.8,0,146,1,0,0,0
-0.8,0,147,0,1,0,3
-0.8,0,148,0,1,1,1
-0.8,0,149,0,0,1,1
-0.8,0,150,1,0,2,0
-0.8,0,151,2,0,0,0
-0.8,0,152,2,0,2,0
-0.8,0,153,0,1,1,0
-0.8,0,154,0,1,0,4
-0.8,0,155,1,1,1,2
-0.8,0,156,0,0,1,0
-0.8,0,157,3,1,1,2
-0.8,0,158,1,1,0,2
-0.8,0,159,0,0,2,1
-0.8,0,160,1,0,2,0
-0.8,0,161,2,0,2,0
-0.8,0,162,0,0,1,0
-0.8,0,163,0,3,1,0
-0.8,0,164,0,0,5,1
-0.8,0,165,0,0,3,1
-0.8,0,166,0,0,4,0
-0.8,0,167,1,1,4,0
-0.8,0,168,1,0,2,0
-0.8,0,169,0,3,0,1
-0.8,0,170,1,0,4,0
-0.8,0,171,1,0,0,0
-0.8,0,172,3,0,5,0
-0.8,0,173,0,3,2,0
-0.8,0,174,0,2,0,1
-0.8,0,175,1,0,2,0
-0.8,0,176,1,2,5,0
-0.8,0,177,0,1,0,1
-0.8,0,178,2,0,3,0
-0.8,0,179,2,0,0,0
-0.8,0,180,2,0,1,0
-0.8,0,181,0,2,0,0
-0.8,0,182,2,0,0,1
-0.8,0,183,0,2,4,0
-0.8,0,184,0,0,2,0
-0.8,0,185,1,1,1,1
-0.8,0,186,4,0,0,1
-0.8,0,187,0,1,0,1
-0.8,0,188,1,0,2,0
-0.8,0,189,0,2,4,0
-0.8,0,190,0,2,1,1
-0.8,0,191,2,0,2,0
-0.8,0,192,0,3,0,0
-0.8,0,193,0,0,2,1
-0.8,0,194,1,0,1,0
-0.8,0,195,0,2,0,1
-0.8,0,196,0,2,2,1
-0.8,0,197,1,0,0,0
-0.8,0,198,0,0,0,1
-0.8,0,199,2,0,3,0
-0.8,1,0,0,1,0,0
-0.8,1,1,2,0,2,0
-0.8,1,2,0,1,2,0
-0.8,1,3,0,2,0,2
-0.8,1,4,2,1,0,2
-0.8,1,5,0,1,2,1
-0.8,1,6,0,2,0,2
-0.8,1,7,0,2,1,1
-0.8,1,8,1,0,1,0
-0.8,1,9,0,1,0,2
-0.8,1,10,2,0,2,3
-0.8,1,11,0,5,0,2
-0.8,1,12,1,0,3,0
-0.8,1,13,1,2,1,0
-0.8,1,14,2,0,0,0
-0.8,1,15,0,1,0,2
-0.8,1,16,2,0,1,0
-0.8,1,17,0,3,0,2
-0.8,1,18,0,1,1,0
-0.8,1,19,1,0,2,0
-0.8,1,20,0,0,0,0
-0.8,1,21,0,0,0,2
-0.8,1,22,0,2,0,0
-0.8,1,23,2,1,2,0
-0.8,1,24,0,0,0,3
-0.8,1,25,0,1,2,0
-0.8,1,26,0,1,1,3
-0.8,1,27,0,0,3,0
-0.8,1,28,1,1,1,1
-0.8,1,29,0,1,2,1
-0.8,1,30,1,0,1,1
-0.8,1,31,0,0,3,0
-0.8,1,32,0,3,0,4
-0.8,1,33,0,0,3,0
-0.8,1,34,0,0,4,0
-0.8,1,35,2,1,0,0
-0.8,1,36,0,1,1,1
-0.8,1,37,0,1,0,0
-0.8,1,38,1,0,2,0
-0.8,1,39,0,3,1,2
-0.8,1,40,0,0,0,1
-0.8,1,41,0,2,0,2
-0.8,1,42,0,4,1,3
-0.8,1,43,0,4,0,1
-0.8,1,44,1,1,2,0
-0.8,1,45,1,1,3,0
-0.8,1,46,0,1,2,0
-0.8,1,47,2,3,2,1
-0.8,1,48,1,0,3,0
-0.8,1,49,0,0,3,0
-0.8,1,50,0,0,0,0
-0.8,1,51,0,1,0,0
-0.8,1,52,0,1,2,0
-0.8,1,53,4,0,3,0
-0.8,1,54,1,1,2,0
-0.8,1,55,0,3,0,1
-0.8,1,56,1,1,2,0
-0.8,1,57,0,1,1,0
-0.8,1,58,0,2,0,0
-0.8,1,59,0,1,2,1
-0.8,1,60,0,1,2,2
-0.8,1,61,2,0,7,0
-0.8,1,62,1,1,1,1
-0.8,1,63,2,2,3,0
-0.8,1,64,0,0,1,0
-0.8,1,65,1,2,1,1
-0.8,1,66,1,1,0,0
-0.8,1,67,2,0,1,0
-0.8,1,68,0,0,0,0
-0.8,1,69,1,3,2,0
-0.8,1,70,0,1,0,1
-0.8,1,71,2,1,2,1
-0.8,1,72,0,1,0,1
-0.8,1,73,1,0,4,0
-0.8,1,74,1,2,3,0
-0.8,1,75,1,0,1,0
-0.8,1,76,0,1,1,0
-0.8,1,77,1,0,2,0
-0.8,1,78,1,1,0,0
-0.8,1,79,1,2,4,0
-0.8,1,80,0,2,5,0
-0.8,1,81,1,4,0,0
-0.8,1,82,0,0,1,0
-0.8,1,83,2,3,0,0
-0.8,1,84,1,0,0,3
-0.8,1,85,1,2,4,1
-0.8,1,86,2,0,1,0
-0.8,1,87,2,0,2,0
-0.8,1,88,0,3,1,5
-0.8,1,89,3,2,0,0
-0.8,1,90,0,0,2,1
-0.8,1,91,0,2,1,1
-0.8,1,92,0,0,0,0
-0.8,1,93,0,1,0,1
-0.8,1,94,1,1,3,0
-0.8,1,95,1,0,6,0
-0.8,1,96,0,0,2,0
-0.8,1,97,0,1,0,0
-0.8,1,98,0,2,5,0
-0.8,1,99,1,2,1,1
-0.8,1,100,1,0,1,0
-0.8,1,101,1,0,4,1
-0.8,1,102,1,1,3,0
-0.8,1,103,1,0,1,0
-0.8,1,104,0,0,0,5
-0.8,1,105,1,0,3,0
-0.8,1,106,0,2,1,3
-0.8,1,107,0,2,2,0
-0.8,1,108,0,1,0,2
-0.8,1,109,1,0,0,0
-0.8,1,110,0,1,0,1
-0.8,1,111,0,0,2,2
-0.8,1,112,1,0,1,0
-0.8,1,113,2,0,1,0
-0.8,1,114,6,0,2,0
-0.8,1,115,1,0,3,0
-0.8,1,116,1,0,0,0
-0.8,1,117,1,1,3,0
-0.8,1,118,0,2,0,3
-0.8,1,119,1,2,0,1
-0.8,1,120,0,0,2,2
-0.8,1,121,2,1,0,0
-0.8,1,122,0,1,2,1
-0.8,1,123,3,0,2,0
-0.8,1,124,1,3,0,2
-0.8,1,125,1,1,2,1
-0.8,1,126,2,1,3,0
-0.8,1,127,0,0,0,1
-0.8,1,128,0,2,0,3
-0.8,1,129,2,0,4,0
-0.8,1,130,1,0,2,0
-0.8,1,131,0,0,0,1
-0.8,1,132,2,2,2,1
-0.8,1,133,1,1,3,0
-0.8,1,134,0,2,1,0
-0.8,1,135,1,0,1,0
-0.8,1,136,1,0,1,0
-0.8,1,137,0,4,0,1
-0.8,1,138,1,3,2,0
-0.8,1,139,1,2,1,1
-0.8,1,140,1,0,2,0
-0.8,1,141,1,0,2,1
-0.8,1,142,0,0,0,0
-0.8,1,143,0,0,1,1
-0.8,1,144,1,2,1,0
-0.8,1,145,1,1,4,0
-0.8,1,146,1,2,0,1
-0.8,1,147,0,0,0,1
-0.8,1,148,3,0,3,0
-0.8,1,149,0,1,1,0
-0.8,1,150,0,1,0,2
-0.8,1,151,1,2,0,2
-0.8,1,152,0,1,0,0
-0.8,1,153,0,0,1,2
-0.8,1,154,0,0,4,1
-0.8,1,155,0,2,2,1
-0.8,1,156,0,2,4,0
-0.8,1,157,0,1,0,2
-0.8,1,158,0,0,0,2
-0.8,1,159,1,1,1,2
-0.8,1,160,5,2,2,2
-0.8,1,161,0,2,0,1
-0.8,1,162,0,0,0,1
-0.8,1,163,0,0,0,3
-0.8,1,164,1,1,3,0
-0.8,1,165,0,1,0,0
-0.8,1,166,1,0,0,0
-0.8,1,167,1,0,2,0
-0.8,1,168,0,0,1,2
-0.8,1,169,0,0,2,0
-0.8,1,170,0,2,0,0
-0.8,1,171,2,0,0,0
-0.8,1,172,6,0,2,0
-0.8,1,173,1,0,4,0
-0.8,1,174,0,0,0,1
-0.8,1,175,2,1,3,2
-0.8,1,176,0,1,0,0
-0.8,1,177,0,3,0,0
-0.8,1,178,4,0,2,0
-0.8,1,179,1,1,4,0
-0.8,1,180,0,1,2,0
-0.8,1,181,2,1,3,0
-0.8,1,182,2,1,2,0
-0.8,1,183,1,0,2,0
-0.8,1,184,1,2,3,0
-0.8,1,185,3,0,0,0
-0.8,1,186,1,0,3,0
-0.8,1,187,0,1,2,0
-0.8,1,188,2,2,1,0
-0.8,1,189,0,0,4,0
-0.8,1,190,0,0,4,0
-0.8,1,191,2,0,1,0
-0.8,1,192,2,0,4,0
-0.8,1,193,0,0,4,0
-0.8,1,194,1,3,1,0
-0.8,1,195,2,0,0,0
-0.8,1,196,0,1,0,5
-0.8,1,197,1,2,3,3
-0.8,1,198,1,2,0,0
-0.8,1,199,2,1,1,0
-0.8,2,0,0,0,0,1
-0.8,2,1,0,1,0,1
-0.8,2,2,0,0,0,0
-0.8,2,3,0,1,0,3
-0.8,2,4,0,3,5,0
-0.8,2,5,0,0,0,1
-0.8,2,6,0,1,1,1
-0.8,2,7,0,2,0,1
-0.8,2,8,0,0,0,1
-0.8,2,9,2,0,1,0
-0.8,2,10,0,1,1,1
-0.8,2,11,0,1,0,1
-0.8,2,12,0,0,0,2
-0.8,2,13,0,1,3,1
-0.8,2,14,0,1,0,0
-0.8,2,15,0,0,0,2
-0.8,2,16,0,0,2,0
-0.8,2,17,0,4,2,0
-0.8,2,18,0,0,3,0
-0.8,2,19,0,3,1,0
-0.8,2,20,0,1,0,0
-0.8,2,21,0,1,0,2
-0.8,2,22,0,2,0,0
-0.8,2,23,0,0,0,2
-0.8,2,24,0,0,3,0
-0.8,2,25,1,0,2,0
-0.8,2,26,1,1,1,0
-0.8,2,27,0,2,0,0
-0.8,2,28,0,1,0,1
-0.8,2,29,0,0,0,0
-0.8,2,30,1,1,2,2
-0.8,2,31,1,0,2,0
-0.8,2,32,0,1,1,0
-0.8,2,33,0,0,0,1
-0.8,2,34,0,2,0,1
-0.8,2,35,0,1,0,1
-0.8,2,36,0,1,0,0
-0.8,2,37,0,0,0,2
-0.8,2,38,0,1,0,1
-0.8,2,39,0,1,2,0
-0.8,2,40,1,0,1,0
-0.8,2,41,0,1,0,0
-0.8,2,42,0,0,1,0
-0.8,2,43,1,0,3,0
-0.8,2,44,0,1,1,3
-0.8,2,45,1,0,2,1
-0.8,2,46,0,2,0,1
-0.8,2,47,0,1,1,2
-0.8,2,48,0,0,2,0
-0.8,2,49,2,0,1,0
-0.8,2,50,0,0,0,6
-0.8,2,51,0,2,0,0
-0.8,2,52,0,2,2,1
-0.8,2,53,0,3,0,0
-0.8,2,54,0,0,0,2
-0.8,2,55,0,1,0,1
-0.8,2,56,2,3,1,0
-0.8,2,57,1,0,4,0
-0.8,2,58,0,2,0,3
-0.8,2,59,0,0,0,2
-0.8,2,60,0,4,3,0
-0.8,2,61,0,3,1,1
-0.8,2,62,0,2,1,0
-0.8,2,63,0,1,0,1
-0.8,2,64,0,0,2,0
-0.8,2,65,0,2,0,0
-0.8,2,66,2,1,0,2
-0.8,2,67,0,1,0,0
