gamma,replicate,individual,out_degree,out_degree_initial,in_degree,in_degree_initial,same_type_adds,same_type_breaks,diff_type_adds,diff_type_breaks
0.4,0,0,0,3,8,5,0,2,0,1
0.4,0,1,0,3,2,3,0,1,0,2
0.4,0,2,0,3,3,4,0,1,0,2
0.4,0,3,0,2,8,8,0,1,0,1
0.4,0,4,5,6,4,8,0,0,0,1
0.4,0,5,0,5,4,6,0,1,0,4
0.4,0,6,5,4,1,2,0,0,1,0
0.4,0,7,0,8,3,9,0,3,0,5
0.4,0,8,4,2,2,1,0,0,2,0
0.4,0,9,3,4,5,5,2,0,0,3
0.4,0,10,3,5,2,4,0,0,0,2
0.4,0,11,0,4,7,3,0,1,0,3
0.4,0,12,2,5,8,6,2,3,0,2
0.4,0,13,1,4,4,3,1,3,0,1
0.4,0,14,5,4,6,3,1,1,1,0
0.4,0,15,8,7,9,7,1,1,1,0
0.4,0,16,9,9,4,6,2,3,1,0
0.4,0,17,0,2,4,5,0,1,0,1
0.4,0,18,2,2,4,3,2,1,0,1
0.4,0,19,3,3,1,4,0,0,1,1
0.4,0,20,4,8,10,7,0,1,0,3
0.4,0,21,9,8,4,4,1,0,1,1
0.4,0,22,8,7,1,8,2,0,0,1
0.4,0,23,0,3,5,4,0,1,0,2
0.4,0,24,7,6,3,4,0,1,3,1
0.4,0,25,0,4,3,7,0,3,0,1
0.4,0,26,4,6,4,1,1,0,1,4
0.4,0,27,1,3,1,1,0,1,0,1
0.4,0,28,1,2,6,7,0,0,0,1
0.4,0,29,10,7,10,7,3,0,0,0
0.4,0,30,1,5,2,3,0,2,0,2
0.4,0,31,8,8,4,2,1,0,1,2
0.4,0,32,9,7,5,7,1,1,2,0
0.4,0,33,2,3,2,9,0,1,0,0
0.4,0,34,0,5,4,7,0,4,0,1
0.4,0,35,8,6,5,6,3,0,1,2
0.4,0,36,5,6,7,10,0,2,1,0
0.4,0,37,3,3,4,5,1,2,2,1
0.4,0,38,7,5,1,4,2,1,2,1
0.4,0,39,2,4,6,5,1,2,1,2
0.4,0,40,7,10,3,4,2,3,1,3
0.4,0,41,2,5,7,9,1,2,0,2
0.4,0,42,7,6,6,7,1,1,2,1
0.4,0,43,4,6,5,6,0,2,1,1
0.4,0,44,4,3,7,6,0,0,1,0
0.4,0,45,5,4,3,6,1,0,0,0
0.4,0,46,0,4,5,5,0,3,0,1
0.4,0,47,4,3,4,6,0,0,1,0
0.4,0,48,0,6,7,6,0,3,0,3
0.4,0,49,1,6,9,5,0,3,0,2
0.4,0,50,4,3,1,2,2,0,1,2
0.4,0,51,10,7,7,8,1,0,3,1
0.4,0,52,6,7,4,4,0,1,1,1
0.4,0,53,4,2,6,4,0,1,4,1
0.4,0,54,6,7,2,4,2,2,0,1
0.4,0,55,6,4,1,3,2,1,1,0
0.4,0,56,4,4,3,4,2,1,2,3
0.4,0,57,9,7,4,4,2,1,1,0
0.4,0,58,1,2,1,3,0,0,0,1
0.4,0,59,4,3,5,9,1,0,1,1
0.4,0,60,1,1,5,6,1,0,0,1
0.4,0,61,1,6,5,8,1,3,0,3
0.4,0,62,3,4,4,3,0,0,0,1
0.4,0,63,6,4,8,6,2,1,1,0
0.4,0,64,5,7,2,5,0,2,0,0
0.4,0,65,8,5,5,5,4,1,1,1
0.4,0,66,0,4,1,3,0,4,0,0
0.4,0,67,2,5,1,3,0,1,0,2
0.4,0,68,8,5,9,4,1,0,2,0
0.4,0,69,10,7,3,2,2,0,1,0
0.4,0,70,2,3,7,4,1,2,1,1
0.4,0,71,5,4,3,2,0,0,2,1
0.4,0,72,0,6,3,0,0,3,0,3
0.4,0,73,8,7,2,4,0,0,1,0
0.4,0,74,7,6,4,6,1,0,1,1
0.4,0,75,3,2,7,8,1,0,1,1
0.4,0,76,6,3,4,8,1,0,2,0
0.4,0,77,5,7,4,5,1,2,0,1
0.4,0,78,9,7,3,4,2,0,0,0
0.4,0,79,7,8,5,3,0,1,2,2
0.4,0,80,12,9,6,5,1,0,3,1
0.4,0,81,10,10,3,3,3,1,0,2
0.4,0,82,0,1,4,9,0,0,0,1
0.4,0,83,3,3,3,3,1,2,1,0
0.4,0,84,5,7,2,2,1,1,1,3
0.4,0,85,0,1,7,8,0,0,0,1
0.4,0,86,0,4,4,6,0,1,0,3
0.4,0,87,2,5,2,1,2,4,0,1
0.4,0,88,4,6,4,6,2,2,1,3
0.4,0,89,11,9,7,7,2,0,1,1
0.4,0,90,10,9,3,1,1,1,2,1
0.4,0,91,6,6,8,4,0,0,1,1
0.4,0,92,4,8,2,3,2,5,1,2
0.4,0,93,1,2,4,2,1,0,0,2
0.4,0,94,14,9,8,6,4,0,1,0
0.4,0,95,5,4,6,4,2,1,1,1
0.4,0,96,6,8,6,4,0,2,1,1
0.4,0,97,0,3,6,6,0,2,0,1
0.4,0,98,3,5,0,1,0,0,0,2
0.4,0,99,8,7,5,5,3,0,1,3
0.4,0,100,2,3,3,7,1,2,0,0
0.4,0,101,2,6,6,7,0,2,1,3
0.4,0,102,7,6,4,6,1,0,1,1
0.4,0,103,6,5,7,6,3,0,1,3
0.4,0,104,13,8,3,6,3,0,2,0
0.4,0,105,1,2,4,5,1,1,0,1
0.4,0,106,1,3,2,2,1,2,0,1
0.4,0,107,3,7,5,7,1,3,1,3
0.4,0,108,5,5,2,5,0,0,1,1
0.4,0,109,6,6,1,3,2,3,1,0
0.4,0,110,5,6,6,6,1,1,0,1
0.4,0,111,2,4,3,8,1,1,0,2
0.4,0,112,0,2,5,8,0,1,0,1
0.4,0,113,3,2,4,7,0,0,1,0
0.4,0,114,7,6,1,5,1,0,0,0
0.4,0,115,5,5,4,7,2,0,0,2
0.4,0,116,10,8,4,6,0,0,2,0
0.4,0,117,9,6,2,3,3,1,2,1
0.4,0,118,0,4,9,7,0,3,0,1
0.4,0,119,12,10,9,11,2,0,1,1
0.4,0,120,6,5,3,4,3,1,1,2
0.4,0,121,0,2,3,5,0,0,0,2
0.4,0,122,8,5,6,3,2,0,1,0
0.4,0,123,0,5,7,6,0,2,0,3
0.4,0,124,6,3,2,5,1,0,2,0
0.4,0,125,4,4,8,7,0,1,4,3
0.4,0,126,5,3,4,6,2,0,1,1
0.4,0,127,3,8,1,4,0,2,0,3
0.4,0,128,2,2,3,4,1,1,1,1
0.4,0,129,0,3,8,9,0,0,0,3
0.4,0,130,7,6,6,6,1,0,0,0
0.4,0,131,4,4,1,4,2,1,1,2
0.4,0,132,6,6,2,2,2,0,0,2
0.4,0,133,7,5,3,7,2,1,2,1
0.4,0,134,0,3,5,4,0,0,0,3
0.4,0,135,0,3,9,7,0,2,0,1
0.4,0,136,5,5,7,5,2,1,1,2
0.4,0,137,5,9,1,4,0,2,0,2
0.4,0,138,4,4,3,6,0,0,0,0
0.4,0,139,3,7,4,3,0,3,0,1
0.4,0,140,2,4,7,4,1,0,0,3
0.4,0,141,0,2,9,6,0,0,0,2
0.4,0,142,9,4,6,5,3,0,2,0
0.4,0,143,0,5,5,6,0,3,0,2
0.4,0,144,5,5,3,4,1,1,2,2
0.4,0,145,5,6,11,8,0,1,0,0
0.4,0,146,6,6,2,2,1,1,2,2
0.4,0,147,3,3,1,2,2,0,0,2
0.4,0,148,3,2,6,11,3,0,0,2
0.4,0,149,7,6,6,4,0,0,1,0
0.4,0,150,9,7,0,2,0,1,3,0
