gamma,replicate,individual,same_type_adds,same_type_breaks,diff_type_adds,diff_type_breaks
0.9,0,0,0,1,0,3
0.9,0,1,0,1,0,1
0.9,0,2,0,1,0,1
0.9,0,3,0,0,0,1
0.9,0,4,0,2,0,2
0.9,0,5,0,2,0,2
0.9,0,6,0,1,0,2
0.9,0,7,0,1,0,0
0.9,0,8,0,1,0,1
0.9,0,9,1,0,0,0
0.9,0,10,0,2,0,2
0.9,0,11,0,1,0,1
0.9,0,12,0,2,0,1
0.9,0,13,0,1,0,0
0.9,0,14,3,2,0,1
0.9,0,15,1,0,1,0
0.9,0,16,0,2,0,1
0.9,0,17,0,1,2,1
0.9,0,18,0,0,2,2
0.9,0,19,0,1,1,1
0.9,0,20,1,1,2,0
0.9,0,21,0,0,0,0
0.9,0,22,1,0,1,2
0.9,0,23,2,2,1,0
0.9,0,24,0,3,1,2
0.9,0,25,0,2,0,1
0.9,0,26,0,3,2,2
0.9,0,27,0,1,0,2
0.9,0,28,0,0,0,1
0.9,0,29,0,0,0,2
0.9,0,30,3,3,1,2
0.9,0,31,0,0,0,2
0.9,0,32,0,3,0,2
0.9,0,33,1,2,3,2
0.9,0,34,0,1,0,0
0.9,0,35,1,0,1,1
0.9,0,36,0,4,1,0
0.9,0,37,2,0,1,1
0.9,0,38,0,1,0,2
0.9,0,39,0,0,0,0
0.9,0,40,0,0,0,3
0.9,0,41,0,2,0,1
0.9,0,42,1,1,0,1
0.9,0,43,0,2,0,2
0.9,0,44,0,3,0,2
0.9,0,45,0,0,0,2
0.9,0,46,0,1,0,2
0.9,0,47,1,2,1,1
0.9,0,48,0,0,0,2
0.9,0,49,0,0,1,1
0.9,0,50,0,2,1,1
0.9,0,51,0,0,0,1
0.9,0,52,0,1,0,1
0.9,0,53,0,1,0,0
0.9,0,54,0,1,0,2
0.9,0,55,0,3,0,3
0.9,0,56,0,1,1,1
0.9,0,57,0,3,2,3
0.9,0,58,2,1,0,1
0.9,0,59,0,1,1,1
0.9,0,60,0,1,0,1
0.9,0,61,0,0,0,1
0.9,0,62,1,3,0,1
0.9,0,63,0,2,1,1
0.9,0,64,0,0,0,2
0.9,0,65,0,2,0,2
0.9,0,66,0,1,0,1
0.9,0,67,1,3,0,1
0.9,0,68,0,1,0,0
0.9,0,69,0,0,2,0
0.9,0,70,0,1,0,3
0.9,0,71,0,1,1,2
0.9,0,72,2,0,1,0
0.9,0,73,1,2,0,0
0.9,0,74,1,0,1,1
0.9,0,75,1,0,1,3
0.9,0,76,0,0,2,0
0.9,0,77,0,1,0,1
0.9,0,78,0,1,0,3
0.9,0,79,0,2,0,1
0.9,0,80,1,1,3,0
0.9,0,81,0,0,0,1
0.9,0,82,0,0,0,0
0.9,0,83,0,0,0,5
0.9,0,84,0,3,0,0
0.9,0,85,1,1,0,1
0.9,0,86,0,0,0,3
0.9,0,87,0,2,1,1
0.9,0,88,0,3,0,3
0.9,0,89,0,0,2,0
0.9,0,90,0,4,0,2
0.9,0,91,1,2,0,0
0.9,0,92,1,0,0,0
0.9,0,93,2,0,0,3
0.9,0,94,0,2,0,2
0.9,0,95,0,0,1,1
0.9,0,96,0,1,0,1
0.9,0,97,1,0,3,0
0.9,0,98,0,2,0,2
0.9,0,99,2,0,1,0
0.9,0,100,1,0,1,2
0.9,0,101,0,0,0,1
0.9,0,102,0,1,0,2
0.9,0,103,0,0,0,1
0.9,0,104,0,3,0,0
0.9,0,105,0,0,0,2
0.9,0,106,0,2,1,1
0.9,0,107,1,0,0,1
0.9,0,108,0,1,0,2
0.9,0,109,1,1,1,2
0.9,0,110,3,2,0,4
0.9,0,111,3,3,0,1
0.9,0,112,0,1,0,0
0.9,0,113,1,0,0,1
0.9,0,114,0,0,0,3
0.9,0,115,2,0,1,0
0.9,0,116,0,0,0,0
0.9,0,117,2,2,1,2
0.9,0,118,0,0,0,1
0.9,0,119,1,0,1,0
0.9,0,120,0,0,0,1
0.9,0,121,0,1,0,2
0.9,0,122,0,1,0,0
0.9,0,123,4,0,3,0
0.9,0,124,1,0,1,0
0.9,0,125,1,0,2,4
0.9,0,126,0,1,0,0
0.9,0,127,2,1,0,0
0.9,0,128,2,2,0,1
0.9,0,129,0,4,0,0
0.9,0,130,1,1,0,0
0.9,0,131,1,4,1,1
0.9,0,132,0,0,1,0
0.9,0,133,0,1,0,1
0.9,0,134,0,1,1,1
0.9,0,135,0,3,0,0
0.9,0,136,0,1,0,2
0.9,0,137,2,0,1,0
0.9,0,138,0,1,0,1
0.9,0,139,0,1,1,4
0.9,0,140,0,0,0,1
0.9,0,141,0,1,0,0
0.9,0,142,0,1,0,2
0.9,0,143,0,0,0,0
0.9,0,144,3,1,1,1
0.9,0,145,0,0,0,3
0.9,0,146,1,0,0,0
0.9,0,147,0,1,0,0
0.9,0,148,0,0,0,2
0.9,0,149,0,0,0,0
0.9,0,150,0,0,0,0
0.9,0,151,0,1,1,0
0.9,0,152,0,1,0,1
0.9,0,153,0,0,0,1
0.9,0,154,0,2,0,0
0.9,0,155,0,1,0,0
0.9,0,156,1,0,0,2
0.9,0,157,0,0,1,0
0.9,0,158,0,1,0,0
0.9,0,159,1,1,0,0
0.9,0,160,0,1,1,1
0.9,0,161,0,0,0,3
0.9,0,162,0,1,0,2
0.9,0,163,0,2,0,3
0.9,0,164,0,0,1,0
0.9,0,165,0,2,0,4
0.9,0,166,0,0,0,2
0.9,0,167,0,1,0,1
0.9,0,168,0,2,0,1
0.9,0,169,1,2,1,1
0.9,0,170,0,2,3,2
0.9,0,171,0,3,0,1
0.9,0,172,4,0,0,0
0.9,0,173,0,1,0,1
0.9,0,174,0,2,1,1
0.9,0,175,0,1,1,0
0.9,0,176,0,1,1,1
0.9,0,177,1,0,2,1
0.9,0,178,0,2,1,2
0.9,0,179,0,0,0,3
0.9,0,180,0,1,0,1
0.9,0,181,1,0,1,0
0.9,0,182,0,2,1,0
0.9,0,183,0,0,1,0
0.9,0,184,1,0,2,0
0.9,0,185,0,3,0,1
0.9,0,186,1,1,0,0
0.9,0,187,0,3,1,3
0.9,0,188,2,0,2,0
0.9,0,189,0,1,1,1
0.9,0,190,1,1,0,1
0.9,0,191,1,2,0,0
0.9,0,192,0,2,0,3
0.9,0,193,0,1,1,3
0.9,0,194,0,0,0,1
0.9,0,195,0,2,0,0
0.9,0,196,2,1,0,1
0.9,0,197,0,0,1,0
0.9,0,198,1,1,1,0
0.9,0,199,0,0,0,0
0.9,1,0,0,1,0,0
0.9,1,1,0,0,0,2
0.9,1,2,0,2,0,2
0.9,1,3,0,3,0,2
0.9,1,4,0,1,0,1
0.9,1,5,1,0,1,2
0.9,1,6,0,0,0,1
0.9,1,7,0,2,0,0
0.9,1,8,1,0,1,0
0.9,1,9,0,2,0,1
0.9,1,10,0,2,0,0
0.9,1,11,0,0,0,0
0.9,1,12,0,1,0,0
0.9,1,13,1,1,0,2
0.9,1,14,0,0,1,0
0.9,1,15,0,1,0,1
0.9,1,16,0,0,1,1
0.9,1,17,0,1,0,3
0.9,1,18,1,2,0,2
0.9,1,19,1,1,1,1
0.9,1,20,1,0,3,0
0.9,1,21,0,2,0,0
0.9,1,22,0,2,0,2
0.9,1,23,0,1,0,0
0.9,1,24,0,0,0,1
0.9,1,25,0,4,0,0
0.9,1,26,0,1,0,0
0.9,1,27,0,0,0,1
0.9,1,28,0,1,1,0
0.9,1,29,0,0,0,2
0.9,1,30,1,1,1,0
0.9,1,31,1,0,0,1
0.9,1,32,1,1,0,1
0.9,1,33,0,1,1,1
0.9,1,34,0,0,0,0
0.9,1,35,0,2,0,2
0.9,1,36,0,2,0,2
0.9,1,37,0,1,0,1
0.9,1,38,0,0,0,1
0.9,1,39,0,2,0,0
0.9,1,40,0,1,0,2
0.9,1,41,0,2,0,1
0.9,1,42,0,1,0,0
0.9,1,43,1,0,1,1
0.9,1,44,2,2,0,0
0.9,1,45,0,0,1,1
0.9,1,46,1,3,0,0
0.9,1,47,0,1,0,1
0.9,1,48,0,2,2,2
0.9,1,49,0,1,0,1
0.9,1,50,0,0,0,2
0.9,1,51,0,0,0,0
0.9,1,52,0,0,0,0
0.9,1,53,0,3,0,0
0.9,1,54,2,3,1,0
0.9,1,55,0,3,0,1
0.9,1,56,0,1,0,0
0.9,1,57,0,0,3,0
0.9,1,58,1,0,0,0
0.9,1,59,0,2,0,1
0.9,1,60,0,0,0,3
0.9,1,61,0,2,0,1
0.9,1,62,0,2,1,1
0.9,1,63,0,1,0,0
0.9,1,64,0,3,0,0
0.9,1,65,0,1,0,4
0.9,1,66,0,0,0,2
0.9,1,67,0,1,1,0
0.9,1,68,0,1,0,2
0.9,1,69,0,1,0,3
0.9,1,70,0,3,0,0
0.9,1,71,0,1,0,0
0.9,1,72,1,0,2,0
0.9,1,73,1,0,1,0
