gamma,replicate,individual,type,threshold,degree,degree_initial,centrality,centrality_initial,local_assortativity,same_type_adds,same_type_breaks,diff_type_adds,diff_type_breaks
-0.2,0.0,0.0,1.0,0.08462719641468563,7.0,11.0,0.4097283282220941,0.6332725919445306,0.6669647554510089,2.0,3.0,0.0,3.0
-0.2,0.0,1.0,1.0,0.6579339147573621,10.0,5.0,0.3722347486461342,0.1681140388969865,0.4538089205910846,5.0,1.0,2.0,1.0
-0.2,0.0,2.0,0.0,0.41324717543905753,13.0,6.0,0.5058410614897886,0.2568932720877077,0.32891118340154396,4.0,1.0,5.0,1.0
-0.2,0.0,3.0,0.0,0.7077702705274312,11.0,7.0,0.5342100154561354,0.32734693207780924,0.5441967099118606,4.0,0.0,1.0,1.0
-0.2,0.0,4.0,0.0,0.021058913884464014,7.0,13.0,0.38161115745576407,0.7111492193151281,0.6505661282154359,3.0,5.0,0.0,4.0
-0.2,0.0,5.0,1.0,0.8294973608176985,13.0,8.0,0.6060108433049776,0.3954949791886745,0.4055925157110383,5.0,0.0,0.0,0.0
-0.2,0.0,6.0,1.0,0.8976318212742362,18.0,14.0,0.8344214830574709,0.6740708817102858,0.3900313082539484,6.0,0.0,0.0,2.0
-0.2,0.0,7.0,0.0,0.42645845502165747,13.0,10.0,0.6976776792652627,0.621593163328938,0.12505041104632106,1.0,2.0,5.0,1.0
-0.2,0.0,8.0,1.0,0.47896950880333666,8.0,7.0,0.388934922888687,0.285575829925499,0.4526469074742231,3.0,0.0,1.0,3.0
-0.2,0.0,9.0,0.0,0.6150324987765915,6.0,8.0,0.2791701371450202,0.48908354858286224,0.6123016889757528,3.0,1.0,0.0,4.0
-0.2,0.0,10.0,0.0,0.6944233724730666,15.0,12.0,0.8142451030705871,0.6987172448487318,0.3649666068464799,4.0,0.0,3.0,4.0
-0.2,0.0,11.0,0.0,0.36123803386966946,13.0,11.0,0.645391549905972,0.4861438734606824,0.13048978639638684,4.0,2.0,3.0,3.0
-0.2,0.0,12.0,1.0,0.36578867578585106,9.0,12.0,0.4282187303381032,0.5057133767644982,0.619626746787174,1.0,2.0,0.0,2.0
-0.2,0.0,13.0,0.0,0.6784550980514291,12.0,7.0,0.6111580313887531,0.2825933914608365,0.32848146293237934,4.0,0.0,3.0,2.0
-0.2,0.0,14.0,0.0,0.24235442911489147,6.0,15.0,0.23698109521544664,0.7711692595885568,0.6144710566598226,1.0,5.0,1.0,6.0
-0.2,0.0,15.0,1.0,0.31222523686540693,3.0,6.0,0.16109183598894394,0.2865152827463285,0.7526340589763596,1.0,1.0,0.0,3.0
-0.2,0.0,16.0,0.0,0.6837444132044651,10.0,7.0,0.5515692826549266,0.3591798397410265,0.2797561966829692,2.0,0.0,1.0,0.0
-0.2,0.0,17.0,0.0,0.8766254639124919,14.0,8.0,0.7061693408144114,0.3686042664635103,0.11597167015278323,2.0,0.0,4.0,0.0
-0.2,0.0,18.0,1.0,0.1961802049044119,3.0,8.0,0.16050687410509767,0.3431123455885916,0.7183492609833794,1.0,0.0,0.0,6.0
-0.2,0.0,19.0,0.0,0.4162951910424456,3.0,6.0,0.11177863570779076,0.24791134204078244,0.7625297142476257,2.0,0.0,0.0,5.0
-0.2,0.0,20.0,0.0,0.0533622768099683,3.0,4.0,0.16295434472612383,0.2726845422094039,0.615747366013294,2.0,2.0,0.0,1.0
-0.2,0.0,21.0,1.0,0.09274584510671036,1.0,5.0,0.06066142087435537,0.3114745126729057,0.7616509558261743,0.0,1.0,0.0,3.0
-0.2,0.0,22.0,1.0,0.2813241036246943,6.0,8.0,0.3370830727028233,0.429292336840622,0.7087924327660167,6.0,2.0,0.0,6.0
-0.2,0.0,23.0,0.0,0.5310963305860191,14.0,10.0,0.8072494154485566,0.4533413414205136,0.09884830920033878,1.0,0.0,5.0,2.0
-0.2,0.0,24.0,0.0,0.4984615338678038,5.0,8.0,0.20439454327320972,0.45091026673739865,0.742061940347277,2.0,1.0,0.0,4.0
-0.2,0.0,25.0,1.0,0.7803835155191794,8.0,8.0,0.33091857868264196,0.34071019338504077,0.3544990373991227,2.0,0.0,0.0,2.0
-0.2,0.0,26.0,0.0,0.17698285224567445,3.0,8.0,0.16140956554684044,0.4479527798368262,0.6312575548331101,1.0,3.0,0.0,3.0
-0.2,0.0,27.0,1.0,0.3580606464041035,14.0,6.0,0.7698156024065623,0.24732932975732566,0.42143741982021504,6.0,0.0,3.0,1.0
-0.2,0.0,28.0,0.0,0.5488304959479595,2.0,7.0,0.10563193453577184,0.33940308545936926,0.1191722541944744,0.0,1.0,1.0,5.0
-0.2,0.0,29.0,1.0,0.7008782119129525,15.0,10.0,0.7483497598543741,0.5396093578379605,0.45124532481823393,5.0,0.0,2.0,2.0
-0.2,0.0,30.0,0.0,0.3818825531323412,1.0,8.0,0.037736772304710176,0.3803870461138139,0.6288558473839753,1.0,3.0,0.0,5.0
-0.2,0.0,31.0,1.0,0.40008798993391204,14.0,7.0,0.6915415785937193,0.30416861846354887,0.2842943849872069,6.0,2.0,5.0,2.0
-0.2,0.0,32.0,0.0,0.37399646757596805,7.0,9.0,0.42291682522667456,0.37484629318594487,0.23561933955112824,0.0,2.0,3.0,3.0
-0.2,0.0,33.0,0.0,0.3322484675032651,1.0,9.0,0.061290088134172895,0.48919712518540454,0.6821655144712436,0.0,5.0,0.0,3.0
-0.2,0.0,34.0,1.0,0.7074938965527081,6.0,6.0,0.1908316356491413,0.3375525219834932,0.42433208359346647,3.0,1.0,1.0,3.0
-0.2,0.0,35.0,1.0,0.6508428985539456,17.0,11.0,0.8497780440003383,0.46519653666332855,0.07235974680318816,5.0,0.0,3.0,2.0
-0.2,0.0,36.0,0.0,0.6548823810738674,17.0,10.0,0.6385996916108728,0.5740123440339738,0.3706544813127408,4.0,0.0,4.0,1.0
-0.2,0.0,37.0,0.0,0.3250822800016693,5.0,11.0,0.2861297914162747,0.5364217071461846,0.4512450919465948,1.0,1.0,0.0,6.0
-0.2,0.0,38.0,0.0,0.3629595474145795,13.0,7.0,0.6119722155025056,0.24505627718384768,0.19132272776266945,4.0,0.0,3.0,1.0
-0.2,0.0,39.0,1.0,0.69165413278643,12.0,5.0,0.5993027292815427,0.2705368750761071,0.43668174539588694,4.0,0.0,3.0,0.0
-0.2,0.0,40.0,1.0,0.10851339574221319,6.0,9.0,0.3528110873290842,0.3208618126452069,0.6633391521915663,2.0,1.0,0.0,4.0
-0.2,0.0,41.0,1.0,0.16603821055103996,3.0,6.0,0.19660441221563682,0.2249819369190916,0.640373700366242,2.0,2.0,0.0,3.0
-0.2,0.0,42.0,0.0,0.641277765631264,14.0,10.0,0.6442755865649343,0.47969578348472874,0.41992387121575436,5.0,0.0,2.0,3.0
-0.2,0.0,43.0,1.0,0.03375448401210224,4.0,7.0,0.20972367921736154,0.3445755617494633,0.6478363254901977,0.0,0.0,0.0,3.0
-0.2,0.0,44.0,1.0,0.9770625613550934,10.0,9.0,0.4660756358648538,0.4690390455504852,0.08278529896528675,1.0,0.0,3.0,3.0
-0.2,0.0,45.0,1.0,0.9188444563880916,11.0,8.0,0.5292814702594134,0.4003067411459985,0.302960395143066,2.0,0.0,1.0,0.0
-0.2,0.0,46.0,0.0,0.6096147072116302,14.0,14.0,0.5773571325238304,0.5939356124455153,0.3212290930812814,2.0,0.0,1.0,3.0
-0.2,0.0,47.0,0.0,0.20829747216279215,12.0,14.0,0.6391246711639957,0.698934035404665,0.602860956732246,2.0,1.0,0.0,3.0
-0.2,0.0,48.0,1.0,0.49078791852884185,13.0,11.0,0.5705693332661564,0.5960646366058062,0.3513638656557377,4.0,0.0,2.0,4.0
-0.2,0.0,49.0,0.0,0.41224342692554317,1.0,8.0,0.04016077015051786,0.3520164719575136,0.6010289446316788,1.0,3.0,0.0,5.0
-0.2,0.0,50.0,0.0,0.8470018312309608,9.0,8.0,0.39408419610387024,0.4292895609808996,0.4101894807901956,2.0,0.0,1.0,2.0
-0.2,0.0,51.0,1.0,0.23328736687792928,2.0,5.0,0.07075080260724345,0.16971386041045267,0.6760795302855569,1.0,1.0,0.0,3.0
-0.2,0.0,52.0,1.0,0.9881129388685705,19.0,12.0,0.9128383476801862,0.45363658352647884,0.3339106788787495,5.0,0.0,3.0,1.0
